Date,Price
2008-09-18,8.0
2008-09-19,8.35
2008-09-22,8.44
2008-09-23,8.31
2008-09-24,7.93
2008-09-25,8.03
2008-09-26,7.75
2008-09-29,7.31
2008-09-30,7.08
2008-10-01,7.16
2008-10-02,6.7
2008-10-03,6.49
2008-10-06,6.24
2008-10-07,5.9
2008-10-08,5.61
2008-10-09,5.44
2008-10-10,5.22
2008-10-13,6.12
2008-10-14,6.55
2008-10-15,6.14
2008-10-16,5.95
2008-10-17,6.2
2008-10-20,6.37
2008-10-21,6.28
2008-10-22,5.9
2008-10-23,5.69
2008-10-24,4.89
2008-10-27,5.0
2008-10-28,5.28
2008-10-29,5.81
2008-10-30,6.3
2008-10-31,6.66
2008-11-03,6.53
2008-11-04,6.79
2008-11-05,6.63
2008-11-06,5.68
2008-11-07,6.76
2008-11-10,6.68
2008-11-11,6.57
2008-11-12,5.93
2008-11-13,6.49
2008-11-14,6.73
2008-11-17,6.29
2008-11-18,5.93
2008-11-19,5.88
2008-11-20,5.98
2008-11-21,6.16
2008-11-24,6.59
2008-11-25,6.36
2008-11-26,6.67
2008-11-28,7.57
2008-12-01,6.59
2008-12-02,6.55
2008-12-03,6.75
2008-12-04,6.2
2008-12-05,6.64
2008-12-08,7.11
2008-12-09,6.56
2008-12-10,6.47
2008-12-11,6.01
2008-12-12,6.26
2008-12-15,6.09
2008-12-16,6.22
2008-12-17,6.26
2008-12-18,6.69
2008-12-19,6.92
2008-12-22,6.61
2008-12-23,6.58
2008-12-24,6.55
2008-12-26,6.57
2008-12-29,6.57
2008-12-30,6.64
2008-12-31,6.7
2009-01-02,6.89
2009-01-05,7.04
2009-01-06,7.22
2009-01-07,6.9
2009-01-08,7.12
2009-01-09,7.2
2009-01-12,7.19
2009-01-13,7.39
2009-01-14,7.3
2009-01-15,7.24
2009-01-16,7.26
2009-01-20,6.71
2009-01-21,7.18
2009-01-22,7.2
2009-01-23,7.2
2009-01-26,7.09
2009-01-27,7.28
2009-01-28,7.3
2009-01-29,7.07
2009-01-30,7.19
2009-02-02,7.21
2009-02-03,7.09
2009-02-04,6.8
2009-02-05,6.68
2009-02-06,6.88
2009-02-09,6.88
2009-02-10,6.7
2009-02-11,6.78
2009-02-12,6.91
2009-02-13,6.89
2009-02-17,6.6
2009-02-18,6.49
2009-02-19,6.32
2009-02-20,6.13
2009-02-23,6.05
2009-02-24,6.34
2009-02-25,7.07
2009-02-26,7.02
2009-02-27,7.34
2009-03-02,7.26
2009-03-03,7.41
2009-03-04,7.25
2009-03-05,7.13
2009-03-06,6.99
2009-03-09,6.65
2009-03-10,7.01
2009-03-11,7.12
2009-03-12,7.6
2009-03-13,7.68
2009-03-16,7.62
2009-03-17,7.62
2009-03-18,7.63
2009-03-19,7.41
2009-03-20,7.25
2009-03-23,7.59
2009-03-24,7.42
2009-03-25,7.39
2009-03-26,7.53
2009-03-27,7.39
2009-03-30,7.31
2009-03-31,7.32
2009-04-01,7.76
2009-04-02,8.18
2009-04-03,8.31
2009-04-06,8.23
2009-04-07,7.68
2009-04-08,7.83
2009-04-09,8.14
2009-04-13,8.07
2009-04-14,7.86
2009-04-15,7.91
2009-04-16,8.35
2009-04-17,8.4
2009-04-20,8.26
2009-04-21,8.42
2009-04-22,8.61
2009-04-23,8.31
2009-04-24,8.41
2009-04-27,8.53
2009-04-28,8.51
2009-04-29,9.06
2009-04-30,8.76
2009-05-01,8.65
2009-05-04,9.4
2009-05-05,9.94
2009-05-06,9.87
2009-05-07,9.48
2009-05-08,9.47
2009-05-11,9.5
2009-05-12,9.09
2009-05-13,8.95
2009-05-14,9.03
2009-05-15,9.05
2009-05-18,9.39
2009-05-19,9.64
2009-05-20,10.2
2009-05-21,10.01
2009-05-22,10.1
2009-05-26,10.12
2009-05-27,10.03
2009-05-28,10.22
2009-05-29,10.42
2009-06-01,10.4
2009-06-02,10.44
2009-06-03,10.39
2009-06-04,10.27
2009-06-05,10.5
2009-06-08,10.68
2009-06-09,10.78
2009-06-10,10.52
2009-06-11,10.33
2009-06-12,10.09
2009-06-15,9.99
2009-06-16,9.64
2009-06-17,9.62
2009-06-18,9.64
2009-06-19,9.44
2009-06-22,9.21
2009-06-23,9.14
2009-06-24,9.39
2009-06-25,9.6
2009-06-26,10.61
2009-06-29,10.16
2009-06-30,10.27
2009-07-01,10.6
2009-07-02,10.2
2009-07-06,10.06
2009-07-07,9.94
2009-07-08,9.93
2009-07-09,10.2
2009-07-10,10.23
2009-07-13,10.2
2009-07-14,10.49
2009-07-15,10.8
2009-07-16,10.83
2009-07-17,10.65
2009-07-20,10.99
2009-07-21,10.94
2009-07-22,10.94
2009-07-23,11.02
2009-07-24,11.09
2009-07-27,11.03
2009-07-28,11.22
2009-07-29,11.04
2009-07-30,11.18
2009-07-31,11.2
2009-08-03,11.56
2009-08-04,11.47
2009-08-05,11.48
2009-08-06,11.48
2009-08-07,11.74
2009-08-10,11.67
2009-08-11,11.47
2009-08-12,11.59
2009-08-13,11.47
2009-08-14,11.41
2009-08-17,11.19
2009-08-18,11.34
2009-08-19,11.44
2009-08-20,11.56
2009-08-21,11.76
2009-08-24,11.82
2009-08-25,12.11
2009-08-26,12.1
2009-08-27,11.9
2009-08-28,11.7
2009-08-31,11.69
2009-09-01,11.61
2009-09-02,11.49
2009-09-03,11.59
2009-09-04,11.84
2009-09-08,12.05
2009-09-09,12.3
2009-09-10,12.82
2009-09-11,12.74
2009-09-14,12.7
2009-09-15,12.94
2009-09-16,13.23
2009-09-17,13.07
2009-09-18,13.2
2009-09-21,13.09
2009-09-22,13.18
2009-09-23,12.89
2009-09-24,12.77
2009-09-25,12.43
2009-09-28,12.73
2009-09-29,12.84
2009-09-30,13.02
2009-10-01,13.01
2009-10-02,13.05
2009-10-05,13.29
2009-10-06,13.58
2009-10-07,13.67
2009-10-08,13.99
2009-10-09,13.81
2009-10-12,13.77
2009-10-13,13.65
