Date,Price
2012-10-11,169.33
2012-10-12,167.98
2012-10-15,169.33
2012-10-16,170.45
2012-10-17,173.83
2012-10-18,173.6
2012-10-19,175.63
2012-10-22,173.83
2012-10-23,170.45
2012-10-24,171.13
2012-10-25,172.48
2012-10-26,173.38
2012-10-29,171.35
2012-10-30,174.28
2012-10-31,175.18
2012-11-01,179.23
2012-11-02,175.86
2012-11-05,176.53
2012-11-06,176.53
2012-11-07,174.73
2012-11-08,175.63
2012-11-09,174.73
2012-11-12,175.18
2012-11-13,176.08
2012-11-14,175.41
2012-11-15,175.41
2012-11-16,175.41
2012-11-19,175.86
2012-11-20,176.08
2012-11-21,177.43
2012-11-22,180.13
2012-11-23,182.16
2012-11-26,180.81
2012-11-27,181.94
2012-11-28,183.51
2012-11-29,182.84
2012-11-30,182.61
2012-12-03,181.94
2012-12-04,179.23
2012-12-05,179.23
2012-12-06,179.46
2012-12-07,181.03
2012-12-10,180.36
2012-12-11,185.54
2012-12-12,188.24
2012-12-13,190.72
2012-12-14,189.14
2012-12-17,189.14
2012-12-18,191.84
2012-12-19,189.14
2012-12-20,189.59
2012-12-21,192.74
2012-12-24,191.84
2012-12-25,191.84
2012-12-27,191.39
2012-12-28,192.2
2012-12-31,194.91
2013-01-01,194.91
2013-01-02,193.01
2013-01-03,192.11
2013-01-04,192.74
2013-01-07,191.03
2013-01-08,190.4
2013-01-09,190.4
2013-01-10,190.31
2013-01-11,190.04
2013-01-14,191.84
2013-01-15,192.74
2013-01-16,192.2
2013-01-17,192.29
2013-01-18,191.84
2013-01-21,193.01
2013-01-22,196.08
2013-01-23,197.07
2013-01-24,201.12
2013-01-25,201.39
2013-01-28,202.65
2013-01-29,197.97
2013-01-30,198.69
2013-01-31,200.76
2013-02-01,199.05
2013-02-04,196.98
2013-02-05,197.25
2013-02-06,196.08
2013-02-07,195.18
2013-02-08,197.25
2013-02-11,197.16
2013-02-12,197.34
2013-02-13,197.7
2013-02-14,194.54
2013-02-15,194.91
2013-02-18,194.18
2013-02-19,193.01
2013-02-20,185.54
2013-02-21,187.34
2013-02-22,189.14
2013-02-25,190.04
2013-02-26,190.31
2013-02-27,189.59
2013-02-28,190.04
2013-03-01,187.34
2013-03-04,185.99
2013-03-05,186.17
2013-03-06,188.7
2013-03-07,193.1
2013-03-08,196.1
2013-03-11,197.04
2013-03-12,196.94
2013-03-13,192.07
2013-03-14,193.01
2013-03-15,192.07
2013-03-18,191.79
2013-03-19,190.76
2013-03-20,193.95
2013-03-21,190.95
2013-03-22,191.79
2013-03-25,188.51
2013-03-26,189.26
2013-03-27,188.79
2013-03-28,190.95
2013-03-29,190.95
2013-04-01,190.95
2013-04-02,191.51
2013-04-03,191.13
2013-04-04,189.45
2013-04-05,185.7
2013-04-08,186.92
2013-04-09,187.48
2013-04-10,191.04
2013-04-11,191.88
2013-04-12,194.51
2013-04-15,193.95
2013-04-16,193.29
2013-04-17,191.88
2013-04-18,189.26
2013-04-19,189.92
2013-04-22,189.07
2013-04-23,188.98
2013-04-24,189.26
2013-04-25,187.01
2013-04-26,187.86
2013-04-29,187.29
2013-04-30,189.73
2013-05-01,191.23
2013-05-02,190.95
2013-05-03,188.89
2013-05-06,188.89
2013-05-07,187.39
2013-05-08,186.64
2013-05-09,186.07
2013-05-10,187.86
2013-05-13,187.48
2013-05-14,190.57
2013-05-15,192.16
2013-05-16,192.54
2013-05-17,195.35
2013-05-20,197.97
2013-05-21,198.72
2013-05-22,201.07
2013-05-23,197.6
2013-05-24,196.19
2013-05-27,196.19
2013-05-28,196.38
2013-05-29,193.01
2013-05-30,194.32
2013-05-31,198.63
2013-06-03,198.16
2013-06-04,199.94
2013-06-05,200.41
2013-06-06,198.16
2013-06-07,198.82
2013-06-10,199.85
2013-06-11,201.25
2013-06-12,200.6
2013-06-13,200.5
2013-06-14,198.82
2013-06-17,199.94
2013-06-18,201.82
2013-06-19,202.85
2013-06-20,199.85
2013-06-21,205.19
2013-06-24,204.25
2013-06-25,205.28
2013-06-26,213.06
2013-06-27,214.28
2013-06-28,218.31
2013-07-01,219.34
2013-07-02,216.06
2013-07-03,213.25
2013-07-04,212.96
2013-07-05,211.65
2013-07-08,214.65
2013-07-09,211.09
2013-07-10,211.09
2013-07-11,208.0
2013-07-12,211.47
2013-07-15,213.06
2013-07-16,211.56
2013-07-17,213.25
2013-07-18,212.4
2013-07-19,210.81
2013-07-22,210.81
2013-07-23,208.75
2013-07-24,210.44
2013-07-25,211.65
2013-07-26,211.65
2013-07-29,210.53
2013-07-30,211.56
2013-07-31,212.5
2013-08-01,215.03
2013-08-02,221.3
2013-08-05,217.93
2013-08-06,212.12
2013-08-07,207.81
2013-08-08,208.94
2013-08-09,207.34
2013-08-12,209.4
2013-08-13,217.65
2013-08-14,213.16
2013-08-15,206.29
2013-08-16,206.77
2013-08-19,207.06
2013-08-20,206.58
2013-08-21,204.96
2013-08-22,206.49
2013-08-23,207.06
2013-08-26,207.06
2013-08-27,203.24
2013-08-28,203.53
2013-08-29,206.58
2013-08-30,206.87
2013-09-02,206.2
2013-09-03,205.72
2013-09-04,206.01
2013-09-05,206.39
2013-09-06,205.72
2013-09-09,205.63
2013-09-10,208.97
2013-09-11,209.63
2013-09-12,209.73
2013-09-13,207.34
2013-09-16,206.87
2013-09-17,205.82
2013-09-18,207.82
2013-09-19,208.01
2013-09-20,200.38
2013-09-23,203.15
2013-09-24,203.24
2013-09-25,203.34
2013-09-26,202.0
2013-09-27,202.86
2013-09-30,203.43
2013-10-01,201.62
2013-10-02,200.76
2013-10-03,200.28
2013-10-04,199.9
2013-10-07,197.52
2013-10-08,199.42
2013-10-09,199.04
2013-10-10,200.28
2013-10-11,199.71
2013-10-14,200.38
2013-10-15,201.43
2013-10-16,202.48
2013-10-17,205.72
2013-10-18,208.58
2013-10-21,209.06
2013-10-22,209.92
2013-10-23,210.4
2013-10-24,210.87
2013-10-25,214.21
2013-10-28,213.45
2013-10-29,215.65
2013-10-30,216.79
2013-10-31,214.69
2013-11-01,218.03
2013-11-04,216.98
2013-11-05,215.84
2013-11-06,218.79
2013-11-07,219.56
2013-11-08,219.37
2013-11-11,222.9
2013-11-12,222.04
2013-11-13,218.7
2013-11-14,220.7
2013-11-15,221.56
2013-11-18,224.33
2013-11-19,225.66
2013-11-20,221.37
2013-11-21,219.84
2013-11-22,222.33
2013-11-25,222.52
2013-11-26,221.56
2013-11-27,218.99
2013-11-28,220.13
2013-11-29,224.42
2013-12-02,220.61
2013-12-03,218.41
2013-12-04,211.26
2013-12-05,213.55
2013-12-06,213.26
2013-12-09,215.45
2013-12-10,218.32
2013-12-11,217.65
2013-12-12,218.41
2013-12-13,218.99
2013-12-16,221.94
2013-12-17,220.32
2013-12-18,223.57
2013-12-19,228.05
2013-12-20,232.15
2013-12-23,233.97
2013-12-24,234.63
2013-12-25,234.63
2013-12-26,234.63
2013-12-27,235.02
2013-12-30,235.49
2013-12-31,238.16
2014-01-01,238.16
2014-01-02,234.54
2014-01-03,235.11
2014-01-06,235.4
2014-01-07,233.68
2014-01-08,235.11
2014-01-09,236.16
2014-01-10,237.11
2014-01-13,237.69
2014-01-14,239.12
2014-01-15,240.65
2014-01-16,243.7
2014-01-17,254.39
2014-01-20,254.58
2014-01-21,252.86
2014-01-22,254.96
2014-01-23,253.34
2014-01-24,248.85
2014-01-27,245.7
2014-01-28,252.95
2014-01-29,253.62
2014-01-30,255.63
2014-01-31,252.67
2014-02-03,251.14
2014-02-04,249.71
2014-02-05,246.47
2014-02-06,249.14
2014-02-07,248.09
2014-02-10,247.52
2014-02-11,247.8
2014-02-12,246.18
2014-02-13,245.51
2014-02-14,246.47
2014-02-17,245.7
2014-02-18,246.94
2014-02-19,246.75
2014-02-20,247.9
2014-02-21,248.85
2014-02-24,250.38
2014-02-25,249.04
2014-02-26,250.95
2014-02-27,246.18
2014-02-28,252.38
2014-03-03,249.33
2014-03-04,252.1
2014-03-05,253.24
2014-03-06,255.63
2014-03-07,253.05
2014-03-10,255.72
2014-03-11,254.96
2014-03-12,251.12
2014-03-13,249.64
2014-03-14,244.42
2014-03-17,244.81
2014-03-18,246.19
2014-03-19,247.77
2014-03-20,244.61
2014-03-21,239.98
2014-03-24,238.9
2014-03-25,240.38
2014-03-26,239.89
2014-03-27,240.08
2014-03-28,237.91
2014-03-31,233.97
2014-04-01,236.73
2014-04-02,240.38
2014-04-03,240.18
2014-04-04,241.17
2014-04-07,238.41
2014-04-08,235.26
2014-04-09,229.94
2014-04-10,231.41
2014-04-11,228.16
2014-04-14,226.88
2014-04-15,229.64
2014-04-16,232.4
2014-04-17,235.94
2014-04-18,235.94
2014-04-21,235.94
2014-04-22,236.44
2014-04-23,238.7
2014-04-24,239.39
2014-04-25,237.62
2014-04-28,239.59
2014-04-29,242.35
2014-04-30,246.58
2014-05-01,244.12
2014-05-02,245.3
2014-05-05,245.3
2014-05-06,245.3
2014-05-07,244.71
2014-05-08,245.8
2014-05-09,244.91
2014-05-12,245.8
2014-05-13,246.68
2014-05-14,244.81
2014-05-15,240.97
2014-05-16,238.7
2014-05-19,238.7
2014-05-20,239.29
2014-05-21,240.18
2014-05-22,238.7
2014-05-23,239.39
2014-05-26,239.39
2014-05-27,241.17
2014-05-28,243.04
2014-05-29,247.27
2014-05-30,249.54
2014-06-02,254.07
2014-06-03,250.72
2014-06-04,252.5
2014-06-05,254.37
2014-06-06,256.83
2014-06-09,257.52
2014-06-10,254.37
2014-06-11,256.24
2014-06-12,260.57
2014-06-13,260.38
2014-06-16,259.88
2014-06-17,259.69
2014-06-18,260.87
