Date,Price
1990-01-02,9.43
1990-01-03,9.61
1990-01-04,9.45
1990-01-05,9.4
1990-01-08,9.35
1990-01-09,9.19
1990-01-10,9.09
1990-01-11,9.09
1990-01-12,8.87
1990-01-15,8.68
1990-01-16,8.89
1990-01-17,8.71
1990-01-18,8.73
1990-01-19,8.82
1990-01-22,8.52
1990-01-23,8.5
1990-01-24,8.53
1990-01-25,8.34
1990-01-26,8.34
1990-01-29,8.31
1990-01-30,8.42
1990-01-31,8.2
1990-02-01,8.07
1990-02-02,8.18
1990-02-05,8.12
1990-02-06,8.15
1990-02-07,8.16
1990-02-08,8.07
1990-02-09,8.18
1990-02-12,8.08
1990-02-13,8.08
1990-02-14,8.12
1990-02-15,8.2
1990-02-16,8.2
1990-02-20,8.08
1990-02-21,8.05
1990-02-22,8.07
1990-02-23,8.08
1990-02-26,8.15
1990-02-27,8.16
1990-02-28,8.28
1990-03-01,8.44
1990-03-02,8.5
1990-03-05,8.41
1990-03-06,8.5
1990-03-07,8.53
1990-03-08,8.6
1990-03-09,8.58
1990-03-12,8.58
1990-03-13,8.44
1990-03-14,8.39
1990-03-15,8.45
1990-03-16,8.71
1990-03-19,8.84
1990-03-20,8.84
1990-03-21,8.73
1990-03-22,8.6
1990-03-23,8.65
1990-03-26,8.67
1990-03-27,8.67
1990-03-28,8.67
1990-03-29,8.58
1990-03-30,8.52
1990-04-02,8.44
1990-04-03,8.63
1990-04-04,8.49
1990-04-05,8.52
1990-04-06,8.5
1990-04-09,8.49
1990-04-10,8.55
1990-04-11,8.45
1990-04-12,8.44
1990-04-16,8.5
1990-04-17,8.52
1990-04-18,8.29
1990-04-19,8.1
1990-04-20,8.07
1990-04-23,7.97
1990-04-24,7.9
1990-04-25,7.95
1990-04-26,8.07
1990-04-27,8.0
1990-04-30,8.0
1990-05-01,7.92
1990-05-02,7.87
1990-05-03,7.9
1990-05-04,7.94
1990-05-07,8.03
1990-05-08,8.07
1990-05-09,8.21
1990-05-10,8.23
1990-05-11,8.31
1990-05-14,8.41
1990-05-15,8.49
1990-05-16,8.44
1990-05-17,8.52
1990-05-18,8.47
1990-05-21,8.39
1990-05-22,8.37
1990-05-23,8.34
1990-05-24,8.26
1990-05-25,8.18
1990-05-29,8.36
1990-05-30,8.23
1990-05-31,8.07
1990-06-01,8.11
1990-06-04,8.36
1990-06-05,8.47
1990-06-06,8.45
1990-06-07,8.45
1990-06-08,8.34
1990-06-11,8.31
1990-06-12,8.34
1990-06-13,8.24
1990-06-14,8.16
1990-06-15,8.16
1990-06-18,8.07
1990-06-19,8.07
1990-06-20,7.92
1990-06-21,7.9
1990-06-22,7.9
1990-06-25,7.71
1990-06-26,7.51
1990-06-27,7.47
1990-06-28,7.55
1990-06-29,7.5
1990-07-02,7.5
1990-07-03,7.55
1990-07-05,7.4
1990-07-06,7.43
1990-07-09,7.37
1990-07-10,7.25
1990-07-11,7.61
1990-07-12,7.68
1990-07-13,7.81
1990-07-16,7.83
1990-07-17,7.78
1990-07-18,7.71
1990-07-19,7.74
1990-07-20,7.78
1990-07-23,7.61
1990-07-24,6.86
1990-07-25,6.81
1990-07-26,6.88
1990-07-27,6.91
1990-07-30,6.89
1990-07-31,6.76
1990-08-01,6.61
1990-08-02,6.29
1990-08-03,6.42
1990-08-06,5.94
1990-08-07,6.02
1990-08-08,5.98
1990-08-09,6.11
1990-08-10,5.93
1990-08-13,5.94
1990-08-14,5.81
1990-08-15,5.89
1990-08-16,5.78
1990-08-17,5.65
1990-08-20,5.66
1990-08-21,5.78
1990-08-22,5.6
1990-08-23,5.39
1990-08-24,5.47
1990-08-27,5.63
1990-08-28,5.5
1990-08-29,5.57
1990-08-30,5.37
1990-08-31,5.5
1990-09-04,5.6
1990-09-05,5.42
1990-09-06,5.42
1990-09-07,5.42
1990-09-10,5.35
1990-09-11,5.47
1990-09-12,5.42
1990-09-13,5.32
1990-09-14,5.3
1990-09-17,5.3
1990-09-18,5.34
1990-09-19,5.19
1990-09-20,5.09
1990-09-21,5.17
1990-09-24,5.06
1990-09-25,5.04
1990-09-26,4.98
1990-09-27,5.03
1990-09-28,5.19
1990-10-01,5.63
1990-10-02,5.61
1990-10-03,5.71
1990-10-04,5.73
1990-10-05,5.69
1990-10-08,5.61
1990-10-09,5.33
1990-10-10,5.24
1990-10-11,5.19
1990-10-12,5.33
1990-10-15,5.38
1990-10-16,5.24
1990-10-17,5.24
1990-10-18,5.54
1990-10-19,5.63
1990-10-22,5.71
1990-10-23,5.79
1990-10-24,5.88
1990-10-25,5.79
1990-10-26,5.51
1990-10-29,5.49
1990-10-30,5.56
1990-10-31,5.58
1990-11-01,5.56
1990-11-02,5.68
1990-11-05,5.66
1990-11-06,5.64
1990-11-07,5.38
1990-11-08,5.44
1990-11-09,5.69
1990-11-12,5.81
1990-11-13,5.73
1990-11-14,6.03
1990-11-15,5.91
1990-11-16,5.89
1990-11-19,5.94
1990-11-20,5.89
1990-11-21,5.94
1990-11-23,6.03
1990-11-26,5.99
1990-11-27,6.01
1990-11-28,6.03
1990-11-29,5.91
1990-11-30,6.16
1990-12-03,6.14
1990-12-04,6.06
1990-12-05,6.19
1990-12-06,6.29
1990-12-07,6.19
1990-12-10,6.41
1990-12-11,6.26
1990-12-12,6.23
1990-12-13,6.36
1990-12-14,6.28
1990-12-17,6.26
1990-12-18,6.34
1990-12-19,6.41
1990-12-20,6.34
1990-12-21,6.23
1990-12-24,6.16
1990-12-26,6.18
1990-12-27,6.13
1990-12-28,6.26
1990-12-31,6.41
1991-01-02,6.35
1991-01-03,6.16
1991-01-04,6.21
1991-01-07,6.11
1991-01-08,6.09
1991-01-09,6.03
1991-01-10,6.21
1991-01-11,6.28
1991-01-14,6.11
1991-01-15,6.14
1991-01-16,6.08
1991-01-17,6.58
1991-01-18,6.68
1991-01-21,6.58
1991-01-22,6.45
1991-01-23,6.33
1991-01-24,6.62
1991-01-25,6.79
1991-01-28,6.73
1991-01-29,6.84
1991-01-30,7.01
1991-01-31,7.11
1991-02-01,6.89
1991-02-04,6.87
1991-02-05,7.11
1991-02-06,7.11
1991-02-07,6.94
1991-02-08,6.97
1991-02-11,7.19
1991-02-12,7.31
1991-02-13,7.51
1991-02-14,7.41
1991-02-15,7.46
1991-02-19,7.44
1991-02-20,7.11
1991-02-21,7.17
1991-02-22,7.11
1991-02-25,7.24
1991-02-26,7.19
1991-02-27,7.14
1991-02-28,7.21
1991-03-01,7.33
1991-03-04,7.33
1991-03-05,7.46
1991-03-06,7.43
1991-03-07,7.33
1991-03-08,7.16
1991-03-11,6.99
1991-03-12,7.09
1991-03-13,7.12
1991-03-14,7.19
1991-03-15,7.17
1991-03-18,6.92
1991-03-19,6.79
1991-03-20,6.72
1991-03-21,6.65
1991-03-22,6.53
1991-03-25,6.57
1991-03-26,6.64
1991-03-27,6.76
1991-03-28,6.67
1991-04-01,6.62
1991-04-02,6.77
1991-04-03,6.94
1991-04-04,6.91
1991-04-05,6.67
1991-04-08,6.84
1991-04-09,6.67
1991-04-10,6.43
1991-04-11,6.43
1991-04-12,6.47
1991-04-15,6.84
1991-04-16,6.65
1991-04-17,6.98
1991-04-18,7.08
1991-04-19,6.93
1991-04-22,6.81
1991-04-23,6.76
1991-04-24,6.81
1991-04-25,6.74
1991-04-26,6.72
1991-04-29,6.71
