Date,Price
2000-11-20,12.95
2000-11-21,13.93
2000-11-22,13.92
2000-11-23,13.94
2000-11-24,13.62
2000-11-27,13.74
2000-11-28,13.44
2000-11-29,13.38
2000-11-30,13.48
2000-12-01,13.62
2000-12-04,13.65
2000-12-05,13.93
2000-12-06,13.92
2000-12-07,14.06
2000-12-08,14.29
2000-12-11,14.16
2000-12-12,13.92
2000-12-13,14.08
2000-12-14,13.93
2000-12-15,13.5
2000-12-18,13.74
2000-12-19,13.71
2000-12-20,13.67
2000-12-21,13.62
2000-12-22,13.71
2000-12-27,13.56
2000-12-28,13.83
2000-12-29,13.95
2001-01-02,14.52
2001-01-03,14.38
2001-01-04,14.16
2001-01-08,13.98
2001-01-09,13.95
2001-01-10,13.83
2001-01-11,13.62
2001-01-12,13.41
2001-01-15,13.37
2001-01-16,13.48
2001-01-17,13.71
2001-01-18,13.69
2001-01-19,13.48
2001-01-22,13.64
2001-01-23,13.61
2001-01-24,13.52
2001-01-25,13.41
2001-01-26,13.52
2001-01-29,13.95
2001-01-30,14.07
2001-01-31,14.08
2001-02-01,14.4
2001-02-02,14.64
2001-02-05,14.6
2001-02-06,14.62
2001-02-07,14.47
2001-02-08,14.18
2001-02-09,14.27
2001-02-12,14.24
2001-02-13,14.28
2001-02-14,14.12
2001-02-16,14.1
2001-02-19,13.99
2001-02-20,13.95
2001-02-21,14.03
2001-02-22,14.52
2001-02-23,14.22
2001-02-26,14.01
2001-02-27,14.04
2001-02-28,14.16
2001-03-01,13.92
2001-03-02,13.71
2001-03-05,13.71
2001-03-06,13.49
2001-03-07,13.53
2001-03-08,13.77
2001-03-09,13.87
2001-03-12,13.76
2001-03-13,13.8
2001-03-15,13.62
2001-03-16,9.76
2001-03-19,13.25
2001-03-20,12.59
2001-03-21,12.07
2001-03-22,11.68
2001-03-23,11.57
2001-03-26,12.06
2001-03-27,11.92
2001-03-28,12.1
2001-03-29,12.21
2001-03-30,11.74
2001-04-02,11.6
2001-04-03,11.44
2001-04-04,10.9
2001-04-05,10.85
2001-04-06,11.18
2001-04-09,11.6
2001-04-10,11.5
2001-04-11,11.2
2001-04-12,11.2
2001-04-17,11.11
2001-04-18,11.16
2001-04-19,11.38
2001-04-20,11.31
2001-04-23,11.12
2001-04-24,11.15
2001-04-25,11.26
2001-04-26,11.26
2001-04-27,11.42
2001-04-30,11.64
2001-05-02,11.03
2001-05-03,10.92
2001-05-04,10.89
2001-05-08,10.89
2001-05-09,10.68
2001-05-11,11.11
2001-05-14,11.13
2001-05-15,11.26
2001-05-16,11.38
2001-05-17,11.31
2001-05-18,11.19
2001-05-21,11.38
2001-05-22,11.38
2001-05-23,11.3
2001-05-24,11.17
2001-05-25,11.17
2001-05-28,11.2
2001-05-29,10.9
2001-05-30,10.95
2001-05-31,11.01
2001-06-01,10.91
2001-06-04,11.08
2001-06-05,11.37
2001-06-06,11.5
2001-06-07,11.48
2001-06-08,11.23
2001-06-11,11.08
2001-06-12,11.03
2001-06-13,10.97
2001-06-14,10.82
2001-06-18,10.85
2001-06-19,11.03
2001-06-20,11.08
2001-06-21,11.09
2001-06-22,10.93
2001-06-25,11.08
2001-06-26,11.11
2001-06-27,11.49
2001-06-28,11.51
2001-06-29,11.6
2001-07-02,11.61
2001-07-03,11.98
2001-07-04,11.92
