Date,Price
1995-05-09,4.69
1995-05-10,5.0
1995-05-11,5.12
1995-05-12,5.06
1995-05-15,5.06
1995-05-16,5.06
1995-05-17,4.94
1995-05-18,5.0
1995-05-19,5.0
1995-05-22,5.36
1995-05-23,5.42
1995-05-24,5.3
1995-05-25,5.18
1995-05-26,5.24
1995-05-30,5.36
1995-05-31,5.3
1995-06-01,5.24
1995-06-02,5.18
1995-06-05,5.3
1995-06-06,5.3
1995-06-07,5.3
1995-06-08,5.36
1995-06-09,5.3
1995-06-12,5.3
1995-06-13,5.36
1995-06-14,5.36
1995-06-15,5.42
1995-06-16,5.36
1995-06-19,5.48
1995-06-20,5.42
1995-06-21,5.24
1995-06-22,5.18
1995-06-23,5.24
1995-06-26,5.18
1995-06-27,5.36
1995-06-28,5.42
1995-06-29,5.36
1995-06-30,5.24
1995-07-03,5.3
1995-07-05,5.36
1995-07-06,5.24
1995-07-07,5.36
1995-07-10,5.18
1995-07-11,5.18
1995-07-12,5.06
1995-07-13,5.06
1995-07-14,5.06
1995-07-17,5.0
1995-07-18,5.06
1995-07-19,5.0
1995-07-20,5.0
1995-07-21,5.0
1995-07-24,5.12
1995-07-25,5.12
1995-07-26,5.18
1995-07-27,5.24
1995-07-28,5.12
1995-07-31,5.24
1995-08-01,5.06
1995-08-02,5.06
1995-08-03,5.06
1995-08-04,4.94
1995-08-07,5.06
1995-08-08,5.06
1995-08-09,4.94
1995-08-10,4.81
1995-08-11,4.75
1995-08-14,4.75
1995-08-15,4.75
1995-08-16,4.81
1995-08-17,4.94
1995-08-18,5.12
1995-08-21,4.94
1995-08-22,5.3
1995-08-23,5.12
1995-08-24,5.06
1995-08-25,5.0
1995-08-28,5.0
1995-08-29,4.94
1995-08-30,4.87
1995-08-31,4.94
1995-09-01,4.81
1995-09-05,4.87
1995-09-06,5.24
1995-09-07,5.24
1995-09-08,5.42
1995-09-11,5.6
1995-09-12,5.6
1995-09-13,5.54
1995-09-14,5.54
1995-09-15,5.3
1995-09-18,5.36
1995-09-19,5.48
1995-09-20,5.3
1995-09-21,5.3
1995-09-22,5.3
1995-09-25,5.48
1995-09-26,5.54
1995-09-27,5.54
1995-09-28,5.6
1995-09-29,5.54
1995-10-02,5.54
1995-10-03,5.54
1995-10-04,5.36
1995-10-05,5.5
1995-10-06,5.5
1995-10-09,5.56
1995-10-10,5.62
1995-10-11,5.62
1995-10-12,5.68
1995-10-13,5.62
1995-10-16,5.62
1995-10-17,5.56
1995-10-18,5.56
1995-10-19,5.68
1995-10-20,5.68
1995-10-23,5.74
1995-10-24,5.68
1995-10-25,5.62
1995-10-26,5.5
1995-10-27,5.44
1995-10-30,5.5
1995-10-31,5.5
1995-11-01,5.5
1995-11-02,5.68
1995-11-03,5.68
1995-11-06,5.68
1995-11-07,5.68
1995-11-08,5.74
1995-11-09,5.74
1995-11-10,5.62
1995-11-13,5.62
1995-11-14,5.5
1995-11-15,5.68
1995-11-16,5.56
1995-11-17,5.56
1995-11-20,5.62
1995-11-21,5.56
1995-11-22,5.44
1995-11-24,5.44
1995-11-27,5.56
1995-11-28,5.68
1995-11-29,5.68
1995-11-30,5.56
1995-12-01,5.68
1995-12-04,5.68
1995-12-05,5.68
1995-12-06,5.68
1995-12-07,5.62
1995-12-08,5.56
1995-12-11,5.62
1995-12-12,5.62
1995-12-13,5.62
1995-12-14,5.86
1995-12-15,5.68
1995-12-18,5.74
1995-12-19,5.8
1995-12-20,5.68
1995-12-21,5.68
1995-12-22,5.56
1995-12-26,5.62
1995-12-27,5.62
1995-12-28,5.62
1995-12-29,5.74
1996-01-02,5.68
1996-01-03,5.62
1996-01-04,5.56
1996-01-05,5.44
1996-01-08,5.5
1996-01-09,5.38
1996-01-10,5.25
1996-01-11,5.38
1996-01-12,5.68
1996-01-15,5.62
1996-01-16,5.68
1996-01-17,5.62
1996-01-18,5.56
1996-01-19,5.62
1996-01-22,5.68
1996-01-23,5.62
1996-01-24,5.74
1996-01-25,5.68
1996-01-26,5.62
1996-01-29,5.56
1996-01-30,5.56
1996-01-31,5.56
1996-02-01,5.56
1996-02-02,5.68
1996-02-05,5.8
1996-02-06,5.92
1996-02-07,6.16
1996-02-08,6.22
1996-02-09,6.16
1996-02-12,6.22
1996-02-13,5.92
1996-02-14,6.04
1996-02-15,6.04
1996-02-16,6.04
1996-02-20,5.86
1996-02-21,6.04
1996-02-22,6.04
1996-02-23,5.98
1996-02-26,5.92
1996-02-27,6.04
1996-02-28,6.04
1996-02-29,5.98
1996-03-01,6.04
1996-03-04,6.16
1996-03-05,6.16
1996-03-06,6.16
1996-03-07,6.1
1996-03-08,6.1
1996-03-11,6.28
1996-03-12,6.28
1996-03-13,6.34
1996-03-14,6.28
1996-03-15,6.4
1996-03-18,6.58
1996-03-19,6.58
1996-03-20,6.4
1996-03-21,6.34
1996-03-22,6.4
1996-03-25,6.34
1996-03-26,6.58
1996-03-27,6.4
1996-03-28,6.34
1996-03-29,6.52
1996-04-01,6.52
1996-04-02,6.34
1996-04-03,6.46
1996-04-04,6.58
1996-04-08,6.59
1996-04-09,6.65
1996-04-10,6.59
1996-04-11,6.41
1996-04-12,6.41
1996-04-15,6.47
1996-04-16,6.47
1996-04-17,6.47
1996-04-18,6.53
1996-04-19,6.71
1996-04-22,6.65
1996-04-23,6.53
1996-04-24,6.59
1996-04-25,6.41
1996-04-26,6.41
1996-04-29,6.47
1996-04-30,6.65
1996-05-01,6.65
1996-05-02,6.59
1996-05-03,6.47
1996-05-06,6.35
1996-05-07,6.23
1996-05-08,6.17
1996-05-09,5.75
1996-05-10,5.69
1996-05-13,5.81
1996-05-14,5.75
1996-05-15,5.57
1996-05-16,5.69
1996-05-17,5.75
1996-05-20,5.81
1996-05-21,5.75
1996-05-22,5.69
1996-05-23,5.69
1996-05-24,5.69
1996-05-28,5.63
1996-05-29,5.69
1996-05-30,5.75
1996-05-31,5.75
1996-06-03,5.81
1996-06-04,5.81
1996-06-05,5.75
1996-06-06,5.75
1996-06-07,5.75
1996-06-10,5.69
1996-06-11,5.63
1996-06-12,5.63
1996-06-13,5.5
1996-06-14,5.44
1996-06-17,5.26
1996-06-18,5.5
1996-06-19,5.32
1996-06-20,5.38
1996-06-21,5.32
1996-06-24,5.2
1996-06-25,5.08
1996-06-26,5.14
1996-06-27,5.2
1996-06-28,5.2
1996-07-01,5.08
1996-07-02,5.14
1996-07-03,5.2
1996-07-05,4.96
1996-07-08,4.84
1996-07-09,4.84
1996-07-10,4.84
1996-07-11,4.78
1996-07-12,4.54
1996-07-15,4.54
1996-07-16,4.36
1996-07-17,4.36
1996-07-18,4.36
1996-07-19,4.36
1996-07-22,4.23
1996-07-23,4.23
1996-07-24,4.23
1996-07-25,4.11
1996-07-26,4.11
1996-07-29,3.99
1996-07-30,3.87
1996-07-31,3.81
1996-08-01,3.69
1996-08-02,3.99
1996-08-05,3.99
1996-08-06,4.05
1996-08-07,3.99
1996-08-08,3.93
1996-08-09,4.05
1996-08-12,3.87
1996-08-13,3.87
1996-08-14,3.99
1996-08-15,3.93
1996-08-16,3.99
1996-08-19,3.93
1996-08-20,3.93
1996-08-21,3.81
1996-08-22,3.81
1996-08-23,3.87
1996-08-26,3.81
1996-08-27,3.93
1996-08-28,3.87
1996-08-29,3.87
1996-08-30,3.87
1996-09-03,3.81
1996-09-04,3.87
1996-09-05,3.81
1996-09-06,3.75
1996-09-09,3.81
1996-09-10,3.81
1996-09-11,3.87
1996-09-12,4.05
1996-09-13,4.05
1996-09-16,4.05
1996-09-17,4.17
1996-09-18,4.11
1996-09-19,4.11
1996-09-20,3.99
1996-09-23,4.17
1996-09-24,4.29
1996-09-25,4.23
1996-09-26,4.17
1996-09-27,4.23
1996-09-30,4.17
1996-10-01,4.17
1996-10-02,4.17
1996-10-03,4.11
1996-10-04,4.05
1996-10-07,4.05
1996-10-08,4.07
1996-10-09,4.01
1996-10-10,3.95
1996-10-11,4.13
1996-10-14,4.07
1996-10-15,4.07
1996-10-16,4.13
1996-10-17,4.13
1996-10-18,4.32
1996-10-21,4.38
1996-10-22,4.38
1996-10-23,4.38
1996-10-24,4.32
1996-10-25,4.32
1996-10-28,4.25
1996-10-29,4.25
1996-10-30,4.25
1996-10-31,4.07
1996-11-01,4.01
1996-11-04,4.13
1996-11-05,4.13
1996-11-06,4.13
1996-11-07,4.13
1996-11-08,4.19
1996-11-11,4.07
1996-11-12,4.19
1996-11-13,4.19
1996-11-14,4.19
1996-11-15,4.13
1996-11-18,4.13
1996-11-19,4.13
1996-11-20,4.19
1996-11-21,4.19
1996-11-22,4.13
1996-11-25,4.19
1996-11-26,4.25
1996-11-27,4.19
1996-11-29,4.19
1996-12-02,4.19
1996-12-03,4.32
1996-12-04,4.19
1996-12-05,4.25
1996-12-06,4.32
1996-12-09,4.38
1996-12-10,4.32
1996-12-11,4.32
1996-12-12,4.19
1996-12-13,4.32
1996-12-16,4.25
1996-12-17,4.32
1996-12-18,4.5
1996-12-19,4.44
1996-12-20,4.38
1996-12-23,4.44
1996-12-24,4.38
1996-12-26,4.32
1996-12-27,4.38
1996-12-30,4.32
1996-12-31,4.25
1997-01-02,4.13
1997-01-03,4.13
1997-01-06,4.07
1997-01-07,4.07
1997-01-08,3.95
1997-01-09,4.01
1997-01-10,3.83
1997-01-13,3.95
1997-01-14,3.95
1997-01-15,3.95
1997-01-16,3.83
1997-01-17,3.77
1997-01-20,3.83
1997-01-21,3.83
1997-01-22,3.83
1997-01-23,3.83
1997-01-24,3.71
1997-01-27,3.65
1997-01-28,3.59
1997-01-29,3.59
1997-01-30,3.59
1997-01-31,3.53
1997-02-03,3.59
1997-02-04,3.59
1997-02-05,3.59
1997-02-06,3.53
1997-02-07,3.53
1997-02-10,3.46
1997-02-11,3.53
1997-02-12,3.53
1997-02-13,3.53
1997-02-14,3.46
1997-02-18,3.46
1997-02-19,3.4
1997-02-20,3.4
1997-02-21,3.4
1997-02-24,3.4
1997-02-25,3.46
1997-02-26,3.46
1997-02-27,3.46
1997-02-28,3.53
1997-03-03,3.46
1997-03-04,3.34
1997-03-05,3.4
1997-03-06,3.34
1997-03-07,3.46
1997-03-10,3.59
