Date,Price
1990-01-02,7.81
1990-01-03,7.74
1990-01-04,7.62
1990-01-05,7.45
1990-01-08,7.49
1990-01-09,7.35
1990-01-10,7.37
1990-01-11,7.45
1990-01-12,7.25
1990-01-15,7.28
1990-01-16,7.32
1990-01-17,7.28
1990-01-18,7.3
1990-01-19,7.25
1990-01-22,7.13
1990-01-23,7.28
1990-01-24,7.15
1990-01-25,7.13
1990-01-26,7.18
1990-01-29,7.15
1990-01-30,7.18
1990-01-31,7.32
1990-02-01,7.28
1990-02-02,7.32
1990-02-05,7.35
1990-02-06,7.35
1990-02-07,7.49
1990-02-08,7.49
1990-02-09,7.59
1990-02-12,7.49
1990-02-13,7.47
1990-02-14,7.54
1990-02-15,7.49
1990-02-16,7.35
1990-02-20,7.23
1990-02-21,7.3
1990-02-22,7.18
1990-02-23,7.23
1990-02-26,7.3
1990-02-27,7.35
1990-02-28,7.4
1990-03-01,7.45
1990-03-02,7.52
1990-03-05,7.49
1990-03-06,7.59
1990-03-07,7.62
1990-03-08,7.64
1990-03-09,7.49
1990-03-12,7.47
1990-03-13,7.4
1990-03-14,7.37
1990-03-15,7.4
1990-03-16,7.45
1990-03-19,7.37
1990-03-20,7.37
1990-03-21,7.37
1990-03-22,7.37
1990-03-23,7.37
1990-03-26,7.35
1990-03-27,7.42
1990-03-28,7.45
1990-03-29,7.45
1990-03-30,7.35
1990-04-02,7.37
1990-04-03,7.47
1990-04-04,7.35
1990-04-05,7.37
1990-04-06,7.35
1990-04-09,7.42
1990-04-10,7.37
1990-04-11,7.35
1990-04-12,7.4
1990-04-16,7.42
1990-04-17,7.4
1990-04-18,7.33
1990-04-19,7.28
1990-04-20,7.13
1990-04-23,7.08
1990-04-24,7.1
1990-04-25,7.13
1990-04-26,7.18
1990-04-27,7.13
1990-04-30,7.08
1990-05-01,7.2
1990-05-02,7.23
1990-05-03,7.3
1990-05-04,7.45
1990-05-07,7.47
1990-05-08,7.6
1990-05-09,7.6
1990-05-10,7.62
1990-05-11,7.79
1990-05-14,7.77
1990-05-15,7.67
1990-05-16,7.65
1990-05-17,7.6
1990-05-18,7.57
1990-05-21,7.55
1990-05-22,7.57
1990-05-23,7.55
1990-05-24,7.57
1990-05-25,7.47
1990-05-29,7.57
1990-05-30,7.57
1990-05-31,7.52
1990-06-01,7.62
1990-06-04,7.77
1990-06-05,7.72
1990-06-06,7.67
1990-06-07,7.67
1990-06-08,7.62
1990-06-11,7.67
1990-06-12,7.77
1990-06-13,7.7
1990-06-14,7.65
1990-06-15,7.6
1990-06-18,7.5
1990-06-19,7.55
1990-06-20,7.52
1990-06-21,7.55
1990-06-22,7.57
1990-06-25,7.55
1990-06-26,7.55
1990-06-27,7.6
1990-06-28,7.58
1990-06-29,7.53
1990-07-02,7.53
1990-07-03,7.55
1990-07-05,7.43
1990-07-06,7.55
1990-07-09,7.5
1990-07-10,7.43
1990-07-11,7.48
1990-07-12,7.53
1990-07-13,7.58
1990-07-16,7.58
1990-07-17,7.53
1990-07-18,7.55
1990-07-19,7.5
1990-07-20,7.43
1990-07-23,7.38
1990-07-24,7.45
1990-07-25,7.43
1990-07-26,7.43
