Date,Price
2000-01-03,4.74
2000-01-04,4.64
2000-01-05,4.71
2000-01-06,4.77
2000-01-07,4.8
2000-01-10,4.92
2000-01-11,5.01
2000-01-12,5.03
2000-01-13,4.98
2000-01-14,4.85
2000-01-17,4.68
2000-01-18,4.67
2000-01-19,4.71
2000-01-20,4.93
2000-01-21,4.8
2000-01-24,4.73
2000-01-25,4.56
2000-01-26,4.52
2000-01-27,4.37
2000-01-28,4.41
2000-01-31,4.2
2000-02-01,4.17
2000-02-02,4.12
2000-02-03,4.02
2000-02-04,4.1
2000-02-07,4.05
2000-02-08,4.16
2000-02-09,4.14
2000-02-10,4.31
2000-02-11,4.37
2000-02-14,4.34
2000-02-15,4.5
2000-02-16,4.66
2000-02-17,4.74
2000-02-18,4.7
2000-02-21,4.64
2000-02-22,5.15
2000-02-23,5.2
2000-02-24,4.94
2000-02-25,4.71
2000-02-28,4.56
2000-02-29,4.6
2000-03-01,4.66
2000-03-02,4.77
2000-03-03,4.74
2000-03-06,4.67
2000-03-07,4.45
2000-03-08,4.34
2000-03-09,4.41
2000-03-10,4.25
2000-03-13,4.31
2000-03-14,4.42
2000-03-15,4.73
2000-03-16,4.86
2000-03-17,4.73
2000-03-20,4.69
2000-03-21,4.94
2000-03-22,4.78
2000-03-23,4.72
2000-03-24,4.96
2000-03-27,5.02
2000-03-28,5.09
2000-03-29,5.08
2000-03-30,5.1
2000-03-31,5.22
2000-04-03,5.23
2000-04-04,5.15
2000-04-05,5.12
2000-04-06,4.95
2000-04-07,5.08
2000-04-10,5.1
2000-04-11,5.33
2000-04-12,5.4
2000-04-13,5.34
2000-04-14,5.2
2000-04-17,5.24
2000-04-18,5.33
2000-04-19,5.31
2000-04-20,5.23
2000-04-21,5.23
2000-04-24,5.23
2000-04-25,5.26
2000-04-26,5.24
2000-04-27,5.27
2000-04-28,5.41
2000-05-01,5.41
2000-05-02,5.39
2000-05-03,5.38
2000-05-04,5.39
2000-05-05,5.43
2000-05-08,5.43
2000-05-09,5.43
2000-05-10,5.54
2000-05-11,5.59
2000-05-12,5.59
2000-05-15,5.47
2000-05-16,5.54
2000-05-17,5.59
2000-05-18,5.59
2000-05-19,5.62
2000-05-22,5.6
2000-05-23,5.61
2000-05-24,5.68
2000-05-25,5.69
2000-05-26,5.87
2000-05-29,5.92
2000-05-30,5.92
2000-05-31,5.68
2000-06-01,5.84
2000-06-02,5.9
2000-06-05,5.83
2000-06-06,5.83
2000-06-07,5.74
2000-06-08,5.54
2000-06-09,5.61
2000-06-12,5.6
2000-06-13,5.58
2000-06-14,5.62
2000-06-15,5.86
2000-06-16,6.3
2000-06-19,5.24
2000-06-20,5.97
2000-06-21,5.79
2000-06-22,5.75
2000-06-23,5.76
2000-06-26,5.61
2000-06-27,5.31
2000-06-28,5.42
2000-06-29,5.25
2000-06-30,5.21
2000-07-03,5.44
2000-07-04,5.48
2000-07-05,5.48
2000-07-06,5.54
2000-07-07,5.54
2000-07-10,5.76
2000-07-11,5.74
2000-07-12,5.69
2000-07-13,5.69
2000-07-14,5.92
2000-07-17,5.92
2000-07-18,6.02
2000-07-19,6.04
2000-07-20,5.97
2000-07-21,5.89
2000-07-24,6.06
2000-07-25,5.9
2000-07-26,6.13
2000-07-27,5.89
2000-07-28,6.18
2000-07-31,6.18
2000-08-01,6.2
2000-08-02,6.29
2000-08-03,6.27
2000-08-04,6.24
2000-08-07,6.2
2000-08-08,6.18
2000-08-09,6.15
2000-08-10,6.15
2000-08-11,6.06
2000-08-14,6.11
2000-08-15,6.14
2000-08-16,6.2
2000-08-17,6.01
2000-08-18,5.98
2000-08-21,6.03
2000-08-22,6.0
2000-08-23,6.14
2000-08-24,6.02
2000-08-25,5.99
2000-08-28,5.94
2000-08-29,5.86
2000-08-30,5.82
2000-08-31,5.61
2000-09-01,5.76
2000-09-04,5.78
2000-09-05,5.73
2000-09-06,5.61
2000-09-07,5.83
2000-09-08,5.82
2000-09-11,5.82
2000-09-12,5.94
2000-09-13,5.94
2000-09-14,5.76
2000-09-15,5.66
2000-09-18,5.51
2000-09-19,5.82
2000-09-20,5.74
2000-09-21,5.7
2000-09-22,5.89
2000-09-25,5.87
2000-09-26,6.06
2000-09-27,6.1
2000-09-28,6.18
2000-09-29,6.14
2000-10-02,6.01
2000-10-03,6.01
2000-10-04,6.07
2000-10-05,6.21
2000-10-06,6.34
2000-10-09,6.25
2000-10-10,6.26
2000-10-11,6.34
2000-10-12,6.28
2000-10-13,6.28
2000-10-16,6.28
2000-10-17,6.28
2000-10-18,6.28
2000-10-19,6.28
2000-10-20,6.28
2000-10-23,6.16
2000-10-24,6.16
2000-10-25,6.24
2000-10-26,6.31
2000-10-27,6.37
2000-10-30,6.26
2000-10-31,6.26
2000-11-01,6.41
2000-11-02,6.45
2000-11-03,6.54
2000-11-06,6.49
2000-11-07,6.64
2000-11-08,6.7
2000-11-09,6.64
2000-11-10,6.68
2000-11-13,6.47
2000-11-14,6.47
2000-11-15,6.5
2000-11-16,6.41
2000-11-17,6.4
2000-11-20,6.4
2000-11-21,6.74
2000-11-22,6.7
2000-11-23,6.79
2000-11-24,6.77
2000-11-27,6.65
2000-11-28,6.65
2000-11-29,6.85
2000-11-30,6.89
2000-12-01,6.97
2000-12-04,6.79
2000-12-05,6.86
2000-12-06,6.46
2000-12-07,6.6
2000-12-08,6.52
2000-12-11,6.5
2000-12-12,6.41
2000-12-13,6.36
2000-12-14,6.38
2000-12-15,6.39
2000-12-18,6.55
2000-12-19,6.57
2000-12-20,6.54
2000-12-21,6.48
2000-12-22,6.6
2000-12-27,6.76
2000-12-28,6.75
2000-12-29,6.79
2001-01-01,6.79
2001-01-02,6.59
2001-01-03,6.67
2001-01-04,6.17
2001-01-05,6.17
2001-01-08,6.2
2001-01-09,6.23
2001-01-10,6.28
2001-01-11,6.42
2001-01-12,6.39
2001-01-15,6.32
2001-01-16,6.38
2001-01-17,6.12
2001-01-18,6.08
2001-01-19,6.15
2001-01-22,6.28
2001-01-23,6.37
2001-01-24,6.29
2001-01-25,6.25
2001-01-26,6.27
2001-01-29,6.26
2001-01-30,6.23
2001-01-31,6.23
2001-02-01,6.17
2001-02-02,6.12
2001-02-05,6.23
2001-02-06,6.21
2001-02-07,6.07
2001-02-08,5.95
2001-02-09,5.83
2001-02-12,5.98
2001-02-13,6.08
2001-02-14,6.11
2001-02-15,6.11
2001-02-16,5.93
2001-02-19,5.92
2001-02-20,5.81
2001-02-21,5.83
2001-02-22,5.84
2001-02-23,5.77
2001-02-26,5.88
2001-02-27,5.85
2001-02-28,5.86
2001-03-01,5.86
2001-03-02,5.89
2001-03-05,5.86
2001-03-06,5.71
2001-03-07,5.76
2001-03-08,5.66
2001-03-09,5.66
2001-03-12,5.66
2001-03-13,5.6
2001-03-15,5.62
2001-03-16,5.5
2001-03-19,5.29
2001-03-20,5.23
2001-03-21,5.24
2001-03-22,4.91
2001-03-23,5.06
2001-03-26,5.26
2001-03-27,5.48
2001-03-28,5.51
2001-03-29,5.6
2001-03-30,5.63
2001-04-02,5.77
2001-04-03,5.86
2001-04-04,5.63
2001-04-05,5.55
2001-04-06,5.45
2001-04-09,5.7
2001-04-10,5.9
2001-04-11,5.84
2001-04-12,5.84
2001-04-17,6.05
2001-04-18,6.07
2001-04-19,5.98
2001-04-20,5.94
2001-04-23,5.92
2001-04-24,5.93
2001-04-25,5.95
2001-04-26,5.93
2001-04-27,5.92
2001-04-30,5.95
2001-05-02,5.94
2001-05-03,5.91
2001-05-04,5.84
2001-05-08,5.79
2001-05-09,5.77
2001-05-11,5.82
2001-05-14,5.77
2001-05-15,5.81
2001-05-16,5.81
2001-05-17,5.87
2001-05-18,6.07
2001-05-21,6.48
2001-05-22,6.43
2001-05-23,6.41
2001-05-24,6.72
2001-05-25,6.51
2001-05-28,6.47
2001-05-29,6.4
2001-05-30,6.57
2001-05-31,6.63
2001-06-01,6.73
2001-06-04,6.76
2001-06-05,6.89
2001-06-06,6.93
2001-06-07,6.91
2001-06-08,6.75
2001-06-11,6.83
2001-06-12,6.72
2001-06-13,6.78
2001-06-14,6.83
2001-06-18,6.69
2001-06-19,6.61
2001-06-20,6.59
2001-06-21,6.67
2001-06-22,6.66
2001-06-25,6.83
2001-06-26,6.75
2001-06-27,6.75
2001-06-28,6.85
2001-06-29,7.01
2001-07-02,6.88
2001-07-03,6.83
2001-07-04,6.87
2001-07-05,7.01
2001-07-06,6.92
2001-07-09,6.93
