Date,Price
1994-06-07,7.64
1994-06-08,7.59
1994-06-09,7.59
1994-06-10,7.54
1994-06-13,7.54
1994-06-14,7.59
1994-06-15,7.59
1994-06-16,7.54
1994-06-17,7.49
1994-06-20,7.54
1994-06-21,7.49
1994-06-22,7.49
1994-06-23,7.39
1994-06-24,7.25
1994-06-27,7.05
1994-06-28,6.95
1994-06-29,7.05
1994-06-30,6.95
1994-07-01,7.0
1994-07-05,7.05
1994-07-06,6.95
1994-07-07,6.95
1994-07-08,6.95
1994-07-11,7.0
1994-07-12,7.0
1994-07-13,7.0
1994-07-14,7.05
1994-07-15,7.1
1994-07-18,7.1
1994-07-19,7.29
1994-07-20,7.2
1994-07-21,7.2
1994-07-22,7.25
1994-07-25,7.29
1994-07-26,7.29
1994-07-27,7.2
1994-07-28,7.05
1994-07-29,7.0
1994-08-01,6.95
1994-08-02,7.15
1994-08-03,7.25
1994-08-04,7.1
1994-08-05,7.1
1994-08-08,7.1
1994-08-09,7.0
1994-08-10,7.15
1994-08-11,7.05
1994-08-12,7.1
1994-08-15,7.05
1994-08-16,7.15
1994-08-17,7.15
1994-08-18,7.1
1994-08-19,7.1
1994-08-22,7.15
1994-08-23,7.15
1994-08-24,7.15
1994-08-25,7.0
1994-08-26,7.1
1994-08-29,7.15
1994-08-30,7.2
1994-08-31,7.25
1994-09-01,7.29
1994-09-02,7.49
1994-09-06,7.39
1994-09-07,7.39
1994-09-08,7.34
1994-09-09,7.34
1994-09-12,7.39
1994-09-13,7.29
1994-09-14,7.25
1994-09-15,7.34
1994-09-16,7.2
1994-09-19,7.29
1994-09-20,7.34
1994-09-21,7.25
1994-09-22,7.1
1994-09-23,7.05
1994-09-26,7.1
1994-09-27,7.1
1994-09-28,6.85
1994-09-29,7.05
1994-09-30,7.1
1994-10-03,7.0
1994-10-04,7.0
1994-10-05,6.7
1994-10-06,6.6
1994-10-07,6.7
1994-10-10,6.7
1994-10-11,6.6
1994-10-12,6.7
1994-10-13,6.6
1994-10-14,6.56
1994-10-17,6.65
1994-10-18,6.65
1994-10-19,6.6
1994-10-20,6.65
1994-10-21,6.75
1994-10-24,6.75
1994-10-25,6.65
1994-10-26,6.56
1994-10-27,6.56
1994-10-28,6.8
1994-10-31,6.95
1994-11-01,6.8
1994-11-02,6.9
1994-11-03,6.85
1994-11-04,6.85
1994-11-07,6.8
1994-11-08,6.75
1994-11-09,6.75
1994-11-10,6.65
1994-11-11,6.56
1994-11-14,6.56
1994-11-15,6.51
1994-11-16,6.26
1994-11-17,6.41
1994-11-18,6.56
1994-11-21,6.46
1994-11-22,6.51
1994-11-23,6.7
1994-11-25,6.65
1994-11-28,6.7
1994-11-29,6.65
1994-11-30,6.7
1994-12-01,6.56
1994-12-02,6.51
1994-12-05,6.41
1994-12-06,6.36
1994-12-07,6.36
1994-12-08,6.16
1994-12-09,6.21
1994-12-12,6.21
1994-12-13,6.21
1994-12-14,6.21
1994-12-15,6.51
1994-12-16,6.41
1994-12-19,6.36
1994-12-20,6.31
1994-12-21,6.21
1994-12-22,6.16
1994-12-23,6.06
1994-12-27,5.96
1994-12-28,5.87
1994-12-29,5.96
1994-12-30,5.96
1995-01-03,6.31
1995-01-04,6.41
1995-01-05,6.46
1995-01-06,6.56
1995-01-09,6.51
1995-01-10,6.51
1995-01-11,6.46
1995-01-12,6.46
1995-01-13,6.51
1995-01-16,6.46
1995-01-17,6.51
1995-01-18,6.51
1995-01-19,6.36
1995-01-20,6.41
1995-01-23,6.31
1995-01-24,6.36
1995-01-25,6.46
1995-01-26,6.41
1995-01-27,6.51
1995-01-30,6.56
1995-01-31,6.51
1995-02-01,6.46
1995-02-02,6.51
1995-02-03,6.31
1995-02-06,6.36
1995-02-07,6.31
1995-02-08,6.21
1995-02-09,6.31
1995-02-10,6.31
1995-02-13,6.11
1995-02-14,6.26
1995-02-15,6.36
1995-02-16,6.26
1995-02-17,6.26
1995-02-21,6.21
1995-02-22,6.21
1995-02-23,6.26
1995-02-24,6.26
1995-02-27,6.31
1995-02-28,6.36
1995-03-01,6.31
1995-03-02,6.16
1995-03-03,6.06
1995-03-06,6.06
1995-03-07,6.11
1995-03-08,6.06
1995-03-09,6.11
1995-03-10,6.06
1995-03-13,6.06
1995-03-14,6.11
1995-03-15,6.26
1995-03-16,6.16
1995-03-17,6.21
1995-03-20,6.31
1995-03-21,6.31
1995-03-22,6.26
1995-03-23,6.31
1995-03-24,6.46
1995-03-27,6.31
1995-03-28,6.26
1995-03-29,6.31
1995-03-30,6.31
1995-03-31,6.26
1995-04-03,6.21
1995-04-04,6.21
1995-04-05,6.36
1995-04-06,6.51
1995-04-07,6.46
1995-04-10,6.51
1995-04-11,6.51
1995-04-12,6.46
1995-04-13,6.51
1995-04-17,6.41
1995-04-18,6.41
1995-04-19,6.51
1995-04-20,6.41
1995-04-21,6.56
1995-04-24,6.31
1995-04-25,6.36
1995-04-26,6.26
1995-04-27,6.31
1995-04-28,6.41
1995-05-01,6.51
1995-05-02,6.41
1995-05-03,6.46
1995-05-04,6.6
1995-05-05,6.7
1995-05-08,6.85
1995-05-09,7.1
1995-05-10,7.05
1995-05-11,7.1
1995-05-12,7.05
1995-05-15,6.9
1995-05-16,6.9
1995-05-17,6.85
1995-05-18,6.8
1995-05-19,6.9
1995-05-22,6.8
1995-05-23,6.85
1995-05-24,6.85
1995-05-25,6.95
1995-05-26,6.9
1995-05-30,7.0
1995-05-31,7.05
1995-06-01,7.0
1995-06-02,7.05
1995-06-05,7.05
1995-06-06,7.05
1995-06-07,6.9
1995-06-08,6.95
1995-06-09,6.9
1995-06-12,7.0
1995-06-13,6.9
1995-06-14,6.95
1995-06-15,6.9
1995-06-16,6.85
1995-06-19,6.95
1995-06-20,6.85
1995-06-21,6.9
1995-06-22,7.0
1995-06-23,6.95
1995-06-26,7.0
1995-06-27,7.15
1995-06-28,6.85
1995-06-29,6.9
1995-06-30,7.15
1995-07-03,7.2
1995-07-05,7.1
1995-07-06,7.2
1995-07-07,7.1
1995-07-10,7.2
1995-07-11,7.15
1995-07-12,7.1
1995-07-13,6.9
1995-07-14,6.85
1995-07-17,6.9
1995-07-18,6.85
1995-07-19,6.9
1995-07-20,6.75
1995-07-21,6.65
1995-07-24,6.6
1995-07-25,6.6
1995-07-26,6.65
1995-07-27,6.8
1995-07-28,6.95
1995-07-31,7.0
1995-08-01,6.95
1995-08-02,7.05
1995-08-03,7.05
1995-08-04,6.9
1995-08-07,6.7
1995-08-08,6.6
1995-08-09,6.65
1995-08-10,6.7
1995-08-11,6.7
1995-08-14,6.75
1995-08-15,6.65
1995-08-16,6.7
1995-08-17,6.8
1995-08-18,6.9
1995-08-21,6.9
1995-08-22,6.8
1995-08-23,6.75
1995-08-24,6.7
1995-08-25,6.75
1995-08-28,6.7
1995-08-29,6.7
1995-08-30,6.75
1995-08-31,6.85
1995-09-01,6.8
1995-09-05,6.85
1995-09-06,6.9
1995-09-07,7.0
1995-09-08,6.95
1995-09-11,7.05
1995-09-12,7.05
1995-09-13,6.95
1995-09-14,7.05
1995-09-15,7.05
1995-09-18,6.9
1995-09-19,7.0
1995-09-20,6.95
1995-09-21,6.95
1995-09-22,7.1
1995-09-25,7.15
1995-09-26,7.15
1995-09-27,7.01
1995-09-28,6.96
1995-09-29,7.11
1995-10-02,7.06
1995-10-03,6.96
1995-10-04,7.11
1995-10-05,7.01
1995-10-06,7.11
1995-10-09,7.11
1995-10-10,7.22
1995-10-11,7.06
1995-10-12,7.06
1995-10-13,7.11
1995-10-16,7.11
1995-10-17,7.16
1995-10-18,7.11
1995-10-19,7.06
1995-10-20,7.16
1995-10-23,7.16
1995-10-24,7.32
1995-10-25,7.32
1995-10-26,7.37
1995-10-27,7.37
1995-10-30,7.37
1995-10-31,7.37
1995-11-01,7.47
1995-11-02,7.52
1995-11-03,7.47
1995-11-06,7.42
1995-11-07,7.47
1995-11-08,7.47
1995-11-09,7.57
1995-11-10,7.62
1995-11-13,7.62
1995-11-14,7.62
1995-11-15,7.57
1995-11-16,7.52
1995-11-17,7.52
1995-11-20,7.57
1995-11-21,7.52
1995-11-22,7.57
1995-11-24,7.47
1995-11-27,7.57
1995-11-28,7.52
1995-11-29,7.52
1995-11-30,7.52
1995-12-01,7.57
1995-12-04,7.62
1995-12-05,7.57
1995-12-06,7.67
1995-12-07,7.67
1995-12-08,7.72
1995-12-11,7.72
1995-12-12,7.72
1995-12-13,7.67
1995-12-14,7.72
1995-12-15,7.67
1995-12-18,7.57
1995-12-19,7.57
1995-12-20,7.67
1995-12-21,7.77
1995-12-22,7.77
1995-12-26,7.87
1995-12-27,7.89
1995-12-28,7.89
1995-12-29,7.94
1996-01-02,7.84
1996-01-03,7.99
1996-01-04,7.94
1996-01-05,7.89
1996-01-08,7.89
1996-01-09,7.79
1996-01-10,7.74
1996-01-11,7.79
1996-01-12,7.89
1996-01-15,7.89
1996-01-16,7.89
1996-01-17,7.84
1996-01-18,8.1
1996-01-19,8.15
1996-01-22,8.04
1996-01-23,7.99
1996-01-24,8.1
1996-01-25,8.04
1996-01-26,8.15
1996-01-29,8.1
1996-01-30,8.2
1996-01-31,8.25
1996-02-01,8.3
1996-02-02,8.25
1996-02-05,8.25
1996-02-06,8.25
1996-02-07,8.2
1996-02-08,8.46
1996-02-09,8.56
1996-02-12,8.66
1996-02-13,8.66
1996-02-14,8.72
1996-02-15,8.61
1996-02-16,8.56
1996-02-20,8.51
1996-02-21,8.56
1996-02-22,8.56
1996-02-23,8.61
1996-02-26,8.46
1996-02-27,8.41
1996-02-28,8.3
1996-02-29,8.35
1996-03-01,8.2
1996-03-04,8.15
1996-03-05,8.2
1996-03-06,8.35
1996-03-07,8.51
