Date,Price
1991-01-02,4.17
1991-01-03,4.17
1991-01-04,3.78
1991-01-07,3.98
1991-01-08,3.98
1991-01-09,3.98
1991-01-10,3.98
1991-01-11,3.98
1991-01-14,3.78
1991-01-15,3.58
1991-01-16,3.58
1991-01-17,3.38
1991-01-18,3.18
1991-01-21,3.18
1991-01-22,3.38
1991-01-23,3.38
1991-01-24,3.78
1991-01-25,3.98
1991-01-28,3.78
1991-01-29,3.78
1991-01-30,3.78
1991-01-31,3.58
1991-02-01,3.78
1991-02-04,3.78
1991-02-05,3.78
1991-02-06,4.17
1991-02-07,3.98
1991-02-08,4.17
1991-02-11,4.37
1991-02-12,4.17
1991-02-13,4.17
1991-02-14,4.17
1991-02-15,4.17
1991-02-19,3.98
1991-02-20,3.78
1991-02-21,3.98
1991-02-22,3.98
1991-02-25,3.98
1991-02-26,4.17
1991-02-27,4.57
1991-02-28,4.97
1991-03-01,4.77
1991-03-04,4.97
1991-03-05,4.77
1991-03-06,4.57
1991-03-07,4.37
1991-03-08,4.37
1991-03-11,4.57
1991-03-12,4.57
1991-03-13,4.37
1991-03-14,4.37
1991-03-15,4.37
1991-03-18,4.37
1991-03-19,4.17
1991-03-20,3.98
1991-03-21,3.98
1991-03-22,4.17
1991-03-25,3.98
1991-03-26,3.98
1991-03-27,4.17
1991-03-28,4.17
1991-04-01,3.98
1991-04-02,3.98
1991-04-03,3.98
1991-04-04,4.17
1991-04-05,3.98
1991-04-08,3.98
1991-04-09,3.98
1991-04-10,3.98
1991-04-11,3.98
1991-04-12,3.98
1991-04-15,3.78
1991-04-16,3.78
1991-04-17,3.98
1991-04-18,3.78
1991-04-19,3.98
1991-04-22,3.98
1991-04-23,3.98
1991-04-24,4.17
1991-04-25,4.37
1991-04-26,4.37
1991-04-29,4.37
1991-04-30,3.98
1991-05-01,3.98
1991-05-02,4.17
1991-05-03,4.37
1991-05-06,4.17
1991-05-07,4.37
1991-05-08,4.57
1991-05-09,4.57
1991-05-10,4.37
1991-05-13,4.17
1991-05-14,4.17
1991-05-15,3.98
1991-05-16,4.37
1991-05-17,3.98
1991-05-20,3.98
1991-05-21,3.98
1991-05-22,4.37
1991-05-23,4.37
1991-05-24,4.37
1991-05-28,4.17
1991-05-29,4.37
1991-05-30,4.37
1991-05-31,4.77
1991-06-03,4.37
1991-06-04,4.77
1991-06-05,4.77
1991-06-06,4.97
1991-06-07,5.17
1991-06-10,5.17
1991-06-11,4.97
1991-06-12,4.77
1991-06-13,4.57
1991-06-14,4.77
1991-06-17,4.97
1991-06-18,4.77
1991-06-19,4.77
1991-06-20,4.57
1991-06-21,4.77
1991-06-24,4.57
1991-06-25,4.77
1991-06-26,4.37
1991-06-27,4.57
1991-06-28,4.57
1991-07-01,4.57
1991-07-02,4.37
