Date,Price
1990-01-01,1098.49
1990-01-02,1101.34
1990-01-03,1112.82
1990-01-04,1113.02
1990-01-05,1099.52
1990-01-08,1104.62
1990-01-09,1108.79
1990-01-10,1099.88
1990-01-11,1111.34
1990-01-12,1100.32
1990-01-15,1094.09
1990-01-16,1076.85
1990-01-17,1085.63
1990-01-18,1071.44
1990-01-19,1069.32
1990-01-22,1070.13
1990-01-23,1072.0
1990-01-24,1048.74
1990-01-25,1061.73
1990-01-26,1061.64
1990-01-29,1063.84
1990-01-30,1067.73
1990-01-31,1069.92
1990-02-01,1081.45
1990-02-02,1099.38
1990-02-05,1111.72
1990-02-06,1108.79
1990-02-07,1093.94
1990-02-08,1102.05
1990-02-09,1091.27
1990-02-12,1075.59
1990-02-13,1067.0
1990-02-14,1067.95
1990-02-15,1072.31
1990-02-16,1088.18
1990-02-19,1073.87
1990-02-20,1053.49
1990-02-21,1046.7
1990-02-22,1053.05
1990-02-23,1038.72
1990-02-26,1031.27
1990-02-27,1045.13
1990-02-28,1048.91
1990-03-01,1039.54
1990-03-02,1057.33
1990-03-05,1064.82
1990-03-06,1062.78
1990-03-07,1074.51
1990-03-08,1082.32
1990-03-09,1087.35
1990-03-12,1082.45
1990-03-13,1088.53
1990-03-14,1092.0
1990-03-15,1101.47
1990-03-16,1105.71
1990-03-19,1108.72
1990-03-20,1103.16
1990-03-21,1114.3
1990-03-22,1104.94
1990-03-23,1107.65
1990-03-26,1114.94
1990-03-27,1108.58
1990-03-28,1108.04
1990-03-29,1113.82
1990-03-30,1115.39
1990-04-02,1102.63
1990-04-03,1117.39
1990-04-04,1117.46
1990-04-05,1120.48
1990-04-06,1126.63
1990-04-09,1120.33
1990-04-10,1119.32
1990-04-11,1122.83
1990-04-12,1127.94
1990-04-13,1127.36
1990-04-16,1130.41
1990-04-17,1133.43
1990-04-18,1124.96
1990-04-19,1120.75
1990-04-20,1127.18
1990-04-23,1108.59
1990-04-24,1106.22
1990-04-25,1104.51
1990-04-26,1095.66
1990-04-27,1091.63
1990-04-30,1087.94
1990-05-01,1088.04
1990-05-02,1098.06
1990-05-03,1111.77
1990-05-04,1118.26
1990-05-07,1128.43
1990-05-08,1123.19
1990-05-09,1119.61
1990-05-10,1116.0
1990-05-11,1110.37
1990-05-14,1111.93
1990-05-15,1109.35
1990-05-16,1107.71
1990-05-17,1113.09
1990-05-18,1109.49
1990-05-21,1098.29
1990-05-22,1106.66
1990-05-23,1111.21
1990-05-24,1110.43
1990-05-25,1102.43
1990-05-28,1099.45
1990-05-29,1111.82
1990-05-30,1117.22
1990-05-31,1116.83
1990-06-01,1116.17
1990-06-04,1120.1
1990-06-05,1123.85
1990-06-06,1108.59
1990-06-07,1107.05
1990-06-08,1099.46
1990-06-11,1094.01
1990-06-12,1092.18
1990-06-13,1094.42
1990-06-14,1097.85
1990-06-15,1089.21
1990-06-18,1084.24
1990-06-19,1098.5
1990-06-20,1102.64
1990-06-21,1105.72
1990-06-22,1112.61
1990-06-25,1118.94
1990-06-26,1123.46
1990-06-27,1122.16
1990-06-28,1122.46
1990-06-29,1120.33
1990-07-02,1124.08
1990-07-03,1121.5
1990-07-04,1120.64
1990-07-05,1113.32
1990-07-06,1114.14
1990-07-09,1110.41
1990-07-10,1100.56
1990-07-11,1109.54
1990-07-12,1118.71
1990-07-13,1121.3
1990-07-16,1127.62
1990-07-17,1133.76
1990-07-18,1133.35
1990-07-19,1134.74
1990-07-20,1136.18
1990-07-23,1120.62
1990-07-24,1120.9
1990-07-25,1122.36
1990-07-26,1120.59
1990-07-27,1112.67
1990-07-30,1107.72
1990-07-31,1116.48
1990-08-01,1108.96
1990-08-02,1097.11
1990-08-03,1073.07
1990-08-06,1021.5
1990-08-07,1038.87
1990-08-08,1016.7
1990-08-09,1023.96
1990-08-10,1021.27
1990-08-13,996.97
1990-08-14,1003.6
1990-08-15,1001.34
1990-08-16,1007.38
1990-08-17,976.71
1990-08-20,952.64
1990-08-21,920.64
1990-08-22,930.22
1990-08-23,903.54
1990-08-24,919.56
1990-08-27,964.12
1990-08-28,955.84
1990-08-29,962.32
1990-08-30,969.57
1990-08-31,962.15
1990-09-03,958.14
1990-09-04,940.34
1990-09-05,940.26
1990-09-06,935.87
1990-09-07,937.84
1990-09-10,956.25
1990-09-11,947.76
1990-09-12,954.82
1990-09-13,952.68
1990-09-14,934.09
1990-09-17,924.31
1990-09-18,907.31
1990-09-19,904.25
1990-09-20,890.88
1990-09-21,886.52
1990-09-24,871.4
1990-09-25,850.99
1990-09-26,860.78
1990-09-27,860.35
1990-09-28,845.96
1990-10-01,875.4
1990-10-02,896.69
1990-10-03,891.71
1990-10-04,881.17
1990-10-05,866.85
1990-10-08,893.92
1990-10-09,877.9
1990-10-10,866.26
1990-10-11,869.63
1990-10-12,884.94
1990-10-15,891.48
1990-10-16,889.95
1990-10-17,886.78
1990-10-18,901.35
1990-10-19,910.29
1990-10-22,904.12
1990-10-23,925.33
1990-10-24,924.52
1990-10-25,916.65
1990-10-26,898.73
1990-10-29,896.33
1990-10-30,886.68
1990-10-31,889.57
1990-11-01,884.62
1990-11-02,881.74
1990-11-05,877.88
1990-11-06,876.74
1990-11-07,864.83
1990-11-08,857.62
1990-11-09,861.32
1990-11-12,872.25
1990-11-13,875.77
1990-11-14,870.61
1990-11-15,871.07
1990-11-16,872.0
1990-11-19,882.81
1990-11-20,885.13
1990-11-21,882.83
1990-11-22,889.89
1990-11-23,888.42
1990-11-26,872.01
1990-11-27,863.28
1990-11-28,864.11
1990-11-29,869.21
1990-11-30,872.81
1990-12-03,891.1
1990-12-04,884.12
1990-12-05,893.1
1990-12-06,906.2
1990-12-07,911.41
1990-12-10,908.44
1990-12-11,904.26
1990-12-12,908.03
1990-12-13,911.65
1990-12-14,909.65
1990-12-17,892.49
1990-12-18,893.1
1990-12-19,888.7
1990-12-20,870.71
1990-12-21,872.92
1990-12-24,867.05
1990-12-25,871.47
1990-12-26,866.14
1990-12-27,866.16
1990-12-28,861.57
1990-12-31,858.72
1991-01-01,858.72
1991-01-02,851.35
1991-01-03,854.53
1991-01-04,864.27
1991-01-07,847.19
1991-01-08,842.12
1991-01-09,855.99
1991-01-10,846.31
1991-01-11,843.24
1991-01-14,818.5
1991-01-15,820.44
1991-01-16,821.34
1991-01-17,869.45
1991-01-18,862.65
1991-01-21,854.7
1991-01-22,848.71
1991-01-23,839.95
1991-01-24,852.09
1991-01-25,857.71
1991-01-28,858.5
1991-01-29,853.54
1991-01-30,867.21
1991-01-31,871.77
1991-02-01,871.68
1991-02-04,877.61
1991-02-05,883.56
1991-02-06,880.79
1991-02-07,889.81
1991-02-08,899.59
1991-02-11,914.85
1991-02-12,908.94
1991-02-13,916.72
1991-02-14,922.72
1991-02-15,934.79
1991-02-18,950.97
1991-02-19,957.05
1991-02-20,946.46
1991-02-21,948.9
1991-02-22,959.84
1991-02-25,971.27
1991-02-26,953.01
1991-02-27,956.15
1991-02-28,959.23
1991-03-01,948.8
1991-03-04,956.15
1991-03-05,963.97
1991-03-06,982.18
1991-03-07,983.63
1991-03-08,990.7
1991-03-11,979.89
1991-03-12,980.11
1991-03-13,969.17
1991-03-14,986.08
1991-03-15,982.29
1991-03-18,978.94
1991-03-19,972.89
1991-03-20,964.73
1991-03-21,970.5
1991-03-22,966.81
1991-03-25,969.86
1991-03-26,966.84
1991-03-27,971.07
1991-03-28,981.91
1991-03-29,982.08
1991-04-01,988.77
1991-04-02,985.68
1991-04-03,998.76
1991-04-04,995.97
1991-04-05,1002.3
1991-04-08,995.14
1991-04-09,999.3
1991-04-10,988.82
1991-04-11,995.21
1991-04-12,1001.18
1991-04-15,1006.18
1991-04-16,1001.9
1991-04-17,1012.74
1991-04-18,1012.91
1991-04-19,1007.43
1991-04-22,995.36
1991-04-23,1004.69
1991-04-24,1006.87
1991-04-25,1013.64
1991-04-26,998.46
1991-04-29,1006.89
1991-04-30,1002.08
1991-05-01,1004.74
1991-05-02,1017.29
1991-05-03,1018.24
1991-05-06,1019.47
1991-05-07,1019.77
1991-05-08,1013.48
1991-05-09,1015.16
1991-05-10,1024.15
1991-05-13,1015.48
1991-05-14,1012.67
1991-05-15,1004.96
1991-05-16,1008.49
1991-05-17,1004.86
1991-05-20,1006.74
1991-05-21,1015.4
1991-05-22,1021.14
1991-05-23,1020.26
1991-05-24,1021.3
1991-05-27,1023.97
1991-05-28,1027.34
1991-05-29,1031.32
1991-05-30,1035.19
1991-05-31,1045.52
1991-06-03,1048.03
1991-06-04,1044.26
1991-06-05,1051.3
1991-06-06,1045.72
1991-06-07,1043.22
1991-06-10,1042.47
1991-06-11,1050.0
1991-06-12,1041.42
1991-06-13,1039.11
1991-06-14,1047.25
1991-06-17,1041.32
1991-06-18,1037.89
1991-06-19,1029.36
1991-06-20,1024.79
1991-06-21,1033.43
1991-06-24,1020.52
1991-06-25,1021.47
1991-06-26,1014.97
1991-06-27,1014.9
1991-06-28,1003.15
1991-07-01,1004.3
1991-07-02,1001.04
1991-07-03,993.27
1991-07-04,991.43
1991-07-05,999.65
1991-07-08,987.06
1991-07-09,996.24
1991-07-10,1006.27
1991-07-11,999.48
1991-07-12,998.13
1991-07-15,1002.16
1991-07-16,1002.52
1991-07-17,995.75
1991-07-18,996.4
1991-07-19,1002.0
1991-07-22,1003.19
1991-07-23,1007.02
1991-07-24,1004.49
1991-07-25,1002.65
1991-07-26,996.86
1991-07-29,996.31
1991-07-30,1000.15
1991-07-31,1000.94
1991-08-01,1003.75
1991-08-02,1001.23
1991-08-05,1002.24
1991-08-06,995.93
1991-08-07,1006.09
1991-08-08,1004.69
1991-08-09,1003.49
1991-08-12,1000.7
1991-08-13,1008.87
1991-08-14,1012.18
1991-08-15,1012.9
1991-08-16,1013.94
1991-08-19,942.04
1991-08-20,962.69
1991-08-21,982.63
1991-08-22,1003.52
1991-08-23,1007.05
1991-08-26,1014.68
1991-08-27,1013.34
1991-08-28,1011.53
1991-08-29,1014.31
1991-08-30,1016.62
1991-09-02,1016.78
1991-09-03,1019.44
1991-09-04,1018.78
1991-09-05,1019.67
1991-09-06,1017.57
1991-09-09,1011.74
1991-09-10,1006.09
1991-09-11,1003.27
1991-09-12,1006.92
1991-09-13,1008.85
1991-09-16,1009.76
1991-09-17,1009.64
1991-09-18,1012.61
1991-09-19,1011.56
1991-09-20,1012.54
1991-09-23,1009.21
1991-09-24,1014.21
1991-09-25,1010.29
1991-09-26,1009.44
1991-09-27,1005.94
1991-09-30,1007.0
1991-10-01,1008.05
1991-10-02,1005.32
1991-10-03,1002.47
1991-10-04,997.52
1991-10-07,994.86
1991-10-08,994.24
1991-10-09,988.02
1991-10-10,990.9
1991-10-11,989.88
1991-10-14,990.58
1991-10-15,1000.39
1991-10-16,999.18
1991-10-17,998.53
1991-10-18,999.69
1991-10-21,999.81
1991-10-22,1003.45
1991-10-23,1002.95
1991-10-24,998.0
1991-10-25,992.65
1991-10-28,1002.02
1991-10-29,1002.97
1991-10-30,1000.52
1991-10-31,1003.13
1991-11-01,998.85
1991-11-04,994.85
1991-11-05,998.85
1991-11-06,994.26
1991-11-07,998.51
1991-11-08,1009.88
1991-11-11,1009.75
1991-11-12,1014.97
1991-11-13,1016.98
1991-11-14,1020.51
1991-11-15,1021.82
1991-11-18,1002.85
1991-11-19,992.68
1991-11-20,994.3
1991-11-21,992.55
1991-11-22,993.93
1991-11-25,988.24
1991-11-26,994.34
1991-11-27,991.02
1991-11-28,990.57
1991-11-29,985.85
1991-12-02,974.07
1991-12-03,981.09
1991-12-04,980.16
1991-12-05,979.66
1991-12-06,973.94
1991-12-09,969.4
1991-12-10,960.99
1991-12-11,962.77
1991-12-12,969.05
1991-12-13,977.91
1991-12-16,978.27
1991-12-17,980.8
1991-12-18,986.11
1991-12-19,976.26
1991-12-20,963.56
1991-12-23,965.28
1991-12-24,976.29
1991-12-25,976.29
1991-12-26,977.88
1991-12-27,985.78
1991-12-30,996.85
1991-12-31,1000.0
1992-01-02,1004.03
1992-01-03,1001.2
1992-01-06,1014.3
1992-01-07,1012.6
1992-01-08,1004.03
1992-01-09,1004.41
1992-01-10,1020.41
1992-01-13,1022.82
1992-01-14,1028.99
1992-01-15,1050.45
1992-01-16,1050.79
1992-01-17,1045.37
1992-01-20,1048.98
1992-01-21,1053.99
1992-01-22,1046.64
1992-01-23,1039.87
1992-01-24,1040.46
1992-01-27,1056.28
1992-01-28,1055.7
1992-01-29,1051.94
1992-01-30,1051.31
1992-01-31,1045.71
1992-02-03,1056.81
1992-02-04,1044.47
1992-02-05,1058.12
1992-02-06,1054.44
1992-02-07,1061.81
1992-02-10,1042.63
1992-02-11,1046.78
1992-02-12,1046.48
1992-02-13,1051.15
1992-02-14,1049.22
1992-02-17,1047.65
1992-02-18,1062.38
1992-02-19,1058.04
1992-02-20,1067.45
1992-02-21,1066.58
1992-02-24,1074.47
1992-02-25,1065.91
1992-02-26,1082.58
1992-02-27,1088.49
1992-02-28,1082.35
1992-03-02,1083.9
1992-03-03,1085.66
1992-03-04,1090.92
1992-03-05,1084.9
1992-03-06,1081.98
1992-03-09,1083.11
1992-03-10,1083.76
1992-03-11,1078.5
1992-03-12,1071.09
1992-03-13,1068.02
1992-03-16,1067.11
1992-03-17,1068.27
1992-03-18,1066.09
1992-03-19,1063.11
1992-03-20,1070.82
1992-03-23,1056.89
1992-03-24,1056.71
1992-03-25,1058.58
1992-03-26,1062.19
1992-03-27,1057.9
1992-03-30,1060.79
1992-03-31,1060.78
1992-04-01,1058.37
1992-04-02,1060.68
1992-04-03,1061.76
1992-04-06,1069.29
1992-04-07,1073.69
1992-04-08,1050.82
1992-04-09,1054.29
1992-04-10,1068.93
1992-04-13,1065.04
1992-04-14,1063.47
1992-04-15,1078.97
1992-04-16,1069.61
1992-04-17,1069.99
1992-04-20,1080.62
1992-04-21,1079.94
1992-04-22,1079.64
1992-04-23,1079.33
1992-04-24,1078.95
1992-04-27,1079.55
1992-04-28,1081.64
1992-04-29,1084.76
1992-04-30,1085.06
1992-05-01,1082.71
1992-05-04,1080.82
1992-05-05,1085.05
1992-05-06,1086.62
1992-05-07,1088.98
1992-05-08,1093.09
1992-05-11,1098.9
1992-05-12,1091.83
1992-05-13,1089.26
1992-05-14,1080.29
1992-05-15,1087.94
1992-05-18,1089.0
1992-05-19,1091.1
1992-05-20,1091.86
1992-05-21,1093.37
1992-05-22,1103.72
1992-05-25,1108.28
1992-05-26,1101.76
1992-05-27,1098.2
1992-05-28,1099.05
1992-05-29,1105.18
1992-06-01,1103.53
1992-06-02,1101.27
1992-06-03,1100.54
1992-06-04,1097.85
1992-06-05,1093.42
1992-06-08,1092.5
1992-06-09,1084.7
1992-06-10,1086.09
1992-06-11,1077.6
1992-06-12,1078.4
1992-06-15,1072.76
1992-06-16,1077.18
1992-06-17,1071.76
1992-06-18,1063.92
1992-06-19,1064.49
1992-06-22,1062.09
1992-06-23,1063.62
1992-06-24,1061.28
1992-06-25,1060.05
1992-06-26,1062.84
1992-06-29,1056.59
1992-06-30,1056.93
1992-07-01,1048.29
1992-07-02,1057.98
1992-07-03,1058.53
1992-07-06,1053.35
1992-07-07,1051.5
1992-07-08,1047.16
1992-07-09,1054.99
1992-07-10,1057.89
1992-07-13,1045.96
1992-07-14,1044.81
1992-07-15,1040.35
1992-07-16,1045.6
1992-07-17,1023.83
1992-07-20,999.15
1992-07-21,998.51
1992-07-22,990.68
1992-07-23,989.85
1992-07-24,978.09
1992-07-27,983.31
1992-07-28,982.82
1992-07-29,989.34
1992-07-30,993.47
1992-07-31,988.96
1992-08-03,987.91
1992-08-04,992.34
1992-08-05,993.09
1992-08-06,997.54
1992-08-07,985.2
1992-08-10,975.41
1992-08-11,961.91
1992-08-12,957.61
1992-08-13,951.98
1992-08-14,963.84
1992-08-17,964.61
1992-08-18,956.36
1992-08-19,957.62
1992-08-20,955.68
1992-08-21,968.19
1992-08-24,941.72
1992-08-25,935.47
1992-08-26,933.84
1992-08-27,942.65
1992-08-28,943.43
1992-08-31,951.68
1992-09-01,945.84
1992-09-02,945.24
1992-09-03,964.86
1992-09-04,968.69
1992-09-07,964.0
1992-09-08,961.34
1992-09-09,957.87
1992-09-10,954.49
1992-09-11,966.2
1992-09-14,1005.61
1992-09-15,992.17
1992-09-16,1018.38
1992-09-17,1005.53
1992-09-18,1036.18
1992-09-21,1013.23
1992-09-22,1020.47
1992-09-23,1007.01
1992-09-24,1009.94
1992-09-25,1002.4
1992-09-28,972.74
1992-09-29,970.13
1992-09-30,968.58
1992-10-01,958.97
1992-10-02,971.11
1992-10-05,920.65
1992-10-06,928.88
1992-10-07,931.96
1992-10-08,945.27
1992-10-09,952.37
1992-10-12,954.1
1992-10-13,959.87
1992-10-14,956.22
1992-10-15,950.13
1992-10-16,955.48
1992-10-19,953.12
1992-10-20,977.87
1992-10-21,962.91
1992-10-22,975.9
1992-10-23,988.52
1992-10-26,991.92
1992-10-27,988.47
1992-10-28,983.96
1992-10-29,978.65
1992-10-30,980.05
1992-11-02,979.79
1992-11-03,987.1
1992-11-04,987.65
1992-11-05,983.46
1992-11-06,978.72
1992-11-09,988.19
1992-11-10,999.19
1992-11-11,999.69
1992-11-12,1003.02
1992-11-13,1008.47
1992-11-16,1004.94
1992-11-17,1007.38
1992-11-18,1010.77
1992-11-19,1006.1
1992-11-20,993.55
1992-11-23,994.66
1992-11-24,997.83
1992-11-25,998.69
1992-11-26,999.34
1992-11-27,1009.72
1992-11-30,1012.37
1992-12-01,1010.7
1992-12-02,1005.95
1992-12-03,1005.95
1992-12-04,1004.67
1992-12-07,1010.94
1992-12-08,1001.4
1992-12-09,1003.7
1992-12-10,993.97
1992-12-11,989.86
1992-12-14,987.01
1992-12-15,988.15
1992-12-16,977.95
1992-12-17,988.38
1992-12-18,1000.43
1992-12-21,1014.45
1992-12-22,1023.98
1992-12-23,1025.51
1992-12-24,1031.59
1992-12-25,1031.99
1992-12-28,1025.32
1992-12-29,1040.9
1992-12-30,1034.45
1992-12-31,1033.51
1993-01-01,1033.66
1993-01-04,1028.81
1993-01-05,1039.76
1993-01-06,1039.67
1993-01-07,1034.24
1993-01-08,1027.8
1993-01-11,1014.66
1993-01-12,1017.84
1993-01-13,1016.11
1993-01-14,1023.19
1993-01-15,1036.54
1993-01-18,1047.05
1993-01-19,1047.03
1993-01-20,1046.62
1993-01-21,1048.36
1993-01-22,1051.29
1993-01-25,1034.69
1993-01-26,1045.07
1993-01-27,1037.13
1993-01-28,1038.88
1993-01-29,1043.55
1993-02-01,1051.34
1993-02-02,1054.58
1993-02-03,1072.46
1993-02-04,1079.36
1993-02-05,1097.01
1993-02-08,1101.94
1993-02-09,1094.13
1993-02-10,1095.43
1993-02-11,1101.06
1993-02-12,1099.46
1993-02-15,1106.34
1993-02-16,1098.08
1993-02-17,1096.6
1993-02-18,1109.86
1993-02-19,1112.21
1993-02-22,1118.75
1993-02-23,1111.42
1993-02-24,1109.4
1993-02-25,1112.65
1993-02-26,1128.36
1993-03-01,1140.59
1993-03-02,1139.91
1993-03-03,1141.15
1993-03-04,1138.23
1993-03-05,1141.56
1993-03-08,1146.06
1993-03-09,1148.63
1993-03-10,1147.44
1993-03-11,1148.35
1993-03-12,1135.92
1993-03-15,1139.06
1993-03-16,1135.51
1993-03-17,1130.76
1993-03-18,1133.46
1993-03-19,1135.09
1993-03-22,1118.33
1993-03-23,1118.76
1993-03-24,1119.93
1993-03-25,1127.34
1993-03-26,1130.78
1993-03-29,1136.44
1993-03-30,1139.72
1993-03-31,1140.82
1993-04-01,1130.04
1993-04-02,1122.92
1993-04-05,1119.36
1993-04-06,1126.34
1993-04-07,1123.45
1993-04-08,1130.13
1993-04-09,1127.08
1993-04-12,1126.34
1993-04-13,1139.77
1993-04-14,1138.3
1993-04-15,1135.2
1993-04-16,1138.89
1993-04-19,1142.12
1993-04-20,1136.21
1993-04-21,1127.24
1993-04-22,1130.8
1993-04-23,1123.68
1993-04-26,1121.77
1993-04-27,1121.59
1993-04-28,1120.58
1993-04-29,1109.83
1993-04-30,1114.25
1993-05-03,1117.22
1993-05-04,1116.43
1993-05-05,1115.33
1993-05-06,1113.33
1993-05-07,1103.06
1993-05-10,1103.24
1993-05-11,1103.51
1993-05-12,1107.86
1993-05-13,1122.14
1993-05-14,1113.78
1993-05-17,1106.7
1993-05-18,1108.23
1993-05-19,1106.5
1993-05-20,1104.22
1993-05-21,1102.94
1993-05-24,1107.2
1993-05-25,1115.34
1993-05-26,1113.38
1993-05-27,1117.93
1993-05-28,1113.7
1993-05-31,1113.68
1993-06-01,1107.38
1993-06-02,1110.22
1993-06-03,1110.47
1993-06-04,1109.2
1993-06-07,1114.59
1993-06-08,1118.2
1993-06-09,1129.83
1993-06-10,1131.03
1993-06-11,1136.25
1993-06-14,1138.45
1993-06-15,1131.08
1993-06-16,1136.87
1993-06-17,1134.49
1993-06-18,1140.78
1993-06-21,1144.34
1993-06-22,1157.33
1993-06-23,1157.26
1993-06-24,1153.37
1993-06-25,1153.83
1993-06-28,1161.96
1993-06-29,1156.5
1993-06-30,1157.58
1993-07-01,1156.84
1993-07-02,1147.51
1993-07-05,1144.93
1993-07-06,1147.62
1993-07-07,1154.35
1993-07-08,1181.25
1993-07-09,1186.77
1993-07-12,1190.42
1993-07-13,1187.02
1993-07-14,1187.25
1993-07-15,1191.95
1993-07-16,1190.28
1993-07-19,1195.4
1993-07-20,1192.38
1993-07-21,1181.09
1993-07-22,1186.64
1993-07-23,1194.61
1993-07-26,1202.53
1993-07-27,1202.27
1993-07-28,1201.89
1993-07-29,1214.8
1993-07-30,1236.14
1993-08-02,1245.89
1993-08-03,1241.47
1993-08-04,1244.39
1993-08-05,1242.77
1993-08-06,1247.11
1993-08-09,1260.27
1993-08-10,1253.82
1993-08-11,1270.63
1993-08-12,1266.59
1993-08-13,1269.49
1993-08-16,1273.5
1993-08-17,1275.57
1993-08-18,1293.3
1993-08-19,1299.07
1993-08-20,1287.25
1993-08-23,1280.01
1993-08-24,1284.42
1993-08-25,1304.85
1993-08-26,1302.86
1993-08-27,1308.24
1993-08-30,1317.64
1993-08-31,1321.88
1993-09-01,1307.58
1993-09-02,1307.92
1993-09-03,1307.61
1993-09-06,1297.08
1993-09-07,1287.05
1993-09-08,1278.79
1993-09-09,1276.85
1993-09-10,1271.75
