Date,Price
1990-01-02,3.81
1990-01-03,3.81
1990-01-04,3.75
1990-01-05,3.75
1990-01-08,3.77
1990-01-09,3.73
1990-01-10,3.77
1990-01-11,3.5
1990-01-12,3.5
1990-01-15,3.5
1990-01-16,3.52
1990-01-17,3.56
1990-01-18,3.6
1990-01-19,3.54
1990-01-22,3.5
1990-01-23,3.52
1990-01-24,3.54
1990-01-25,3.42
1990-01-26,3.46
1990-01-29,3.52
1990-01-30,3.44
1990-01-31,3.52
1990-02-01,3.56
1990-02-02,3.58
1990-02-05,3.6
1990-02-06,3.52
1990-02-07,3.54
1990-02-08,3.52
1990-02-09,3.54
1990-02-12,3.5
1990-02-13,3.48
1990-02-14,3.47
1990-02-15,3.45
1990-02-16,3.47
1990-02-20,3.39
1990-02-21,3.36
1990-02-22,3.36
1990-02-23,3.36
1990-02-26,3.36
1990-02-27,3.39
1990-02-28,3.39
1990-03-01,3.03
1990-03-02,2.99
1990-03-05,3.07
1990-03-06,3.03
1990-03-07,3.03
1990-03-08,3.07
1990-03-09,3.07
1990-03-12,3.03
1990-03-13,3.05
1990-03-14,3.05
1990-03-15,3.01
1990-03-16,3.03
1990-03-19,3.03
1990-03-20,2.96
1990-03-21,3.01
1990-03-22,3.03
1990-03-23,3.03
1990-03-26,2.99
1990-03-27,3.01
1990-03-28,3.01
1990-03-29,3.03
1990-03-30,3.03
1990-04-02,3.01
1990-04-03,3.01
1990-04-04,2.88
1990-04-05,2.86
1990-04-06,2.82
1990-04-09,2.84
1990-04-10,2.88
1990-04-11,2.86
1990-04-12,2.84
1990-04-16,2.86
1990-04-17,2.82
1990-04-18,2.82
1990-04-19,2.78
1990-04-20,2.78
1990-04-23,2.65
1990-04-24,2.65
1990-04-25,2.67
1990-04-26,2.69
1990-04-27,2.61
1990-04-30,2.57
1990-05-01,2.61
1990-05-02,2.65
1990-05-03,2.63
1990-05-04,2.65
1990-05-07,2.69
1990-05-08,2.71
1990-05-09,2.75
1990-05-10,2.8
1990-05-11,2.82
1990-05-14,2.82
1990-05-15,2.82
1990-05-16,2.86
1990-05-17,2.85
