Date,Price
2000-11-15,301.7
2000-11-16,319.78
2000-11-17,318.9
2000-11-20,314.49
2000-11-21,307.87
2000-11-22,299.49
2000-11-23,296.41
2000-11-24,298.61
2000-11-27,299.49
2000-11-28,300.38
2000-11-29,306.99
2000-11-30,313.61
2000-12-01,315.81
2000-12-04,313.17
2000-12-05,312.28
2000-12-06,316.25
2000-12-07,317.14
2000-12-08,317.58
2000-12-11,317.58
2000-12-12,319.78
2000-12-13,319.78
2000-12-14,321.11
2000-12-15,324.19
2000-12-18,333.9
2000-12-19,353.75
2000-12-20,340.96
2000-12-21,338.31
2000-12-22,338.31
2000-12-25,338.31
2000-12-26,338.31
2000-12-27,340.51
2000-12-28,346.69
2000-12-29,346.25
2001-01-01,346.25
2001-01-02,343.3
2001-01-03,335.71
2001-01-04,341.62
2001-01-05,345.81
2001-01-08,346.69
2001-01-09,358.16
2001-01-10,359.92
2001-01-11,358.38
2001-01-12,358.16
2001-01-15,366.98
2001-01-16,365.74
2001-01-17,373.15
2001-01-18,366.98
2001-01-19,366.98
2001-01-22,368.74
2001-01-23,357.27
2001-01-24,355.95
2001-01-25,355.07
2001-01-26,366.1
2001-01-29,366.79
2001-01-30,366.25
2001-01-31,362.35
2001-02-01,367.86
2001-02-02,362.57
2001-02-05,359.92
2001-02-06,360.8
2001-02-07,362.79
2001-02-08,370.51
2001-02-09,369.63
2001-02-12,368.74
2001-02-13,364.33
2001-02-14,357.27
2001-02-15,366.98
2001-02-16,369.63
2001-02-19,368.52
2001-02-20,369.63
2001-02-21,370.51
2001-02-22,366.1
2001-02-23,367.86
2001-02-26,371.39
2001-02-27,372.93
2001-02-28,376.68
2001-03-01,386.39
2001-03-02,380.21
2001-03-05,376.13
2001-03-06,391.78
2001-03-07,402.71
2001-03-08,406.01
2001-03-09,416.42
2001-03-12,390.8
2001-03-13,372.27
2001-03-14,360.36
2001-03-15,349.78
2001-03-16,347.93
2001-03-19,349.02
2001-03-20,345.81
2001-03-21,342.72
2001-03-22,340.73
2001-03-23,332.57
2001-03-26,322.87
2001-03-27,310.52
2001-03-28,311.4
2001-03-29,312.91
2001-03-30,312.75
2001-04-02,312.28
2001-04-03,304.35
2001-04-04,311.4
2001-04-05,323.75
2001-04-06,344.92
2001-04-09,347.13
2001-04-10,341.4
2001-04-11,338.53
2001-04-12,340.51
2001-04-13,340.07
2001-04-16,340.07
2001-04-17,346.69
2001-04-18,351.98
2001-04-19,349.34
2001-04-20,344.04
2001-04-23,343.82
2001-04-24,341.4
2001-04-25,341.4
2001-04-26,338.54
2001-04-27,346.69
2001-04-30,351.98
2001-05-01,353.75
2001-05-02,365.21
2001-05-03,366.1
2001-05-04,367.86
2001-05-07,366.1
2001-05-08,368.74
2001-05-09,359.04
2001-05-10,359.04
2001-05-11,356.55
2001-05-14,367.86
2001-05-15,367.42
2001-05-16,370.27
2001-05-17,371.39
2001-05-18,374.92
2001-05-21,375.61
2001-05-22,375.58
2001-05-23,380.21
2001-05-24,383.9
2001-05-25,384.62
2001-05-28,382.42
2001-05-29,387.27
2001-05-30,384.95
2001-05-31,387.27
2001-06-01,390.8
2001-06-04,393.64
2001-06-05,403.15
2001-06-06,404.03
2001-06-07,404.03
2001-06-08,404.91
2001-06-11,399.62
2001-06-12,389.92
2001-06-13,378.89
2001-06-14,369.63
2001-06-15,372.71
2001-06-18,369.63
2001-06-19,380.65
2001-06-20,376.68
2001-06-21,375.8
2001-06-22,376.68
2001-06-25,386.39
2001-06-26,383.74
2001-06-27,383.74
2001-06-28,382.64
2001-06-29,382.42
2001-07-02,380.65
2001-07-03,380.21
2001-07-04,374.92
2001-07-05,374.92
2001-07-06,374.04
2001-07-09,370.51
2001-07-10,379.9
2001-07-11,380.96
2001-07-12,375.61
2001-07-13,381.98
2001-07-16,389.03
2001-07-17,384.56
2001-07-18,389.0
2001-07-19,389.92
2001-07-20,387.71
2001-07-23,387.05
2001-07-24,377.56
2001-07-25,375.36
2001-07-26,373.66
2001-07-27,372.27
2001-07-30,372.27
2001-07-31,374.92
2001-08-01,381.98
2001-08-02,383.74
2001-08-03,389.92
2001-08-06,392.41
2001-08-07,393.66
2001-08-08,388.15
2001-08-09,385.26
2001-08-10,385.5
2001-08-13,383.74
2001-08-14,396.97
2001-08-15,400.39
2001-08-16,399.62
2001-08-17,401.38
2001-08-20,399.7
2001-08-21,400.06
2001-08-22,404.03
2001-08-23,405.35
2001-08-24,399.62
2001-08-27,399.62
2001-08-28,400.5
2001-08-29,394.99
2001-08-30,393.66
2001-08-31,395.21
2001-09-03,379.66
2001-09-04,356.83
2001-09-05,357.27
2001-09-06,360.36
2001-09-07,364.33
2001-09-10,360.36
2001-09-11,321.99
2001-09-12,282.29
2001-09-13,277.88
2001-09-14,264.65
2001-09-17,229.36
2001-09-18,244.36
2001-09-19,252.3
2001-09-20,238.18
2001-09-21,222.83
2001-09-24,215.82
2001-09-25,262.44
2001-09-26,258.34
2001-09-27,257.15
2001-09-28,296.41
2001-10-01,314.31
2001-10-02,293.76
2001-10-03,293.76
2001-10-04,298.17
2001-10-05,304.35
2001-10-08,292.88
2001-10-09,301.7
2001-10-10,302.58
2001-10-11,313.17
2001-10-12,324.64
2001-10-15,335.22
2001-10-16,335.22
2001-10-17,321.99
2001-10-18,299.93
2001-10-19,299.93
2001-10-22,303.46
2001-10-23,308.76
2001-10-24,321.11
2001-10-25,330.81
2001-10-26,330.81
2001-10-29,321.99
2001-10-30,329.05
2001-10-31,331.69
2001-11-01,337.43
2001-11-02,340.96
2001-11-05,348.45
2001-11-06,352.86
2001-11-07,372.27
2001-11-08,372.71
2001-11-09,364.77
2001-11-12,354.63
2001-11-13,374.92
2001-11-14,382.42
2001-11-15,381.09
2001-11-16,383.74
2001-11-19,383.74
2001-11-20,374.04
2001-11-21,378.01
2001-11-22,375.8
2001-11-23,386.83
2001-11-26,390.8
