Date,Price
1990-01-02,11.31
1990-01-03,11.46
1990-01-04,11.37
1990-01-05,11.08
1990-01-08,11.11
1990-01-09,11.08
1990-01-10,10.93
1990-01-11,11.08
1990-01-12,10.9
1990-01-15,10.78
1990-01-16,10.99
1990-01-17,10.81
1990-01-18,10.99
1990-01-19,10.99
1990-01-22,10.4
1990-01-23,10.52
1990-01-24,10.46
1990-01-25,10.46
1990-01-26,10.49
1990-01-29,10.49
1990-01-30,10.4
1990-01-31,10.58
1990-02-01,10.55
1990-02-02,10.75
1990-02-05,10.73
1990-02-06,10.81
1990-02-07,10.7
1990-02-08,10.99
1990-02-09,11.08
1990-02-12,10.96
1990-02-13,11.05
1990-02-14,11.05
1990-02-15,10.96
1990-02-16,10.87
1990-02-20,10.93
1990-02-21,10.93
1990-02-22,11.02
1990-02-23,11.11
1990-02-26,12.11
1990-02-27,11.9
1990-02-28,11.75
1990-03-01,11.75
1990-03-02,11.78
1990-03-05,11.75
1990-03-06,12.28
1990-03-07,12.4
1990-03-08,12.43
1990-03-09,12.34
1990-03-12,12.64
1990-03-13,12.9
1990-03-14,12.81
1990-03-15,12.43
1990-03-16,12.66
1990-03-19,12.93
1990-03-20,13.4
1990-03-21,12.99
1990-03-22,12.66
1990-03-23,12.99
1990-03-26,13.4
1990-03-27,13.46
1990-03-28,13.25
1990-03-29,13.25
1990-03-30,13.11
1990-04-02,13.02
1990-04-03,13.11
1990-04-04,13.22
1990-04-05,13.11
1990-04-06,13.02
1990-04-09,13.19
1990-04-10,13.28
1990-04-11,13.31
1990-04-12,13.52
1990-04-16,13.46
1990-04-17,13.46
1990-04-18,13.19
1990-04-19,13.19
1990-04-20,13.16
1990-04-23,12.9
1990-04-24,12.81
1990-04-25,12.93
1990-04-26,12.96
1990-04-27,12.87
1990-04-30,12.87
1990-05-01,13.11
1990-05-02,13.19
1990-05-03,12.75
1990-05-04,12.52
1990-05-07,12.69
1990-05-08,12.61
1990-05-09,12.25
1990-05-10,12.34
1990-05-11,12.64
1990-05-14,12.96
1990-05-15,12.84
1990-05-16,12.81
1990-05-17,12.75
1990-05-18,12.49
1990-05-21,12.25
1990-05-22,11.05
1990-05-23,10.99
1990-05-24,10.81
1990-05-25,10.75
1990-05-29,11.08
1990-05-30,10.93
1990-05-31,10.87
1990-06-01,11.11
1990-06-04,11.34
1990-06-05,11.4
1990-06-06,11.34
1990-06-07,11.34
1990-06-08,11.17
1990-06-11,11.2
1990-06-12,11.25
1990-06-13,11.2
1990-06-14,11.08
1990-06-15,11.4
1990-06-18,11.34
1990-06-19,11.46
1990-06-20,11.4
1990-06-21,11.43
1990-06-22,11.46
1990-06-25,11.2
1990-06-26,10.84
1990-06-27,10.78
1990-06-28,10.64
1990-06-29,10.64
1990-07-02,10.61
1990-07-03,10.58
1990-07-05,10.55
1990-07-06,10.7
1990-07-09,10.64
1990-07-10,10.46
1990-07-11,10.49
1990-07-12,10.7
1990-07-13,11.14
1990-07-16,11.14
1990-07-17,11.11
1990-07-18,10.99
1990-07-19,10.81
1990-07-20,10.58
1990-07-23,10.46
1990-07-24,10.28
1990-07-25,10.17
1990-07-26,10.28
1990-07-27,10.02
1990-07-30,9.87
1990-07-31,9.79
1990-08-01,9.46
1990-08-02,9.31
1990-08-03,9.17
1990-08-06,8.67
1990-08-07,8.73
1990-08-08,8.76
1990-08-09,9.05
1990-08-10,9.31
1990-08-13,9.02
1990-08-14,8.93
1990-08-15,8.82
1990-08-16,8.49
1990-08-17,8.08
1990-08-20,8.23
1990-08-21,8.26
1990-08-22,8.35
1990-08-23,8.46
1990-08-24,8.79
1990-08-27,9.29
1990-08-28,9.17
1990-08-29,9.23
1990-08-30,9.05
1990-08-31,9.23
1990-09-04,9.23
1990-09-05,9.14
1990-09-06,9.05
1990-09-07,8.96
1990-09-10,8.84
1990-09-11,8.93
1990-09-12,8.9
1990-09-13,8.84
1990-09-14,8.79
1990-09-17,8.82
1990-09-18,8.7
1990-09-19,8.52
1990-09-20,8.55
1990-09-21,8.64
1990-09-24,8.4
1990-09-25,8.58
1990-09-26,8.52
1990-09-27,8.4
1990-09-28,8.52
1990-10-01,8.73
1990-10-02,8.76
1990-10-03,8.64
1990-10-04,8.67
1990-10-05,8.64
1990-10-08,8.87
1990-10-09,8.58
1990-10-10,8.79
1990-10-11,8.87
1990-10-12,9.17
1990-10-15,8.99
1990-10-16,8.82
1990-10-17,8.76
1990-10-18,9.23
1990-10-19,9.31
1990-10-22,9.46
1990-10-23,9.05
1990-10-24,8.43
1990-10-25,8.14
1990-10-26,8.11
