Date,Price
1990-03-26,2.58
1990-03-27,2.58
1990-03-28,2.58
1990-03-29,2.6
1990-03-30,2.54
1990-04-02,2.54
1990-04-03,2.5
1990-04-04,2.47
1990-04-05,2.42
1990-04-06,2.4
1990-04-09,2.45
1990-04-10,2.48
1990-04-11,2.47
1990-04-12,2.49
1990-04-16,2.5
1990-04-17,2.52
1990-04-18,2.47
1990-04-19,2.48
1990-04-20,2.47
1990-04-23,2.41
1990-04-24,2.45
1990-04-25,2.45
1990-04-26,2.39
1990-04-27,2.41
1990-04-30,2.35
1990-05-01,2.37
1990-05-02,2.39
1990-05-03,2.35
1990-05-04,2.35
1990-05-07,2.35
1990-05-08,2.39
1990-05-09,2.34
1990-05-10,2.36
1990-05-11,2.41
1990-05-14,2.41
1990-05-15,2.43
1990-05-16,2.45
1990-05-17,2.43
1990-05-18,2.43
1990-05-21,2.43
1990-05-22,2.41
1990-05-23,2.39
1990-05-24,2.37
1990-05-25,2.39
1990-05-29,2.35
1990-05-30,2.35
1990-05-31,2.35
1990-06-01,2.39
1990-06-04,2.39
1990-06-05,2.45
1990-06-06,2.45
1990-06-07,2.44
1990-06-08,2.42
1990-06-11,2.34
1990-06-12,2.38
1990-06-13,2.37
1990-06-14,2.37
1990-06-15,2.33
1990-06-18,2.32
1990-06-19,2.3
1990-06-20,2.33
1990-06-21,2.35
1990-06-22,2.37
1990-06-25,2.41
1990-06-26,2.39
1990-06-27,2.45
1990-06-28,2.39
1990-06-29,2.39
1990-07-02,2.41
1990-07-03,2.33
1990-07-05,2.28
1990-07-06,2.31
1990-07-09,2.3
1990-07-10,2.3
1990-07-11,2.32
1990-07-12,2.33
1990-07-13,2.32
1990-07-16,2.37
1990-07-17,2.49
1990-07-18,2.56
1990-07-19,2.54
1990-07-20,2.51
1990-07-23,2.45
1990-07-24,2.47
1990-07-25,2.45
1990-07-26,2.45
1990-07-27,2.35
1990-07-30,2.37
1990-07-31,2.37
1990-08-01,2.33
1990-08-02,2.3
1990-08-03,2.23
1990-08-06,2.25
1990-08-07,2.22
1990-08-08,2.22
1990-08-09,2.22
1990-08-10,2.16
1990-08-13,2.16
1990-08-14,2.2
1990-08-15,2.18
1990-08-16,2.16
1990-08-17,2.16
1990-08-20,2.2
1990-08-21,2.14
1990-08-22,2.12
1990-08-23,2.07
1990-08-24,2.03
1990-08-27,2.09
1990-08-28,2.07
1990-08-29,2.11
1990-08-30,2.15
1990-08-31,2.11
1990-09-04,2.13
1990-09-05,2.18
1990-09-06,2.12
1990-09-07,2.11
1990-09-10,2.13
1990-09-11,2.12
1990-09-12,2.09
1990-09-13,2.11
1990-09-14,2.0
1990-09-17,2.01
