Date,Price
1990-01-31,547.36
1990-02-28,551.25
1990-03-30,556.09
1990-04-30,561.01
1990-05-31,565.98
1990-06-29,569.84
1990-07-31,573.64
1990-08-31,578.34
1990-09-28,583.28
1990-10-31,588.29
1990-11-30,592.36
1990-12-28,594.9
1991-01-31,598.77
1991-02-28,603.73
1991-03-28,607.89
1991-04-30,612.31
1991-05-31,617.09
1991-06-28,620.34
1991-07-31,624.45
1991-08-30,629.56
1991-09-30,634.1
1991-10-31,639.61
1991-11-29,643.51
1991-12-31,647.22
1992-01-31,652.78
1992-02-28,656.76
1992-03-31,659.97
1992-04-30,664.77
1992-05-29,670.97
1992-06-30,675.55
1992-07-31,679.02
1992-08-31,683.62
1992-09-30,691.68
1992-10-30,699.95
1992-11-30,705.05
1992-12-31,712.01
1993-01-29,720.09
1993-02-26,729.27
1993-03-31,745.27
1993-04-30,747.54
1993-05-28,755.86
1993-06-30,791.88
1993-07-30,803.08
1993-08-31,833.47
1993-09-30,830.84
1993-10-29,853.95
1993-11-30,857.79
1993-12-31,886.72
1994-01-31,889.55
1994-02-28,855.53
1994-03-31,831.98
1994-04-29,812.07
1994-05-31,792.96
1994-06-30,788.43
1994-07-29,788.18
1994-08-31,770.19
1994-09-30,762.29
1994-10-28,763.54
1994-11-30,775.53
1994-12-30,767.75
1995-01-31,776.15
1995-02-28,782.58
1995-03-31,790.11
1995-04-28,795.31
1995-05-31,818.64
1995-06-30,829.83
1995-07-31,846.17
1995-08-31,857.17
1995-09-29,848.62
1995-10-31,858.5
1995-11-30,880.0
1995-12-29,903.7
1996-01-31,926.92
1996-02-29,908.77
1996-03-29,911.94
1996-04-30,930.69
1996-05-31,955.46
1996-06-28,953.1
1996-07-31,969.47
1996-08-30,968.58
1996-09-30,997.65
1996-10-31,1009.46
1996-11-29,1034.12
1996-12-31,1034.22
1997-01-31,1045.98
1997-02-28,1065.12
1997-03-27,1037.91
1997-04-30,1045.41
1997-05-30,1041.93
1997-06-30,1107.86
1997-07-31,1126.26
1997-08-29,1115.61
1997-09-30,1124.78
1997-10-31,1120.27
1997-11-28,1135.67
1997-12-31,1147.72
1998-01-30,1176.9
1998-02-27,1191.97
1998-03-31,1197.6
1998-04-30,1189.61
1998-05-29,1208.05
1998-06-30,1297.3
1998-07-31,1308.14
1998-08-31,1340.85
1998-09-30,1366.09
1998-10-30,1360.29
1998-11-30,1374.65
1998-12-30,1393.15
1999-01-29,215.86
1999-02-26,212.36
1999-03-31,212.72
1999-04-30,216.05
1999-05-31,214.38
1999-06-30,209.55
1999-07-30,207.27
1999-08-31,206.05
1999-09-30,204.2
1999-10-29,203.64
1999-11-30,205.93
1999-12-30,206.02
2000-01-03,67.03
2000-01-04,64.3
2000-01-05,65.0
2000-01-06,69.4
2000-01-07,72.13
2000-01-10,71.16
2000-01-11,68.74
2000-01-12,66.41
2000-01-13,64.92
2000-01-14,67.38
2000-01-17,65.44
2000-01-18,62.54
2000-01-19,62.72
2000-01-20,61.49
2000-01-21,59.2
2000-01-24,60.65
2000-01-25,61.57
2000-01-26,61.84
2000-01-27,62.98
2000-01-28,62.01
2000-01-31,203.86
2000-02-01,55.46
2000-02-02,52.78
2000-02-03,55.46
2000-02-04,56.3
2000-02-07,55.64
2000-02-08,54.36
