Date,Price
2000-01-03,12.36
2000-01-04,11.99
2000-01-05,11.81
2000-01-06,12.06
2000-01-07,12.02
2000-01-10,12.16
2000-01-11,12.23
2000-01-12,12.1
2000-01-13,12.15
2000-01-14,12.15
2000-01-17,12.15
2000-01-18,12.15
2000-01-19,12.23
2000-01-20,12.23
2000-01-21,12.23
2000-01-24,12.23
2000-01-25,12.06
2000-01-26,12.4
2000-01-27,12.02
2000-01-28,12.91
2000-01-31,12.49
2000-02-01,12.61
2000-02-02,12.83
2000-02-03,13.64
2000-02-04,14.4
2000-02-07,14.31
2000-02-08,14.69
2000-02-09,14.82
2000-02-10,13.68
2000-02-11,13.8
2000-02-14,13.27
2000-02-15,12.74
2000-02-16,13.34
2000-02-17,13.68
2000-02-18,13.8
2000-02-21,13.66
2000-02-22,13.0
2000-02-23,12.75
2000-02-24,12.44
2000-02-25,12.4
2000-02-28,12.06
2000-02-29,12.1
2000-03-01,11.76
2000-03-02,11.59
2000-03-03,11.81
2000-03-06,11.81
2000-03-07,11.65
2000-03-08,12.4
2000-03-09,12.83
2000-03-10,13.93
2000-03-13,14.52
2000-03-14,14.74
2000-03-15,14.27
2000-03-16,14.78
2000-03-17,16.27
2000-03-20,16.44
2000-03-21,16.9
2000-03-22,16.23
2000-03-23,15.88
2000-03-24,16.35
2000-03-27,16.56
2000-03-28,16.05
2000-03-29,16.48
2000-03-30,15.71
2000-03-31,15.5
2000-04-03,14.69
2000-04-04,15.12
2000-04-05,15.16
2000-04-06,14.95
2000-04-07,14.95
2000-04-10,14.78
2000-04-11,14.86
2000-04-12,15.12
2000-04-13,14.86
2000-04-14,14.78
2000-04-17,14.1
2000-04-18,14.1
2000-04-19,14.61
2000-04-20,14.52
2000-04-21,14.52
2000-04-24,14.52
2000-04-25,15.58
2000-04-26,15.67
2000-04-27,15.71
2000-04-28,15.8
2000-05-01,15.8
2000-05-02,15.71
2000-05-03,16.39
2000-05-04,16.39
2000-05-05,15.88
2000-05-08,15.93
2000-05-09,15.93
2000-05-10,15.46
2000-05-11,15.7
2000-05-12,15.71
2000-05-15,15.7
2000-05-16,15.87
2000-05-17,15.46
2000-05-18,15.54
2000-05-19,15.2
2000-05-22,15.37
2000-05-23,15.36
2000-05-24,15.5
2000-05-25,15.59
2000-05-26,15.37
2000-05-29,16.39
2000-05-30,16.9
2000-05-31,17.33
2000-06-01,17.24
2000-06-02,17.41
2000-06-05,17.16
2000-06-06,16.48
2000-06-07,16.05
2000-06-08,16.31
2000-06-09,16.39
2000-06-12,16.39
2000-06-13,16.31
2000-06-14,15.71
2000-06-15,15.61
2000-06-16,15.97
2000-06-19,16.01
2000-06-20,16.14
2000-06-21,15.67
2000-06-22,15.46
2000-06-23,14.95
