Date,Price
2008-05-09,457.92
2008-05-12,466.73
2008-05-13,473.78
2008-05-14,473.34
2008-05-15,474.66
2008-05-16,479.94
2008-05-19,479.06
2008-05-20,486.98
2008-05-21,497.99
2008-05-22,497.55
2008-05-23,493.15
2008-05-26,493.15
2008-05-27,490.51
2008-05-28,486.1
2008-05-29,484.34
2008-05-30,479.06
2008-06-02,479.06
2008-06-03,483.46
2008-06-04,488.75
2008-06-05,484.78
2008-06-06,488.75
2008-06-09,471.13
2008-06-10,459.69
2008-06-11,442.51
2008-06-12,444.71
2008-06-13,448.68
2008-06-16,457.92
2008-06-17,453.96
2008-06-18,449.12
2008-06-19,448.24
2008-06-20,447.36
2008-06-23,438.77
2008-06-24,435.03
2008-06-25,426.88
2008-06-26,427.1
2008-06-27,422.7
2008-06-30,430.62
2008-07-01,430.62
2008-07-02,435.69
2008-07-03,427.1
2008-07-04,427.98
2008-07-07,420.06
2008-07-08,412.13
2008-07-09,400.68
2008-07-10,394.52
2008-07-11,390.56
2008-07-14,396.28
2008-07-15,391.88
2008-07-16,391.88
2008-07-17,391.88
2008-07-18,369.86
2008-07-21,361.06
2008-07-22,351.37
2008-07-23,355.99
2008-07-24,349.17
2008-07-25,343.44
2008-07-28,352.25
2008-07-29,353.13
2008-07-30,350.27
2008-07-31,347.85
2008-08-01,342.56
2008-08-04,341.68
2008-08-05,323.41
2008-08-06,325.83
2008-08-07,331.11
2008-08-08,325.83
2008-08-11,325.83
2008-08-12,313.94
2008-08-13,325.83
2008-08-14,334.42
2008-08-15,317.02
2008-08-18,318.57
2008-08-19,310.86
2008-08-20,317.02
2008-08-21,330.23
2008-08-22,343.44
2008-08-25,343.44
2008-08-26,343.0
2008-08-27,350.51
2008-08-28,350.95
2008-08-29,359.16
2008-09-01,359.38
2008-09-02,354.06
2008-09-03,350.51
2008-09-04,339.86
2008-09-05,334.54
2008-09-08,346.07
2008-09-09,312.8
2008-09-10,300.82
2008-09-11,302.59
2008-09-12,307.92
2008-09-15,292.61
2008-09-16,282.18
2008-09-17,273.75
2008-09-18,292.83
2008-09-19,300.37
2008-09-22,301.7
2008-09-23,298.16
2008-09-24,302.59
2008-09-25,310.13
2008-09-26,300.15
2008-09-29,281.3
2008-09-30,283.96
2008-10-01,278.86
2008-10-02,260.22
2008-10-03,249.13
2008-10-06,199.66
2008-10-07,207.87
2008-10-08,185.9
2008-10-09,204.09
2008-10-10,187.23
2008-10-13,185.46
2008-10-14,181.91
2008-10-15,159.73
2008-10-16,150.85
2008-10-17,138.61
2008-10-20,137.45
2008-10-21,141.98
2008-10-22,121.21
2008-10-23,102.05
2008-10-24,95.84
2008-10-27,92.29
2008-10-28,93.71
2008-10-29,111.63
