Date,Price
2001-06-15,5.19
2001-06-18,5.1
2001-06-19,4.95
2001-06-20,4.94
2001-06-21,4.75
2001-06-22,4.75
2001-06-25,4.75
2001-06-26,4.75
2001-06-27,4.7
2001-06-28,4.68
2001-06-29,4.9
2001-07-02,4.7
2001-07-03,4.54
2001-07-05,4.63
2001-07-06,4.61
2001-07-09,4.54
2001-07-10,4.27
2001-07-11,4.3
2001-07-12,4.3
2001-07-13,4.44
2001-07-16,4.26
2001-07-17,4.17
2001-07-18,4.23
2001-07-19,4.31
2001-07-20,4.29
2001-07-23,4.27
2001-07-24,4.27
2001-07-25,4.56
2001-07-26,4.53
2001-07-27,4.38
2001-07-30,4.39
2001-07-31,4.29
2001-08-01,4.27
2001-08-02,4.32
2001-08-03,4.26
2001-08-06,4.18
2001-08-07,4.09
2001-08-08,4.03
2001-08-09,3.85
2001-08-10,3.86
2001-08-13,3.8
2001-08-14,3.83
2001-08-15,4.01
2001-08-16,3.98
2001-08-17,3.95
2001-08-20,4.0
2001-08-21,3.96
2001-08-22,3.95
2001-08-23,3.91
2001-08-24,3.85
2001-08-27,3.92
2001-08-28,3.9
2001-08-29,3.9
2001-08-30,3.79
2001-08-31,3.86
2001-09-04,3.97
2001-09-05,3.92
2001-09-06,3.82
2001-09-07,3.76
2001-09-10,3.7
2001-09-17,3.3
2001-09-18,3.38
2001-09-19,3.32
2001-09-20,3.38
2001-09-21,3.32
2001-09-24,3.32
2001-09-25,3.06
2001-09-26,2.73
2001-09-27,2.8
2001-09-28,2.74
2001-10-01,2.7
2001-10-02,2.68
2001-10-03,2.84
2001-10-04,2.95
2001-10-05,2.79
2001-10-08,2.87
2001-10-09,2.88
2001-10-10,3.02
2001-10-11,3.25
2001-10-12,3.11
2001-10-15,3.0
2001-10-16,2.99
2001-10-17,2.97
2001-10-18,2.99
2001-10-19,3.0
2001-10-22,3.06
2001-10-23,3.11
2001-10-24,3.09
2001-10-25,3.2
2001-10-26,3.26
2001-10-29,3.23
2001-10-30,3.17
2001-10-31,3.11
2001-11-01,3.09
2001-11-02,3.17
2001-11-05,3.28
2001-11-06,3.26
2001-11-07,3.23
2001-11-08,3.22
2001-11-09,3.25
2001-11-12,3.24
2001-11-13,3.23
2001-11-14,3.21
2001-11-15,3.09
2001-11-16,3.12
2001-11-19,3.23
2001-11-20,3.14
2001-11-21,3.14
2001-11-23,3.14
2001-11-26,3.13
2001-11-27,3.11
2001-11-28,3.09
2001-11-29,3.04
2001-11-30,2.99
2001-12-03,2.97
2001-12-04,2.97
2001-12-05,3.13
2001-12-06,3.11
2001-12-07,3.14
2001-12-10,3.13
2001-12-11,3.16
2001-12-12,3.14
2001-12-13,3.15
2001-12-14,3.14
2001-12-17,3.13
2001-12-18,3.15
2001-12-19,3.35
2001-12-20,3.67
2001-12-21,3.64
2001-12-24,3.67
2001-12-26,3.7
2001-12-27,3.77
2001-12-28,3.86
2001-12-31,3.9
2002-01-02,3.92
2002-01-03,4.03
2002-01-04,4.07
2002-01-07,4.01
2002-01-08,3.81
2002-01-09,3.78
2002-01-10,3.74
2002-01-11,3.68
2002-01-14,3.61
2002-01-15,3.61
2002-01-16,3.55
2002-01-17,3.43
2002-01-18,3.49
2002-01-22,3.54
2002-01-23,3.53
2002-01-24,3.62
2002-01-25,3.69
2002-01-28,3.71
2002-01-29,3.71
2002-01-30,3.71
2002-01-31,3.76
2002-02-01,3.83
2002-02-04,3.79
2002-02-05,3.84
2002-02-06,3.82
2002-02-07,3.83
2002-02-08,4.03
2002-02-11,4.17
2002-02-12,4.18
2002-02-13,4.23
2002-02-14,4.27
2002-02-15,4.19
2002-02-19,4.15
2002-02-20,4.17
2002-02-21,4.12
2002-02-22,4.2
2002-02-25,4.29
2002-02-26,4.31
2002-02-27,4.43
2002-02-28,4.42
2002-03-01,4.5
2002-03-04,4.69
2002-03-05,4.62
2002-03-06,4.65
2002-03-07,4.74
2002-03-08,4.82
2002-03-11,4.87
2002-03-12,4.79
2002-03-13,4.73
2002-03-14,4.72
2002-03-15,4.62
2002-03-18,4.6
2002-03-19,4.57
2002-03-20,4.57
2002-03-21,4.58
2002-03-22,4.5
2002-03-25,4.47
2002-03-26,4.49
2002-03-27,4.74
2002-03-28,4.73
2002-04-01,4.91
2002-04-02,4.87
2002-04-03,4.74
2002-04-04,4.6
2002-04-05,4.61
2002-04-08,4.75
2002-04-09,4.74
2002-04-10,4.83
2002-04-11,4.78
2002-04-12,4.67
2002-04-15,4.72
2002-04-16,4.84
2002-04-17,4.8
2002-04-18,4.91
2002-04-19,4.93
2002-04-22,4.92
2002-04-23,5.1
2002-04-24,5.1
2002-04-25,5.46
2002-04-26,5.4
2002-04-29,5.38
2002-04-30,5.4
2002-05-01,5.48
2002-05-02,5.47
2002-05-03,5.45
2002-05-06,5.2
2002-05-07,5.19
2002-05-08,5.33
2002-05-09,5.35
2002-05-10,5.45
2002-05-13,5.46
2002-05-14,5.6
2002-05-15,5.54
2002-05-16,5.58
2002-05-17,5.42
2002-05-20,5.16
2002-05-21,5.09
2002-05-22,5.21
2002-05-23,5.29
2002-05-24,5.28
2002-05-28,5.28
2002-05-29,5.31
2002-05-30,5.37
2002-05-31,5.33
2002-06-03,5.22
2002-06-04,5.32
2002-06-05,5.24
2002-06-06,5.28
2002-06-07,5.1
2002-06-10,5.09
2002-06-11,4.87
2002-06-12,5.01
2002-06-13,5.02
2002-06-14,5.09
2002-06-17,5.08
2002-06-18,5.1
2002-06-19,5.04
2002-06-20,4.98
2002-06-21,4.85
2002-06-24,4.89
2002-06-25,4.87
2002-06-26,4.85
2002-06-27,4.75
2002-06-28,4.93
2002-07-01,4.82
2002-07-02,4.49
2002-07-03,4.65
2002-07-05,4.72
2002-07-08,4.62
2002-07-09,4.68
2002-07-10,4.65
2002-07-11,4.41
2002-07-12,4.4
2002-07-15,4.31
2002-07-16,4.33
2002-07-17,4.26
2002-07-18,4.25
2002-07-19,4.17
2002-07-22,3.92
2002-07-23,3.68
2002-07-24,3.97
2002-07-25,4.12
2002-07-26,4.13
2002-07-29,4.52
2002-07-30,4.51
2002-07-31,4.39
2002-08-01,4.31
2002-08-02,4.12
2002-08-05,4.02
2002-08-06,4.22
2002-08-07,4.21
2002-08-08,4.49
2002-08-09,4.43
2002-08-12,4.73
2002-08-13,4.55
2002-08-14,4.48
2002-08-15,4.73
2002-08-16,4.71
2002-08-19,4.82
2002-08-20,4.61
2002-08-21,4.72
2002-08-22,4.77
2002-08-23,4.54
2002-08-26,4.7
2002-08-27,4.49
2002-08-28,4.26
2002-08-29,4.31
2002-08-30,4.36
2002-09-03,4.12
2002-09-04,4.16
2002-09-05,4.12
2002-09-06,4.29
2002-09-09,4.34
2002-09-10,4.49
2002-09-11,4.51
2002-09-12,4.36
2002-09-13,4.38
2002-09-16,4.4
2002-09-17,4.27
2002-09-18,4.28
2002-09-19,4.24
2002-09-20,4.15
2002-09-23,4.14
2002-09-24,4.04
2002-09-25,4.33
2002-09-26,4.24
2002-09-27,3.99
2002-09-30,3.98
2002-10-01,4.05
2002-10-02,4.18
2002-10-03,4.2
2002-10-04,4.17
2002-10-07,4.06
2002-10-08,4.03
2002-10-09,3.96
2002-10-10,4.04
2002-10-11,4.22
2002-10-14,4.34
2002-10-15,4.49
2002-10-16,4.46
2002-10-17,4.58
2002-10-18,4.55
2002-10-21,4.54
2002-10-22,4.32
2002-10-23,4.49
2002-10-24,4.38
2002-10-25,4.18
2002-10-28,4.31
2002-10-29,4.33
2002-10-30,4.4
2002-10-31,4.39
2002-11-01,4.53
2002-11-04,4.51
