Date,Price
1990-01-01,2422.7
1990-01-02,2434.1
1990-01-03,2463.7
1990-01-04,2451.6
1990-01-05,2444.5
1990-01-08,2431.3
1990-01-09,2436.3
1990-01-10,2412.6
1990-01-11,2417.9
1990-01-12,2380.1
1990-01-15,2366.2
1990-01-16,2349.1
1990-01-17,2373.9
1990-01-18,2336.9
1990-01-19,2335.0
1990-01-22,2297.1
1990-01-23,2291.1
1990-01-24,2278.6
1990-01-25,2289.9
1990-01-26,2314.5
1990-01-29,2328.8
1990-01-30,2322.0
1990-01-31,2337.3
1990-02-01,2345.8
1990-02-02,2355.1
1990-02-05,2348.4
1990-02-06,2321.1
1990-02-07,2307.4
1990-02-08,2331.0
1990-02-09,2313.6
1990-02-12,2286.9
1990-02-13,2293.2
1990-02-14,2298.3
1990-02-15,2313.8
1990-02-16,2325.9
1990-02-19,2297.1
1990-02-20,2277.0
1990-02-21,2259.7
1990-02-22,2269.2
1990-02-23,2223.7
1990-02-26,2249.3
1990-02-27,2254.8
1990-02-28,2255.4
1990-03-01,2238.4
1990-03-02,2254.8
1990-03-05,2230.5
1990-03-06,2216.0
1990-03-07,2230.3
1990-03-08,2250.0
1990-03-09,2234.3
1990-03-12,2222.8
1990-03-13,2224.5
1990-03-14,2226.1
1990-03-15,2234.9
1990-03-16,2263.9
1990-03-19,2238.0
1990-03-20,2259.7
1990-03-21,2250.3
1990-03-22,2258.9
1990-03-23,2283.9
1990-03-26,2298.2
1990-03-27,2266.2
1990-03-28,2275.0
1990-03-29,2263.0
1990-03-30,2247.9
1990-04-02,2221.6
1990-04-03,2240.7
1990-04-04,2231.6
1990-04-05,2239.5
1990-04-06,2221.1
1990-04-09,2227.7
1990-04-10,2217.5
1990-04-11,2215.5
1990-04-12,2222.1
1990-04-13,2222.1
1990-04-16,2222.1
1990-04-17,2214.5
1990-04-18,2205.9
1990-04-19,2184.7
1990-04-20,2187.1
1990-04-23,2159.2
1990-04-24,2159.9
1990-04-25,2143.1
1990-04-26,2133.6
1990-04-27,2106.6
1990-04-30,2103.4
1990-05-01,2117.9
1990-05-02,2137.6
1990-05-03,2134.9
1990-05-04,2162.2
1990-05-07,2162.2
1990-05-08,2182.0
1990-05-09,2162.7
1990-05-10,2157.0
1990-05-11,2175.9
1990-05-14,2214.5
1990-05-15,2212.2
1990-05-16,2222.1
1990-05-17,2284.4
1990-05-18,2269.1
1990-05-21,2282.1
1990-05-22,2311.3
1990-05-23,2287.4
1990-05-24,2277.1
1990-05-25,2265.6
1990-05-28,2265.6
1990-05-29,2295.6
1990-05-30,2346.2
1990-05-31,2345.1
1990-06-01,2371.4
1990-06-04,2379.0
1990-06-05,2380.1
1990-06-06,2358.5
1990-06-07,2378.4
1990-06-08,2366.6
1990-06-11,2348.8
1990-06-12,2370.7
1990-06-13,2405.4
1990-06-14,2403.0
1990-06-15,2392.3
1990-06-18,2370.5
1990-06-19,2369.7
1990-06-20,2371.2
1990-06-21,2370.3
1990-06-22,2378.5
1990-06-25,2398.5
1990-06-26,2399.8
1990-06-27,2373.5
1990-06-28,2355.7
1990-06-29,2374.6
1990-07-02,2372.0
1990-07-03,2371.7
1990-07-04,2355.5
1990-07-05,2331.4
1990-07-06,2340.0
1990-07-09,2337.5
1990-07-10,2327.5
1990-07-11,2360.5
1990-07-12,2370.5
1990-07-13,2382.2
1990-07-16,2406.5
1990-07-17,2415.0
1990-07-18,2402.0
1990-07-19,2387.3
1990-07-20,2400.1
1990-07-23,2359.7
1990-07-24,2360.9
1990-07-25,2364.7
1990-07-26,2344.1
1990-07-27,2330.1
1990-07-30,2316.5
1990-07-31,2326.2
1990-08-01,2339.0
1990-08-02,2304.5
1990-08-03,2284.6
1990-08-06,2220.2
1990-08-07,2235.8
1990-08-08,2237.5
1990-08-09,2244.9
1990-08-10,2233.8
1990-08-13,2219.5
1990-08-14,2234.0
1990-08-15,2239.3
1990-08-16,2222.1
1990-08-17,2176.9
1990-08-20,2156.6
1990-08-21,2108.1
1990-08-22,2104.8
1990-08-23,2075.0
1990-08-24,2086.4
1990-08-27,2086.4
1990-08-28,2126.1
1990-08-29,2125.7
1990-08-30,2153.6
1990-08-31,2162.8
1990-09-03,2166.6
1990-09-04,2148.0
1990-09-05,2152.2
1990-09-06,2120.9
1990-09-07,2122.9
1990-09-10,2147.0
1990-09-11,2144.3
1990-09-12,2142.3
1990-09-13,2127.1
1990-09-14,2093.8
1990-09-17,2094.3
1990-09-18,2064.0
1990-09-19,2065.8
1990-09-20,2016.9
1990-09-21,2025.5
1990-09-24,1990.3
1990-09-25,1999.2
1990-09-26,2000.0
1990-09-27,2009.1
