Date,Price
2000-01-03,21.93
2000-01-04,21.61
2000-01-05,21.22
2000-01-06,21.26
2000-01-07,21.71
2000-01-10,21.22
2000-01-11,21.22
2000-01-12,21.33
2000-01-13,21.54
2000-01-14,21.29
2000-01-17,20.76
2000-01-18,20.62
2000-01-19,20.57
2000-01-20,20.9
2000-01-21,20.48
2000-01-24,20.41
2000-01-25,20.38
2000-01-26,20.02
2000-01-27,20.43
2000-01-28,20.41
2000-01-31,20.29
2000-02-01,21.21
2000-02-02,21.43
2000-02-03,21.54
2000-02-04,20.98
2000-02-07,20.73
2000-02-08,21.2
2000-02-09,21.43
2000-02-10,21.29
2000-02-11,21.19
2000-02-14,20.55
2000-02-15,20.27
2000-02-16,20.79
2000-02-17,21.12
2000-02-18,20.48
2000-02-21,20.43
2000-02-22,19.99
2000-02-23,20.29
2000-02-24,19.92
2000-02-25,19.76
2000-02-28,19.67
2000-02-29,19.88
2000-03-01,20.0
2000-03-02,20.27
2000-03-03,20.3
2000-03-06,21.47
2000-03-07,21.29
2000-03-08,20.8
2000-03-09,20.98
2000-03-10,20.76
2000-03-13,20.14
2000-03-14,20.45
2000-03-15,20.52
2000-03-16,21.07
2000-03-17,21.4
2000-03-20,20.38
2000-03-21,19.79
2000-03-22,19.71
2000-03-23,19.79
2000-03-24,20.62
2000-03-27,20.52
2000-03-28,20.19
2000-03-29,20.59
2000-03-30,20.59
2000-03-31,20.4
2000-04-03,20.76
2000-04-04,21.61
2000-04-05,21.54
2000-04-06,21.22
2000-04-07,21.12
2000-04-10,21.45
2000-04-11,21.15
2000-04-12,21.57
2000-04-13,21.82
2000-04-14,21.54
2000-04-17,21.57
2000-04-18,21.47
2000-04-19,21.54
2000-04-20,22.1
2000-04-21,24.31
2000-04-24,24.31
2000-04-25,22.38
2000-04-26,22.24
2000-04-27,22.07
2000-04-28,22.03
2000-05-01,24.23
2000-05-02,22.03
2000-05-03,21.47
2000-05-04,21.43
2000-05-05,21.36
2000-05-08,21.26
2000-05-09,21.12
2000-05-10,21.38
2000-05-11,21.36
2000-05-12,21.78
2000-05-15,21.57
2000-05-16,21.93
2000-05-17,21.82
2000-05-18,22.42
2000-05-19,22.38
2000-05-22,22.03
2000-05-23,22.31
2000-05-24,22.49
2000-05-25,22.95
2000-05-26,23.09
2000-05-29,22.84
2000-05-30,23.05
2000-05-31,22.73
2000-06-01,22.73
2000-06-02,22.77
2000-06-05,22.95
2000-06-06,23.16
2000-06-07,23.19
2000-06-08,23.05
2000-06-09,22.95
2000-06-12,22.73
2000-06-13,22.91
2000-06-14,23.54
2000-06-15,23.86
2000-06-16,23.47
2000-06-19,23.51
2000-06-20,24.0
2000-06-21,23.93
2000-06-22,23.72
2000-06-23,24.42
2000-06-26,24.42
2000-06-27,24.57
2000-06-28,24.64
2000-06-29,25.27
2000-06-30,25.27
2000-07-03,25.37
2000-07-04,25.23
2000-07-05,25.52
2000-07-06,25.44
2000-07-07,25.9
2000-07-10,25.87
2000-07-11,25.8
2000-07-12,25.76
2000-07-13,25.02
2000-07-14,24.53
2000-07-17,24.71
2000-07-18,24.71
2000-07-19,24.64
2000-07-20,24.85
2000-07-21,24.88
2000-07-24,24.99
2000-07-25,25.27
2000-07-26,25.16
2000-07-27,24.81
2000-07-28,24.67
2000-07-31,25.06
2000-08-01,24.74
2000-08-02,25.13
2000-08-03,24.81
2000-08-04,24.71
2000-08-07,24.92
2000-08-08,25.52
2000-08-09,25.44
2000-08-10,25.37
2000-08-11,25.44
2000-08-14,25.62
2000-08-15,28.18
2000-08-16,25.59
2000-08-17,25.44
2000-08-18,25.37
2000-08-21,25.2
2000-08-22,25.2
2000-08-23,25.27
2000-08-24,25.09
2000-08-25,24.92
2000-08-28,24.95
2000-08-29,24.28
2000-08-30,24.53
2000-08-31,24.39
2000-09-01,24.42
2000-09-04,24.18
2000-09-05,23.83
2000-09-06,23.93
2000-09-07,24.28
2000-09-08,24.28
2000-09-11,24.53
2000-09-12,24.64
2000-09-13,24.81
2000-09-14,25.27
2000-09-15,25.55
2000-09-18,25.09
2000-09-19,25.06
2000-09-20,24.71
2000-09-21,24.6
2000-09-22,25.09
2000-09-25,25.09
2000-09-26,25.41
2000-09-27,25.52
2000-09-28,25.59
2000-09-29,25.66
2000-10-02,25.73
2000-10-03,25.69
2000-10-04,25.52
2000-10-05,25.2
2000-10-06,25.23
2000-10-09,25.44
2000-10-10,25.8
2000-10-11,25.8
2000-10-12,25.27
2000-10-13,25.3
2000-10-16,25.3
2000-10-17,25.34
