Date,Price
1990-01-02,1.95
1990-01-03,1.98
1990-01-04,1.97
1990-01-05,1.96
1990-01-08,1.95
1990-01-09,1.91
1990-01-10,1.85
1990-01-11,1.83
1990-01-12,1.8
1990-01-15,1.79
1990-01-16,1.8
1990-01-17,1.78
1990-01-18,1.79
1990-01-19,1.8
1990-01-22,1.76
1990-01-23,1.75
1990-01-24,1.75
1990-01-25,1.7
1990-01-26,1.73
1990-01-29,1.7
1990-01-30,1.73
1990-01-31,1.76
1990-02-01,1.74
1990-02-02,1.72
1990-02-05,1.7
1990-02-06,1.64
1990-02-07,1.65
1990-02-08,1.61
1990-02-09,1.6
1990-02-12,1.57
1990-02-13,1.57
1990-02-14,1.6
1990-02-15,1.6
1990-02-16,1.59
1990-02-20,1.58
1990-02-21,1.58
1990-02-22,1.57
1990-02-23,1.57
1990-02-26,1.58
1990-02-27,1.59
1990-02-28,1.61
1990-03-01,1.64
1990-03-02,1.64
1990-03-05,1.63
1990-03-06,1.64
1990-03-07,1.63
1990-03-08,1.64
1990-03-09,1.63
1990-03-12,1.62
1990-03-13,1.61
1990-03-14,1.61
1990-03-15,1.62
1990-03-16,1.64
1990-03-19,1.62
1990-03-20,1.6
1990-03-21,1.61
1990-03-22,1.63
1990-03-23,1.63
1990-03-26,1.64
1990-03-27,1.68
1990-03-28,1.67
1990-03-29,1.63
1990-03-30,1.62
1990-04-02,1.6
1990-04-03,1.62
1990-04-04,1.61
1990-04-05,1.61
1990-04-06,1.63
1990-04-09,1.65
1990-04-10,1.64
1990-04-11,1.62
1990-04-12,1.63
1990-04-16,1.63
1990-04-17,1.63
1990-04-18,1.63
1990-04-19,1.63
1990-04-20,1.62
1990-04-23,1.59
1990-04-24,1.6
1990-04-25,1.6
1990-04-26,1.58
1990-04-27,1.55
1990-04-30,1.51
1990-05-01,1.52
1990-05-02,1.51
1990-05-03,1.5
1990-05-04,1.5
1990-05-07,1.49
1990-05-08,1.48
1990-05-09,1.45
1990-05-10,1.45
1990-05-11,1.46
1990-05-14,1.47
1990-05-15,1.49
1990-05-16,1.49
1990-05-17,1.5
1990-05-18,1.51
1990-05-21,1.5
1990-05-22,1.5
1990-05-23,1.48
1990-05-24,1.5
1990-05-25,1.5
1990-05-29,1.52
1990-05-30,1.54
1990-05-31,1.55
1990-06-01,1.52
1990-06-04,1.54
1990-06-05,1.56
1990-06-06,1.55
1990-06-07,1.56
1990-06-08,1.57
1990-06-11,1.56
1990-06-12,1.56
1990-06-13,1.56
1990-06-14,1.55
1990-06-15,1.55
1990-06-18,1.53
1990-06-19,1.53
1990-06-20,1.5
1990-06-21,1.5
1990-06-22,1.46
1990-06-25,1.42
1990-06-26,1.4
1990-06-27,1.43
1990-06-28,1.4
1990-06-29,1.39
1990-07-02,1.39
1990-07-03,1.4
1990-07-05,1.38
1990-07-06,1.4
1990-07-09,1.44
1990-07-10,1.42
1990-07-11,1.4
1990-07-12,1.39
1990-07-13,1.39
1990-07-16,1.4
1990-07-17,1.39
1990-07-18,1.38
1990-07-19,1.4
1990-07-20,1.39
1990-07-23,1.34
1990-07-24,1.34
1990-07-25,1.32
1990-07-26,1.29
1990-07-27,1.2
1990-07-30,1.17
1990-07-31,1.17
1990-08-01,1.17
1990-08-02,1.24
1990-08-03,1.27
1990-08-06,1.32
1990-08-07,1.31
1990-08-08,1.26
1990-08-09,1.23
1990-08-10,1.21
1990-08-13,1.19
1990-08-14,1.18
1990-08-15,1.19
1990-08-16,1.18
1990-08-17,1.15
1990-08-20,1.19
1990-08-21,1.2
1990-08-22,1.21
1990-08-23,1.18
1990-08-24,1.15
1990-08-27,1.15
1990-08-28,1.16
1990-08-29,1.15
1990-08-30,1.11
1990-08-31,1.09
1990-09-04,1.11
1990-09-05,1.12
1990-09-06,1.11
1990-09-07,1.12
1990-09-10,1.11
1990-09-11,1.09
1990-09-12,1.11
1990-09-13,1.11
1990-09-14,1.11
1990-09-17,1.1
1990-09-18,1.1
1990-09-19,1.11
1990-09-20,1.11
1990-09-21,1.16
1990-09-24,1.14
1990-09-25,1.06
1990-09-26,1.06
1990-09-27,1.04
1990-09-28,1.04
1990-10-01,1.01
1990-10-02,0.98
1990-10-03,0.99
1990-10-04,1.03
1990-10-05,1.12
1990-10-08,1.1
1990-10-09,1.08
1990-10-10,1.04
1990-10-11,1.01
1990-10-12,1.01
1990-10-15,0.99
1990-10-16,0.93
1990-10-17,0.89
1990-10-18,0.85
1990-10-19,0.92
1990-10-22,0.91
1990-10-23,0.89
1990-10-24,0.89
1990-10-25,0.98
1990-10-26,0.99
1990-10-29,0.98
1990-10-30,0.99
1990-10-31,1.06
1990-11-01,1.04
1990-11-02,1.04
1990-11-05,1.02
1990-11-06,1.03
1990-11-07,1.05
1990-11-08,1.05
1990-11-09,1.06
1990-11-12,1.08
1990-11-13,1.06
1990-11-14,1.04
1990-11-15,1.0
1990-11-16,1.0
1990-11-19,1.03
1990-11-20,1.02
1990-11-21,1.03
1990-11-23,1.02
1990-11-26,1.03
1990-11-27,1.03
1990-11-28,1.04
1990-11-29,1.0
1990-11-30,1.04
1990-12-03,1.04
1990-12-04,1.03
1990-12-05,1.05
1990-12-06,1.05
1990-12-07,1.09
1990-12-10,1.09
1990-12-11,1.07
1990-12-12,1.08
1990-12-13,1.09
1990-12-14,1.13
1990-12-17,1.14
1990-12-18,1.16
1990-12-19,1.14
1990-12-20,1.12
1990-12-21,1.15
1990-12-24,1.13
1990-12-26,1.11
1990-12-27,1.11
1990-12-28,1.11
1990-12-31,1.12
1991-01-02,1.13
1991-01-03,1.11
1991-01-04,1.13
1991-01-07,1.11
1991-01-08,1.0
1991-01-09,0.94
1991-01-10,0.94
1991-01-11,0.93
1991-01-14,0.93
1991-01-15,0.96
1991-01-16,0.95
1991-01-17,1.05
1991-01-18,1.13
1991-01-21,1.31
1991-01-22,1.37
1991-01-23,1.35
1991-01-24,1.3
1991-01-25,1.23
1991-01-28,1.26
1991-01-29,1.3
1991-01-30,1.34
1991-01-31,1.29
1991-02-01,1.28
1991-02-04,1.17
1991-02-05,1.19
1991-02-06,1.26
1991-02-07,1.21
1991-02-08,1.23
1991-02-11,1.19
1991-02-12,1.14
1991-02-13,1.21
1991-02-14,1.18
1991-02-15,1.14
1991-02-19,1.14
1991-02-20,1.13
1991-02-21,1.14
1991-02-22,1.18
1991-02-25,1.18
1991-02-26,1.11
1991-02-27,1.12
1991-02-28,1.12
1991-03-01,1.1
1991-03-04,1.09
1991-03-05,1.1
1991-03-06,1.1
1991-03-07,1.09
1991-03-08,1.06
1991-03-11,1.07
1991-03-12,1.07
1991-03-13,1.28
1991-03-14,1.31
1991-03-15,1.3
1991-03-18,1.32
1991-03-19,1.32
1991-03-20,1.31
1991-03-21,1.31
1991-03-22,1.32
1991-03-25,1.41
1991-03-26,1.44
1991-03-27,1.47
1991-03-28,1.5
1991-04-01,1.54
1991-04-02,1.54
1991-04-03,1.54
1991-04-04,1.5
1991-04-05,1.44
1991-04-08,1.46
1991-04-09,1.4
1991-04-10,1.46
1991-04-11,1.5
1991-04-12,1.5
1991-04-15,1.5
1991-04-16,1.51
1991-04-17,1.58
1991-04-18,1.59
1991-04-19,1.59
1991-04-22,1.58
1991-04-23,1.67
1991-04-24,1.7
1991-04-25,1.67
1991-04-26,1.65
1991-04-29,1.68
1991-04-30,1.7
1991-05-01,1.76
1991-05-02,1.74
1991-05-03,1.76
1991-05-06,1.79
1991-05-07,1.81
1991-05-08,1.81
1991-05-09,1.79
1991-05-10,1.74
1991-05-13,1.76
1991-05-14,1.77
1991-05-15,1.76
1991-05-16,1.76
1991-05-17,1.76
1991-05-20,1.77
1991-05-21,1.79
1991-05-22,1.79
1991-05-23,1.76
1991-05-24,1.76
1991-05-28,1.77
1991-05-29,1.75
1991-05-30,1.72
1991-05-31,1.74
1991-06-03,1.8
1991-06-04,1.8
1991-06-05,1.8
1991-06-06,1.76
1991-06-07,1.77
1991-06-10,1.76
1991-06-11,1.76
1991-06-12,1.74
1991-06-13,1.73
1991-06-14,1.75
1991-06-17,1.76
1991-06-18,1.81
1991-06-19,1.81
1991-06-20,1.87
1991-06-21,1.88
1991-06-24,1.88
1991-06-25,1.82
1991-06-26,1.85
1991-06-27,1.84
1991-06-28,1.89
1991-07-01,1.93
1991-07-02,1.92
1991-07-03,1.9
1991-07-05,1.91
1991-07-08,1.94
1991-07-09,1.89
1991-07-10,1.9
1991-07-11,1.91
1991-07-12,1.98
1991-07-15,2.01
1991-07-16,1.99
1991-07-17,2.0
1991-07-18,2.0
1991-07-19,2.02
1991-07-22,2.02
1991-07-23,2.01
1991-07-24,2.02
1991-07-25,2.02
1991-07-26,1.97
1991-07-29,1.96
1991-07-30,2.03
1991-07-31,2.05
1991-08-01,2.0
1991-08-02,2.0
1991-08-05,1.98
1991-08-06,1.98
1991-08-07,1.99
1991-08-08,2.0
1991-08-09,2.01
1991-08-12,2.01
1991-08-13,2.01
1991-08-14,2.01
1991-08-15,2.03
1991-08-16,2.01
1991-08-19,2.01
1991-08-20,2.13
1991-08-21,2.01
1991-08-22,1.93
1991-08-23,1.93
1991-08-26,1.9
1991-08-27,1.82
1991-08-28,1.89
1991-08-29,1.86
1991-08-30,1.93
1991-09-03,1.93
1991-09-04,1.93
1991-09-05,1.92
1991-09-06,1.92
1991-09-09,1.92
1991-09-10,1.9
1991-09-11,1.87
1991-09-12,1.87
1991-09-13,1.85
1991-09-16,1.8
1991-09-17,1.84
1991-09-18,1.87
1991-09-19,1.85
1991-09-20,1.86
1991-09-23,1.9
1991-09-24,2.07
1991-09-25,2.25
1991-09-26,2.22
1991-09-27,2.1
1991-09-30,2.11
1991-10-01,2.12
1991-10-02,2.14
1991-10-03,2.14
1991-10-04,2.21
1991-10-07,2.17
1991-10-08,2.1
1991-10-09,2.13
1991-10-10,2.13
1991-10-11,2.16
1991-10-14,2.18
1991-10-15,2.19
1991-10-16,2.17
1991-10-17,2.27
1991-10-18,2.29
1991-10-21,2.29
1991-10-22,2.27
1991-10-23,2.22
1991-10-24,2.2
1991-10-25,2.19
1991-10-28,2.25
1991-10-29,2.33
1991-10-30,2.34
1991-10-31,2.38
1991-11-01,2.36
1991-11-04,2.4
1991-11-05,2.37
1991-11-06,2.41
1991-11-07,2.4
1991-11-08,2.35
1991-11-11,2.4
1991-11-12,2.4
1991-11-13,2.46
1991-11-14,2.47
1991-11-15,2.31
1991-11-18,2.29
1991-11-19,2.24
1991-11-20,2.25
1991-11-21,2.23
1991-11-22,2.17
1991-11-25,2.19
1991-11-26,2.22
1991-11-27,2.22
1991-11-29,2.23
1991-12-02,2.23
