Date,Price
2002-02-13,9.09
2002-02-14,9.05
2002-02-15,9.0
2002-02-19,8.64
2002-02-20,8.93
2002-02-21,8.91
2002-02-22,8.75
2002-02-25,8.82
2002-02-26,8.82
2002-02-27,8.66
2002-02-28,8.64
2002-03-01,8.76
2002-03-04,8.91
2002-03-05,8.71
2002-03-06,8.75
2002-03-07,9.24
2002-03-08,9.45
2002-03-11,9.58
2002-03-12,9.59
2002-03-13,9.51
2002-03-14,9.5
2002-03-15,9.2
2002-03-18,8.73
2002-03-19,8.46
2002-03-20,8.15
2002-03-21,8.48
2002-03-22,8.73
2002-03-25,8.92
2002-03-26,9.04
2002-03-27,9.32
2002-03-28,9.14
2002-04-01,8.62
2002-04-02,8.43
2002-04-03,8.41
2002-04-04,8.57
2002-04-05,8.36
2002-04-08,8.28
2002-04-09,8.57
2002-04-10,8.56
2002-04-11,8.37
2002-04-12,8.26
2002-04-15,8.4
2002-04-16,8.59
2002-04-17,8.96
2002-04-18,8.96
2002-04-19,9.17
2002-04-22,9.05
2002-04-23,8.84
2002-04-24,8.78
2002-04-25,8.78
2002-04-26,8.71
2002-04-29,8.55
2002-04-30,8.62
2002-05-01,9.27
2002-05-02,9.42
2002-05-03,9.41
2002-05-06,9.84
2002-05-07,9.73
2002-05-08,10.13
2002-05-09,10.34
2002-05-10,9.98
2002-05-13,9.73
2002-05-14,9.41
2002-05-15,8.98
2002-05-16,9.32
2002-05-17,9.6
2002-05-20,9.67
2002-05-21,9.27
2002-05-22,9.61
2002-05-23,10.14
2002-05-24,10.61
2002-05-28,10.95
2002-05-29,10.68
2002-05-30,10.52
2002-05-31,10.94
2002-06-03,10.52
2002-06-04,10.6
2002-06-05,10.52
2002-06-06,10.52
2002-06-07,10.38
2002-06-10,10.18
2002-06-11,10.29
2002-06-12,10.13
2002-06-13,10.39
2002-06-14,10.18
2002-06-17,10.41
2002-06-18,10.19
2002-06-19,10.4
2002-06-20,9.91
2002-06-21,9.5
2002-06-24,9.28
2002-06-25,9.04
2002-06-26,8.57
2002-06-27,9.05
2002-06-28,9.49
2002-07-01,8.93
2002-07-02,8.49
2002-07-03,8.37
2002-07-05,8.6
2002-07-08,8.96
2002-07-09,8.82
2002-07-10,8.68
2002-07-11,8.34
2002-07-12,8.0
2002-07-15,7.55
2002-07-16,7.32
2002-07-17,7.28
2002-07-18,7.26
2002-07-19,7.14
