Date,Price
2000-12-08,7.24
2000-12-11,7.67
2000-12-12,7.2
2000-12-13,7.2
2000-12-14,7.29
2000-12-15,7.29
2000-12-18,7.27
2000-12-19,7.11
2000-12-20,6.61
2000-12-21,6.59
2000-12-22,6.97
2000-12-26,6.88
2000-12-27,6.72
2000-12-28,6.75
2000-12-29,7.15
2001-01-02,6.97
2001-01-03,6.38
2001-01-04,6.54
2001-01-05,6.56
2001-01-08,6.34
2001-01-09,6.25
2001-01-10,6.16
2001-01-11,6.59
2001-01-12,6.93
2001-01-16,6.88
2001-01-17,7.02
2001-01-18,6.88
2001-01-19,6.66
2001-01-22,6.47
2001-01-23,6.47
2001-01-24,6.16
2001-01-25,6.47
2001-01-26,6.75
2001-01-29,7.22
2001-01-30,7.27
2001-01-31,7.04
2001-02-01,7.2
2001-02-02,7.83
2001-02-05,8.65
2001-02-06,8.96
2001-02-07,8.83
2001-02-08,9.1
2001-02-09,8.69
2001-02-12,8.51
2001-02-13,8.83
2001-02-14,8.06
2001-02-15,7.7
2001-02-16,7.74
2001-02-20,7.11
2001-02-21,7.11
2001-02-22,6.72
2001-02-23,7.42
2001-02-26,7.69
2001-02-27,7.97
2001-02-28,7.92
2001-03-01,7.24
2001-03-02,7.29
2001-03-05,7.56
2001-03-06,7.24
2001-03-07,7.47
2001-03-08,7.2
2001-03-09,7.11
2001-03-12,6.56
2001-03-13,6.84
2001-03-14,7.18
2001-03-15,7.33
2001-03-16,7.13
2001-03-19,7.02
2001-03-20,6.93
2001-03-21,7.22
2001-03-22,7.11
2001-03-23,7.24
2001-03-26,7.33
2001-03-27,7.15
2001-03-28,6.79
2001-03-29,6.9
2001-03-30,7.2
2001-04-02,7.15
2001-04-03,6.7
2001-04-04,7.27
2001-04-05,7.33
2001-04-06,6.93
2001-04-09,6.61
2001-04-10,6.72
2001-04-11,6.64
2001-04-12,6.56
2001-04-16,6.54
2001-04-17,6.66
2001-04-18,6.52
2001-04-19,6.52
2001-04-20,6.72
2001-04-23,6.69
2001-04-24,6.66
2001-04-25,6.59
2001-04-26,6.75
2001-04-27,7.26
2001-04-30,7.61
2001-05-01,7.8
2001-05-02,7.61
2001-05-03,7.63
2001-05-04,7.91
2001-05-07,7.9
2001-05-08,8.34
2001-05-09,8.48
2001-05-10,8.86
2001-05-11,8.66
2001-05-14,8.26
2001-05-15,8.53
2001-05-16,8.36
2001-05-17,8.94
2001-05-18,8.79
2001-05-21,8.57
2001-05-22,8.33
2001-05-23,8.3
2001-05-24,8.44
2001-05-25,8.36
2001-05-29,7.99
2001-05-30,7.35
2001-05-31,7.25
2001-06-01,7.25
2001-06-04,7.2
2001-06-05,7.55
2001-06-06,7.72
2001-06-07,8.0
2001-06-08,8.19
2001-06-11,7.95
2001-06-12,8.02
2001-06-13,7.97
2001-06-14,7.97
2001-06-15,8.17
2001-06-18,8.06
2001-06-19,8.06
2001-06-20,8.13
2001-06-21,8.0
2001-06-22,8.15
2001-06-25,8.12
2001-06-26,8.09
2001-06-27,8.33
2001-06-28,8.33
2001-06-29,8.28
2001-07-02,8.39
2001-07-03,8.39
2001-07-05,8.4
2001-07-06,8.45
2001-07-09,8.44
2001-07-10,8.46
2001-07-11,8.12
2001-07-12,8.24
2001-07-13,8.24
2001-07-16,8.19
2001-07-17,8.2
2001-07-18,8.11
2001-07-19,8.22
2001-07-20,8.28
2001-07-23,8.22
2001-07-24,7.68
2001-07-25,7.54
2001-07-26,7.61
2001-07-27,7.96
2001-07-30,7.97
2001-07-31,7.9
2001-08-01,7.45
2001-08-02,7.14
2001-08-03,6.95
2001-08-06,7.18
2001-08-07,7.17
2001-08-08,7.08
2001-08-09,7.03
2001-08-10,7.06
2001-08-13,6.9
2001-08-14,6.92
2001-08-15,6.99
2001-08-16,6.95
2001-08-17,6.9
2001-08-20,6.86
2001-08-21,6.89
2001-08-22,7.19
2001-08-23,7.13
2001-08-24,7.25
2001-08-27,7.13
2001-08-28,7.11
2001-08-29,7.21
2001-08-30,7.15
2001-08-31,7.19
2001-09-04,7.26
2001-09-05,7.31
2001-09-06,7.32
2001-09-07,7.13
2001-09-10,7.24
2001-09-17,6.88
2001-09-18,6.52
2001-09-19,6.08
2001-09-20,5.22
2001-09-21,5.25
2001-09-24,5.72
2001-09-25,5.58
2001-09-26,5.78
2001-09-27,5.78
2001-09-28,5.83
2001-10-01,5.78
2001-10-02,5.61
2001-10-03,5.63
2001-10-04,5.79
2001-10-05,5.82
2001-10-08,5.79
2001-10-09,5.76
2001-10-10,5.79
2001-10-11,6.24
2001-10-12,6.3
2001-10-15,6.31
2001-10-16,6.23
2001-10-17,6.1
2001-10-18,6.08
2001-10-19,5.99
2001-10-22,6.16
2001-10-23,6.17
2001-10-24,6.18
2001-10-25,6.12
2001-10-26,6.21
2001-10-29,6.16
2001-10-30,6.0
2001-10-31,6.09
2001-11-01,6.12
2001-11-02,6.12
2001-11-05,6.08
2001-11-06,6.1
2001-11-07,6.14
2001-11-08,6.09
2001-11-09,6.14
2001-11-12,6.1
2001-11-13,6.18
2001-11-14,6.0
2001-11-15,6.12
2001-11-16,6.18
2001-11-19,6.17
2001-11-20,6.16
2001-11-21,6.12
2001-11-23,6.13
2001-11-26,6.23
2001-11-27,6.19
2001-11-28,6.18
2001-11-29,6.24
2001-11-30,6.32
2001-12-03,6.5
2001-12-04,6.48
2001-12-05,6.52
2001-12-06,6.52
2001-12-07,6.53
2001-12-10,6.86
2001-12-11,6.92
2001-12-12,7.03
2001-12-13,6.98
2001-12-14,7.06
2001-12-17,7.25
2001-12-18,7.62
2001-12-19,7.25
2001-12-20,7.45
2001-12-21,7.61
2001-12-24,7.64
2001-12-26,7.64
2001-12-27,7.66
2001-12-28,7.72
2001-12-31,7.72
2002-01-02,7.7
2002-01-03,7.71
2002-01-04,7.74
2002-01-07,7.58
2002-01-08,7.33
2002-01-09,7.33
2002-01-10,7.47
2002-01-11,7.35
2002-01-14,7.24
2002-01-15,7.5
2002-01-16,7.2
2002-01-17,7.18
2002-01-18,7.08
2002-01-22,7.03
2002-01-23,7.04
2002-01-24,7.02
2002-01-25,6.99
2002-01-28,6.98
2002-01-29,6.88
2002-01-30,6.9
2002-01-31,6.93
2002-02-01,6.86
2002-02-04,6.86
2002-02-05,6.79
2002-02-06,6.83
2002-02-07,6.83
2002-02-08,6.88
2002-02-11,6.88
2002-02-12,7.06
2002-02-13,7.08
2002-02-14,7.24
2002-02-15,7.22
2002-02-19,7.22
2002-02-20,7.21
2002-02-21,7.14
2002-02-22,7.17
2002-02-25,7.24
2002-02-26,7.27
2002-02-27,7.3
2002-02-28,7.3
2002-03-01,7.3
2002-03-04,7.64
2002-03-05,7.77
2002-03-06,7.78
2002-03-07,7.88
2002-03-08,7.99
2002-03-11,8.01
2002-03-12,7.99
2002-03-13,7.53
2002-03-14,7.77
2002-03-15,7.67
2002-03-18,7.82
2002-03-19,7.87
2002-03-20,7.98
2002-03-21,8.01
