Date,Price
1990-01-01,683.95
1990-01-02,684.82
1990-01-03,701.38
1990-01-04,712.71
1990-01-05,710.09
1990-01-08,697.89
1990-01-09,699.64
1990-01-10,695.28
1990-01-11,698.76
1990-01-12,675.24
1990-01-15,666.53
1990-01-16,663.91
1990-01-17,667.4
1990-01-18,647.36
1990-01-19,645.62
1990-01-22,625.58
1990-01-23,622.96
1990-01-24,617.74
1990-01-25,629.93
1990-01-26,633.42
1990-01-29,637.78
1990-01-30,627.32
1990-01-31,621.22
1990-02-01,616.86
1990-02-02,619.48
1990-02-05,617.74
1990-02-06,612.51
1990-02-07,604.67
1990-02-08,615.12
1990-02-09,610.77
1990-02-12,607.28
1990-02-13,610.77
1990-02-14,616.86
1990-02-15,637.78
1990-02-16,647.36
1990-02-19,632.55
1990-02-20,625.58
1990-02-21,616.86
1990-02-22,620.35
1990-02-23,608.15
1990-02-26,609.89
1990-02-27,609.89
1990-02-28,611.64
1990-03-01,604.67
1990-03-02,605.54
1990-03-05,599.44
1990-03-06,592.47
1990-03-07,601.18
1990-03-08,609.89
1990-03-09,620.35
1990-03-12,629.93
1990-03-13,635.16
1990-03-14,640.39
1990-03-15,654.33
1990-03-16,685.7
1990-03-19,683.08
1990-03-20,715.32
1990-03-21,702.25
1990-03-22,683.08
1990-03-23,690.92
1990-03-26,693.54
1990-03-27,679.6
1990-03-28,683.95
1990-03-29,678.73
1990-03-30,671.76
1990-04-02,673.5
1990-04-03,692.67
1990-04-04,697.02
1990-04-05,695.28
1990-04-06,683.95
1990-04-09,683.95
1990-04-10,683.08
1990-04-11,688.31
1990-04-12,709.22
1990-04-13,709.22
1990-04-16,709.22
1990-04-17,705.74
1990-04-18,692.67
1990-04-19,683.95
1990-04-20,683.95
1990-04-23,670.88
1990-04-24,671.76
1990-04-25,661.3
1990-04-26,656.07
1990-04-27,649.1
1990-04-30,649.97
1990-05-01,663.91
1990-05-02,668.27
1990-05-03,664.79
1990-05-04,668.27
1990-05-07,668.27
1990-05-08,685.26
1990-05-09,680.47
1990-05-10,684.82
1990-05-11,698.76
1990-05-14,717.06
1990-05-15,708.35
1990-05-16,682.21
1990-05-17,698.76
1990-05-18,693.54
1990-05-21,707.48
1990-05-22,719.68
1990-05-23,706.61
1990-05-24,701.38
1990-05-25,683.08
1990-05-28,683.08
1990-05-29,681.34
1990-05-30,694.41
1990-05-31,683.95
1990-06-01,688.31
1990-06-04,688.31
1990-06-05,695.28
1990-06-06,694.41
1990-06-07,709.22
1990-06-08,703.12
1990-06-11,694.41
1990-06-12,702.25
1990-06-13,714.45
1990-06-14,727.52
1990-06-15,719.68
1990-06-18,713.58
1990-06-19,711.83
1990-06-20,710.09
1990-06-21,698.76
1990-06-22,704.86
1990-06-25,706.61
1990-06-26,705.74
1990-06-27,696.15
1990-06-28,702.25
1990-06-29,712.71
1990-07-02,726.65
1990-07-03,720.55
1990-07-04,710.09
1990-07-05,703.12
1990-07-06,708.35
1990-07-09,723.16
1990-07-10,722.29
1990-07-11,742.33
1990-07-12,746.69
1990-07-13,744.94
1990-07-16,758.01
1990-07-17,762.37
1990-07-18,743.2
1990-07-19,738.84
1990-07-20,747.56
1990-07-23,725.77
1990-07-24,718.8
1990-07-25,723.16
1990-07-26,718.8
1990-07-27,721.42
1990-07-30,716.19
1990-07-31,718.8
1990-08-01,719.68
1990-08-02,698.76
1990-08-03,685.7
1990-08-06,663.91
1990-08-07,675.24
1990-08-08,694.41
1990-08-09,700.51
1990-08-10,663.04
1990-08-13,657.81
1990-08-14,663.04
1990-08-15,670.01
1990-08-16,660.43
1990-08-17,634.29
1990-08-20,627.32
1990-08-21,609.89
1990-08-22,607.28
1990-08-23,594.21
1990-08-24,602.92
1990-08-27,602.92
1990-08-28,633.42
1990-08-29,629.06
1990-08-30,641.26
1990-08-31,641.7
1990-09-03,641.26
1990-09-04,634.29
1990-09-05,631.68
1990-09-06,632.55
1990-09-07,649.1
1990-09-10,673.5
1990-09-11,660.43
1990-09-12,643.0
1990-09-13,629.06
1990-09-14,622.09
1990-09-17,635.16
1990-09-18,628.19
1990-09-19,628.19
1990-09-20,623.83
1990-09-21,643.87
1990-09-24,625.58
1990-09-25,637.78
1990-09-26,649.1
1990-09-27,651.72
1990-09-28,636.03
1990-10-01,659.56
1990-10-02,686.57
1990-10-03,695.28
1990-10-04,685.7
1990-10-05,709.22
1990-10-08,711.83
1990-10-09,673.5
1990-10-10,679.6
1990-10-11,652.59
1990-10-12,657.81
1990-10-15,664.79
1990-10-16,648.23
1990-10-17,645.62
1990-10-18,661.3
1990-10-19,666.53
1990-10-22,670.88
1990-10-23,690.05
1990-10-24,675.24
1990-10-25,666.53
1990-10-26,674.37
1990-10-29,679.6
1990-10-30,670.01
1990-10-31,670.88
1990-11-01,656.94
1990-11-02,660.43
1990-11-05,668.27
1990-11-06,677.85
1990-11-07,673.5
1990-11-08,664.79
1990-11-09,663.04
1990-11-12,678.73
1990-11-13,683.08
1990-11-14,683.08
1990-11-15,688.31
1990-11-16,677.85
1990-11-19,676.98
1990-11-20,682.21
1990-11-21,687.44
1990-11-22,688.31
1990-11-23,697.89
1990-11-26,688.31
1990-11-27,687.0
1990-11-28,692.67
1990-11-29,708.35
1990-11-30,710.09
1990-12-03,731.44
1990-12-04,731.87
1990-12-05,747.56
1990-12-06,751.04
1990-12-07,731.0
1990-12-10,745.81
1990-12-11,753.66
1990-12-12,751.04
1990-12-13,761.5
1990-12-14,757.14
1990-12-17,753.66
1990-12-18,744.07
1990-12-19,735.36
1990-12-20,735.36
1990-12-21,750.17
1990-12-24,739.71
1990-12-25,739.71
1990-12-26,739.71
1990-12-27,750.17
1990-12-28,743.2
1990-12-31,738.84
1991-01-01,738.84
1991-01-02,731.0
1991-01-03,718.8
1991-01-04,706.61
1991-01-07,712.71
1991-01-08,710.09
1991-01-09,720.55
1991-01-10,712.71
1991-01-11,733.62
1991-01-14,726.65
1991-01-15,720.55
1991-01-16,720.55
1991-01-17,744.94
1991-01-18,720.55
1991-01-21,724.9
1991-01-22,734.49
1991-01-23,740.59
1991-01-24,749.3
1991-01-25,754.53
1991-01-28,755.4
1991-01-29,757.14
1991-01-30,766.72
1991-01-31,776.31
1991-02-01,772.82
1991-02-04,780.66
1991-02-05,791.12
1991-02-06,788.51
1991-02-07,800.7
1991-02-08,797.22
1991-02-11,810.29
1991-02-12,819.0
1991-02-13,817.26
1991-02-14,823.36
1991-02-15,834.68
1991-02-18,839.91
1991-02-19,846.01
1991-02-20,818.13
1991-02-21,810.29
1991-02-22,807.67
1991-02-25,817.26
1991-02-26,807.67
1991-02-27,798.09
1991-02-28,848.62
1991-03-01,846.88
1991-03-04,859.95
1991-03-05,899.16
1991-03-06,902.64
1991-03-07,878.25
1991-03-08,869.54
1991-03-11,873.89
1991-03-12,864.31
1991-03-13,839.91
1991-03-14,873.02
1991-03-15,891.32
1991-03-18,897.42
1991-03-19,888.7
1991-03-20,880.86
1991-03-21,911.36
1991-03-22,908.74
1991-03-25,917.46
1991-03-26,937.49
1991-03-27,961.89
1991-03-28,969.73
1991-03-29,969.73
1991-04-01,969.73
1991-04-02,986.29
1991-04-03,992.39
1991-04-04,979.32
1991-04-05,980.19
1991-04-08,970.6
1991-04-09,939.24
1991-04-10,931.4
1991-04-11,941.85
1991-04-12,947.95
1991-04-15,958.41
1991-04-16,945.34
1991-04-17,958.41
1991-04-18,944.47
1991-04-19,938.37
1991-04-22,934.01
1991-04-23,937.49
1991-04-24,954.05
1991-04-25,957.53
1991-04-26,961.02
1991-04-29,979.32
1991-04-30,955.79
1991-05-01,953.18
1991-05-02,954.92
1991-05-03,957.53
1991-05-06,957.53
1991-05-07,970.6
1991-05-08,962.76
1991-05-09,976.7
1991-05-10,982.8
1991-05-13,963.63
1991-05-14,948.82
1991-05-15,935.75
1991-05-16,934.88
1991-05-17,957.53
1991-05-20,982.8
1991-05-21,981.93
1991-05-22,985.42
1991-05-23,990.64
1991-05-24,1013.3
1991-05-27,1013.3
1991-05-28,1049.02
1991-05-29,1053.37
1991-05-30,1049.02
1991-05-31,1022.88
1991-06-03,1032.46
1991-06-04,1039.43
1991-06-05,1098.68
1991-06-06,1101.3
1991-06-07,1078.64
1991-06-10,1069.93
1991-06-11,1086.48
1991-06-12,1087.35
1991-06-13,1069.06
1991-06-14,1115.24
1991-06-17,1130.92
1991-06-18,1124.82
1991-06-19,1083.87
1991-06-20,1091.71
1991-06-21,1092.58
1991-06-24,1079.51
1991-06-25,1101.3
1991-06-26,1089.1
1991-06-27,1097.81
1991-06-28,1064.7
1991-07-01,1095.2
1991-07-02,1105.65
1991-07-03,1083.87
1991-07-04,1084.74
1991-07-05,1090.84
1991-07-08,1083.87
1991-07-09,1097.81
1991-07-10,1097.81
1991-07-11,1105.65
1991-07-12,1088.23
1991-07-15,1105.65
1991-07-16,1117.85
1991-07-17,1110.88
1991-07-18,1100.42
1991-07-19,1110.01
1991-07-22,1117.85
1991-07-23,1110.88
1991-07-24,1106.52
1991-07-25,1095.2
1991-07-26,1083.87
1991-07-29,1093.45
1991-07-30,1114.36
1991-07-31,1120.46
1991-08-01,1136.58
1991-08-02,1128.3
1991-08-05,1112.62
1991-08-06,1099.99
1991-08-07,1127.43
1991-08-08,1135.28
1991-08-09,1117.85
1991-08-12,1103.04
1991-08-13,1137.89
1991-08-14,1165.77
1991-08-15,1165.77
1991-08-16,1170.13
1991-08-19,1131.79
1991-08-20,1138.76
1991-08-21,1163.59
1991-08-22,1170.13
1991-08-23,1186.68
1991-08-26,1186.68
1991-08-27,1167.51
1991-08-28,1168.38
1991-08-29,1191.04
1991-08-30,1187.55
1991-09-02,1196.26
1991-09-03,1183.2
1991-09-04,1171.87
1991-09-05,1189.29
1991-09-06,1203.23
1991-09-09,1190.17
1991-09-10,1154.44
1991-09-11,1150.96
1991-09-12,1191.91
1991-09-13,1188.42
1991-09-16,1167.51
1991-09-17,1162.28
1991-09-18,1159.67
1991-09-19,1185.81
