Date,Price
1990-01-02,15.46
1990-01-03,15.67
1990-01-04,15.5
1990-01-05,15.33
1990-01-08,15.25
1990-01-09,14.95
1990-01-10,14.78
1990-01-11,14.82
1990-01-12,14.57
1990-01-15,14.39
1990-01-16,14.31
1990-01-17,13.88
1990-01-18,13.67
1990-01-19,13.42
1990-01-22,13.07
1990-01-23,12.56
1990-01-24,12.27
1990-01-25,12.18
1990-01-26,11.92
1990-01-29,11.84
1990-01-30,11.84
1990-01-31,12.27
1990-02-01,12.01
1990-02-02,12.44
1990-02-05,12.9
1990-02-06,12.56
1990-02-07,12.14
1990-02-08,12.1
1990-02-09,12.27
1990-02-12,12.38
1990-02-13,12.38
1990-02-14,12.03
1990-02-15,11.86
1990-02-16,12.08
1990-02-20,11.95
1990-02-21,11.77
1990-02-22,11.56
1990-02-23,11.39
1990-02-26,11.43
1990-02-27,11.52
1990-02-28,11.64
1990-03-01,11.6
1990-03-02,11.73
1990-03-05,12.03
1990-03-06,12.25
1990-03-07,12.21
1990-03-08,12.21
1990-03-09,12.25
1990-03-12,12.55
1990-03-13,13.07
1990-03-14,13.07
1990-03-15,12.77
1990-03-16,12.94
1990-03-19,12.81
1990-03-20,12.81
1990-03-21,13.2
1990-03-22,12.77
1990-03-23,12.94
1990-03-26,12.85
1990-03-27,12.85
1990-03-28,12.72
1990-03-29,12.51
1990-03-30,12.33
1990-04-02,12.51
1990-04-03,12.77
1990-04-04,12.81
1990-04-05,12.51
1990-04-06,12.51
1990-04-09,12.33
1990-04-10,12.38
1990-04-11,12.46
1990-04-12,12.38
1990-04-16,12.16
1990-04-17,12.12
1990-04-18,12.12
1990-04-19,12.08
1990-04-20,11.99
1990-04-23,11.77
1990-04-24,12.08
1990-04-25,12.25
1990-04-26,12.25
1990-04-27,12.16
1990-04-30,12.21
1990-05-01,12.21
1990-05-02,12.16
1990-05-03,12.25
1990-05-04,12.21
1990-05-07,12.25
1990-05-08,12.25
1990-05-09,12.21
1990-05-10,12.19
1990-05-11,12.41
1990-05-14,12.36
1990-05-15,12.19
1990-05-16,12.36
1990-05-17,12.54
1990-05-18,12.54
1990-05-21,12.49
1990-05-22,12.27
1990-05-23,12.1
1990-05-24,12.1
1990-05-25,12.06
1990-05-29,12.36
1990-05-30,12.62
1990-05-31,12.49
1990-06-01,12.45
1990-06-04,12.67
1990-06-05,12.54
1990-06-06,12.41
1990-06-07,12.23
1990-06-08,12.1
1990-06-11,11.93
1990-06-12,12.06
1990-06-13,11.93
1990-06-14,12.14
1990-06-15,12.1
1990-06-18,11.88
1990-06-19,11.79
1990-06-20,11.75
1990-06-21,11.36
1990-06-22,11.05
1990-06-25,11.05
1990-06-26,11.1
1990-06-27,10.88
1990-06-28,10.57
1990-06-29,10.53
1990-07-02,10.4
1990-07-03,10.31
1990-07-05,10.18
1990-07-06,10.27
1990-07-09,10.13
1990-07-10,9.92
1990-07-11,9.74
1990-07-12,9.96
1990-07-13,10.13
1990-07-16,10.35
1990-07-17,10.53
1990-07-18,10.31
1990-07-19,10.53
1990-07-20,10.13
1990-07-23,9.96
1990-07-24,9.65
1990-07-25,9.83
1990-07-26,9.52
1990-07-27,9.48
1990-07-30,9.7
1990-07-31,9.26
1990-08-01,9.22
1990-08-02,9.35
1990-08-03,8.74
1990-08-06,8.52
1990-08-07,8.56
1990-08-08,8.91
1990-08-09,8.91
1990-08-10,8.72
1990-08-13,8.89
1990-08-14,9.03
1990-08-15,9.2
1990-08-16,8.85
1990-08-17,8.4
1990-08-20,8.27
1990-08-21,8.18
1990-08-22,8.67
1990-08-23,8.0
1990-08-24,8.32
1990-08-27,8.4
1990-08-28,8.36
1990-08-29,8.49
1990-08-30,8.58
1990-08-31,8.09
1990-09-04,8.18
1990-09-05,8.23
1990-09-06,7.92
1990-09-07,7.34
1990-09-10,7.47
1990-09-11,7.25
1990-09-12,7.2
1990-09-13,7.07
1990-09-14,7.07
1990-09-17,6.76
1990-09-18,6.67
1990-09-19,6.76
1990-09-20,6.71
1990-09-21,6.63
1990-09-24,6.4
1990-09-25,6.05
1990-09-26,6.31
1990-09-27,5.96
1990-09-28,6.05
1990-10-01,6.09
1990-10-02,5.96
1990-10-03,6.0
1990-10-04,6.14
1990-10-05,6.09
1990-10-08,6.0
1990-10-09,5.78
1990-10-10,5.83
1990-10-11,5.87
1990-10-12,5.78
1990-10-15,5.38
1990-10-16,5.43
1990-10-17,5.74
1990-10-18,5.74
1990-10-19,5.74
1990-10-22,5.6
1990-10-23,5.69
1990-10-24,5.87
1990-10-25,5.69
1990-10-26,5.56
1990-10-29,5.51
1990-10-30,5.56
1990-10-31,5.43
1990-11-01,5.38
1990-11-02,5.25
1990-11-05,5.16
1990-11-06,5.43
1990-11-07,5.29
1990-11-08,5.25
1990-11-09,4.95
1990-11-12,5.14
1990-11-13,5.27
1990-11-14,5.6
1990-11-15,5.69
1990-11-16,5.78
1990-11-19,5.78
1990-11-20,5.69
1990-11-21,5.73
1990-11-23,5.73
1990-11-26,5.6
1990-11-27,5.69
1990-11-28,6.01
1990-11-29,5.92
1990-11-30,5.87
1990-12-03,5.83
1990-12-04,5.83
1990-12-05,5.87
1990-12-06,5.83
1990-12-07,5.96
1990-12-10,5.96
1990-12-11,6.33
1990-12-12,6.42
1990-12-13,6.33
1990-12-14,6.24
1990-12-17,6.15
1990-12-18,6.15
1990-12-19,6.42
1990-12-20,6.42
1990-12-21,6.28
1990-12-24,6.38
1990-12-26,6.65
1990-12-27,6.88
1990-12-28,7.02
1990-12-31,6.93
1991-01-02,6.97
1991-01-03,6.65
1991-01-04,6.47
1991-01-07,6.38
1991-01-08,6.47
1991-01-09,6.33
1991-01-10,6.38
1991-01-11,6.65
1991-01-14,6.42
1991-01-15,6.42
1991-01-16,6.42
1991-01-17,6.79
1991-01-18,6.88
1991-01-21,6.79
1991-01-22,6.79
1991-01-23,6.97
1991-01-24,7.2
1991-01-25,7.02
1991-01-28,7.06
1991-01-29,7.2
1991-01-30,7.57
1991-01-31,7.43
1991-02-01,7.48
1991-02-04,7.71
1991-02-05,7.57
1991-02-06,7.29
1991-02-07,6.88
1991-02-08,6.88
1991-02-11,7.11
1991-02-12,7.05
1991-02-13,7.24
1991-02-14,7.24
1991-02-15,7.33
1991-02-19,7.38
1991-02-20,7.38
1991-02-21,7.42
1991-02-22,7.56
1991-02-25,7.56
1991-02-26,7.52
1991-02-27,7.65
1991-02-28,7.61
1991-03-01,7.79
1991-03-04,8.35
1991-03-05,8.71
1991-03-06,8.71
1991-03-07,8.81
1991-03-08,8.9
1991-03-11,8.76
1991-03-12,8.44
1991-03-13,8.44
1991-03-14,8.3
1991-03-15,8.3
1991-03-18,8.21
1991-03-19,8.07
1991-03-20,8.07
1991-03-21,8.07
1991-03-22,8.16
1991-03-25,7.56
1991-03-26,7.65
1991-03-27,8.44
1991-03-28,8.71
1991-04-01,8.62
1991-04-02,8.9
1991-04-03,8.76
1991-04-04,8.62
1991-04-05,8.53
1991-04-08,8.58
1991-04-09,8.25
1991-04-10,8.25
1991-04-11,8.3
1991-04-12,8.44
1991-04-15,8.53
1991-04-16,8.39
1991-04-17,8.35
1991-04-18,8.3
1991-04-19,8.35
1991-04-22,8.02
1991-04-23,7.75
1991-04-24,7.93
1991-04-25,7.79
1991-04-26,8.11
1991-04-29,7.98
1991-04-30,7.84
1991-05-01,8.07
