Date,Price
2004-05-18,13.56
2004-05-19,14.34
2004-05-20,14.4
2004-05-21,14.4
2004-05-24,14.53
2004-05-25,14.58
2004-05-26,14.78
2004-05-27,15.32
2004-05-28,15.5
2004-05-31,15.79
2004-06-01,15.5
2004-06-02,15.51
2004-06-03,15.51
2004-06-04,15.53
2004-06-07,15.73
2004-06-08,15.6
2004-06-09,15.39
2004-06-10,14.99
2004-06-11,14.78
2004-06-14,14.49
2004-06-15,14.59
2004-06-16,14.68
2004-06-17,14.78
2004-06-18,14.92
2004-06-21,14.73
2004-06-22,14.9
2004-06-23,14.82
2004-06-24,15.11
2004-06-25,15.11
2004-06-28,15.31
2004-06-29,15.38
2004-06-30,15.74
2004-07-01,15.84
2004-07-02,15.5
2004-07-05,15.5
2004-07-06,15.46
2004-07-07,15.31
2004-07-08,15.11
2004-07-09,15.36
2004-07-12,15.26
2004-07-13,15.45
2004-07-14,15.0
2004-07-15,14.84
2004-07-16,14.92
2004-07-19,14.41
2004-07-20,14.53
2004-07-21,14.92
2004-07-22,14.72
2004-07-23,14.73
2004-07-26,14.84
2004-07-27,15.74
2004-07-28,15.87
2004-07-29,15.94
2004-07-30,16.08
2004-08-02,15.81
2004-08-03,15.88
2004-08-04,15.65
2004-08-05,15.73
2004-08-06,15.41
2004-08-09,15.85
2004-08-10,15.42
2004-08-11,15.3
2004-08-12,14.73
2004-08-13,14.73
2004-08-16,14.78
2004-08-17,14.78
2004-08-18,15.16
2004-08-19,14.92
2004-08-20,14.82
2004-08-23,15.11
2004-08-24,15.11
2004-08-25,15.11
2004-08-26,15.41
2004-08-27,15.33
2004-08-30,15.5
2004-08-31,15.74
2004-09-01,15.5
2004-09-02,15.79
2004-09-03,15.74
2004-09-06,15.65
2004-09-07,15.5
2004-09-08,15.52
2004-09-09,15.52
2004-09-10,15.7
2004-09-13,16.33
2004-09-14,16.18
2004-09-15,16.07
2004-09-16,16.37
2004-09-17,16.71
2004-09-20,16.45
2004-09-21,16.95
2004-09-22,16.76
2004-09-23,16.56
2004-09-24,16.76
2004-09-27,16.66
2004-09-28,16.62
2004-09-29,16.62
2004-09-30,16.62
2004-10-01,16.81
2004-10-04,17.44
2004-10-05,17.05
2004-10-06,16.76
2004-10-07,16.95
2004-10-08,16.76
2004-10-11,16.76
2004-10-12,16.42
2004-10-13,16.57
2004-10-14,16.93
2004-10-15,17.49
2004-10-18,17.44
2004-10-19,17.36
2004-10-20,17.36
2004-10-21,17.21
2004-10-22,17.54
2004-10-25,17.06
2004-10-26,16.97
2004-10-27,17.55
2004-10-28,17.82
2004-10-29,17.92
2004-11-01,18.05
2004-11-02,17.83
2004-11-03,18.03
2004-11-04,17.88
2004-11-05,17.6
2004-11-08,17.05
2004-11-09,17.07
2004-11-10,17.68
2004-11-11,17.68
2004-11-12,17.52
2004-11-15,17.68
2004-11-16,17.4
2004-11-17,17.73
2004-11-18,17.63
2004-11-19,17.43
2004-11-22,17.33
2004-11-23,17.34
2004-11-24,17.44
2004-11-25,17.52
2004-11-26,17.17
2004-11-29,17.16
2004-11-30,17.62
2004-12-01,17.83
2004-12-02,17.83
2004-12-03,18.07
2004-12-06,17.83
2004-12-07,17.88
2004-12-08,17.46
2004-12-09,17.44
2004-12-10,17.61
2004-12-13,17.34
2004-12-14,17.34
2004-12-15,17.73
2004-12-16,17.68
2004-12-17,17.92
2004-12-20,17.86
2004-12-21,17.87
2004-12-22,17.91
2004-12-23,17.78
2004-12-24,17.94
2004-12-27,18.14
2004-12-28,18.08
2004-12-29,18.02
2004-12-30,18.12
2004-12-31,18.55
2005-01-03,18.46
2005-01-04,18.7
2005-01-05,18.51
2005-01-06,18.28
2005-01-07,18.41
2005-01-10,18.46
2005-01-11,18.7
2005-01-12,18.69
2005-01-13,18.67
2005-01-14,18.47
2005-01-17,18.84
2005-01-18,18.44
2005-01-19,18.65
2005-01-20,18.61
2005-01-21,18.7
2005-01-24,18.7
2005-01-25,18.7
2005-01-26,20.3
2005-01-27,20.45
2005-01-28,20.94
2005-01-31,21.61
2005-02-01,22.14
2005-02-02,21.8
2005-02-03,21.32
2005-02-04,21.32
2005-02-07,21.27
2005-02-08,21.41
2005-02-09,20.9
2005-02-10,20.65
2005-02-11,20.93
2005-02-14,21.55
2005-02-15,21.16
2005-02-16,20.7
2005-02-17,21.27
2005-02-18,21.26
2005-02-21,20.54
2005-02-22,20.61
2005-02-23,20.55
2005-02-24,20.52
2005-02-25,20.53
2005-02-28,20.52
2005-03-01,21.03
2005-03-02,21.44
2005-03-03,22.46
2005-03-04,22.91
2005-03-07,24.4
2005-03-08,24.22
2005-03-09,24.53
2005-03-10,24.33
2005-03-11,24.56
2005-03-14,24.41
2005-03-15,24.73
2005-03-16,24.66
2005-03-17,24.69
2005-03-18,25.33
2005-03-21,25.0
2005-03-22,25.27
2005-03-23,24.88
2005-03-24,25.2
2005-03-29,25.18
2005-03-30,24.71
2005-03-31,24.71
2005-04-01,24.61
2005-04-04,24.36
2005-04-05,24.46
2005-04-06,24.47
2005-04-07,24.95
2005-04-08,24.83
2005-04-11,24.61
2005-04-12,24.7
2005-04-13,24.71
2005-04-14,24.9
2005-04-15,24.38
2005-04-18,23.49
2005-04-19,23.54
2005-04-20,23.6
2005-04-21,23.54
2005-04-22,24.0
