Date,Price
1990-01-02,11.17
1990-01-03,10.92
1990-01-04,10.94
1990-01-05,10.94
1990-01-08,11.13
1990-01-09,10.92
1990-01-10,11.17
1990-01-11,11.22
1990-01-12,10.88
1990-01-15,10.81
1990-01-16,10.69
1990-01-17,10.62
1990-01-18,10.73
1990-01-19,10.62
1990-01-22,10.54
1990-01-23,10.3
1990-01-24,10.32
1990-01-25,10.24
1990-01-26,10.32
1990-01-29,10.41
1990-01-30,10.41
1990-01-31,10.56
1990-02-01,10.58
1990-02-02,10.77
1990-02-05,10.75
1990-02-06,10.47
1990-02-07,10.62
1990-02-08,10.69
1990-02-09,10.79
1990-02-12,10.94
1990-02-13,11.01
1990-02-14,11.22
1990-02-15,11.73
1990-02-16,11.5
1990-02-20,11.31
1990-02-21,11.5
1990-02-22,11.54
1990-02-23,11.63
1990-02-26,11.8
1990-02-27,12.03
1990-02-28,12.12
1990-03-01,12.12
1990-03-02,12.14
1990-03-05,12.01
1990-03-06,12.16
1990-03-07,12.12
1990-03-08,12.27
1990-03-09,12.29
1990-03-12,12.41
1990-03-13,12.37
1990-03-14,12.24
1990-03-15,12.24
1990-03-16,12.56
1990-03-19,12.59
1990-03-20,12.63
1990-03-21,12.59
1990-03-22,12.56
1990-03-23,12.61
1990-03-26,12.48
1990-03-27,12.52
1990-03-28,12.52
1990-03-29,12.5
1990-03-30,12.59
1990-04-02,12.63
1990-04-03,12.71
1990-04-04,12.63
1990-04-05,12.71
1990-04-06,12.69
1990-04-09,12.71
1990-04-10,12.56
1990-04-11,12.46
1990-04-12,12.46
1990-04-16,12.48
1990-04-17,12.56
1990-04-18,12.46
1990-04-19,12.56
1990-04-20,12.52
1990-04-23,12.33
1990-04-24,12.22
1990-04-25,12.18
1990-04-26,12.03
1990-04-27,11.95
1990-04-30,12.01
1990-05-01,12.04
1990-05-02,11.99
1990-05-03,11.87
1990-05-04,11.93
1990-05-07,11.93
1990-05-08,12.08
1990-05-09,12.19
1990-05-10,12.19
1990-05-11,12.64
1990-05-14,12.62
1990-05-15,12.62
1990-05-16,12.47
1990-05-17,12.36
1990-05-18,12.4
1990-05-21,12.55
1990-05-22,12.79
1990-05-23,12.72
1990-05-24,12.7
1990-05-25,12.57
1990-05-29,12.57
1990-05-30,12.55
1990-05-31,12.66
1990-06-01,12.68
1990-06-04,12.64
1990-06-05,12.62
1990-06-06,12.53
1990-06-07,12.44
1990-06-08,12.34
1990-06-11,12.38
1990-06-12,12.53
1990-06-13,12.49
1990-06-14,12.49
1990-06-15,12.47
1990-06-18,12.38
1990-06-19,12.34
1990-06-20,12.36
1990-06-21,12.42
1990-06-22,12.42
1990-06-25,12.42
1990-06-26,12.51
1990-06-27,12.53
1990-06-28,12.53
1990-06-29,12.68
1990-07-02,12.77
1990-07-03,12.89
1990-07-05,12.79
1990-07-06,12.83
1990-07-09,12.85
1990-07-10,12.94
1990-07-11,13.17
1990-07-12,13.3
1990-07-13,13.34
1990-07-16,13.39
1990-07-17,12.62
1990-07-18,12.14
1990-07-19,12.08
1990-07-20,12.17
1990-07-23,12.08
1990-07-24,11.78
1990-07-25,11.72
1990-07-26,11.65
1990-07-27,11.57
1990-07-30,11.63
1990-07-31,11.65
1990-08-01,11.48
1990-08-02,11.35
1990-08-03,11.14
1990-08-06,10.92
1990-08-07,10.69
1990-08-08,10.76
1990-08-09,10.84
1990-08-10,10.61
1990-08-13,10.39
1990-08-14,10.31
1990-08-15,10.35
1990-08-16,10.5
1990-08-17,10.46
1990-08-20,10.67
1990-08-21,10.56
1990-08-22,10.46
1990-08-23,10.26
1990-08-24,10.41
1990-08-27,10.56
1990-08-28,10.56
1990-08-29,10.87
1990-08-30,10.84
1990-08-31,10.87
1990-09-04,10.8
1990-09-05,10.87
1990-09-06,10.56
1990-09-07,10.5
1990-09-10,10.46
1990-09-11,10.46
1990-09-12,10.5
1990-09-13,10.46
1990-09-14,10.16
1990-09-17,10.18
1990-09-18,10.13
1990-09-19,10.07
1990-09-20,9.92
1990-09-21,9.88
1990-09-24,9.75
1990-09-25,9.81
1990-09-26,9.77
1990-09-27,9.73
1990-09-28,9.77
1990-10-01,10.09
1990-10-02,10.2
1990-10-03,10.29
1990-10-04,10.41
1990-10-05,10.37
1990-10-08,10.37
1990-10-09,10.29
1990-10-10,9.98
1990-10-11,9.75
1990-10-12,9.75
1990-10-15,9.85
1990-10-16,9.79
1990-10-17,9.7
1990-10-18,9.77
1990-10-19,9.79
1990-10-22,9.98
1990-10-23,10.03
1990-10-24,9.88
1990-10-25,9.81
1990-10-26,9.66
1990-10-29,9.49
1990-10-30,9.42
1990-10-31,9.49
1990-11-01,9.49
1990-11-02,9.6
1990-11-05,9.82
1990-11-06,9.95
1990-11-07,10.01
1990-11-08,9.86
1990-11-09,10.12
1990-11-12,10.45
1990-11-13,10.36
1990-11-14,10.43
1990-11-15,10.36
1990-11-16,10.4
1990-11-19,10.66
1990-11-20,10.66
1990-11-21,10.69
1990-11-23,10.69
1990-11-26,10.71
1990-11-27,10.81
1990-11-28,10.79
1990-11-29,10.71
1990-11-30,10.79
1990-12-03,10.86
1990-12-04,10.84
1990-12-05,10.88
1990-12-06,11.01
1990-12-07,11.16
1990-12-10,11.07
1990-12-11,11.12
1990-12-12,11.23
1990-12-13,11.27
1990-12-14,11.25
1990-12-17,11.25
1990-12-18,11.16
1990-12-19,11.16
1990-12-20,11.16
1990-12-21,11.2
1990-12-24,11.25
1990-12-26,11.38
1990-12-27,11.42
1990-12-28,11.44
1990-12-31,11.49
1991-01-02,11.46
1991-01-03,11.2
1991-01-04,10.94
1991-01-07,10.86
1991-01-08,10.9
1991-01-09,10.86
1991-01-10,10.77
1991-01-11,10.77
1991-01-14,10.69
1991-01-15,10.77
1991-01-16,10.62
1991-01-17,10.75
1991-01-18,10.71
1991-01-21,10.69
1991-01-22,10.79
1991-01-23,10.92
1991-01-24,11.27
1991-01-25,11.25
1991-01-28,11.25
1991-01-29,11.25
1991-01-30,11.29
1991-01-31,11.25
1991-02-01,11.42
1991-02-04,11.53
1991-02-05,11.97
1991-02-06,12.1
1991-02-07,12.14
1991-02-08,12.17
1991-02-11,12.34
1991-02-12,12.45
1991-02-13,12.49
1991-02-14,12.67
1991-02-15,12.38
1991-02-19,12.9
1991-02-20,12.88
1991-02-21,12.88
1991-02-22,13.06
1991-02-25,13.01
1991-02-26,12.82
1991-02-27,12.93
1991-02-28,12.71
1991-03-01,12.82
1991-03-04,12.9
1991-03-05,13.23
1991-03-06,13.43
1991-03-07,13.56
1991-03-08,13.64
1991-03-11,13.9
1991-03-12,13.9
1991-03-13,13.97
1991-03-14,13.93
1991-03-15,13.64
1991-03-18,13.45
1991-03-19,13.16
1991-03-20,13.23
1991-03-21,13.3
1991-03-22,13.27
1991-03-25,13.36
1991-03-26,13.75
1991-03-27,13.88
1991-03-28,13.86
1991-04-01,13.84
1991-04-02,14.08
1991-04-03,14.38
1991-04-04,14.53
1991-04-05,14.38
1991-04-08,14.42
1991-04-09,14.27
1991-04-10,14.29
1991-04-11,14.29
1991-04-12,14.34
1991-04-15,14.25
1991-04-16,14.58
1991-04-17,14.51
1991-04-18,14.45
1991-04-19,14.38
1991-04-22,14.29
1991-04-23,14.27
1991-04-24,14.42
1991-04-25,14.29
1991-04-26,14.27
1991-04-29,14.08
1991-04-30,13.98
1991-05-01,14.15
1991-05-02,14.11
1991-05-03,14.02
1991-05-06,14.07
1991-05-07,14.2
1991-05-08,14.26
1991-05-09,14.35
1991-05-10,14.04
1991-05-13,14.17
1991-05-14,14.13
1991-05-15,14.02
1991-05-16,14.22
1991-05-17,14.17
1991-05-20,14.13
1991-05-21,14.35
1991-05-22,14.24
1991-05-23,14.28
1991-05-24,14.44
1991-05-28,14.57
1991-05-29,14.76
1991-05-30,15.0
1991-05-31,15.55
1991-06-03,15.96
1991-06-04,15.72
1991-06-05,15.46
1991-06-06,15.27
1991-06-07,15.22
1991-06-10,15.18
1991-06-11,15.53
1991-06-12,15.79
1991-06-13,15.83
1991-06-14,15.7
1991-06-17,15.66
1991-06-18,15.79
1991-06-19,15.66
1991-06-20,15.66
1991-06-21,15.79
1991-06-24,15.66
1991-06-25,15.75
1991-06-26,16.14
1991-06-27,16.4
1991-06-28,16.36
1991-07-01,16.4
1991-07-02,16.4
1991-07-03,16.14
1991-07-05,16.22
1991-07-08,16.18
1991-07-09,16.57
1991-07-10,16.4
1991-07-11,17.27
1991-07-12,17.4
1991-07-15,17.32
1991-07-16,17.36
1991-07-17,17.01
1991-07-18,17.18
1991-07-19,17.1
1991-07-22,17.14
1991-07-23,17.05
1991-07-24,17.01
1991-07-25,16.88
1991-07-26,16.62
1991-07-29,16.97
1991-07-30,16.97
1991-07-31,16.92
1991-08-01,16.75
1991-08-02,16.75
1991-08-05,16.7
1991-08-06,16.63
1991-08-07,16.72
1991-08-08,16.58
1991-08-09,16.41
1991-08-12,16.45
1991-08-13,16.58
1991-08-14,16.28
1991-08-15,16.02
1991-08-16,15.84
1991-08-19,15.31
1991-08-20,15.84
1991-08-21,16.32
1991-08-22,16.28
1991-08-23,16.93
1991-08-26,16.93
1991-08-27,16.89
1991-08-28,16.76
1991-08-29,16.67
1991-08-30,16.58
1991-09-03,16.5
1991-09-04,16.32
1991-09-05,16.41
1991-09-06,16.23
1991-09-09,16.28
1991-09-10,16.15
1991-09-11,16.23
1991-09-12,16.54
1991-09-13,16.41
1991-09-16,16.54
1991-09-17,16.45
1991-09-18,16.41
1991-09-19,16.23
1991-09-20,16.1
1991-09-23,15.93
1991-09-24,15.97
1991-09-25,15.93
1991-09-26,15.88
1991-09-27,15.97
1991-09-30,16.19
1991-10-01,16.45
1991-10-02,16.37
1991-10-03,15.93
1991-10-04,15.58
1991-10-07,15.62
1991-10-08,15.53
1991-10-09,15.4
1991-10-10,15.4
1991-10-11,15.31
1991-10-14,15.71
1991-10-15,15.88
1991-10-16,16.23
1991-10-17,16.45
1991-10-18,16.72
1991-10-21,16.72
1991-10-22,16.45
1991-10-23,16.37
1991-10-24,16.28
1991-10-25,16.41
1991-10-28,16.58
1991-10-29,16.45
1991-10-30,16.28
1991-10-31,16.02
1991-11-01,15.75
1991-11-04,15.72
1991-11-05,15.46
1991-11-06,15.59
1991-11-07,15.63
1991-11-08,15.81
1991-11-11,15.72
1991-11-12,15.76
1991-11-13,15.85
1991-11-14,15.89
1991-11-15,15.89
1991-11-18,15.85
1991-11-19,15.24
1991-11-20,15.28
1991-11-21,15.28
1991-11-22,15.1
1991-11-25,14.71
1991-11-26,14.93
1991-11-27,15.1
1991-11-29,15.15
