Date,Price
1990-01-02,6.67
1990-01-03,6.63
1990-01-04,6.5
1990-01-05,6.48
1990-01-08,6.51
1990-01-09,6.46
1990-01-10,6.42
1990-01-11,6.5
1990-01-12,6.42
1990-01-15,6.36
1990-01-16,6.34
1990-01-17,6.26
1990-01-18,6.32
1990-01-19,6.4
1990-01-22,6.16
1990-01-23,6.2
1990-01-24,6.15
1990-01-25,6.22
1990-01-26,6.26
1990-01-29,6.3
1990-01-30,6.38
1990-01-31,6.53
1990-02-01,6.53
1990-02-02,6.55
1990-02-05,6.63
1990-02-06,6.59
1990-02-07,7.06
1990-02-08,7.1
1990-02-09,7.18
1990-02-12,7.12
1990-02-13,7.08
1990-02-14,7.16
1990-02-15,7.29
1990-02-16,7.23
1990-02-20,7.31
1990-02-21,7.37
1990-02-22,7.02
1990-02-23,6.84
1990-02-26,6.98
1990-02-27,6.86
1990-02-28,7.0
1990-03-01,7.2
1990-03-02,7.12
1990-03-05,7.06
1990-03-06,7.12
1990-03-07,7.12
1990-03-08,7.1
1990-03-09,7.06
1990-03-12,7.04
1990-03-13,6.98
1990-03-14,7.02
1990-03-15,7.0
1990-03-16,7.06
1990-03-19,7.25
1990-03-20,7.24
1990-03-21,7.1
1990-03-22,7.0
1990-03-23,7.12
1990-03-26,7.0
1990-03-27,7.02
1990-03-28,7.18
1990-03-29,7.18
1990-03-30,7.1
1990-04-02,7.08
1990-04-03,7.2
1990-04-04,7.12
1990-04-05,7.12
1990-04-06,7.12
1990-04-09,7.14
1990-04-10,6.9
1990-04-11,6.81
1990-04-12,6.82
1990-04-16,6.77
1990-04-17,6.9
1990-04-18,6.82
1990-04-19,6.82
1990-04-20,6.77
1990-04-23,6.67
1990-04-24,6.71
1990-04-25,6.67
1990-04-26,6.77
1990-04-27,6.65
1990-04-30,6.69
1990-05-01,6.77
1990-05-02,6.9
1990-05-03,7.02
1990-05-04,7.12
1990-05-07,7.06
1990-05-08,7.04
1990-05-09,7.04
1990-05-10,7.04
1990-05-11,7.37
1990-05-14,7.47
1990-05-15,7.43
1990-05-16,7.49
1990-05-17,7.53
1990-05-18,7.57
1990-05-21,7.72
1990-05-22,7.69
1990-05-23,7.63
1990-05-24,7.47
1990-05-25,7.37
1990-05-29,7.59
1990-05-30,7.63
1990-05-31,7.76
1990-06-01,7.63
1990-06-04,7.71
1990-06-05,7.27
1990-06-06,7.23
1990-06-07,7.16
1990-06-08,7.14
1990-06-11,7.21
1990-06-12,7.37
1990-06-13,7.39
1990-06-14,7.33
1990-06-15,7.55
1990-06-18,7.37
1990-06-19,7.47
1990-06-20,7.59
1990-06-21,7.57
1990-06-22,7.43
1990-06-25,7.33
1990-06-26,7.35
1990-06-27,7.39
1990-06-28,7.51
1990-06-29,7.57
1990-07-02,7.45
1990-07-03,7.35
1990-07-05,7.25
1990-07-06,7.27
1990-07-09,7.29
1990-07-10,7.23
1990-07-11,7.51
1990-07-12,7.75
1990-07-13,7.75
1990-07-16,7.84
1990-07-17,7.84
1990-07-18,7.92
1990-07-19,8.08
1990-07-20,8.14
1990-07-23,8.06
1990-07-24,8.43
1990-07-25,8.37
1990-07-26,8.26
1990-07-27,8.24
1990-07-30,8.37
1990-07-31,8.63
1990-08-01,8.75
1990-08-02,9.02
1990-08-03,8.85
1990-08-06,8.89
1990-08-07,8.89
1990-08-08,8.89
1990-08-09,8.81
1990-08-10,8.85
1990-08-13,8.81
1990-08-14,8.94
1990-08-15,8.81
1990-08-16,8.69
1990-08-17,8.85
1990-08-20,8.92
1990-08-21,8.69
1990-08-22,8.41
1990-08-23,7.96
1990-08-24,8.18
1990-08-27,8.2
1990-08-28,8.37
1990-08-29,8.41
1990-08-30,8.3
1990-08-31,8.37
1990-09-04,8.39
1990-09-05,8.61
1990-09-06,8.59
1990-09-07,8.61
1990-09-10,8.57
1990-09-11,8.55
1990-09-12,8.67
1990-09-13,8.61
1990-09-14,8.63
1990-09-17,8.83
1990-09-18,8.99
1990-09-19,9.03
1990-09-20,9.03
1990-09-21,8.95
1990-09-24,8.77
1990-09-25,8.61
1990-09-26,8.39
1990-09-27,8.12
1990-09-28,8.12
1990-10-01,7.82
1990-10-02,8.14
1990-10-03,8.26
1990-10-04,8.33
1990-10-05,8.43
1990-10-08,8.53
1990-10-09,8.3
1990-10-10,8.1
1990-10-11,7.78
1990-10-12,7.66
1990-10-15,7.49
1990-10-16,7.27
1990-10-17,7.35
1990-10-18,7.43
1990-10-19,7.56
1990-10-22,7.58
1990-10-23,7.47
1990-10-24,7.51
1990-10-25,7.66
1990-10-26,7.76
1990-10-29,7.51
1990-10-30,7.31
1990-10-31,7.07
1990-11-01,7.19
1990-11-02,7.58
1990-11-05,7.8
1990-11-06,7.72
1990-11-07,7.6
1990-11-08,7.64
1990-11-09,7.72
1990-11-12,7.54
1990-11-13,7.23
1990-11-14,7.29
1990-11-15,7.11
1990-11-16,7.17
1990-11-19,7.01
1990-11-20,6.95
1990-11-21,7.21
1990-11-23,7.19
1990-11-26,7.23
1990-11-27,7.59
1990-11-28,7.51
1990-11-29,7.45
1990-11-30,7.57
1990-12-03,7.35
1990-12-04,7.39
1990-12-05,7.23
1990-12-06,7.17
1990-12-07,7.19
1990-12-10,7.29
1990-12-11,7.13
1990-12-12,7.07
1990-12-13,7.27
1990-12-14,7.27
1990-12-17,7.35
1990-12-18,7.25
1990-12-19,7.17
1990-12-20,7.09
1990-12-21,6.95
1990-12-24,6.99
1990-12-26,7.05
1990-12-27,7.01
1990-12-28,7.11
1990-12-31,7.25
1991-01-02,7.19
1991-01-03,7.07
1991-01-04,7.01
1991-01-07,6.83
1991-01-08,6.73
1991-01-09,6.67
1991-01-10,6.59
1991-01-11,6.54
1991-01-14,6.54
1991-01-15,6.52
1991-01-16,6.59
1991-01-17,6.69
1991-01-18,6.67
1991-01-21,6.52
1991-01-22,6.63
1991-01-23,7.03
1991-01-24,7.13
1991-01-25,7.35
1991-01-28,7.33
1991-01-29,7.31
1991-01-30,7.35
1991-01-31,7.21
1991-02-01,7.25
1991-02-04,7.33
1991-02-05,7.11
1991-02-06,7.63
1991-02-07,7.55
1991-02-08,7.63
1991-02-11,7.95
1991-02-12,7.81
1991-02-13,7.83
1991-02-14,7.71
1991-02-15,7.69
1991-02-19,7.53
1991-02-20,7.39
