Date,Price
1990-01-02,4.47
1990-01-03,4.53
1990-01-04,4.47
1990-01-05,4.33
1990-01-08,4.28
1990-01-09,4.33
1990-01-10,4.28
1990-01-11,4.22
1990-01-12,3.95
1990-01-15,3.81
1990-01-16,3.73
1990-01-17,3.65
1990-01-18,3.48
1990-01-19,3.43
1990-01-22,3.21
1990-01-23,3.13
1990-01-24,3.15
1990-01-25,3.1
1990-01-26,3.15
1990-01-29,3.15
1990-01-30,3.13
1990-01-31,2.96
1990-02-01,3.02
1990-02-02,3.18
1990-02-05,3.18
1990-02-06,3.18
1990-02-07,3.24
1990-02-08,3.29
1990-02-09,3.37
1990-02-12,3.35
1990-02-13,3.4
1990-02-14,3.51
1990-02-15,3.59
1990-02-16,3.54
1990-02-20,3.46
1990-02-21,3.46
1990-02-22,3.46
1990-02-23,3.4
1990-02-26,3.37
1990-02-27,3.35
1990-02-28,3.32
1990-03-01,3.35
1990-03-02,3.37
1990-03-05,3.4
1990-03-06,3.35
1990-03-07,3.43
1990-03-08,3.4
1990-03-09,3.37
1990-03-12,3.35
1990-03-13,3.37
1990-03-14,3.37
1990-03-15,3.37
1990-03-16,3.35
1990-03-19,3.43
1990-03-20,3.51
1990-03-21,3.57
1990-03-22,3.59
1990-03-23,3.62
1990-03-26,3.32
1990-03-27,3.35
1990-03-28,3.29
1990-03-29,3.29
1990-03-30,3.35
1990-04-02,3.35
1990-04-03,3.35
1990-04-04,3.4
1990-04-05,3.51
1990-04-06,3.43
1990-04-09,3.46
1990-04-10,3.48
1990-04-11,3.48
1990-04-12,3.43
1990-04-16,3.43
1990-04-17,3.46
1990-04-18,3.48
1990-04-19,3.43
1990-04-20,3.4
1990-04-23,3.4
1990-04-24,3.46
1990-04-25,3.46
1990-04-26,3.37
1990-04-27,3.24
1990-04-30,3.24
1990-05-01,3.18
1990-05-02,3.07
1990-05-03,2.91
1990-05-04,2.94
1990-05-07,2.91
1990-05-08,2.91
1990-05-09,2.94
1990-05-10,2.96
1990-05-11,2.99
1990-05-14,3.04
1990-05-15,3.02
1990-05-16,2.99
1990-05-17,3.04
1990-05-18,3.13
1990-05-21,3.1
1990-05-22,3.07
1990-05-23,3.07
1990-05-24,2.99
1990-05-25,2.96
1990-05-29,3.04
1990-05-30,3.02
1990-05-31,2.99
1990-06-01,3.07
1990-06-04,3.02
1990-06-05,3.04
1990-06-06,3.04
1990-06-07,3.07
1990-06-08,3.07
1990-06-11,3.13
1990-06-12,3.1
1990-06-13,3.04
1990-06-14,3.04
1990-06-15,3.02
1990-06-18,2.94
1990-06-19,2.91
1990-06-20,2.85
1990-06-21,2.8
1990-06-22,2.83
1990-06-25,2.72
1990-06-26,2.69
1990-06-27,2.61
1990-06-28,2.52
1990-06-29,2.58
