Date,Price
2000-01-03,49.27
2000-01-04,49.33
2000-01-05,47.76
2000-01-06,47.24
2000-01-07,47.1
2000-01-10,47.56
2000-01-11,48.68
2000-01-12,49.17
2000-01-13,48.88
2000-01-14,48.91
2000-01-17,49.79
2000-01-18,47.88
2000-01-19,48.42
2000-01-20,47.56
2000-01-21,47.89
2000-01-24,46.74
2000-01-25,47.83
2000-01-26,48.55
2000-01-27,48.22
2000-01-28,47.73
2000-01-31,46.61
2000-02-01,46.19
2000-02-02,44.77
2000-02-03,43.17
2000-02-04,41.33
2000-02-07,39.69
2000-02-08,41.66
2000-02-09,40.61
2000-02-10,40.15
2000-02-11,40.02
2000-02-14,39.36
2000-02-15,40.67
2000-02-16,40.02
2000-02-17,39.66
2000-02-18,38.05
2000-02-21,39.2
2000-02-22,38.38
2000-02-23,39.33
2000-02-24,38.87
2000-02-25,38.05
2000-02-28,38.05
2000-02-29,38.38
2000-03-01,38.71
2000-03-02,37.72
2000-03-03,37.63
2000-03-06,38.05
2000-03-07,38.71
2000-03-08,38.05
2000-03-09,37.72
2000-03-10,35.43
2000-03-13,35.75
2000-03-14,36.61
2000-03-15,36.08
2000-03-16,37.72
2000-03-17,38.05
2000-03-20,39.76
2000-03-21,42.02
2000-03-22,43.17
2000-03-23,41.66
2000-03-24,41.53
2000-03-27,41.66
2000-03-28,41.27
2000-03-29,38.44
2000-03-30,38.71
2000-03-31,38.63
2000-04-03,38.18
2000-04-04,37.53
2000-04-05,38.05
2000-04-06,38.05
2000-04-07,38.05
2000-04-10,38.12
2000-04-11,37.56
2000-04-12,38.02
2000-04-13,38.15
2000-04-14,41.26
2000-04-17,40.81
2000-04-18,40.81
2000-04-19,41.95
2000-04-20,41.66
2000-04-21,41.66
2000-04-24,41.66
2000-04-25,41.72
2000-04-26,42.35
2000-04-27,42.25
2000-04-28,42.45
2000-05-01,42.45
2000-05-02,43.95
2000-05-03,44.61
2000-05-04,43.86
2000-05-05,44.45
2000-05-08,43.95
2000-05-09,43.95
2000-05-10,41.99
2000-05-11,39.36
2000-05-12,41.33
2000-05-15,42.97
2000-05-16,43.92
2000-05-17,42.12
2000-05-18,43.95
2000-05-19,43.63
2000-05-22,44.22
2000-05-23,44.55
2000-05-24,42.05
2000-05-25,42.64
2000-05-26,40.67
2000-05-29,42.51
2000-05-30,42.31
2000-05-31,41.33
2000-06-01,40.74
2000-06-02,40.96
2000-06-05,40.61
2000-06-06,39.36
2000-06-07,39.36
2000-06-08,38.64
2000-06-09,38.67
2000-06-12,38.71
2000-06-13,37.53
2000-06-14,36.74
2000-06-15,37.95
2000-06-16,38.31
2000-06-19,38.77
2000-06-20,38.36
2000-06-21,37.72
2000-06-22,37.72
2000-06-23,38.71
2000-06-26,39.36
2000-06-27,41.0
2000-06-28,41.93
2000-06-29,41.99
2000-06-30,42.31
2000-07-03,40.48
2000-07-04,40.67
2000-07-05,40.02
2000-07-06,40.02
2000-07-07,40.02
2000-07-10,41.33
2000-07-11,41.13
2000-07-12,41.33
2000-07-13,41.33
2000-07-14,42.37
2000-07-17,41.3
2000-07-18,41.51
2000-07-19,42.31
2000-07-20,43.04
2000-07-21,40.67
2000-07-24,40.67
2000-07-25,41.33
2000-07-26,41.4
2000-07-27,42.64
2000-07-28,42.84
2000-07-31,42.77
2000-08-01,44.22
2000-08-02,44.18
2000-08-03,45.53
2000-08-04,45.2
2000-08-07,44.09
2000-08-08,41.99
2000-08-09,44.21
2000-08-10,43.89
2000-08-11,44.61
2000-08-14,42.64
2000-08-15,42.97
2000-08-16,42.03
2000-08-17,41.66
2000-08-18,40.67
2000-08-21,39.69
2000-08-22,40.35
2000-08-23,40.02
2000-08-24,40.35
2000-08-25,40.62
2000-08-28,40.35
2000-08-29,39.76
2000-08-30,40.35
2000-08-31,39.36
2000-09-01,40.35
2000-09-04,40.48
2000-09-05,40.31
2000-09-06,40.41
2000-09-07,39.89
2000-09-08,40.05
2000-09-11,39.36
2000-09-12,38.38
2000-09-13,38.38
2000-09-14,37.39
2000-09-15,37.07
2000-09-18,38.29
2000-09-19,38.12
2000-09-20,38.05
2000-09-21,37.39
2000-09-22,38.95
2000-09-25,37.98
2000-09-26,37.59
2000-09-27,37.39
2000-09-28,37.03
2000-09-29,36.8
2000-10-02,37.39
2000-10-03,37.39
2000-10-04,37.0
2000-10-05,37.39
2000-10-06,37.72
2000-10-09,37.07
2000-10-10,39.36
2000-10-11,36.77
2000-10-12,37.07
2000-10-13,37.07
2000-10-16,37.07
2000-10-17,37.07
2000-10-18,37.07
2000-10-19,37.07
2000-10-20,37.07
2000-10-23,34.11
2000-10-24,34.11
2000-10-25,35.62
2000-10-26,34.9
2000-10-27,33.2
2000-10-30,33.85
2000-10-31,33.85
2000-11-01,37.73
2000-11-02,37.07
2000-11-03,36.8
2000-11-06,36.08
2000-11-07,36.41
2000-11-08,38.05
2000-11-09,39.36
2000-11-10,36.25
2000-11-13,35.44
2000-11-14,35.44
2000-11-15,34.98
2000-11-16,36.08
2000-11-17,36.92
2000-11-20,37.03
2000-11-21,36.67
2000-11-22,36.61
2000-11-23,35.92
2000-11-24,36.08
2000-11-27,35.75
2000-11-28,36.08
2000-11-29,35.2
2000-11-30,34.51
2000-12-01,33.78
2000-12-04,34.77
2000-12-05,35.89
2000-12-06,35.37
2000-12-07,33.85
2000-12-08,33.85
2000-12-11,34.77
2000-12-12,34.02
2000-12-13,34.44
2000-12-14,33.81
2000-12-15,32.87
2000-12-18,32.41
2000-12-19,32.21
2000-12-20,33.46
2000-12-21,32.41
2000-12-22,31.49
2000-12-27,31.64
2000-12-28,31.59
2000-12-29,32.15
2001-01-01,32.15
2001-01-02,32.8
2001-01-03,31.98
2001-01-04,34.7
2001-01-05,34.7
2001-01-08,36.73
2001-01-09,36.4
2001-01-10,35.27
2001-01-11,36.02
2001-01-12,37.25
2001-01-15,37.0
2001-01-16,36.57
2001-01-17,35.69
2001-01-18,36.74
2001-01-19,37.13
2001-01-22,37.23
2001-01-23,37.0
2001-01-24,40.35
2001-01-25,38.88
2001-01-26,37.72
2001-01-29,37.53
2001-01-30,37.98
2001-01-31,38.05
2001-02-01,38.35
2001-02-02,37.93
2001-02-05,37.75
2001-02-06,38.84
2001-02-07,38.05
2001-02-08,38.05
2001-02-09,38.05
2001-02-12,38.04
2001-02-13,38.38
2001-02-14,38.71
2001-02-15,38.71
2001-02-16,38.17
2001-02-19,39.79
2001-02-20,41.33
2001-02-21,41.99
2001-02-22,42.31
2001-02-23,42.46
2001-02-26,42.52
2001-02-27,42.81
2001-02-28,43.5
2001-03-01,42.83
2001-03-02,43.06
2001-03-05,42.92
2001-03-06,43.63
2001-03-07,43.63
2001-03-08,42.64
2001-03-09,43.13
2001-03-12,42.12
2001-03-13,40.67
2001-03-15,41.13
2001-03-16,39.43
2001-03-19,39.05
2001-03-20,38.38
2001-03-21,37.72
2001-03-22,36.93
2001-03-23,37.5
2001-03-26,38.39
2001-03-27,40.67
2001-03-28,39.36
2001-03-29,41.33
2001-03-30,40.67
2001-04-02,40.67
2001-04-03,39.17
2001-04-04,38.23
2001-04-05,40.02
2001-04-06,41.46
2001-04-09,40.9
2001-04-10,41.66
2001-04-11,41.99
2001-04-12,41.99
2001-04-13,41.99
2001-04-16,41.99
2001-04-17,41.66
2001-04-18,41.72
2001-04-19,41.0
2001-04-20,40.7
2001-04-23,41.0
2001-04-24,41.0
2001-04-25,40.02
2001-04-26,39.72
2001-04-27,39.24
2001-04-30,38.79
2001-05-01,38.79
2001-05-02,38.26
2001-05-03,37.4
2001-05-04,37.25
2001-05-07,37.25
2001-05-08,37.39
2001-05-09,35.43
2001-05-10,35.43
2001-05-11,35.89
2001-05-14,37.72
2001-05-15,38.51
2001-05-16,37.7
2001-05-17,38.37
2001-05-18,37.79
2001-05-21,38.71
2001-05-22,38.18
2001-05-23,38.18
2001-05-24,38.18
2001-05-25,37.98
2001-05-28,39.23
2001-05-29,38.39
2001-05-30,37.33
2001-05-31,36.87
2001-06-01,37.07
2001-06-04,38.0
2001-06-05,36.18
2001-06-06,35.59
2001-06-07,35.69
2001-06-08,36.41
2001-06-11,35.43
2001-06-12,35.16
2001-06-13,35.89
2001-06-14,35.53
2001-06-15,35.53
2001-06-18,35.1
2001-06-19,35.1
2001-06-20,31.82
2001-06-21,32.28
2001-06-22,33.17
2001-06-25,34.63
2001-06-26,35.43
2001-06-27,34.05
2001-06-28,33.44
2001-06-29,32.84
2001-07-02,34.05
2001-07-03,34.11
2001-07-04,34.46
2001-07-05,34.67
2001-07-06,34.7
2001-07-09,34.97
2001-07-10,34.11
2001-07-11,33.79
2001-07-12,34.42
2001-07-13,34.42
2001-07-16,34.77
2001-07-17,34.79
2001-07-18,35.07
2001-07-19,35.43
2001-07-20,35.1
2001-07-23,35.1
2001-07-24,34.05
2001-07-25,33.94
2001-07-26,33.56
2001-07-27,34.05
2001-07-30,34.88
2001-07-31,35.1
2001-08-01,34.7
2001-08-02,34.77
2001-08-03,33.62
2001-08-06,34.28
2001-08-07,34.28
2001-08-08,34.13
2001-08-09,34.77
2001-08-10,34.92
2001-08-13,35.13
2001-08-14,35.03
2001-08-15,35.18
2001-08-16,35.23
2001-08-17,34.77
2001-08-20,34.25
2001-08-21,33.79
2001-08-22,33.92
2001-08-23,33.0
2001-08-24,32.8
2001-08-27,33.26
2001-08-28,33.39
2001-08-29,33.72
2001-08-30,33.39
2001-08-31,32.22
2001-09-03,32.09
2001-09-04,32.08
2001-09-05,29.69
2001-09-06,28.28
2001-09-07,27.64
2001-09-10,27.62
2001-09-11,28.21
2001-09-12,28.28
2001-09-13,28.87
2001-09-14,26.61
2001-09-17,26.71
2001-09-18,26.24
2001-09-19,25.72
2001-09-20,25.52
2001-09-21,24.6
