Date,Price
2003-01-01,15.82
2003-01-02,15.99
2003-01-03,15.95
2003-01-06,16.02
2003-01-07,16.05
2003-01-08,15.98
2003-01-09,16.09
2003-01-10,15.86
2003-01-13,15.71
2003-01-14,15.63
2003-01-15,15.75
2003-01-16,16.04
2003-01-17,14.43
2003-01-20,15.47
2003-01-21,15.17
2003-01-22,14.49
2003-01-23,14.58
2003-01-24,14.37
2003-01-27,13.74
2003-01-28,13.63
2003-01-29,13.7
2003-01-30,14.03
2003-01-31,16.04
2003-02-03,14.61
2003-02-04,14.26
2003-02-05,14.6
2003-02-06,14.32
2003-02-07,14.04
2003-02-10,14.29
2003-02-11,14.26
2003-02-12,14.26
2003-02-13,14.2
2003-02-14,14.78
2003-02-17,14.71
2003-02-18,14.74
2003-02-19,14.68
2003-02-20,14.64
2003-02-21,14.83
2003-02-24,14.76
2003-02-25,14.52
2003-02-26,14.44
2003-02-27,14.72
2003-02-28,14.9
2003-03-03,15.07
2003-03-04,15.14
2003-03-05,14.71
2003-03-06,14.97
2003-03-07,15.03
2003-03-10,14.69
2003-03-11,13.55
2003-03-12,13.58
2003-03-13,13.42
2003-03-14,13.34
2003-03-17,13.74
2003-03-18,14.68
2003-03-19,14.4
2003-03-20,14.91
2003-03-21,14.94
2003-03-24,14.76
2003-03-25,14.53
2003-03-26,14.86
2003-03-27,15.05
2003-03-28,14.74
2003-03-31,14.72
2003-04-01,14.86
2003-04-02,15.35
2003-04-03,15.3
2003-04-04,15.84
2003-04-07,15.35
2003-04-08,15.15
2003-04-09,15.09
2003-04-10,15.24
2003-04-11,15.08
2003-04-14,15.27
2003-04-15,14.9
2003-04-16,14.84
2003-04-17,15.2
2003-04-18,15.2
2003-04-21,15.2
2003-04-22,15.23
2003-04-23,15.68
2003-04-24,15.52
2003-04-25,15.23
2003-04-28,15.45
2003-04-29,15.16
2003-04-30,15.2
2003-05-01,15.2
2003-05-02,15.2
2003-05-05,15.64
2003-05-06,14.92
2003-05-07,15.12
2003-05-08,14.68
2003-05-09,15.07
2003-05-12,14.75
2003-05-13,14.5
2003-05-14,14.39
2003-05-15,14.44
2003-05-16,14.16
2003-05-19,13.91
2003-05-20,14.18
2003-05-21,13.96
2003-05-22,14.18
2003-05-23,14.01
2003-05-26,13.96
2003-05-27,14.07
2003-05-28,13.81
2003-05-29,13.77
2003-05-30,14.45
2003-06-02,14.15
2003-06-03,14.09
2003-06-04,14.09
2003-06-05,14.21
2003-06-06,14.51
2003-06-09,14.5
2003-06-10,14.68
2003-06-11,14.83
2003-06-12,14.49
2003-06-13,14.54
2003-06-16,14.68
2003-06-17,14.79
2003-06-18,14.87
2003-06-19,15.01
2003-06-20,14.84
2003-06-23,14.36
2003-06-24,14.44
2003-06-25,14.21
2003-06-26,14.21
2003-06-27,14.21
2003-06-30,14.11
2003-07-01,14.13
2003-07-02,13.92
2003-07-03,13.72
2003-07-04,13.76
2003-07-07,13.93
2003-07-08,13.92
2003-07-09,13.8
2003-07-10,13.98
2003-07-11,13.96
2003-07-14,13.86
2003-07-15,13.82
2003-07-16,14.05
2003-07-17,14.58
2003-07-18,14.38
2003-07-21,14.47
2003-07-22,14.45
2003-07-23,14.05
2003-07-24,14.52
2003-07-25,14.44
2003-07-28,14.45
2003-07-29,14.39
2003-07-30,14.43
2003-07-31,14.62
2003-08-01,14.61
2003-08-04,14.43
2003-08-05,14.5
2003-08-06,14.34
2003-08-07,14.32
2003-08-08,14.31
2003-08-11,14.32
2003-08-12,14.5
2003-08-13,14.7
2003-08-14,14.78
2003-08-15,15.08
2003-08-18,15.29
2003-08-19,14.97
2003-08-20,15.2
2003-08-21,15.34
2003-08-22,15.3
2003-08-25,15.16
2003-08-26,15.19
2003-08-27,15.12
2003-08-28,15.02
2003-08-29,15.08
2003-09-01,15.34
2003-09-02,15.3
2003-09-03,15.49
2003-09-04,15.6
2003-09-05,15.65
2003-09-08,15.62
2003-09-09,15.6
2003-09-10,15.34
2003-09-11,15.52
2003-09-12,15.58
2003-09-15,15.41
2003-09-16,15.46
2003-09-17,15.55
2003-09-18,15.81
2003-09-19,15.81
2003-09-22,15.67
2003-09-23,15.61
2003-09-24,15.14
2003-09-25,15.3
2003-09-26,15.58
2003-09-29,15.55
2003-09-30,15.35
2003-10-01,15.31
2003-10-02,15.1
2003-10-03,15.22
2003-10-06,14.78
2003-10-07,15.13
2003-10-08,14.95
2003-10-09,15.03
2003-10-10,15.34
2003-10-13,15.91
2003-10-14,15.71
2003-10-15,16.25
2003-10-16,16.41
2003-10-17,16.4
2003-10-20,16.55
2003-10-21,16.35
2003-10-22,16.21
2003-10-23,16.35
2003-10-24,16.25
2003-10-27,16.43
2003-10-28,16.4
2003-10-29,16.36
2003-10-30,16.65
2003-10-31,16.62
2003-11-03,16.75
2003-11-04,16.6
2003-11-05,16.72
2003-11-06,16.68
2003-11-07,16.68
