Date,Price
1990-01-02,12.18
1990-01-03,12.02
1990-01-04,11.8
1990-01-05,11.68
1990-01-08,11.9
1990-01-09,11.77
1990-01-10,11.68
1990-01-11,11.96
1990-01-12,11.68
1990-01-15,11.55
1990-01-16,11.49
1990-01-17,11.62
1990-01-18,11.62
1990-01-19,11.84
1990-01-22,11.49
1990-01-23,11.84
1990-01-24,11.65
1990-01-25,11.65
1990-01-26,11.71
1990-01-29,11.68
1990-01-30,11.65
1990-01-31,11.87
1990-02-01,11.8
1990-02-02,11.8
1990-02-05,11.65
1990-02-06,11.55
1990-02-07,11.68
1990-02-08,12.06
1990-02-09,12.18
1990-02-12,12.15
1990-02-13,11.93
1990-02-14,12.09
1990-02-15,12.5
1990-02-16,12.46
1990-02-20,12.62
1990-02-21,12.5
1990-02-22,12.18
1990-02-23,12.37
1990-02-26,12.5
1990-02-27,12.62
1990-02-28,12.62
1990-03-01,12.62
1990-03-02,12.62
1990-03-05,12.59
1990-03-06,12.68
1990-03-07,12.84
1990-03-08,12.5
1990-03-09,12.15
1990-03-12,12.15
1990-03-13,12.16
1990-03-14,12.19
1990-03-15,12.22
1990-03-16,12.28
1990-03-19,12.03
1990-03-20,11.75
1990-03-21,11.87
1990-03-22,11.72
1990-03-23,11.84
1990-03-26,11.87
1990-03-27,11.84
1990-03-28,11.9
1990-03-29,12.0
1990-03-30,11.94
1990-04-02,11.84
1990-04-03,11.97
1990-04-04,11.81
1990-04-05,11.78
1990-04-06,11.59
1990-04-09,11.4
1990-04-10,11.31
1990-04-11,11.18
1990-04-12,11.09
1990-04-16,11.15
1990-04-17,11.34
1990-04-18,11.34
1990-04-19,11.34
1990-04-20,11.37
1990-04-23,11.31
1990-04-24,11.53
1990-04-25,11.59
1990-04-26,11.59
1990-04-27,11.59
1990-04-30,11.59
1990-05-01,11.68
1990-05-02,11.9
1990-05-03,11.97
1990-05-04,11.87
1990-05-07,11.62
1990-05-08,11.68
1990-05-09,11.62
1990-05-10,11.59
1990-05-11,11.78
1990-05-14,12.13
1990-05-15,12.35
1990-05-16,12.41
1990-05-17,12.38
1990-05-18,12.35
1990-05-21,12.35
1990-05-22,12.13
1990-05-23,12.09
1990-05-24,11.81
1990-05-25,11.75
1990-05-29,11.9
1990-05-30,11.84
1990-05-31,11.65
1990-06-01,11.37
1990-06-04,11.62
1990-06-05,11.46
1990-06-06,11.27
1990-06-07,11.27
1990-06-08,11.12
1990-06-11,11.37
1990-06-12,11.53
1990-06-13,11.38
1990-06-14,11.34
1990-06-15,11.19
1990-06-18,11.0
1990-06-19,11.15
1990-06-20,11.38
1990-06-21,11.38
1990-06-22,11.12
1990-06-25,11.0
1990-06-26,11.06
1990-06-27,11.06
1990-06-28,11.19
1990-06-29,11.15
1990-07-02,11.06
1990-07-03,11.0
1990-07-05,10.9
1990-07-06,10.93
1990-07-09,11.0
1990-07-10,11.19
1990-07-11,11.5
1990-07-12,12.01
1990-07-13,12.01
1990-07-16,12.23
1990-07-17,12.17
1990-07-18,12.1
1990-07-19,12.42
1990-07-20,12.32
1990-07-23,12.07
1990-07-24,12.32
1990-07-25,12.13
1990-07-26,12.23
1990-07-27,12.36
1990-07-30,12.26
1990-07-31,12.42
1990-08-01,12.42
1990-08-02,13.15
1990-08-03,13.15
1990-08-06,13.4
1990-08-07,13.33
1990-08-08,13.08
1990-08-09,12.99
1990-08-10,13.02
1990-08-13,13.08
1990-08-14,13.02
1990-08-15,13.11
1990-08-16,13.08
1990-08-17,13.37
1990-08-20,13.78
1990-08-21,13.3
1990-08-22,13.4
1990-08-23,12.89
1990-08-24,13.11
1990-08-27,12.99
1990-08-28,13.24
1990-08-29,13.24
1990-08-30,13.08
1990-08-31,13.27
1990-09-04,13.59
1990-09-05,13.84
1990-09-06,13.87
1990-09-07,13.87
1990-09-10,13.71
1990-09-11,13.53
1990-09-12,13.88
1990-09-13,13.82
1990-09-14,13.59
1990-09-17,13.78
1990-09-18,14.04
1990-09-19,14.13
1990-09-20,14.04
1990-09-21,13.91
1990-09-24,13.69
1990-09-25,13.34
1990-09-26,13.05
1990-09-27,12.77
1990-09-28,12.93
1990-10-01,12.67
1990-10-02,12.83
1990-10-03,12.83
1990-10-04,12.96
1990-10-05,12.96
1990-10-08,12.9
1990-10-09,12.83
1990-10-10,12.64
1990-10-11,12.17
1990-10-12,11.98
1990-10-15,11.79
1990-10-16,11.82
1990-10-17,11.72
1990-10-18,11.69
1990-10-19,12.14
1990-10-22,12.42
1990-10-23,12.23
1990-10-24,12.29
1990-10-25,12.17
1990-10-26,12.2
1990-10-29,12.26
1990-10-30,12.36
1990-10-31,12.39
1990-11-01,12.52
1990-11-02,12.8
1990-11-05,13.09
1990-11-06,12.71
1990-11-07,12.36
1990-11-08,12.39
1990-11-09,12.64
1990-11-12,12.55
1990-11-13,12.42
1990-11-14,12.52
1990-11-15,12.39
1990-11-16,12.42
1990-11-19,12.26
1990-11-20,12.07
1990-11-21,12.23
1990-11-23,12.14
1990-11-26,12.26
1990-11-27,12.42
1990-11-28,12.67
1990-11-29,12.64
1990-11-30,12.71
1990-12-03,12.71
1990-12-04,12.71
1990-12-05,12.29
1990-12-06,12.17
1990-12-07,12.14
1990-12-10,12.23
1990-12-11,12.01
1990-12-12,11.98
1990-12-13,11.98
1990-12-14,11.95
1990-12-17,11.82
1990-12-18,11.73
1990-12-19,11.92
1990-12-20,11.98
1990-12-21,11.86
1990-12-24,11.86
1990-12-26,11.82
1990-12-27,11.82
1990-12-28,11.89
1990-12-31,11.79
1991-01-02,11.76
1991-01-03,11.44
1991-01-04,11.51
1991-01-07,11.76
1991-01-08,11.54
1991-01-09,11.32
1991-01-10,11.44
1991-01-11,11.47
1991-01-14,11.63
1991-01-15,11.6
1991-01-16,11.6
1991-01-17,11.51
1991-01-18,11.38
1991-01-21,11.06
1991-01-22,10.9
1991-01-23,11.22
1991-01-24,11.28
1991-01-25,11.16
1991-01-28,11.16
1991-01-29,11.0
1991-01-30,11.19
1991-01-31,11.38
1991-02-01,11.32
1991-02-04,11.38
1991-02-05,11.32
1991-02-06,12.21
1991-02-07,12.01
1991-02-08,12.17
1991-02-11,12.24
1991-02-12,12.08
1991-02-13,11.86
1991-02-14,11.76
1991-02-15,11.67
1991-02-19,11.7
1991-02-20,11.82
1991-02-21,11.98
1991-02-22,11.98
1991-02-25,12.11
1991-02-26,12.27
1991-02-27,12.56
1991-02-28,12.49
1991-03-01,12.4
1991-03-04,12.3
1991-03-05,12.49
1991-03-06,12.52
1991-03-07,12.59
1991-03-08,12.65
1991-03-11,12.49
1991-03-12,12.56
1991-03-13,12.56
1991-03-14,12.31
1991-03-15,12.24
1991-03-18,12.18
1991-03-19,12.27
1991-03-20,12.21
1991-03-21,12.27
1991-03-22,12.26
1991-03-25,12.12
1991-03-26,11.99
1991-03-27,11.96
1991-03-28,11.92
1991-04-01,11.76
1991-04-02,11.99
1991-04-03,11.99
1991-04-04,11.96
1991-04-05,11.96
1991-04-08,11.92
1991-04-09,11.96
1991-04-10,11.89
1991-04-11,12.12
1991-04-12,12.63
