Date,Price
2007-05-15,178.31
2007-05-16,181.71
2007-05-17,182.99
2007-05-18,179.59
2007-05-21,174.9
2007-05-22,176.18
2007-05-23,177.46
2007-05-24,176.61
2007-05-25,174.9
2007-05-29,175.76
2007-05-30,176.18
2007-05-31,175.76
2007-06-01,174.48
2007-06-04,174.9
2007-06-05,175.76
2007-06-06,175.33
2007-06-07,174.9
2007-06-08,171.5
2007-06-11,171.07
2007-06-12,173.2
2007-06-13,170.22
2007-06-14,171.29
2007-06-15,172.78
2007-06-18,174.05
2007-06-19,172.78
2007-06-20,174.48
2007-06-21,182.14
2007-06-22,182.78
2007-06-25,182.56
2007-06-26,182.56
2007-06-27,177.03
2007-06-28,177.88
2007-06-29,176.18
2007-07-02,178.31
2007-07-03,178.52
2007-07-04,186.39
2007-07-05,188.1
2007-07-06,190.65
2007-07-09,187.25
2007-07-10,184.48
2007-07-11,181.5
2007-07-12,187.46
2007-07-13,191.5
2007-07-16,192.35
2007-07-17,195.76
2007-07-18,192.56
2007-07-19,191.93
2007-07-20,194.27
2007-07-23,194.91
2007-07-24,192.56
2007-07-25,190.01
2007-07-26,175.33
2007-07-27,174.9
2007-07-30,178.73
2007-07-31,179.59
2007-08-01,177.88
2007-08-02,178.31
2007-08-03,177.24
2007-08-06,169.8
2007-08-07,170.22
2007-08-08,173.63
2007-08-09,167.46
2007-08-10,159.16
2007-08-13,165.75
2007-08-14,163.63
2007-08-15,157.03
2007-08-16,150.65
2007-08-17,154.05
2007-08-20,157.67
2007-08-21,158.31
2007-08-22,160.86
2007-08-23,163.41
2007-08-24,166.18
2007-08-28,163.84
2007-08-29,162.14
2007-08-30,170.65
2007-08-31,176.18
2007-09-03,180.86
2007-09-04,181.29
2007-09-05,181.29
2007-09-06,182.56
2007-09-07,178.95
2007-09-10,176.61
2007-09-11,179.59
2007-09-12,184.02
2007-09-13,192.99
2007-09-14,186.39
2007-09-17,177.67
2007-09-18,177.03
2007-09-19,183.42
2007-09-20,176.18
2007-09-21,177.03
2007-09-24,176.18
2007-09-25,172.78
2007-09-26,172.78
2007-09-27,177.03
2007-09-28,179.8
2007-10-01,181.71
2007-10-02,184.48
2007-10-03,185.76
2007-10-04,185.54
2007-10-05,188.95
2007-10-08,183.84
2007-10-09,188.95
2007-10-10,191.29
2007-10-11,192.35
2007-10-12,193.2
2007-10-15,191.93
2007-10-16,192.14
2007-10-17,191.93
2007-10-18,191.93
2007-10-19,191.93
2007-10-22,192.35
2007-10-23,191.93
2007-10-24,191.29
2007-10-25,197.46
2007-10-26,201.29
2007-10-29,202.99
2007-10-30,202.99
2007-10-31,203.42
2007-11-01,201.29
2007-11-02,201.71
2007-11-05,201.08
2007-11-06,202.57
2007-11-07,191.71
2007-11-08,190.65
2007-11-09,189.8
2007-11-12,184.69
2007-11-13,185.54
2007-11-14,187.46
2007-11-15,187.25
2007-11-16,185.54
2007-11-19,180.44
2007-11-20,173.41
2007-11-21,171.29
2007-11-22,168.1
2007-11-23,173.63
2007-11-26,171.07
2007-11-27,172.35
2007-11-28,178.73
2007-11-29,172.56
2007-11-30,184.05
2007-12-03,173.41
2007-12-04,171.07
2007-12-05,169.37
2007-12-06,168.52
2007-12-07,165.33
2007-12-10,163.84
2007-12-11,162.35
2007-12-12,157.24
