Date,Price
1990-01-02,4.92
1990-01-03,4.94
1990-01-04,5.1
1990-01-05,5.17
1990-01-08,5.17
1990-01-09,5.06
1990-01-10,5.01
1990-01-11,4.98
1990-01-12,4.89
1990-01-15,4.87
1990-01-16,4.98
1990-01-17,4.87
1990-01-18,4.96
1990-01-19,4.92
1990-01-22,4.82
1990-01-23,4.84
1990-01-24,4.73
1990-01-25,4.56
1990-01-26,4.73
1990-01-29,4.8
1990-01-30,4.8
1990-01-31,4.73
1990-02-01,4.75
1990-02-02,4.71
1990-02-05,4.75
1990-02-06,4.8
1990-02-07,4.91
1990-02-08,4.91
1990-02-09,4.94
1990-02-12,4.87
1990-02-13,4.92
1990-02-14,4.94
1990-02-15,5.02
1990-02-16,4.97
1990-02-20,4.88
1990-02-21,4.83
1990-02-22,4.77
1990-02-23,4.77
1990-02-26,4.85
1990-02-27,4.86
1990-02-28,4.95
1990-03-01,5.0
1990-03-02,5.04
1990-03-05,5.0
1990-03-06,5.06
1990-03-07,5.0
1990-03-08,5.09
1990-03-09,5.07
1990-03-12,5.04
1990-03-13,4.99
1990-03-14,5.02
1990-03-15,5.02
1990-03-16,5.09
1990-03-19,5.11
1990-03-20,5.0
1990-03-21,5.04
1990-03-22,5.02
1990-03-23,5.06
1990-03-26,5.06
1990-03-27,5.14
1990-03-28,5.16
1990-03-29,5.22
1990-03-30,5.22
1990-04-02,5.09
1990-04-03,5.09
1990-04-04,5.09
1990-04-05,5.02
1990-04-06,5.04
1990-04-09,5.07
1990-04-10,5.07
1990-04-11,5.02
1990-04-12,5.04
1990-04-16,5.07
1990-04-17,5.13
1990-04-18,5.09
1990-04-19,5.06
1990-04-20,5.0
1990-04-23,4.95
1990-04-24,4.93
1990-04-25,4.9
1990-04-26,4.93
1990-04-27,4.85
1990-04-30,4.95
1990-05-01,4.93
1990-05-02,4.97
1990-05-03,4.99
1990-05-04,5.0
1990-05-07,4.99
1990-05-08,5.04
1990-05-09,5.04
1990-05-10,5.06
1990-05-11,5.13
1990-05-14,5.16
1990-05-15,5.32
1990-05-16,5.26
1990-05-17,5.32
1990-05-18,5.17
1990-05-21,5.17
1990-05-22,5.12
1990-05-23,5.08
1990-05-24,5.03
1990-05-25,4.94
1990-05-29,5.21
1990-05-30,5.32
1990-05-31,5.21
1990-06-01,5.28
1990-06-04,5.32
1990-06-05,5.33
1990-06-06,5.32
1990-06-07,5.24
1990-06-08,5.23
1990-06-11,5.26
1990-06-12,5.24
1990-06-13,5.28
1990-06-14,5.3
1990-06-15,5.17
1990-06-18,5.1
1990-06-19,5.14
1990-06-20,5.12
1990-06-21,5.17
1990-06-22,5.12
1990-06-25,5.1
1990-06-26,5.1
1990-06-27,5.1
1990-06-28,5.21
1990-06-29,5.24
1990-07-02,5.19
1990-07-03,5.21
1990-07-05,5.1
1990-07-06,5.12
1990-07-09,5.07
1990-07-10,5.03
1990-07-11,5.08
1990-07-12,5.1
1990-07-13,5.05
1990-07-16,5.07
1990-07-17,5.12
1990-07-18,5.07
1990-07-19,5.05
1990-07-20,4.87
1990-07-23,4.78
1990-07-24,4.83
1990-07-25,4.91
1990-07-26,4.83
1990-07-27,4.82
1990-07-30,4.78
1990-07-31,4.82
1990-08-01,4.83
1990-08-02,4.71
1990-08-03,4.76
1990-08-06,4.51
1990-08-07,4.5
1990-08-08,4.66
1990-08-09,4.87
1990-08-10,4.85
1990-08-13,4.85
1990-08-14,4.83
1990-08-15,4.77
1990-08-16,4.57
1990-08-17,4.39
1990-08-20,4.48
1990-08-21,4.5
1990-08-22,4.45
1990-08-23,4.28
1990-08-24,4.3
1990-08-27,4.48
1990-08-28,4.48
1990-08-29,4.48
1990-08-30,4.41
1990-08-31,4.48
1990-09-04,4.47
1990-09-05,4.47
1990-09-06,4.43
1990-09-07,4.45
1990-09-10,4.54
1990-09-11,4.48
1990-09-12,4.47
1990-09-13,4.34
1990-09-14,4.28
1990-09-17,4.28
1990-09-18,4.28
1990-09-19,4.34
1990-09-20,4.3
1990-09-21,4.16
1990-09-24,4.16
1990-09-25,4.25
1990-09-26,4.21
1990-09-27,4.18
1990-09-28,4.03
1990-10-01,4.03
1990-10-02,4.23
1990-10-03,4.18
1990-10-04,4.3
1990-10-05,4.3
1990-10-08,4.23
1990-10-09,3.98
1990-10-10,3.83
1990-10-11,3.81
1990-10-12,3.87
1990-10-15,3.81
1990-10-16,3.78
1990-10-17,3.67
1990-10-18,3.72
1990-10-19,3.69
1990-10-22,3.72
1990-10-23,3.65
1990-10-24,3.69
1990-10-25,3.65
1990-10-26,3.65
1990-10-29,3.65
1990-10-30,3.72
1990-10-31,3.63
1990-11-01,3.67
1990-11-02,3.76
1990-11-05,3.8
1990-11-06,3.72
1990-11-07,3.69
1990-11-08,3.8
1990-11-09,3.84
1990-11-12,3.86
1990-11-13,3.88
1990-11-14,3.94
1990-11-15,4.03
1990-11-16,4.01
1990-11-19,4.05
1990-11-20,3.99
1990-11-21,4.05
1990-11-23,4.01
1990-11-26,4.01
1990-11-27,3.97
1990-11-28,4.01
1990-11-29,3.97
1990-11-30,4.08
1990-12-03,4.12
1990-12-04,4.1
1990-12-05,4.05
1990-12-06,4.12
1990-12-07,3.95
1990-12-10,3.95
1990-12-11,3.92
1990-12-12,4.03
1990-12-13,4.03
1990-12-14,3.94
1990-12-17,3.97
1990-12-18,3.97
1990-12-19,3.99
1990-12-20,4.01
1990-12-21,4.07
1990-12-24,4.05
1990-12-26,4.03
1990-12-27,3.95
1990-12-28,3.95
1990-12-31,3.97
1991-01-02,4.12
1991-01-03,4.1
1991-01-04,4.08
1991-01-07,3.97
1991-01-08,3.95
1991-01-09,3.9
1991-01-10,3.94
1991-01-11,3.92
1991-01-14,3.81
1991-01-15,3.84
1991-01-16,3.9
1991-01-17,4.18
1991-01-18,4.25
1991-01-21,4.16
1991-01-22,4.01
1991-01-23,4.18
1991-01-24,4.27
1991-01-25,4.29
1991-01-28,4.4
1991-01-29,4.45
1991-01-30,4.38
1991-01-31,4.27
1991-02-01,4.23
1991-02-04,4.41
1991-02-05,4.43
1991-02-06,4.47
1991-02-07,4.67
1991-02-08,4.51
1991-02-11,4.48
1991-02-12,4.5
1991-02-13,4.65
1991-02-14,4.48
1991-02-15,4.61
1991-02-19,4.48
1991-02-20,4.42
1991-02-21,4.44
1991-02-22,4.48
1991-02-25,4.48
1991-02-26,4.41
1991-02-27,4.46
1991-02-28,4.44
1991-03-01,4.48
1991-03-04,4.5
1991-03-05,4.54
1991-03-06,4.57
1991-03-07,4.48
1991-03-08,4.48
1991-03-11,4.41
1991-03-12,4.44
1991-03-13,4.46
1991-03-14,4.46
1991-03-15,4.46
1991-03-18,4.42
1991-03-19,4.37
1991-03-20,4.42
