Date,Price
1990-01-02,4.14
1990-01-03,4.02
1990-01-04,3.99
1990-01-05,4.02
1990-01-08,4.0
1990-01-09,3.96
1990-01-10,3.99
1990-01-11,4.03
1990-01-12,3.96
1990-01-15,3.92
1990-01-16,3.84
1990-01-17,3.86
1990-01-18,3.84
1990-01-19,3.87
1990-01-22,3.78
1990-01-23,3.74
1990-01-24,3.65
1990-01-25,3.53
1990-01-26,3.47
1990-01-29,3.35
1990-01-30,3.28
1990-01-31,3.3
1990-02-01,3.34
1990-02-02,3.41
1990-02-05,3.47
1990-02-06,3.55
1990-02-07,3.56
1990-02-08,3.62
1990-02-09,3.64
1990-02-12,3.67
1990-02-13,3.69
1990-02-14,3.72
1990-02-15,3.77
1990-02-16,3.69
1990-02-20,3.61
1990-02-21,3.58
1990-02-22,3.5
1990-02-23,3.49
1990-02-26,3.46
1990-02-27,3.44
1990-02-28,3.46
1990-03-01,3.49
1990-03-02,3.56
1990-03-05,3.52
1990-03-06,3.58
1990-03-07,3.59
1990-03-08,3.68
1990-03-09,3.74
1990-03-12,3.73
1990-03-13,3.76
1990-03-14,3.77
1990-03-15,3.8
1990-03-16,3.9
1990-03-19,3.89
1990-03-20,3.93
1990-03-21,3.96
1990-03-22,3.84
1990-03-23,3.83
1990-03-26,3.95
1990-03-27,3.96
1990-03-28,4.05
1990-03-29,4.04
1990-03-30,3.98
1990-04-02,3.95
1990-04-03,4.04
1990-04-04,3.95
1990-04-05,3.92
1990-04-06,3.96
1990-04-09,3.9
1990-04-10,3.89
1990-04-11,3.87
1990-04-12,3.89
1990-04-16,3.89
1990-04-17,3.93
1990-04-18,3.93
1990-04-19,3.84
1990-04-20,3.77
1990-04-23,3.71
1990-04-24,3.7
1990-04-25,3.7
1990-04-26,3.68
1990-04-27,3.65
1990-04-30,3.68
1990-05-01,3.64
1990-05-02,3.59
1990-05-03,3.61
1990-05-04,3.62
1990-05-07,3.68
1990-05-08,3.81
1990-05-09,3.87
1990-05-10,3.95
1990-05-11,3.99
1990-05-14,4.07
1990-05-15,4.11
1990-05-16,4.2
1990-05-17,4.14
1990-05-18,4.16
1990-05-21,4.13
1990-05-22,4.14
1990-05-23,4.13
1990-05-24,4.17
1990-05-25,4.14
1990-05-29,4.2
1990-05-30,4.2
1990-05-31,4.2
1990-06-01,4.23
1990-06-04,4.25
1990-06-05,4.29
1990-06-06,4.31
1990-06-07,4.31
1990-06-08,4.26
1990-06-11,4.22
1990-06-12,4.26
1990-06-13,4.2
1990-06-14,4.2
1990-06-15,4.2
1990-06-18,4.14
