Date,Price
1990-01-02,7.77
1990-01-03,7.75
1990-01-04,7.68
1990-01-05,7.66
1990-01-08,7.59
1990-01-09,7.53
1990-01-10,7.39
1990-01-11,7.39
1990-01-12,7.33
1990-01-15,7.26
1990-01-16,7.19
1990-01-17,7.08
1990-01-18,7.17
1990-01-19,7.35
1990-01-22,7.06
1990-01-23,6.95
1990-01-24,7.04
1990-01-25,6.86
1990-01-26,6.97
1990-01-29,6.95
1990-01-30,6.77
1990-01-31,6.82
1990-02-01,6.86
1990-02-02,6.88
1990-02-05,6.95
1990-02-06,6.86
1990-02-07,6.97
1990-02-08,6.84
1990-02-09,6.82
1990-02-12,6.71
1990-02-13,6.77
1990-02-14,6.82
1990-02-15,7.04
1990-02-16,6.95
1990-02-20,6.91
1990-02-21,7.04
1990-02-22,6.88
1990-02-23,6.82
1990-02-26,6.91
1990-02-27,6.84
1990-02-28,6.75
1990-03-01,6.69
1990-03-02,6.6
1990-03-05,6.55
1990-03-06,6.35
1990-03-07,6.49
1990-03-08,6.69
1990-03-09,6.57
1990-03-12,6.64
1990-03-13,6.62
1990-03-14,6.6
1990-03-15,6.77
1990-03-16,7.02
1990-03-19,7.04
1990-03-20,7.08
1990-03-21,7.08
1990-03-22,6.97
1990-03-23,6.99
1990-03-26,6.97
1990-03-27,6.91
1990-03-28,7.02
1990-03-29,6.95
1990-03-30,6.93
1990-04-02,6.93
1990-04-03,7.06
1990-04-04,7.09
1990-04-05,7.13
1990-04-06,7.11
1990-04-09,7.13
1990-04-10,7.06
1990-04-11,7.18
1990-04-12,7.33
1990-04-16,7.53
1990-04-17,7.49
1990-04-18,7.46
1990-04-19,7.29
1990-04-20,7.09
1990-04-23,7.09
1990-04-24,7.09
1990-04-25,7.18
1990-04-26,7.15
1990-04-27,6.97
1990-04-30,6.95
1990-05-01,7.04
1990-05-02,7.18
1990-05-03,7.26
1990-05-04,7.49
1990-05-07,7.49
1990-05-08,7.49
1990-05-09,7.55
1990-05-10,7.46
1990-05-11,7.6
1990-05-14,7.8
1990-05-15,8.02
1990-05-16,8.22
1990-05-17,8.09
1990-05-18,8.07
1990-05-21,8.16
1990-05-22,8.13
1990-05-23,8.29
1990-05-24,8.27
1990-05-25,8.07
1990-05-29,8.2
1990-05-30,8.18
1990-05-31,8.02
1990-06-01,8.13
1990-06-04,8.13
1990-06-05,8.04
1990-06-06,8.0
1990-06-07,7.93
1990-06-08,7.84
1990-06-11,7.78
1990-06-12,7.91
1990-06-13,7.96
1990-06-14,8.0
1990-06-15,8.04
1990-06-18,7.96
1990-06-19,7.96
1990-06-20,7.96
1990-06-21,8.22
1990-06-22,8.33
1990-06-25,8.11
1990-06-26,8.16
1990-06-27,8.7
1990-06-28,8.79
1990-06-29,8.79
1990-07-02,8.86
1990-07-03,8.75
1990-07-05,8.61
1990-07-06,8.73
1990-07-09,8.91
1990-07-10,8.75
1990-07-11,8.91
1990-07-12,8.91
1990-07-13,8.91
1990-07-16,9.04
1990-07-17,8.93
1990-07-18,8.84
1990-07-19,8.88
1990-07-20,8.66
1990-07-23,8.43
1990-07-24,8.7
1990-07-25,8.82
1990-07-26,8.7
1990-07-27,8.52
1990-07-30,8.43
1990-07-31,8.59
1990-08-01,8.79
1990-08-02,8.66
1990-08-03,8.32
1990-08-06,7.87
1990-08-07,8.08
1990-08-08,8.03
1990-08-09,8.03
1990-08-10,7.96
1990-08-13,8.43
1990-08-14,8.34
1990-08-15,8.7
1990-08-16,8.5
1990-08-17,8.05
1990-08-20,8.25
1990-08-21,8.19
1990-08-22,8.05
1990-08-23,7.81
1990-08-24,7.76
1990-08-27,7.85
1990-08-28,8.05
1990-08-29,8.21
1990-08-30,8.19
1990-08-31,8.25
1990-09-04,8.1
1990-09-05,8.01
1990-09-06,7.87
1990-09-07,8.16
1990-09-10,8.1
1990-09-11,7.9
1990-09-12,7.9
1990-09-13,7.83
1990-09-14,7.83
1990-09-17,7.81
1990-09-18,7.83
1990-09-19,7.94
1990-09-20,7.72
1990-09-21,7.72
1990-09-24,7.67
1990-09-25,7.88
1990-09-26,7.91
1990-09-27,7.86
1990-09-28,8.04
1990-10-01,8.18
1990-10-02,8.15
1990-10-03,7.95
1990-10-04,8.13
1990-10-05,8.11
1990-10-08,8.2
1990-10-09,7.97
1990-10-10,7.93
1990-10-11,7.86
1990-10-12,7.93
1990-10-15,8.04
1990-10-16,7.86
1990-10-17,7.82
1990-10-18,7.93
1990-10-19,8.06
1990-10-22,8.13
1990-10-23,8.09
1990-10-24,8.06
1990-10-25,7.95
1990-10-26,7.86
1990-10-29,7.64
1990-10-30,7.3
1990-10-31,7.54
1990-11-01,7.32
1990-11-02,7.54
1990-11-05,7.59
1990-11-06,7.45
1990-11-07,7.25
1990-11-08,7.3
1990-11-09,7.48
1990-11-12,7.59
1990-11-13,7.64
1990-11-14,7.7
1990-11-15,7.75
1990-11-16,7.84
1990-11-19,7.86
1990-11-20,7.75
1990-11-21,7.77
1990-11-23,7.68
1990-11-26,7.61
