Date,Price
1990-01-02,15.79
1990-01-03,15.93
1990-01-04,16.11
1990-01-05,16.07
1990-01-08,16.17
1990-01-09,16.01
1990-01-10,15.95
1990-01-11,16.09
1990-01-12,15.77
1990-01-15,15.81
1990-01-16,16.13
1990-01-17,15.93
1990-01-18,16.03
1990-01-19,15.89
1990-01-22,15.56
1990-01-23,15.58
1990-01-24,15.71
1990-01-25,15.44
1990-01-26,15.61
1990-01-29,15.67
1990-01-30,15.67
1990-01-31,15.89
1990-02-01,15.75
1990-02-02,15.85
1990-02-05,16.25
1990-02-06,16.47
1990-02-07,16.82
1990-02-08,16.76
1990-02-09,16.72
1990-02-12,16.49
1990-02-13,16.84
1990-02-14,16.92
1990-02-15,16.92
1990-02-16,16.88
1990-02-20,16.78
1990-02-21,17.1
1990-02-22,16.84
1990-02-23,16.74
1990-02-26,16.96
1990-02-27,16.92
1990-02-28,16.94
1990-03-01,16.96
1990-03-02,17.1
1990-03-05,17.12
1990-03-06,17.25
1990-03-07,17.21
1990-03-08,17.45
1990-03-09,17.37
1990-03-12,17.57
1990-03-13,17.33
1990-03-14,17.33
1990-03-15,17.45
1990-03-16,17.72
1990-03-19,17.78
1990-03-20,17.61
1990-03-21,17.49
1990-03-22,17.37
1990-03-23,17.12
1990-03-26,16.98
1990-03-27,17.04
1990-03-28,17.27
1990-03-29,17.29
1990-03-30,17.31
1990-04-02,17.27
1990-04-03,17.39
1990-04-04,17.37
1990-04-05,17.31
1990-04-06,17.27
1990-04-09,17.21
1990-04-10,17.27
1990-04-11,17.35
1990-04-12,17.47
1990-04-16,18.08
1990-04-17,18.12
1990-04-18,17.92
1990-04-19,17.8
1990-04-20,17.84
1990-04-23,17.84
1990-04-24,17.76
1990-04-25,17.84
1990-04-26,17.74
1990-04-27,17.51
1990-04-30,17.78
1990-05-01,17.61
1990-05-02,17.8
1990-05-03,17.82
1990-05-04,18.22
1990-05-07,18.22
1990-05-08,18.26
1990-05-09,18.35
1990-05-10,18.53
1990-05-11,18.8
1990-05-14,18.84
1990-05-15,19.07
1990-05-16,19.03
1990-05-17,19.15
1990-05-18,19.03
1990-05-21,19.3
1990-05-22,19.42
1990-05-23,19.58
1990-05-24,19.58
1990-05-25,19.17
1990-05-29,19.75
1990-05-30,19.93
1990-05-31,19.79
1990-06-01,19.71
1990-06-04,19.85
1990-06-05,19.91
1990-06-06,19.89
1990-06-07,19.89
1990-06-08,19.58
1990-06-11,19.77
1990-06-12,19.83
1990-06-13,20.02
1990-06-14,19.93
1990-06-15,19.85
1990-06-18,19.56
1990-06-19,19.58
1990-06-20,19.46
1990-06-21,19.65
1990-06-22,19.17
1990-06-25,19.23
1990-06-26,19.25
1990-06-27,19.46
1990-06-28,19.4
1990-06-29,19.38
1990-07-02,19.54
1990-07-03,19.4
1990-07-05,19.36
1990-07-06,19.46
1990-07-09,19.63
1990-07-10,19.42
1990-07-11,19.65
1990-07-12,19.79
1990-07-13,19.96
1990-07-16,20.18
1990-07-17,19.91
1990-07-18,19.77
1990-07-19,19.79
1990-07-20,19.4
1990-07-23,19.11
1990-07-24,18.92
1990-07-25,18.92
1990-07-26,18.66
1990-07-27,18.37
1990-07-30,18.49
1990-07-31,18.39
1990-08-01,18.41
1990-08-02,18.1
1990-08-03,17.83
1990-08-06,17.32
1990-08-07,17.18
1990-08-08,17.2
1990-08-09,17.22
1990-08-10,17.01
1990-08-13,17.3
1990-08-14,17.41
1990-08-15,17.51
1990-08-16,17.3
1990-08-17,16.91
1990-08-20,17.05
1990-08-21,16.76
1990-08-22,16.51
1990-08-23,16.16
1990-08-24,16.74
1990-08-27,17.41
1990-08-28,17.28
1990-08-29,17.32
1990-08-30,16.97
1990-08-31,16.99
1990-09-04,17.1
1990-09-05,17.1
1990-09-06,17.07
1990-09-07,17.6
1990-09-10,17.66
1990-09-11,17.93
1990-09-12,17.99
1990-09-13,17.51
1990-09-14,17.41
1990-09-17,17.53
1990-09-18,17.89
1990-09-19,18.08
1990-09-20,17.99
1990-09-21,17.8
1990-09-24,17.51
1990-09-25,17.74
1990-09-26,17.57
1990-09-27,17.41
1990-09-28,17.74
1990-10-01,18.18
1990-10-02,18.05
1990-10-03,17.91
1990-10-04,17.99
1990-10-05,18.05
1990-10-08,18.26
1990-10-09,17.57
1990-10-10,17.26
1990-10-11,16.85
1990-10-12,16.72
1990-10-15,16.55
1990-10-16,16.57
1990-10-17,16.8
1990-10-18,17.57
1990-10-19,17.95
1990-10-22,17.97
1990-10-23,17.8
1990-10-24,18.12
1990-10-25,18.03
1990-10-26,17.83
1990-10-29,17.68
1990-10-30,17.74
1990-10-31,17.6
1990-11-01,17.89
1990-11-02,18.08
1990-11-05,18.19
1990-11-06,18.19
1990-11-07,17.96
1990-11-08,18.13
1990-11-09,18.6
1990-11-12,19.06
1990-11-13,18.89
1990-11-14,19.14
1990-11-15,19.0
1990-11-16,19.16
1990-11-19,19.35
1990-11-20,19.12
1990-11-21,19.25
1990-11-23,19.0
1990-11-26,19.21
1990-11-27,19.14
1990-11-28,18.95
1990-11-29,18.89
1990-11-30,19.16
1990-12-03,19.12
1990-12-04,19.35
1990-12-05,19.33
1990-12-06,18.81
1990-12-07,18.98
1990-12-10,19.12
1990-12-11,19.04
1990-12-12,19.29
1990-12-13,19.04
1990-12-14,18.76
1990-12-17,18.81
1990-12-18,19.14
1990-12-19,19.02
1990-12-20,19.19
1990-12-21,19.21
1990-12-24,19.21
1990-12-26,19.14
1990-12-27,19.16
1990-12-28,19.12
1990-12-31,19.06
1991-01-02,18.91
1991-01-03,18.98
1991-01-04,18.91
1991-01-07,18.6
1991-01-08,18.38
1991-01-09,18.03
1991-01-10,18.28
1991-01-11,18.24
1991-01-14,18.01
1991-01-15,18.13
1991-01-16,18.41
1991-01-17,19.52
1991-01-18,19.84
1991-01-21,20.18
1991-01-22,19.9
1991-01-23,20.11
1991-01-24,20.41
1991-01-25,20.68
1991-01-28,20.96
1991-01-29,21.0
1991-01-30,21.42
1991-01-31,21.38
1991-02-01,21.4
1991-02-04,21.69
1991-02-05,21.88
1991-02-06,22.12
1991-02-07,21.88
1991-02-08,22.05
1991-02-11,22.54
1991-02-12,22.61
1991-02-13,22.93
1991-02-14,22.99
1991-02-15,23.39
1991-02-19,23.76
1991-02-20,23.48
1991-02-21,23.07
1991-02-22,22.69
1991-02-25,22.76
1991-02-26,22.1
1991-02-27,22.29
1991-02-28,21.93
1991-03-01,22.31
1991-03-04,22.24
1991-03-05,22.73
1991-03-06,22.63
1991-03-07,22.56
1991-03-08,22.35
1991-03-11,21.99
1991-03-12,21.63
1991-03-13,21.99
1991-03-14,21.82
1991-03-15,21.56
1991-03-18,21.78
1991-03-19,19.6
1991-03-20,19.43
1991-03-21,19.05
1991-03-22,19.01
1991-03-25,19.33
1991-03-26,19.39
1991-03-27,19.22
1991-03-28,19.39
