Date,Price
1990-01-02,11.87
1990-01-03,11.87
1990-01-04,11.94
1990-01-05,11.83
1990-01-08,11.76
1990-01-09,11.52
1990-01-10,11.52
1990-01-11,11.68
1990-01-12,11.32
1990-01-15,11.12
1990-01-16,11.17
1990-01-17,11.32
1990-01-18,11.26
1990-01-19,11.46
1990-01-22,11.12
1990-01-23,11.04
1990-01-24,10.68
1990-01-25,10.44
1990-01-26,10.68
1990-01-29,10.64
1990-01-30,10.64
1990-01-31,10.62
1990-02-01,10.44
1990-02-02,10.57
1990-02-05,10.59
1990-02-06,10.44
1990-02-07,10.35
1990-02-08,10.15
1990-02-09,10.24
1990-02-12,10.24
1990-02-13,10.22
1990-02-14,10.18
1990-02-15,10.2
1990-02-16,10.15
1990-02-20,10.06
1990-02-21,9.89
1990-02-22,9.76
1990-02-23,9.8
1990-02-26,9.95
1990-02-27,10.11
1990-02-28,10.04
1990-03-01,10.02
1990-03-02,10.09
1990-03-05,10.04
1990-03-06,9.98
1990-03-07,10.06
1990-03-08,10.42
1990-03-09,10.42
1990-03-12,10.46
1990-03-13,10.26
1990-03-14,10.09
1990-03-15,10.22
1990-03-16,10.48
1990-03-19,10.51
1990-03-20,10.47
1990-03-21,10.34
1990-03-22,10.51
1990-03-23,10.56
1990-03-26,10.56
1990-03-27,10.78
1990-03-28,10.8
1990-03-29,10.87
1990-03-30,10.91
1990-04-02,11.0
1990-04-03,11.0
1990-04-04,10.91
1990-04-05,10.94
1990-04-06,10.89
1990-04-09,10.78
1990-04-10,10.8
1990-04-11,10.69
1990-04-12,10.76
1990-04-16,10.76
1990-04-17,10.74
1990-04-18,10.6
1990-04-19,10.42
1990-04-20,10.49
1990-04-23,10.31
1990-04-24,10.31
1990-04-25,10.36
1990-04-26,10.49
1990-04-27,10.42
1990-04-30,10.49
1990-05-01,10.49
1990-05-02,10.45
1990-05-03,10.51
1990-05-04,10.58
1990-05-07,10.76
1990-05-08,10.78
1990-05-09,10.85
1990-05-10,10.96
1990-05-11,11.32
1990-05-14,11.63
1990-05-15,11.56
1990-05-16,11.52
1990-05-17,11.54
1990-05-18,11.58
1990-05-21,11.52
1990-05-22,11.49
1990-05-23,11.6
1990-05-24,11.85
1990-05-25,11.67
1990-05-29,11.67
1990-05-30,11.87
1990-05-31,11.98
1990-06-01,11.83
1990-06-04,11.96
1990-06-05,12.16
1990-06-06,12.34
1990-06-07,12.21
1990-06-08,12.07
1990-06-11,12.21
1990-06-12,12.27
1990-06-13,12.27
1990-06-14,12.23
1990-06-15,12.21
1990-06-18,12.12
1990-06-19,12.18
1990-06-20,12.48
1990-06-21,12.55
1990-06-22,12.15
1990-06-25,11.88
1990-06-26,12.03
1990-06-27,12.35
1990-06-28,12.26
1990-06-29,12.44
1990-07-02,12.64
1990-07-03,12.57
1990-07-05,12.68
1990-07-06,12.98
1990-07-09,12.89
1990-07-10,12.75
1990-07-11,12.95
1990-07-12,13.09
1990-07-13,13.02
1990-07-16,13.02
1990-07-17,12.93
1990-07-18,13.07
1990-07-19,13.07
1990-07-20,13.04
1990-07-23,12.91
1990-07-24,13.0
1990-07-25,13.13
1990-07-26,13.11
1990-07-27,13.2
1990-07-30,13.09
1990-07-31,13.11
1990-08-01,13.04
1990-08-02,12.8
1990-08-03,12.42
1990-08-06,11.83
1990-08-07,12.01
1990-08-08,12.28
1990-08-09,12.28
1990-08-10,12.08
1990-08-13,12.35
1990-08-14,12.35
1990-08-15,12.35
1990-08-16,12.21
1990-08-17,11.92
1990-08-20,12.06
1990-08-21,11.88
1990-08-22,11.72
1990-08-23,11.45
1990-08-24,11.54
1990-08-27,11.67
1990-08-28,11.74
1990-08-29,11.9
1990-08-30,11.79
1990-08-31,11.83
1990-09-04,12.01
1990-09-05,12.21
1990-09-06,12.17
1990-09-07,12.48
1990-09-10,12.48
1990-09-11,12.53
1990-09-12,12.57
1990-09-13,12.28
1990-09-14,12.12
1990-09-17,12.03
1990-09-18,11.97
1990-09-19,11.92
1990-09-20,12.04
1990-09-21,11.91
1990-09-24,11.27
1990-09-25,11.2
1990-09-26,11.34
1990-09-27,11.43
1990-09-28,11.68
1990-10-01,12.18
1990-10-02,12.25
1990-10-03,12.0
1990-10-04,12.22
1990-10-05,12.11
1990-10-08,12.11
1990-10-09,11.84
1990-10-10,11.63
1990-10-11,11.39
1990-10-12,11.39
1990-10-15,11.77
1990-10-16,11.73
1990-10-17,11.63
1990-10-18,11.63
1990-10-19,11.75
1990-10-22,12.09
1990-10-23,12.11
1990-10-24,12.47
1990-10-25,12.36
1990-10-26,12.11
1990-10-29,11.93
1990-10-30,12.13
1990-10-31,12.27
1990-11-01,12.27
1990-11-02,12.49
1990-11-05,12.88
1990-11-06,12.7
1990-11-07,12.59
1990-11-08,12.63
1990-11-09,12.86
1990-11-12,13.06
1990-11-13,13.06
1990-11-14,13.17
1990-11-15,13.04
1990-11-16,12.77
1990-11-19,13.02
1990-11-20,12.86
1990-11-21,13.13
1990-11-23,13.17
1990-11-26,13.33
1990-11-27,13.17
1990-11-28,13.04
1990-11-29,13.04
1990-11-30,13.58
1990-12-03,13.58
1990-12-04,13.54
1990-12-05,13.4
1990-12-06,13.4
1990-12-07,13.35
1990-12-10,13.33
1990-12-11,13.35
1990-12-12,13.49
1990-12-13,13.45
1990-12-14,13.4
1990-12-17,13.26
1990-12-18,13.17
1990-12-19,13.42
1990-12-20,13.51
1990-12-21,13.6
1990-12-24,13.33
1990-12-26,13.33
1990-12-27,13.37
1990-12-28,13.4
1990-12-31,13.6
1991-01-02,13.42
1991-01-03,13.35
1991-01-04,13.31
1991-01-07,13.06
1991-01-08,12.92
1991-01-09,12.87
1991-01-10,12.92
1991-01-11,12.71
1991-01-14,12.69
1991-01-15,12.74
1991-01-16,12.99
1991-01-17,13.28
1991-01-18,13.47
1991-01-21,13.6
1991-01-22,13.58
1991-01-23,13.6
1991-01-24,13.65
1991-01-25,13.95
1991-01-28,13.97
1991-01-29,13.88
1991-01-30,14.04
1991-01-31,14.06
1991-02-01,13.83
1991-02-04,14.22
1991-02-05,14.61
1991-02-06,14.58
1991-02-07,14.56
1991-02-08,14.93
1991-02-11,15.79
1991-02-12,15.38
1991-02-13,15.43
1991-02-14,15.2
1991-02-15,15.18
1991-02-19,15.27
1991-02-20,15.06
1991-02-21,15.02
1991-02-22,14.65
1991-02-25,14.97
1991-02-26,14.79
1991-02-27,15.11
1991-02-28,15.13
1991-03-01,15.02
1991-03-04,15.09
1991-03-05,15.66
1991-03-06,15.79
1991-03-07,15.89
1991-03-08,15.52
1991-03-11,15.27
1991-03-12,15.02
1991-03-13,14.84
1991-03-14,14.95
1991-03-15,15.02
1991-03-18,15.02
1991-03-19,15.0
1991-03-20,14.62
1991-03-21,14.6
1991-03-22,14.37
1991-03-25,14.37
1991-03-26,14.32
1991-03-27,14.3
1991-03-28,14.12
1991-04-01,14.12
1991-04-02,14.39
1991-04-03,14.48
1991-04-04,14.65
1991-04-05,14.9
1991-04-08,14.92
1991-04-09,14.74
1991-04-10,14.83
1991-04-11,14.94
1991-04-12,15.17
1991-04-15,15.63
1991-04-16,15.89
1991-04-17,15.54
1991-04-18,15.59
1991-04-19,15.54
1991-04-22,15.24
1991-04-23,15.15
1991-04-24,14.81
1991-04-25,14.74
1991-04-26,14.76
1991-04-29,14.78
1991-04-30,14.76
1991-05-01,14.88
1991-05-02,15.06
1991-05-03,15.17
1991-05-06,15.04
1991-05-07,14.9
1991-05-08,14.88
1991-05-09,14.71
1991-05-10,14.6
1991-05-13,14.44
1991-05-14,14.37
1991-05-15,14.58
1991-05-16,14.76
1991-05-17,14.88
1991-05-20,15.06
1991-05-21,15.11
1991-05-22,14.99
1991-05-23,14.97
1991-05-24,14.99
1991-05-28,14.78
1991-05-29,14.74
1991-05-30,15.22
1991-05-31,15.24
1991-06-03,14.97
1991-06-04,14.76
1991-06-05,14.71
1991-06-06,14.6
1991-06-07,14.51
1991-06-10,14.46
1991-06-11,14.44
1991-06-12,14.14
1991-06-13,14.12
1991-06-14,14.46
1991-06-17,14.51
1991-06-18,14.35
1991-06-19,14.12
1991-06-20,14.44
1991-06-21,14.48
1991-06-24,14.2
1991-06-25,14.14
1991-06-26,14.18
1991-06-27,14.41
1991-06-28,14.3
1991-07-01,14.44
1991-07-02,14.37
1991-07-03,14.16
1991-07-05,14.18
