Date,Price
2003-03-31,212.62
2003-04-01,218.22
2003-04-02,218.22
2003-04-03,218.22
2003-04-04,218.22
2003-04-07,223.81
2003-04-08,223.81
2003-04-09,223.81
2003-04-10,223.81
2003-04-11,223.81
2003-04-14,223.81
2003-04-15,208.15
2003-04-16,201.85
2003-04-17,194.72
2003-04-18,194.72
2003-04-21,194.72
2003-04-22,189.68
2003-04-23,191.36
2003-04-24,190.24
2003-04-25,195.28
2003-04-28,201.43
2003-04-29,208.43
2003-04-30,212.62
2003-05-01,212.62
2003-05-02,218.22
2003-05-05,218.22
2003-05-06,226.75
2003-05-07,232.35
2003-05-08,226.33
2003-05-09,233.88
2003-05-12,236.96
2003-05-13,233.6
2003-05-14,238.92
2003-05-15,247.31
2003-05-16,247.03
2003-05-19,239.76
2003-05-20,241.44
2003-05-21,239.48
2003-05-22,239.62
2003-05-23,239.76
2003-05-26,239.76
2003-05-27,245.08
2003-05-28,253.47
2003-05-29,245.08
2003-05-30,242.7
2003-06-02,243.4
2003-06-03,237.8
2003-06-04,240.6
2003-06-05,232.07
2003-06-06,245.91
2003-06-09,248.15
2003-06-10,248.99
2003-06-11,253.05
2003-06-12,248.43
2003-06-13,245.63
2003-06-16,246.19
2003-06-17,248.99
2003-06-18,251.79
2003-06-19,248.99
2003-06-20,246.19
2003-06-23,245.77
2003-06-24,238.5
2003-06-25,243.4
2003-06-26,235.0
2003-06-27,237.8
2003-06-30,240.6
2003-07-01,246.33
2003-07-02,256.27
2003-07-03,257.38
2003-07-04,256.27
2003-07-07,261.3
2003-07-08,265.22
2003-07-09,267.46
2003-07-10,261.86
2003-07-11,264.1
2003-07-14,273.33
2003-07-15,270.95
2003-07-16,265.92
2003-07-17,258.5
2003-07-18,261.86
2003-07-21,260.74
2003-07-22,262.98
2003-07-23,262.98
2003-07-24,274.17
2003-07-25,267.46
2003-07-28,266.62
2003-07-29,259.9
2003-07-30,257.11
2003-07-31,260.74
2003-08-01,257.38
2003-08-04,255.15
2003-08-05,262.56
2003-08-06,269.13
2003-08-07,275.29
2003-08-08,274.45
2003-08-11,279.77
2003-08-12,280.05
2003-08-13,282.28
2003-08-14,293.75
2003-08-15,289.84
2003-08-18,285.08
2003-08-19,290.54
2003-08-20,286.76
2003-08-21,284.8
2003-08-22,289.28
2003-08-25,289.28
2003-08-26,283.68
2003-08-27,287.6
2003-08-28,280.05
2003-08-29,273.61
2003-09-01,276.97
2003-09-02,280.05
2003-09-03,275.29
2003-09-04,271.37
2003-09-05,272.21
2003-09-08,269.83
2003-09-09,268.57
2003-09-10,266.34
2003-09-11,268.57
2003-09-12,278.09
2003-09-15,275.99
2003-09-16,273.75
2003-09-17,275.71
2003-09-18,282.28
2003-09-19,286.2
2003-09-22,275.01
2003-09-23,274.87
2003-09-24,281.44
2003-09-25,278.79
2003-09-26,277.81
2003-09-29,279.21
2003-09-30,268.57
2003-10-01,271.93
2003-10-02,273.05
2003-10-03,282.56
2003-10-06,286.06
2003-10-07,278.65
2003-10-08,279.77
2003-10-09,279.77
2003-10-10,276.13
2003-10-13,279.77
2003-10-14,274.59
2003-10-15,290.96
2003-10-16,290.96
2003-10-17,292.92
2003-10-20,292.5
2003-10-21,300.33
2003-10-22,292.64
2003-10-23,284.8
2003-10-24,285.5
2003-10-27,287.32
2003-10-28,287.88
2003-10-29,288.3
2003-10-30,289.84
2003-10-31,299.21
2003-11-03,304.94
2003-11-04,311.24
2003-11-05,305.5
2003-11-06,304.52
