Date,Price
1993-03-31,2.99
1994-03-31,3.91
1994-04-29,3.91
1994-05-31,3.91
1994-06-30,3.91
1994-07-29,2.81
1994-08-31,2.81
1994-09-30,2.99
1994-10-31,2.99
1994-11-30,2.99
1994-12-30,2.99
1995-01-31,2.99
1995-02-28,2.99
1995-03-31,3.1
1995-04-28,3.1
1995-05-31,3.1
1995-06-30,3.1
1995-07-31,3.1
1995-08-31,3.1
1995-09-29,3.49
1995-10-31,3.49
1995-11-30,3.49
1995-12-29,3.49
1996-01-31,3.49
1996-02-29,3.49
1996-03-29,3.81
1996-04-30,3.81
1996-05-31,3.81
1996-06-28,3.81
1996-07-31,3.81
1996-08-30,3.81
1996-09-30,4.06
1996-10-31,4.06
1996-11-29,4.06
1996-12-31,4.06
1997-01-31,4.06
1997-02-28,4.06
1997-03-31,4.35
1997-04-30,4.35
1997-05-30,4.35
1997-06-30,4.35
1997-07-31,4.35
1997-08-29,4.35
1997-09-30,4.64
1997-10-31,4.64
1997-11-28,4.64
1997-12-31,4.64
1998-01-30,4.64
1998-02-27,4.64
1998-03-31,5.21
1998-04-30,5.21
1998-05-29,5.21
1998-06-30,5.21
1998-07-31,5.21
1998-08-31,5.21
1998-09-30,4.7
1998-10-30,4.7
1998-11-30,4.7
1998-12-31,4.7
1999-01-29,4.7
1999-02-26,4.7
1999-03-31,5.38
1999-04-30,5.38
1999-05-31,5.38
1999-06-30,5.38
1999-07-30,5.38
1999-08-31,5.38
1999-09-30,5.77
1999-10-29,5.77
1999-11-30,5.77
1999-12-31,5.77
2000-01-31,5.77
2000-02-29,5.77
2000-03-31,7.58
2000-04-28,7.58
2000-05-31,7.58
2000-06-30,7.58
2000-07-31,7.58
2000-08-31,7.58
2000-09-29,9.05
2000-10-31,9.05
2000-11-30,9.05
2000-12-29,9.05
2001-01-01,7.97
2001-01-02,7.3
2001-01-03,6.91
2001-01-04,7.6
2001-01-05,7.89
2001-01-08,7.75
2001-01-09,7.69
2001-01-10,7.57
2001-01-11,7.85
2001-01-12,7.88
2001-01-15,8.2
2001-01-16,8.15
2001-01-17,8.57
2001-01-18,8.8
2001-01-19,9.0
2001-01-22,8.82
2001-01-23,8.54
2001-01-24,8.86
2001-01-25,8.85
2001-01-26,8.66
2001-01-29,8.72
2001-01-30,8.69
2001-01-31,9.05
2001-02-01,8.63
2001-02-02,8.54
2001-02-05,8.38
2001-02-06,8.45
2001-02-07,8.17
2001-02-08,8.15
2001-02-09,7.91
2001-02-12,8.04
2001-02-13,8.23
2001-02-14,7.98
2001-02-15,8.48
2001-02-16,8.1
2001-02-19,7.99
2001-02-20,8.21
2001-02-21,8.15
2001-02-22,8.18
2001-02-23,7.86
2001-02-26,8.18
2001-02-27,8.27
2001-02-28,9.05
2001-03-01,7.72
2001-03-02,7.6
2001-03-05,7.79
2001-03-06,8.14
2001-03-07,8.14
2001-03-08,8.06
2001-03-09,7.75
2001-03-12,7.45
2001-03-13,7.05
2001-03-14,6.89
2001-03-15,6.91
2001-03-16,6.56
2001-03-19,6.67
2001-03-20,6.74
2001-03-21,6.56
