Date,Price
1990-01-01,113.58
1990-01-02,116.4
1990-01-03,122.04
1990-01-04,122.81
1990-01-05,123.07
1990-01-08,119.99
1990-01-09,118.45
1990-01-10,117.43
1990-01-11,116.91
1990-01-12,115.38
1990-01-15,115.38
1990-01-16,116.4
1990-01-17,118.96
1990-01-18,116.91
1990-01-19,116.4
1990-01-22,115.38
1990-01-23,114.35
1990-01-24,112.81
1990-01-25,112.3
1990-01-26,113.84
1990-01-29,114.35
1990-01-30,112.56
1990-01-31,113.32
1990-02-01,113.84
1990-02-02,113.84
1990-02-05,114.86
1990-02-06,114.35
1990-02-07,113.84
1990-02-08,113.84
1990-02-09,111.79
1990-02-12,111.27
1990-02-13,111.27
1990-02-14,111.27
1990-02-15,107.17
1990-02-16,107.17
1990-02-19,106.15
1990-02-20,104.61
1990-02-21,105.63
1990-02-22,107.17
1990-02-23,106.15
1990-02-26,107.68
1990-02-27,109.74
1990-02-28,110.25
1990-03-01,108.2
1990-03-02,108.71
1990-03-05,107.68
1990-03-06,107.17
1990-03-07,108.71
1990-03-08,110.25
1990-03-09,111.27
1990-03-12,111.27
1990-03-13,111.79
1990-03-14,113.32
1990-03-15,113.84
1990-03-16,117.43
1990-03-19,116.4
1990-03-20,116.91
1990-03-21,115.12
1990-03-22,115.38
1990-03-23,116.4
1990-03-26,114.35
1990-03-27,114.35
1990-03-28,114.35
1990-03-29,114.35
1990-03-30,115.38
1990-04-02,115.38
1990-04-03,115.89
1990-04-04,116.91
1990-04-05,116.91
1990-04-06,116.4
1990-04-09,116.91
1990-04-10,117.43
1990-04-11,117.94
1990-04-12,117.94
1990-04-13,117.94
1990-04-16,117.94
1990-04-17,117.94
1990-04-18,117.94
1990-04-19,115.38
1990-04-20,115.38
1990-04-23,114.35
1990-04-24,114.35
1990-04-25,114.86
1990-04-26,114.35
1990-04-27,112.81
1990-04-30,113.84
1990-05-01,115.38
1990-05-02,115.38
1990-05-03,115.89
1990-05-04,115.89
1990-05-07,115.89
1990-05-08,116.91
1990-05-09,116.91
1990-05-10,116.4
1990-05-11,117.94
1990-05-14,116.4
1990-05-15,112.81
1990-05-16,113.32
1990-05-17,114.86
1990-05-18,115.89
1990-05-21,116.4
1990-05-22,118.96
1990-05-23,119.48
1990-05-24,119.99
1990-05-25,119.99
1990-05-28,119.99
1990-05-29,120.5
1990-05-30,123.07
1990-05-31,125.12
1990-06-01,125.63
1990-06-04,125.63
1990-06-05,126.14
1990-06-06,126.66
1990-06-07,132.3
1990-06-08,132.3
1990-06-11,129.22
1990-06-12,130.25
1990-06-13,130.76
1990-06-14,127.68
1990-06-15,127.68
1990-06-18,128.2
1990-06-19,128.2
1990-06-20,128.71
1990-06-21,128.71
1990-06-22,129.73
1990-06-25,130.76
1990-06-26,131.78
1990-06-27,133.84
1990-06-28,133.84
1990-06-29,133.84
1990-07-02,133.84
1990-07-03,132.81
1990-07-04,132.3
1990-07-05,129.22
1990-07-06,127.68
1990-07-09,127.68
1990-07-10,127.68
1990-07-11,128.2
1990-07-12,126.66
1990-07-13,126.66
1990-07-16,128.71
1990-07-17,129.73
1990-07-18,129.22
1990-07-19,129.22
1990-07-20,129.22
1990-07-23,130.25
1990-07-24,130.76
1990-07-25,130.76
1990-07-26,130.76
1990-07-27,129.22
1990-07-30,128.71
1990-07-31,129.22
1990-08-01,127.17
1990-08-02,122.55
1990-08-03,119.48
1990-08-06,116.4
1990-08-07,119.99
1990-08-08,117.94
1990-08-09,117.94
1990-08-10,117.43
1990-08-13,114.35
1990-08-14,113.84
1990-08-15,112.81
1990-08-16,109.22
1990-08-17,105.12
1990-08-20,102.04
1990-08-21,99.48
1990-08-22,102.56
1990-08-23,103.58
1990-08-24,107.17
1990-08-27,107.17
1990-08-28,109.22
1990-08-29,109.74
1990-08-30,110.76
1990-08-31,110.76
1990-09-03,111.27
1990-09-04,107.17
1990-09-05,108.71
1990-09-06,108.71
1990-09-07,108.71
1990-09-10,107.68
1990-09-11,109.22
1990-09-12,109.48
1990-09-13,109.22
1990-09-14,109.22
1990-09-17,107.17
1990-09-18,102.04
1990-09-19,99.48
1990-09-20,90.76
1990-09-21,94.86
1990-09-24,94.86
1990-09-25,95.89
1990-09-26,96.92
1990-09-27,96.92
1990-09-28,97.43
1990-10-01,100.5
1990-10-02,101.53
1990-10-03,102.04
1990-10-04,101.02
1990-10-05,102.81
1990-10-08,107.68
1990-10-09,102.04
1990-10-10,99.48
1990-10-11,99.48
1990-10-12,99.48
1990-10-15,99.22
1990-10-16,99.48
1990-10-17,99.48
1990-10-18,99.48
1990-10-19,95.89
1990-10-22,94.86
1990-10-23,96.92
1990-10-24,97.43
1990-10-25,98.97
1990-10-26,97.43
1990-10-29,99.48
1990-10-30,97.43
1990-10-31,96.92
1990-11-01,95.89
1990-11-02,95.38
1990-11-05,98.97
1990-11-06,99.48
1990-11-07,99.48
1990-11-08,98.45
1990-11-09,98.45
1990-11-12,98.97
1990-11-13,99.48
1990-11-14,98.97
1990-11-15,98.97
1990-11-16,99.48
1990-11-19,102.04
1990-11-20,102.56
1990-11-21,104.61
1990-11-22,106.66
1990-11-23,108.2
1990-11-26,107.68
1990-11-27,108.2
1990-11-28,108.2
1990-11-29,106.15
