Date,Price
1990-01-02,4.16
1990-01-03,4.2
1990-01-04,4.19
1990-01-05,4.22
1990-01-08,4.22
1990-01-09,4.27
1990-01-10,4.25
1990-01-11,4.31
1990-01-12,4.23
1990-01-15,4.12
1990-01-16,4.06
1990-01-17,3.97
1990-01-18,3.9
1990-01-19,3.97
1990-01-22,3.9
1990-01-23,3.87
1990-01-24,3.86
1990-01-25,3.87
1990-01-26,3.86
1990-01-29,3.84
1990-01-30,3.84
1990-01-31,3.86
1990-02-01,3.86
1990-02-02,3.86
1990-02-05,3.84
1990-02-06,3.82
1990-02-07,3.89
1990-02-08,3.84
1990-02-09,3.89
1990-02-12,3.89
1990-02-13,3.86
1990-02-14,3.86
1990-02-15,3.86
1990-02-16,3.87
1990-02-20,3.86
1990-02-21,3.82
1990-02-22,3.82
1990-02-23,3.78
1990-02-26,3.88
1990-02-27,3.86
1990-02-28,3.88
1990-03-01,3.91
1990-03-02,4.04
1990-03-05,4.04
1990-03-06,4.1
1990-03-07,4.18
1990-03-08,4.26
1990-03-09,4.24
1990-03-12,4.23
1990-03-13,4.2
1990-03-14,4.21
1990-03-15,4.26
1990-03-16,4.27
1990-03-19,4.24
1990-03-20,4.23
1990-03-21,4.2
1990-03-22,4.18
1990-03-23,4.2
1990-03-26,4.2
1990-03-27,4.24
1990-03-28,4.16
1990-03-29,4.2
1990-03-30,4.16
1990-04-02,4.13
1990-04-03,4.2
1990-04-04,4.13
1990-04-05,4.18
1990-04-06,4.2
1990-04-09,4.2
1990-04-10,4.27
1990-04-11,4.37
1990-04-12,4.37
1990-04-16,4.37
1990-04-17,4.24
1990-04-18,4.16
1990-04-19,4.07
1990-04-20,4.02
1990-04-23,3.99
1990-04-24,3.91
1990-04-25,3.94
1990-04-26,3.94
1990-04-27,3.94
1990-04-30,3.94
1990-05-01,3.81
1990-05-02,3.8
1990-05-03,3.77
1990-05-04,3.77
1990-05-07,3.8
1990-05-08,3.78
1990-05-09,3.81
1990-05-10,3.81
1990-05-11,3.99
1990-05-14,4.05
1990-05-15,3.99
1990-05-16,3.89
1990-05-17,4.02
1990-05-18,4.13
1990-05-21,4.13
1990-05-22,4.16
1990-05-23,4.19
1990-05-24,4.27
1990-05-25,4.28
1990-05-29,4.27
1990-05-30,4.24
1990-05-31,4.24
1990-06-01,4.32
1990-06-04,4.36
1990-06-05,4.28
1990-06-06,4.3
1990-06-07,4.22
1990-06-08,4.16
1990-06-11,4.14
1990-06-12,4.22
1990-06-13,4.27
1990-06-14,4.25
1990-06-15,4.25
1990-06-18,4.14
1990-06-19,4.09
1990-06-20,4.11
1990-06-21,4.17
1990-06-22,4.36
1990-06-25,4.32
1990-06-26,4.35
1990-06-27,4.33
1990-06-28,4.4
1990-06-29,4.44
1990-07-02,4.48
1990-07-03,4.54
1990-07-05,4.51
1990-07-06,4.56
1990-07-09,4.54
1990-07-10,4.51
1990-07-11,4.54
1990-07-12,4.76
1990-07-13,4.73
1990-07-16,4.75
1990-07-17,4.73
1990-07-18,4.68
1990-07-19,4.57
1990-07-20,4.65
1990-07-23,4.59
1990-07-24,4.46
1990-07-25,4.38
1990-07-26,4.49
1990-07-27,4.49
1990-07-30,4.48
1990-07-31,4.52
1990-08-01,4.56
1990-08-02,4.54
1990-08-03,4.38
1990-08-06,4.25
1990-08-07,4.16
1990-08-08,4.16
1990-08-09,4.22
1990-08-10,4.22
1990-08-13,4.16
1990-08-14,4.14
1990-08-15,4.24
1990-08-16,4.17
1990-08-17,4.08
1990-08-20,4.17
1990-08-21,4.04
1990-08-22,3.98
1990-08-23,3.85
1990-08-24,3.96
1990-08-27,4.12
1990-08-28,4.07
1990-08-29,4.18
1990-08-30,4.13
1990-08-31,4.21
1990-09-04,4.23
1990-09-05,4.25
1990-09-06,4.28
1990-09-07,4.25
1990-09-10,4.25
1990-09-11,4.21
1990-09-12,4.12
1990-09-13,4.09
1990-09-14,3.96
1990-09-17,3.92
1990-09-18,3.91
1990-09-19,3.94
1990-09-20,3.88
1990-09-21,3.81
1990-09-24,3.78
1990-09-25,3.76
1990-09-26,3.76
1990-09-27,3.78
1990-09-28,3.78
1990-10-01,3.83
1990-10-02,3.86
1990-10-03,3.86
1990-10-04,3.88
1990-10-05,3.86
1990-10-08,3.89
1990-10-09,3.89
1990-10-10,3.92
1990-10-11,3.86
1990-10-12,3.91
1990-10-15,3.86
1990-10-16,3.86
1990-10-17,3.86
1990-10-18,3.89
1990-10-19,3.94
1990-10-22,3.92
1990-10-23,3.92
1990-10-24,3.91
1990-10-25,3.88
1990-10-26,3.86
1990-10-29,3.87
1990-10-30,3.85
1990-10-31,3.85
1990-11-01,3.88
1990-11-02,3.95
1990-11-05,4.05
1990-11-06,4.14
1990-11-07,4.13
1990-11-08,4.05
1990-11-09,4.05
1990-11-12,4.14
1990-11-13,4.13
1990-11-14,4.11
1990-11-15,4.11
1990-11-16,4.06
1990-11-19,4.1
1990-11-20,4.05
1990-11-21,4.01
1990-11-23,3.92
1990-11-26,3.95
1990-11-27,3.98
1990-11-28,3.98
1990-11-29,3.97
1990-11-30,4.05
1990-12-03,4.21
1990-12-04,4.34
1990-12-05,4.44
1990-12-06,4.5
1990-12-07,4.44
1990-12-10,4.31
1990-12-11,4.26
1990-12-12,4.29
1990-12-13,4.31
1990-12-14,4.26
1990-12-17,4.27
1990-12-18,4.4
1990-12-19,4.42
1990-12-20,4.55
1990-12-21,4.56
1990-12-24,4.53
1990-12-26,4.56
1990-12-27,4.53
1990-12-28,4.48
1990-12-31,4.53
1991-01-02,4.44
1991-01-03,4.44
1991-01-04,4.44
1991-01-07,4.37
1991-01-08,4.4
1991-01-09,4.37
1991-01-10,4.53
1991-01-11,4.52
1991-01-14,4.5
1991-01-15,4.4
1991-01-16,4.47
1991-01-17,4.73
1991-01-18,4.76
1991-01-21,4.68
1991-01-22,4.73
1991-01-23,4.71
1991-01-24,4.71
1991-01-25,4.71
1991-01-28,4.78
1991-01-29,4.89
1991-01-30,5.02
1991-01-31,5.1
1991-02-01,5.03
1991-02-04,5.05
1991-02-05,5.05
1991-02-06,5.12
1991-02-07,5.03
1991-02-08,5.02
1991-02-11,5.15
1991-02-12,5.05
1991-02-13,5.12
1991-02-14,5.1
1991-02-15,5.07
1991-02-19,5.07
1991-02-20,5.03
1991-02-21,5.24
1991-02-22,5.37
1991-02-25,5.4
1991-02-26,5.33
1991-02-27,5.33
1991-02-28,5.4
1991-03-01,5.59
1991-03-04,5.59
1991-03-05,5.66
1991-03-06,5.64
1991-03-07,5.69
1991-03-08,5.81
1991-03-11,5.72
1991-03-12,5.56
1991-03-13,5.55
1991-03-14,5.59
1991-03-15,5.59
1991-03-18,5.64
1991-03-19,5.66
1991-03-20,5.45
1991-03-21,5.56
1991-03-22,5.59
1991-03-25,5.58
1991-03-26,5.72
1991-03-27,5.87
1991-03-28,5.89
1991-04-01,5.76
1991-04-02,5.72
1991-04-03,5.79
1991-04-04,5.84
1991-04-05,5.71
1991-04-08,5.74
1991-04-09,5.77
1991-04-10,5.79
1991-04-11,5.81
1991-04-12,5.82
1991-04-15,5.94
1991-04-16,5.94
1991-04-17,6.11
1991-04-18,6.13
1991-04-19,6.08
1991-04-22,5.9
1991-04-23,6.02
1991-04-24,5.98
1991-04-25,5.95
1991-04-26,5.85
1991-04-29,5.92
1991-04-30,5.95
1991-05-01,5.95
1991-05-02,5.92
1991-05-03,5.89
1991-05-06,5.84
1991-05-07,5.77
1991-05-08,5.61
1991-05-09,5.64
1991-05-10,5.74
1991-05-13,5.74
1991-05-14,5.72
1991-05-15,5.35
1991-05-16,5.55
1991-05-17,5.5
1991-05-20,5.45
1991-05-21,5.43
1991-05-22,5.45
1991-05-23,5.48
1991-05-24,5.65
1991-05-28,5.74
1991-05-29,5.87
1991-05-30,5.87
1991-05-31,5.93
1991-06-03,5.93
1991-06-04,5.9
1991-06-05,5.97
1991-06-06,5.97
1991-06-07,5.93
1991-06-10,5.87
1991-06-11,5.82
1991-06-12,5.79
1991-06-13,5.57
1991-06-14,5.62
1991-06-17,5.61
1991-06-18,5.59
1991-06-19,5.57
1991-06-20,5.54
1991-06-21,5.54
1991-06-24,5.47
1991-06-25,5.39
1991-06-26,5.33
1991-06-27,5.41
1991-06-28,5.44
1991-07-01,5.72
1991-07-02,5.7
1991-07-03,5.69
1991-07-05,5.69
1991-07-08,5.65
