Date,Price
1990-01-02,4.37
1990-01-03,4.48
1990-01-04,4.46
1990-01-05,4.45
1990-01-08,4.55
1990-01-09,4.5
1990-01-10,4.46
1990-01-11,4.44
1990-01-12,4.4
1990-01-15,4.33
1990-01-16,4.39
1990-01-17,4.35
1990-01-18,4.31
1990-01-19,4.29
1990-01-22,4.22
1990-01-23,4.31
1990-01-24,4.27
1990-01-25,4.17
1990-01-26,4.13
1990-01-29,4.06
1990-01-30,4.03
1990-01-31,4.22
1990-02-01,4.26
1990-02-02,4.3
1990-02-05,4.31
1990-02-06,4.28
1990-02-07,4.34
1990-02-08,4.33
1990-02-09,4.35
1990-02-12,4.34
1990-02-13,4.34
1990-02-14,4.37
1990-02-15,4.42
1990-02-16,4.41
1990-02-20,4.4
1990-02-21,4.43
1990-02-22,4.46
1990-02-23,4.46
1990-02-26,4.5
1990-02-27,4.69
1990-02-28,4.75
1990-03-01,4.81
1990-03-02,4.81
1990-03-05,4.81
1990-03-06,4.83
1990-03-07,4.82
1990-03-08,4.83
1990-03-09,4.75
1990-03-12,4.72
1990-03-13,4.67
1990-03-14,4.65
1990-03-15,4.73
1990-03-16,4.79
1990-03-19,4.83
1990-03-20,4.9
1990-03-21,4.89
1990-03-22,4.74
1990-03-23,4.73
1990-03-26,4.77
1990-03-27,4.83
1990-03-28,4.85
1990-03-29,4.8
1990-03-30,4.78
1990-04-02,4.69
1990-04-03,4.76
1990-04-04,4.76
1990-04-05,4.78
1990-04-06,4.7
1990-04-09,4.62
1990-04-10,4.64
1990-04-11,4.64
1990-04-12,4.7
1990-04-16,4.72
1990-04-17,4.72
1990-04-18,4.68
1990-04-19,4.64
1990-04-20,4.51
1990-04-23,4.46
1990-04-24,4.51
1990-04-25,4.54
1990-04-26,4.54
1990-04-27,4.54
1990-04-30,4.56
1990-05-01,4.63
1990-05-02,4.7
1990-05-03,4.77
1990-05-04,4.77
1990-05-07,4.81
1990-05-08,4.88
1990-05-09,4.82
1990-05-10,4.82
1990-05-11,4.88
1990-05-14,5.05
1990-05-15,5.08
1990-05-16,5.11
1990-05-17,5.14
1990-05-18,5.11
1990-05-21,5.16
1990-05-22,5.19
1990-05-23,5.21
1990-05-24,5.16
1990-05-25,5.11
1990-05-29,5.2
1990-05-30,5.08
1990-05-31,5.1
1990-06-01,5.12
1990-06-04,5.02
1990-06-05,4.99
1990-06-06,4.99
1990-06-07,5.03
1990-06-08,5.02
1990-06-11,5.04
1990-06-12,5.13
1990-06-13,5.18
1990-06-14,5.15
1990-06-15,5.08
1990-06-18,5.07
1990-06-19,5.06
1990-06-20,5.07
1990-06-21,5.12
1990-06-22,5.09
1990-06-25,5.01
1990-06-26,4.84
1990-06-27,4.88
1990-06-28,4.92
1990-06-29,4.99
1990-07-02,5.01
1990-07-03,5.08
1990-07-05,5.03
1990-07-06,5.07
1990-07-09,5.0
1990-07-10,4.94
1990-07-11,4.96
1990-07-12,4.95
1990-07-13,5.07
1990-07-16,5.2
1990-07-17,5.19
1990-07-18,5.11
1990-07-19,5.09
1990-07-20,5.1
1990-07-23,5.0
1990-07-24,4.7
1990-07-25,4.75
1990-07-26,4.75
1990-07-27,4.64
1990-07-30,4.64
1990-07-31,4.57
1990-08-01,4.54
1990-08-02,4.47
1990-08-03,4.24
1990-08-06,3.94
1990-08-07,3.98
1990-08-08,3.99
1990-08-09,4.12
1990-08-10,4.05
1990-08-13,3.99
1990-08-14,3.98
1990-08-15,4.05
1990-08-16,3.98
1990-08-17,3.95
1990-08-20,3.91
1990-08-21,3.71
1990-08-22,3.63
1990-08-23,3.6
1990-08-24,3.71
1990-08-27,3.82
1990-08-28,3.77
1990-08-29,3.77
1990-08-30,3.74
1990-08-31,3.8
1990-09-04,3.82
1990-09-05,3.88
1990-09-06,3.79
1990-09-07,3.77
1990-09-10,3.73
1990-09-11,3.68
1990-09-12,3.72
1990-09-13,3.77
