Date,Price
1996-02-01,2.18
1996-02-02,2.2
1996-02-05,2.16
1996-02-06,2.16
1996-02-07,2.16
1996-02-08,2.16
1996-02-09,2.16
1996-02-12,2.16
1996-02-13,2.16
1996-02-14,2.16
1996-02-15,2.16
1996-02-16,2.13
1996-02-20,1.96
1996-02-21,1.96
1996-02-22,1.96
1996-02-23,1.99
1996-02-26,2.06
1996-02-27,2.13
1996-02-28,2.1
1996-02-29,2.15
1996-03-01,2.16
1996-03-04,2.13
1996-03-05,2.13
1996-03-06,2.03
1996-03-07,2.04
1996-03-08,1.93
1996-03-11,1.96
1996-03-12,2.03
1996-03-13,2.03
1996-03-14,1.96
1996-03-15,1.96
1996-03-18,1.96
1996-03-19,2.06
1996-03-20,1.96
1996-03-21,1.99
1996-03-22,1.93
1996-03-25,1.86
1996-03-26,1.86
1996-03-27,1.93
1996-03-28,1.96
1996-03-29,2.06
1996-04-01,2.1
1996-04-02,2.1
1996-04-03,2.1
1996-04-04,2.1
1996-04-08,2.06
1996-04-09,2.01
1996-04-10,1.96
1996-04-11,2.03
1996-04-12,1.99
1996-04-15,1.98
1996-04-16,2.03
1996-04-17,1.96
1996-04-18,1.96
1996-04-19,2.01
1996-04-22,2.03
1996-04-23,1.96
1996-04-24,2.03
1996-04-25,2.03
1996-04-26,1.96
1996-04-29,1.99
1996-04-30,2.26
1996-05-01,2.16
1996-05-02,2.16
1996-05-03,2.23
1996-05-06,2.26
1996-05-07,2.16
1996-05-08,2.26
1996-05-09,2.2
1996-05-10,2.3
1996-05-13,2.33
1996-05-14,2.26
1996-05-15,2.37
1996-05-16,2.3
1996-05-17,2.28
1996-05-20,2.33
1996-05-21,2.33
1996-05-22,2.37
1996-05-23,2.37
1996-05-24,2.52
1996-05-28,2.47
1996-05-29,2.53
1996-05-30,2.5
1996-05-31,2.53
1996-06-03,2.5
1996-06-04,2.53
1996-06-05,2.5
1996-06-06,2.53
1996-06-07,2.5
1996-06-10,2.57
1996-06-11,2.57
1996-06-12,2.57
1996-06-13,2.5
1996-06-14,2.53
1996-06-17,2.57
1996-06-18,2.5
1996-06-19,2.5
1996-06-20,2.6
1996-06-21,2.7
1996-06-24,2.64
1996-06-25,2.67
1996-06-26,2.6
1996-06-27,2.7
1996-06-28,2.84
1996-07-01,2.91
1996-07-02,2.94
1996-07-03,3.19
1996-07-05,3.11
1996-07-08,3.18
1996-07-09,3.35
1996-07-10,3.28
1996-07-11,3.29
1996-07-12,3.24
1996-07-15,3.23
1996-07-16,3.24
1996-07-17,3.14
1996-07-18,3.24
1996-07-19,3.24
1996-07-22,3.19
1996-07-23,3.24
1996-07-24,3.08
1996-07-25,3.14
1996-07-26,3.14
1996-07-29,3.14
1996-07-30,3.14
1996-07-31,3.14
1996-08-01,3.08
1996-08-02,3.14
1996-08-05,3.08
1996-08-06,3.08
1996-08-07,3.14
1996-08-08,3.18
1996-08-09,3.11
1996-08-12,3.13
1996-08-13,3.11
1996-08-14,3.18
1996-08-15,3.14
1996-08-16,3.18
1996-08-19,3.24
1996-08-20,3.23
1996-08-21,3.18
1996-08-22,3.18
1996-08-23,3.23
1996-08-26,3.18
1996-08-27,3.18
1996-08-28,3.28
1996-08-29,3.21
