Date,Price
2000-01-03,146.52
2000-01-04,147.65
2000-01-05,145.4
2000-01-06,139.76
2000-01-07,145.02
2000-01-10,142.77
2000-01-11,140.51
2000-01-12,141.26
2000-01-13,139.01
2000-01-14,140.89
2000-01-17,136.76
2000-01-18,133.37
2000-01-19,129.62
2000-01-20,132.25
2000-01-21,137.13
2000-01-24,132.25
2000-01-25,131.5
2000-01-26,134.13
2000-01-27,128.87
2000-01-28,126.61
2000-01-31,123.98
2000-02-01,124.36
2000-02-02,128.49
2000-02-03,129.62
2000-02-04,130.75
2000-02-07,123.61
2000-02-08,123.98
2000-02-09,126.24
2000-02-10,137.51
2000-02-11,138.26
2000-02-14,128.87
2000-02-15,128.49
2000-02-16,134.88
2000-02-17,130.75
2000-02-18,134.88
2000-02-21,131.87
2000-02-22,127.36
2000-02-23,128.87
2000-02-24,126.61
2000-02-25,134.5
2000-02-28,129.62
2000-02-29,143.14
2000-03-01,144.27
2000-03-02,152.16
2000-03-03,154.04
2000-03-06,179.59
2000-03-07,162.68
2000-03-08,164.56
2000-03-09,161.55
2000-03-10,157.8
2000-03-13,148.4
2000-03-14,151.03
2000-03-15,152.16
2000-03-16,155.92
2000-03-17,142.77
2000-03-20,143.14
2000-03-21,144.65
2000-03-22,146.15
2000-03-23,147.28
2000-03-24,149.53
2000-03-27,147.65
2000-03-28,142.77
2000-03-29,140.14
2000-03-30,137.13
2000-03-31,135.63
2000-04-03,139.01
2000-04-04,153.29
2000-04-05,151.41
2000-04-06,146.52
2000-04-07,145.77
2000-04-10,143.14
2000-04-11,150.28
2000-04-12,155.17
2000-04-13,155.54
2000-04-14,151.41
2000-04-17,146.15
2000-04-18,142.77
2000-04-19,147.28
2000-04-20,157.04
2000-04-21,168.82
2000-04-24,168.82
2000-04-25,161.93
2000-04-26,155.92
2000-04-27,157.42
2000-04-28,152.16
2000-05-01,163.57
2000-05-02,154.79
2000-05-03,147.65
2000-05-04,148.78
2000-05-05,146.15
2000-05-08,144.65
2000-05-09,153.66
2000-05-10,155.92
2000-05-11,155.17
2000-05-12,151.41
2000-05-15,148.03
2000-05-16,148.78
2000-05-17,152.16
2000-05-18,157.8
2000-05-19,151.78
2000-05-22,149.53
2000-05-23,151.78
2000-05-24,151.78
2000-05-25,156.29
2000-05-26,161.55
2000-05-29,159.67
2000-05-30,160.8
2000-05-31,158.92
2000-06-01,158.55
2000-06-02,157.42
2000-06-05,158.17
2000-06-06,160.8
2000-06-07,161.55
2000-06-08,158.17
2000-06-09,157.04
2000-06-12,157.42
2000-06-13,162.3
2000-06-14,163.06
2000-06-15,164.56
2000-06-16,163.81
2000-06-19,163.81
2000-06-20,161.93
2000-06-21,161.93
2000-06-22,162.68
2000-06-23,164.93
2000-06-26,166.81
2000-06-27,169.07
2000-06-28,169.82
2000-06-29,173.57
2000-06-30,176.2
2000-07-03,176.96
2000-07-04,175.83
2000-07-05,171.32
2000-07-06,178.46
2000-07-07,181.47
2000-07-10,175.08
2000-07-11,176.2
2000-07-12,178.83
2000-07-13,179.59
2000-07-14,178.46
2000-07-17,178.46
2000-07-18,173.2
2000-07-19,174.7
2000-07-20,178.08
2000-07-21,178.46
2000-07-24,178.83
2000-07-25,178.46
2000-07-26,179.59
2000-07-27,173.95
2000-07-28,173.57
2000-07-31,178.83
2000-08-01,177.33
2000-08-02,178.83
2000-08-03,179.96
2000-08-04,179.21
2000-08-07,185.22
2000-08-08,185.6
2000-08-09,184.09
2000-08-10,182.97
2000-08-11,185.97
2000-08-14,187.85
2000-08-15,201.94
2000-08-16,193.86
2000-08-17,191.98
2000-08-18,187.85
2000-08-21,187.85
2000-08-22,189.35
2000-08-23,190.11
2000-08-24,187.85
2000-08-25,184.85
2000-08-28,182.59
2000-08-29,178.46
2000-08-30,178.46
2000-08-31,181.09
2000-09-01,174.33
2000-09-04,170.19
2000-09-05,171.32
2000-09-06,170.57
2000-09-07,174.33
2000-09-08,172.45
2000-09-11,173.2
2000-09-12,172.82
2000-09-13,167.19
2000-09-14,161.18
2000-09-15,161.55
2000-09-18,161.18
2000-09-19,158.92
2000-09-20,155.92
2000-09-21,156.29
2000-09-22,161.18
2000-09-25,158.55
2000-09-26,156.67
2000-09-27,159.67
2000-09-28,163.43
2000-09-29,164.18
2000-10-02,168.69
2000-10-03,166.81
2000-10-04,166.06
2000-10-05,172.82
2000-10-06,164.93
2000-10-09,164.56
2000-10-10,174.7
2000-10-11,173.57
2000-10-12,171.32
2000-10-13,172.45
2000-10-16,171.7
2000-10-17,172.45
2000-10-18,169.44
2000-10-19,173.57
2000-10-20,176.2
2000-10-23,175.08
2000-10-24,174.7
2000-10-25,172.82
2000-10-26,173.95
2000-10-27,175.08
2000-10-30,179.96
2000-10-31,183.72
2000-11-01,187.48
2000-11-02,185.97
2000-11-03,185.6
2000-11-06,188.6
2000-11-07,188.98
2000-11-08,185.22
2000-11-09,185.22
2000-11-10,184.47
2000-11-13,184.85
2000-11-14,186.35
2000-11-15,187.48
2000-11-16,185.22
2000-11-17,187.48
2000-11-20,186.35
2000-11-21,188.98
2000-11-22,191.98
2000-11-23,188.98
2000-11-24,188.23
2000-11-27,188.6
2000-11-28,190.11
2000-11-29,190.86
2000-11-30,188.23
2000-12-01,190.48
2000-12-04,186.72
2000-12-05,190.86
2000-12-06,190.86
2000-12-07,188.98
2000-12-08,191.61
2000-12-11,188.6
2000-12-12,190.48
2000-12-13,186.72
2000-12-14,184.85
2000-12-15,181.84
2000-12-18,181.09
2000-12-19,182.59
2000-12-20,187.1
2000-12-21,189.35
2000-12-22,194.99
2000-12-27,195.74
2000-12-28,194.24
2000-12-29,192.36
2001-01-01,206.79
2001-01-02,193.11
2001-01-03,188.23
2001-01-04,190.86
2001-01-05,198.0
2001-01-08,194.24
2001-01-09,196.49
2001-01-10,197.62
2001-01-11,199.5
2001-01-12,195.74
2001-01-15,199.12
2001-01-16,199.87
2001-01-17,201.75
2001-01-18,199.87
2001-01-19,198.0
2001-01-22,199.87
2001-01-23,200.25
2001-01-24,204.01
2001-01-25,202.13
2001-01-26,199.5
2001-01-29,197.24
2001-01-30,195.74
2001-01-31,197.24
2001-02-01,194.61
2001-02-02,192.36
2001-02-05,188.23
2001-02-06,188.23
2001-02-07,186.35
2001-02-08,188.6
2001-02-09,187.48
2001-02-12,191.61
2001-02-13,191.61
2001-02-14,191.61
2001-02-15,191.23
2001-02-16,186.72
2001-02-19,187.85
2001-02-20,184.47
2001-02-21,180.71
2001-02-22,174.7
2001-02-23,173.57
2001-02-26,175.08
2001-02-27,173.57
2001-02-28,171.32
2001-03-01,171.32
2001-03-02,168.32
2001-03-05,165.31
2001-03-06,167.19
2001-03-07,166.81
2001-03-08,166.81
2001-03-09,166.44
2001-03-12,162.68
2001-03-13,162.68
2001-03-14,158.92
2001-03-15,161.55
2001-03-16,159.67
2001-03-19,158.17
2001-03-20,155.54
2001-03-21,155.92
2001-03-22,151.03
2001-03-23,154.79
2001-03-26,156.29
2001-03-27,157.04
2001-03-28,156.67
2001-03-29,159.67
2001-03-30,163.06
2001-04-02,159.67
2001-04-03,156.67
2001-04-04,158.92
2001-04-05,161.18
2001-04-06,160.05
2001-04-09,160.43
2001-04-10,161.18
2001-04-11,161.93
2001-04-12,162.3
2001-04-13,174.48
2001-04-16,174.48
2001-04-17,162.3
2001-04-18,165.69
2001-04-19,164.93
2001-04-20,162.68
2001-04-23,157.04
2001-04-24,159.3
2001-04-25,159.67
2001-04-26,163.43
2001-04-27,161.55
2001-04-30,158.92
2001-05-01,170.84
2001-05-02,160.8
2001-05-03,161.55
2001-05-04,164.93
2001-05-07,166.44
2001-05-08,167.94
2001-05-09,164.56
2001-05-10,165.31
2001-05-11,167.94
2001-05-14,167.94
2001-05-15,164.56
2001-05-16,164.18
2001-05-17,161.93
2001-05-18,162.68
2001-05-21,161.55
2001-05-22,164.18
2001-05-23,165.69
2001-05-24,166.44
2001-05-25,166.81
2001-05-28,167.56
2001-05-29,169.07
2001-05-30,168.69
2001-05-31,164.93
2001-06-01,163.06
2001-06-04,161.55
2001-06-05,160.8
2001-06-06,158.92
2001-06-07,158.17
2001-06-08,158.17
2001-06-11,158.92
2001-06-12,156.67
2001-06-13,155.92
2001-06-14,154.04
2001-06-15,154.04
2001-06-18,154.79
2001-06-19,152.54
2001-06-20,151.78
2001-06-21,152.91
2001-06-22,154.41
2001-06-25,154.04
2001-06-26,154.04
2001-06-27,155.92
2001-06-28,157.04
2001-06-29,156.67
2001-07-02,159.67
2001-07-03,156.29
2001-07-04,155.17
2001-07-05,154.79
2001-07-06,151.78
2001-07-09,151.41
2001-07-10,152.54
2001-07-11,151.03
2001-07-12,147.65
2001-07-13,147.28
2001-07-16,144.65
2001-07-17,137.13
2001-07-18,134.88
2001-07-19,137.51
2001-07-20,137.51
2001-07-23,138.26
2001-07-24,137.88
2001-07-25,135.63
2001-07-26,136.0
2001-07-27,136.76
2001-07-30,136.76
2001-07-31,136.76
2001-08-01,137.51
2001-08-02,135.63
2001-08-03,134.88
2001-08-06,133.75
2001-08-07,134.13
2001-08-08,133.0
2001-08-09,130.75
2001-08-10,128.11
2001-08-13,128.11
2001-08-14,129.99
2001-08-15,139.74
2001-08-16,126.24
2001-08-17,125.48
2001-08-20,125.86
2001-08-21,131.12
2001-08-22,136.0
2001-08-23,136.0
2001-08-24,136.76
2001-08-27,134.5
2001-08-28,134.5
2001-08-29,137.13
2001-08-30,135.25
2001-08-31,137.88
2001-09-03,137.13
2001-09-04,139.76
2001-09-05,136.38
2001-09-06,133.0
2001-09-07,127.74
2001-09-10,127.74
2001-09-11,118.72
2001-09-12,117.97
2001-09-13,117.22
2001-09-14,110.08
2001-09-17,109.14
2001-09-18,102.0
2001-09-19,95.05
2001-09-20,84.16
2001-09-21,84.16
2001-09-24,90.73
2001-09-25,91.3
2001-09-26,92.99
2001-09-27,95.43
2001-09-28,102.0
2001-10-01,97.12
2001-10-02,92.99
2001-10-03,92.24
2001-10-04,92.05
2001-10-05,90.73
2001-10-08,90.73
2001-10-09,91.67
2001-10-10,99.56
2001-10-11,102.94
2001-10-12,99.19
2001-10-15,96.18
2001-10-16,98.06
2001-10-17,102.38
2001-10-18,102.38
2001-10-19,99.56
2001-10-22,102.19
2001-10-23,105.2
2001-10-24,106.89
2001-10-25,101.06
2001-10-26,105.95
2001-10-29,101.44
2001-10-30,97.68
2001-10-31,97.68
2001-11-01,100.31
2001-11-02,98.43
2001-11-05,101.06
2001-11-06,97.68
2001-11-07,99.75
2001-11-08,99.94
2001-11-09,97.12
2001-11-12,94.3
2001-11-13,95.62
2001-11-14,90.17
2001-11-15,91.67
2001-11-16,92.99
2001-11-19,99.19
2001-11-20,101.06
2001-11-21,103.32
2001-11-22,105.01
2001-11-23,107.83
2001-11-26,105.2
2001-11-27,103.69
2001-11-28,105.38
2001-11-29,103.69
2001-11-30,102.0
2001-12-03,100.31
2001-12-04,102.19
2001-12-05,106.7
2001-12-06,105.01
2001-12-07,102.94
2001-12-10,101.82
2001-12-11,101.82
2001-12-12,100.88
2001-12-13,96.18
2001-12-14,99.56
2001-12-17,102.57
2001-12-18,100.5
2001-12-19,99.56
2001-12-20,98.81
2001-12-21,101.25
2001-12-24,108.85
2001-12-25,108.85
2001-12-26,108.85
2001-12-27,106.7
2001-12-28,105.57
2001-12-31,113.49
2002-01-01,113.49
2002-01-02,103.51
2002-01-03,103.13
2002-01-04,101.82
2002-01-07,102.94
2002-01-08,102.38
2002-01-09,105.57
2002-01-10,103.88
2002-01-11,102.75
2002-01-14,100.69
2002-01-15,101.25
2002-01-16,101.44
2002-01-17,104.26
2002-01-18,107.83
2002-01-21,105.38
2002-01-22,107.08
2002-01-23,106.7
2002-01-24,110.08
2002-01-25,109.89
2002-01-28,111.21
2002-01-29,114.4
2002-01-30,111.96
2002-01-31,114.21
2002-02-01,111.96
2002-02-04,109.71
2002-02-05,103.51
2002-02-06,100.31
2002-02-07,100.69
2002-02-08,99.56
2002-02-11,100.31
2002-02-12,101.06
2002-02-13,103.32
2002-02-14,103.69
2002-02-15,99.19
2002-02-18,99.37
2002-02-19,92.8
2002-02-20,95.8
2002-02-21,94.68
2002-02-22,92.8
2002-02-25,93.55
2002-02-26,95.43
2002-02-27,97.87
2002-02-28,101.06
2002-03-01,102.38
2002-03-04,106.14
2002-03-05,105.57
2002-03-06,105.95
2002-03-07,105.76
2002-03-08,108.58
2002-03-11,109.52
2002-03-12,111.21
2002-03-13,115.72
2002-03-14,113.46
2002-03-15,114.21
2002-03-18,114.21
2002-03-19,116.84
2002-03-20,112.71
2002-03-21,112.71
2002-03-22,116.09
2002-03-25,113.09
2002-03-26,120.22
2002-03-27,117.97
2002-03-28,129.24
2002-03-29,126.82
2002-04-01,126.82
2002-04-02,130.75
2002-04-03,133.37
2002-04-04,127.74
2002-04-05,129.24
2002-04-08,126.99
2002-04-09,127.74
2002-04-10,126.61
2002-04-11,129.24
2002-04-12,136.0
2002-04-15,138.63
2002-04-16,137.13
2002-04-17,133.0
2002-04-18,135.63
2002-04-19,139.01
2002-04-22,140.51
2002-04-23,139.01
2002-04-24,137.88
2002-04-25,146.61
2002-04-26,136.76
2002-04-29,134.88
2002-04-30,134.88
2002-05-01,144.99
2002-05-02,131.12
2002-05-03,133.37
2002-05-06,131.87
2002-05-07,129.62
2002-05-08,127.74
2002-05-09,124.36
2002-05-10,122.85
2002-05-13,126.24
2002-05-14,131.12
2002-05-15,126.24
2002-05-16,125.48
2002-05-17,125.86
2002-05-20,122.89
2002-05-21,124.39
2002-05-22,122.89
2002-05-23,121.01
2002-05-24,117.25
2002-05-27,114.99
2002-05-28,120.26
2002-05-29,119.13
2002-05-30,120.63
2002-05-31,119.13
2002-06-03,119.5
2002-06-04,116.87
2002-06-05,119.13
2002-06-06,121.01
2002-06-07,120.63
2002-06-10,124.77
2002-06-11,127.02
2002-06-12,124.77
2002-06-13,122.13
2002-06-14,117.25
2002-06-17,121.38
2002-06-18,124.39
2002-06-19,119.5
2002-06-20,117.63
2002-06-21,116.12
2002-06-24,111.99
2002-06-25,116.5
2002-06-26,117.63
2002-06-27,112.74
2002-06-28,116.12
2002-07-01,115.37
2002-07-02,108.98
2002-07-03,99.96
2002-07-04,97.71
2002-07-05,103.72
2002-07-08,100.9
2002-07-09,101.47
2002-07-10,95.83
2002-07-11,89.44
2002-07-12,86.81
2002-07-15,84.74
2002-07-16,83.05
2002-07-17,85.68
2002-07-18,92.45
2002-07-19,87.94
2002-07-22,83.8
2002-07-23,81.55
2002-07-24,81.36
2002-07-25,82.86
