Date,Price
2000-01-04,129.25
2000-01-05,127.83
2000-01-06,120.91
2000-01-07,119.96
2000-01-10,136.72
2000-01-11,134.44
2000-01-12,129.09
2000-01-13,127.52
2000-01-14,128.15
2000-01-17,129.72
2000-01-18,126.73
2000-01-19,129.41
2000-01-20,129.41
2000-01-21,127.2
2000-01-24,129.09
2000-01-25,130.04
2000-01-26,130.04
2000-01-27,131.61
2000-01-28,131.93
2000-01-31,130.98
2000-02-01,128.46
2000-02-02,130.04
2000-02-03,126.89
2000-02-04,120.59
2000-02-07,120.59
2000-02-08,118.7
2000-02-09,118.39
2000-02-10,121.85
2000-02-11,137.59
2000-02-14,135.39
2000-02-15,128.46
2000-02-16,123.74
2000-02-17,126.89
2000-02-18,130.04
2000-02-21,123.42
2000-02-22,124.68
2000-02-23,128.46
2000-02-24,131.93
2000-02-25,125.94
2000-02-28,124.53
2000-02-29,124.68
2000-03-01,132.24
2000-03-02,131.77
2000-03-03,129.09
2000-03-06,131.3
2000-03-07,135.07
2000-03-08,135.39
2000-03-09,135.7
2000-03-10,136.96
2000-03-13,139.48
2000-03-14,140.43
2000-03-15,141.06
2000-03-16,142.95
2000-03-17,145.31
2000-03-20,144.99
2000-03-21,144.52
2000-03-22,146.72
2000-03-23,148.61
2000-03-24,152.08
2000-03-27,149.87
2000-03-28,145.62
2000-03-29,144.05
2000-03-30,139.64
2000-03-31,138.38
2000-04-03,139.48
2000-04-04,130.98
2000-04-05,129.09
2000-04-06,127.52
2000-04-07,130.82
2000-04-10,139.33
2000-04-11,140.27
2000-04-12,137.91
2000-04-13,136.18
2000-04-14,127.52
2000-04-17,126.73
2000-04-18,130.35
2000-04-19,132.08
2000-04-20,130.51
2000-04-21,130.51
2000-04-24,130.51
2000-04-25,129.56
2000-04-26,129.09
2000-04-27,129.56
2000-04-28,127.83
2000-05-01,127.83
2000-05-02,129.25
2000-05-03,130.51
2000-05-04,126.89
2000-05-05,126.42
2000-05-08,125.79
2000-05-09,125.79
2000-05-10,128.94
2000-05-11,131.45
2000-05-12,131.45
2000-05-15,133.5
2000-05-16,126.57
2000-05-17,117.44
2000-05-18,117.44
2000-05-19,118.07
2000-05-22,119.02
2000-05-23,119.65
2000-05-24,118.39
2000-05-25,120.28
2000-05-26,118.7
2000-05-29,118.7
2000-05-30,124.37
2000-05-31,123.42
2000-06-01,125.0
2000-06-02,128.46
2000-06-05,130.67
2000-06-06,131.61
2000-06-07,132.16
2000-06-08,127.52
2000-06-09,127.52
2000-06-12,129.09
2000-06-13,130.35
2000-06-14,128.15
2000-06-15,130.67
2000-06-16,133.19
2000-06-19,133.19
2000-06-20,137.28
2000-06-21,133.81
2000-06-22,133.19
2000-06-23,136.02
2000-06-26,136.02
2000-06-27,132.24
2000-06-28,134.44
2000-06-29,136.02
2000-06-30,139.17
2000-07-03,135.39
2000-07-04,135.39
2000-07-05,132.87
2000-07-06,133.03
2000-07-07,133.03
2000-07-10,130.82
2000-07-11,130.35
2000-07-12,126.82
2000-07-13,126.1
2000-07-14,129.09
2000-07-17,129.88
2000-07-18,129.09
2000-07-19,127.68
2000-07-20,128.31
2000-07-21,127.68
2000-07-24,127.68
2000-07-25,124.21
2000-07-26,124.21
2000-07-27,95.33
2000-07-28,195.13
2000-07-31,198.15
2000-08-01,193.8
2000-08-02,192.35
2000-08-03,188.48
2000-08-04,188.36
2000-08-07,187.76
2000-08-08,186.91
2000-08-09,187.27
2000-08-10,190.9
2000-08-11,189.93
2000-08-14,192.95
2000-08-15,188.84
2000-08-16,193.8
2000-08-17,195.49
2000-08-18,197.42
2000-08-21,195.73
2000-08-22,194.88
2000-08-23,198.15
2000-08-24,195.97
2000-08-25,201.29
2000-08-28,201.29
2000-08-29,207.81
2000-08-30,205.64
2000-08-31,205.03
2000-09-01,204.31
2000-09-04,207.33
2000-09-05,215.06
2000-09-06,204.19
2000-09-07,187.76
2000-09-08,171.81
2000-09-11,170.84
2000-09-12,169.15
2000-09-13,164.8
2000-09-14,167.22
2000-09-15,166.73
2000-09-18,170.84
2000-09-19,172.65
2000-09-20,166.73
2000-09-21,160.93
2000-09-22,163.83
2000-09-25,160.21
2000-09-26,153.81
2000-09-27,147.16
2000-09-28,151.27
2000-09-29,152.96
2000-10-02,150.66
2000-10-03,160.21
2000-10-04,161.18
2000-10-05,165.04
2000-10-06,159.48
2000-10-09,154.41
2000-10-10,148.85
2000-10-11,148.61
2000-10-12,142.57
2000-10-13,145.95
2000-10-16,146.8
2000-10-17,144.98
2000-10-18,144.02
2000-10-19,145.06
2000-10-20,144.26
2000-10-23,142.57
2000-10-24,147.64
2000-10-25,147.4
2000-10-26,141.36
2000-10-27,138.34
2000-10-30,140.51
2000-10-31,140.51
2000-11-01,143.41
2000-11-02,144.98
2000-11-03,151.75
2000-11-06,152.82
2000-11-07,149.33
2000-11-08,153.2
2000-11-09,150.54
2000-11-10,151.15
2000-11-13,150.18
2000-11-14,152.96
2000-11-15,150.78
2000-11-16,149.33
2000-11-17,151.87
2000-11-20,150.3
2000-11-21,145.83
2000-11-22,146.92
2000-11-23,147.28
2000-11-24,151.39
2000-11-27,155.98
2000-11-28,159.0
2000-11-29,159.0
2000-11-30,162.62
2000-12-01,163.11
2000-12-04,159.97
2000-12-05,159.97
2000-12-06,159.24
2000-12-07,162.38
2000-12-08,152.23
2000-12-11,158.52
2000-12-12,156.83
2000-12-13,167.7
2000-12-14,167.94
2000-12-15,166.73
2000-12-18,166.01
2000-12-19,173.26
2000-12-20,170.72
2000-12-21,164.32
2000-12-22,165.52
2000-12-27,171.32
2000-12-28,173.5
2000-12-29,176.04
2001-01-01,176.04
2001-01-02,171.32
2001-01-03,167.1
2001-01-04,177.12
2001-01-05,173.5
2001-01-08,168.42
2001-01-09,170.36
2001-01-10,168.3
2001-01-11,164.32
2001-01-12,170.36
2001-01-15,177.85
2001-01-16,177.85
2001-01-17,177.85
2001-01-18,177.85
2001-01-19,177.85
2001-01-22,177.85
2001-01-23,177.85
2001-01-24,177.85
2001-01-25,177.85
2001-01-26,177.85
2001-01-29,177.85
2001-01-30,177.85
2001-01-31,177.85
2001-02-01,177.85
2001-02-02,178.01
2001-02-05,178.01
2001-02-06,178.01
2001-02-07,178.01
2001-02-08,178.01
2001-02-09,178.01
2001-02-12,178.01
2001-02-13,178.01
2001-02-14,178.01
2001-02-15,178.01
2001-02-16,178.01
2001-02-19,178.01
2001-02-20,178.01
2001-02-21,178.01
2001-02-22,178.01
2001-02-23,178.01
2001-02-26,178.01
2001-02-27,178.01
2001-02-28,178.01
2001-03-01,178.01
2001-03-02,178.01
2001-03-05,155.04
2001-03-06,161.22
2001-03-07,158.23
2001-03-08,152.84
2001-03-09,148.45
2001-03-12,147.66
2001-03-13,146.46
2001-03-15,150.05
2001-03-16,146.06
2001-03-19,147.26
2001-03-20,150.45
2001-03-21,145.46
2001-03-22,135.09
2001-03-23,138.88
2001-03-26,144.26
2001-03-27,146.86
2001-03-28,143.67
2001-03-29,139.48
2001-03-30,138.28
2001-04-02,134.09
2001-04-03,121.92
2001-04-04,115.73
2001-04-05,117.33
2001-04-06,121.32
2001-04-09,121.12
2001-04-10,126.51
2001-04-11,127.7
2001-04-12,129.3
2001-04-13,129.3
2001-04-16,129.3
2001-04-17,129.1
2001-04-18,144.66
2001-04-19,141.27
2001-04-20,151.05
2001-04-23,144.26
2001-04-24,148.45
2001-04-25,142.07
2001-04-26,140.27
2001-04-27,143.67
2001-04-30,150.05
2001-05-01,150.45
2001-05-02,148.33
2001-05-03,146.46
2001-05-04,144.46
2001-05-07,144.46
2001-05-08,145.46
2001-05-09,136.48
2001-05-10,135.68
2001-05-11,134.89
2001-05-14,132.29
2001-05-15,131.09
2001-05-16,127.7
2001-05-17,127.7
2001-05-18,131.49
2001-05-21,135.88
2001-05-22,144.46
2001-05-23,138.08
2001-05-24,141.87
2001-05-25,138.48
2001-05-28,138.48
2001-05-29,136.68
2001-05-30,136.48
2001-05-31,135.29
2001-06-01,135.68
2001-06-04,141.67
2001-06-05,139.67
2001-06-06,138.48
2001-06-07,139.87
2001-06-08,140.47
2001-06-11,136.28
2001-06-12,133.29
2001-06-13,133.29
2001-06-14,128.9
2001-06-15,126.11
2001-06-18,126.71
2001-06-19,124.11
2001-06-20,122.12
2001-06-21,123.11
2001-06-22,118.13
2001-06-25,112.94
2001-06-26,113.74
2001-06-27,114.93
2001-06-28,120.52
2001-06-29,119.12
2001-07-02,120.12
2001-07-03,122.32
2001-07-04,122.12
2001-07-05,144.46
2001-07-06,114.13
2001-07-09,115.53
2001-07-10,114.13
2001-07-11,112.94
2001-07-12,114.73
2001-07-13,114.73
2001-07-16,113.74
2001-07-17,112.94
2001-07-18,111.74
2001-07-19,112.94
2001-07-20,112.34
2001-07-23,112.54
2001-07-24,111.94
2001-07-25,110.14
2001-07-26,110.54
2001-07-27,114.13
2001-07-30,123.71
2001-07-31,125.71
2001-08-01,130.9
2001-08-02,135.68
2001-08-03,124.91
2001-08-06,126.9
2001-08-07,128.9
2001-08-08,126.9
2001-08-09,122.71
2001-08-10,122.91
2001-08-13,124.51
2001-08-14,126.9
2001-08-15,122.71
2001-08-16,124.11
2001-08-17,122.91
2001-08-20,124.11
2001-08-21,127.7
2001-08-22,123.91
2001-08-23,126.9
