Date,Price
1990-01-02,4.32
1990-01-03,4.34
1990-01-04,4.35
1990-01-05,4.31
1990-01-08,4.38
1990-01-09,4.24
1990-01-10,4.18
1990-01-11,4.23
1990-01-12,4.11
1990-01-15,4.09
1990-01-16,4.09
1990-01-17,4.05
1990-01-18,4.09
1990-01-19,4.14
1990-01-22,4.0
1990-01-23,3.99
1990-01-24,3.92
1990-01-25,3.83
1990-01-26,3.82
1990-01-29,3.82
1990-01-30,3.76
1990-01-31,3.78
1990-02-01,3.86
1990-02-02,3.95
1990-02-05,3.92
1990-02-06,3.9
1990-02-07,3.95
1990-02-08,4.03
1990-02-09,4.05
1990-02-12,4.03
1990-02-13,3.99
1990-02-14,4.03
1990-02-15,4.09
1990-02-16,4.03
1990-02-20,3.96
1990-02-21,3.9
1990-02-22,3.86
1990-02-23,3.78
1990-02-26,3.88
1990-02-27,3.88
1990-02-28,3.89
1990-03-01,3.92
1990-03-02,3.99
1990-03-05,3.93
1990-03-06,4.01
1990-03-07,4.01
1990-03-08,4.06
1990-03-09,4.04
1990-03-12,4.02
1990-03-13,3.95
1990-03-14,4.0
1990-03-15,4.13
1990-03-16,4.16
1990-03-19,4.14
1990-03-20,4.09
1990-03-21,4.06
1990-03-22,3.98
1990-03-23,4.05
1990-03-26,4.06
1990-03-27,4.15
1990-03-28,4.15
1990-03-29,4.11
1990-03-30,4.08
1990-04-02,4.08
1990-04-03,4.18
1990-04-04,4.12
1990-04-05,4.15
1990-04-06,4.15
1990-04-09,4.22
1990-04-10,4.22
1990-04-11,4.23
1990-04-12,4.26
1990-04-16,4.24
1990-04-17,4.29
1990-04-18,4.26
1990-04-19,4.22
1990-04-20,4.23
1990-04-23,4.15
1990-04-24,4.11
1990-04-25,4.1
1990-04-26,4.15
1990-04-27,4.09
1990-04-30,4.11
1990-05-01,4.16
1990-05-02,4.23
1990-05-03,4.21
1990-05-04,4.28
1990-05-07,4.31
1990-05-08,4.3
1990-05-09,4.24
1990-05-10,4.27
1990-05-11,4.36
1990-05-14,4.4
1990-05-15,4.43
1990-05-16,4.44
1990-05-17,4.47
1990-05-18,4.44
1990-05-21,4.51
1990-05-22,4.54
1990-05-23,4.55
1990-05-24,4.64
1990-05-25,4.57
1990-05-29,4.65
1990-05-30,4.68
1990-05-31,4.66
1990-06-01,4.69
1990-06-04,4.76
1990-06-05,4.76
1990-06-06,4.72
1990-06-07,4.69
1990-06-08,4.6
1990-06-11,4.67
1990-06-12,4.75
1990-06-13,4.73
1990-06-14,4.66
1990-06-15,4.7
1990-06-18,4.63
1990-06-19,4.65
1990-06-20,4.72
1990-06-21,4.86
1990-06-22,4.77
1990-06-25,4.73
1990-06-26,4.74
1990-06-27,4.86
1990-06-28,4.96
1990-06-29,4.95
1990-07-02,5.08
1990-07-03,5.06
1990-07-05,4.99
1990-07-06,5.03
1990-07-09,4.99
1990-07-10,4.97
1990-07-11,5.08
1990-07-12,5.17
1990-07-13,5.15
1990-07-16,5.17
1990-07-17,5.19
1990-07-18,5.21
1990-07-19,5.31
1990-07-20,5.33
1990-07-23,5.18
1990-07-24,5.26
1990-07-25,5.35
1990-07-26,5.36
1990-07-27,5.28
1990-07-30,5.23
1990-07-31,5.16
1990-08-01,5.15
1990-08-02,5.02
1990-08-03,4.91
1990-08-06,4.67
1990-08-07,4.76
1990-08-08,4.9
1990-08-09,4.88
1990-08-10,4.83
1990-08-13,4.92
1990-08-14,4.94
1990-08-15,5.02
1990-08-16,4.91
1990-08-17,4.83
1990-08-20,4.77
1990-08-21,4.69
1990-08-22,4.6
1990-08-23,4.47
1990-08-24,4.55
1990-08-27,4.74
1990-08-28,4.75
1990-08-29,4.84
1990-08-30,4.78
1990-08-31,4.82
1990-09-04,4.85
1990-09-05,4.85
1990-09-06,4.75
1990-09-07,4.82
1990-09-10,4.79
1990-09-11,4.77
1990-09-12,4.77
1990-09-13,4.67
1990-09-14,4.68
1990-09-17,4.71
1990-09-18,4.75
1990-09-19,4.7
1990-09-20,4.57
1990-09-21,4.59
1990-09-24,4.5
1990-09-25,4.62
1990-09-26,4.6
1990-09-27,4.58
1990-09-28,4.64
1990-10-01,4.83
1990-10-02,4.87
1990-10-03,4.8
1990-10-04,4.81
1990-10-05,4.81
1990-10-08,4.88
1990-10-09,4.78
1990-10-10,4.73
1990-10-11,4.65
1990-10-12,4.71
1990-10-15,4.8
1990-10-16,4.75
1990-10-17,4.78
1990-10-18,4.91
1990-10-19,4.94
1990-10-22,5.01
1990-10-23,5.04
1990-10-24,4.98
1990-10-25,4.96
1990-10-26,4.85
1990-10-29,4.81
1990-10-30,4.83
1990-10-31,4.72
1990-11-01,4.83
1990-11-02,4.89
1990-11-05,4.95
1990-11-06,4.87
1990-11-07,4.8
1990-11-08,4.77
1990-11-09,4.81
1990-11-12,4.9
1990-11-13,4.86
1990-11-14,4.89
1990-11-15,4.85
1990-11-16,4.84
1990-11-19,4.91
1990-11-20,4.87
1990-11-21,4.87
1990-11-23,4.83
1990-11-26,4.82
1990-11-27,4.84
1990-11-28,4.94
1990-11-29,5.02
1990-11-30,5.14
1990-12-03,5.24
1990-12-04,5.24
1990-12-05,5.2
1990-12-06,5.21
1990-12-07,5.22
1990-12-10,5.19
1990-12-11,5.18
1990-12-12,5.26
1990-12-13,5.22
1990-12-14,5.17
1990-12-17,5.19
1990-12-18,5.28
1990-12-19,5.28
1990-12-20,5.27
1990-12-21,5.25
1990-12-24,5.25
1990-12-26,5.26
1990-12-27,5.22
1990-12-28,5.24
1990-12-31,5.29
1991-01-02,5.16
1991-01-03,5.11
1991-01-04,5.07
1991-01-07,4.91
1991-01-08,4.96
1991-01-09,4.84
1991-01-10,4.97
1991-01-11,5.01
1991-01-14,5.02
1991-01-15,5.03
1991-01-16,5.12
1991-01-17,5.27
1991-01-18,5.3
1991-01-21,5.32
1991-01-22,5.29
1991-01-23,5.38
1991-01-24,5.51
1991-01-25,5.5
1991-01-28,5.51
1991-01-29,5.55
1991-01-30,5.63
1991-01-31,5.64
1991-02-01,5.54
1991-02-04,5.63
1991-02-05,5.62
1991-02-06,5.7
1991-02-07,5.63
1991-02-08,5.7
1991-02-11,5.89
1991-02-12,5.82
1991-02-13,5.86
1991-02-14,5.78
1991-02-15,6.0
1991-02-19,5.99
1991-02-20,5.93
1991-02-21,5.95
1991-02-22,5.96
1991-02-25,6.09
1991-02-26,5.99
1991-02-27,6.1
1991-02-28,6.08
1991-03-01,6.07
1991-03-04,6.01
1991-03-05,6.18
1991-03-06,6.49
1991-03-07,6.69
1991-03-08,6.65
1991-03-11,6.54
1991-03-12,6.48
1991-03-13,6.59
1991-03-14,6.8
1991-03-15,6.94
1991-03-18,6.87
1991-03-19,6.71
1991-03-20,6.67
1991-03-21,6.68
1991-03-22,6.77
1991-03-25,7.04
1991-03-26,7.23
1991-03-27,7.17
1991-03-28,7.1
1991-04-01,6.99
1991-04-02,7.15
1991-04-03,7.14
1991-04-04,7.03
1991-04-05,6.92
1991-04-08,7.18
1991-04-09,7.08
