Date,Price
1999-06-25,16.33
1999-06-28,16.38
1999-06-29,19.08
1999-06-30,24.62
1999-07-01,24.12
1999-07-02,23.58
1999-07-06,23.05
1999-07-07,22.31
1999-07-08,21.15
1999-07-09,21.93
1999-07-12,21.15
1999-07-13,20.65
1999-07-14,21.82
1999-07-15,24.7
1999-07-16,23.6
1999-07-19,22.3
1999-07-20,22.8
1999-07-21,23.75
1999-07-22,24.53
1999-07-23,24.1
1999-07-26,23.83
1999-07-27,24.14
1999-07-28,23.75
1999-07-29,23.95
1999-07-30,26.83
1999-08-02,26.64
1999-08-03,25.67
1999-08-04,25.75
1999-08-05,26.05
1999-08-06,26.43
1999-08-09,26.83
1999-08-10,28.24
1999-08-11,30.62
1999-08-12,32.54
1999-08-13,35.31
1999-08-16,33.7
1999-08-17,36.11
1999-08-18,34.17
1999-08-19,34.2
1999-08-20,33.8
1999-08-23,37.5
1999-08-24,36.56
1999-08-25,35.77
1999-08-26,35.57
1999-08-27,36.01
1999-08-30,34.7
1999-08-31,33.87
1999-09-01,29.78
1999-09-02,32.81
1999-09-03,31.93
1999-09-07,31.97
1999-09-08,31.97
1999-09-09,31.75
1999-09-10,31.64
1999-09-13,29.74
1999-09-14,30.25
1999-09-15,30.47
1999-09-16,30.29
1999-09-17,30.15
1999-09-20,30.23
1999-09-21,30.89
1999-09-22,31.35
1999-09-23,30.22
1999-09-24,32.86
1999-09-27,34.18
1999-09-28,32.59
1999-09-29,31.63
1999-09-30,30.08
1999-10-01,30.57
1999-10-04,30.09
1999-10-05,30.4
1999-10-06,31.53
1999-10-07,32.69
1999-10-08,35.19
1999-10-11,40.31
1999-10-12,36.76
1999-10-13,36.18
1999-10-14,36.47
1999-10-15,35.79
1999-10-18,37.79
1999-10-19,38.98
1999-10-20,40.89
1999-10-21,42.75
1999-10-22,43.24
1999-10-25,42.58
1999-10-26,41.67
1999-10-27,41.29
1999-10-28,43.78
1999-10-29,45.53
1999-11-01,44.37
1999-11-02,43.82
1999-11-03,46.22
1999-11-04,45.95
1999-11-05,45.12
1999-11-08,47.72
1999-11-09,43.94
1999-11-10,44.11
1999-11-11,43.23
1999-11-12,47.41
1999-11-15,46.83
1999-11-16,54.27
1999-11-17,50.68
1999-11-18,50.18
1999-11-19,51.21
1999-11-22,50.06
1999-11-23,48.57
1999-11-24,49.19
1999-11-26,50.57
1999-11-29,48.57
1999-11-30,45.78
1999-12-01,45.0
1999-12-02,49.56
1999-12-03,50.03
1999-12-06,47.62
1999-12-07,54.85
1999-12-08,57.84
1999-12-09,58.56
1999-12-10,58.36
1999-12-13,55.98
1999-12-14,54.56
1999-12-15,52.44
1999-12-16,52.3
