Date,Price
2001-05-25,6.26
2001-05-29,6.35
2001-05-30,6.38
2001-05-31,6.35
2001-06-01,6.35
2001-06-04,6.45
2001-06-05,6.51
2001-06-06,6.51
2001-06-07,6.35
2001-06-08,6.35
2001-06-11,6.32
2001-06-12,6.26
2001-06-13,6.29
2001-06-14,6.23
2001-06-15,6.26
2001-06-18,6.25
2001-06-19,6.25
2001-06-20,6.15
2001-06-21,5.78
2001-06-22,5.98
2001-06-25,6.26
2001-06-26,6.38
2001-06-27,6.38
2001-06-28,6.36
2001-06-29,6.32
2001-07-02,6.36
2001-07-03,6.37
2001-07-05,6.4
2001-07-06,6.36
2001-07-09,6.44
2001-07-10,6.46
2001-07-11,6.49
2001-07-12,6.46
2001-07-13,6.46
2001-07-16,6.44
2001-07-17,6.42
2001-07-18,6.45
2001-07-19,6.44
2001-07-20,6.36
2001-07-23,6.34
2001-07-24,6.26
2001-07-25,6.23
2001-07-26,6.23
2001-07-27,6.24
2001-07-30,6.23
2001-07-31,6.23
2001-08-01,6.23
2001-08-02,6.62
2001-08-03,6.66
2001-08-06,6.57
2001-08-07,6.69
2001-08-08,6.75
2001-08-09,6.75
2001-08-10,6.78
2001-08-13,6.75
2001-08-14,6.72
2001-08-15,6.72
2001-08-16,6.7
2001-08-17,6.8
2001-08-20,6.9
2001-08-21,6.92
2001-08-22,6.88
2001-08-23,6.97
2001-08-24,6.95
2001-08-27,7.0
2001-08-28,6.91
2001-08-29,6.95
2001-08-30,6.92
2001-08-31,6.92
2001-09-04,7.38
2001-09-05,7.41
2001-09-06,7.45
2001-09-07,7.23
2001-09-10,6.89
2001-09-17,6.17
2001-09-18,6.17
2001-09-19,5.78
2001-09-20,5.5
2001-09-21,5.36
2001-09-24,5.78
2001-09-25,5.94
2001-09-26,5.76
2001-09-27,5.72
2001-09-28,5.72
2001-10-01,5.78
2001-10-02,5.79
2001-10-03,5.67
2001-10-04,5.79
2001-10-05,5.8
2001-10-08,5.79
2001-10-09,6.03
2001-10-10,6.16
2001-10-11,6.4
2001-10-12,6.34
2001-10-15,6.32
2001-10-16,6.32
2001-10-17,6.19
2001-10-18,6.21
2001-10-19,6.23
2001-10-22,6.26
2001-10-23,6.44
2001-10-24,6.44
2001-10-25,6.48
2001-10-26,6.77
2001-10-29,6.73
2001-10-30,6.62
2001-10-31,6.73
2001-11-01,6.78
2001-11-02,6.86
2001-11-05,6.6
2001-11-06,6.71
2001-11-07,6.61
2001-11-08,6.51
2001-11-09,6.29
2001-11-12,6.13
2001-11-13,6.28
2001-11-14,6.34
2001-11-15,6.25
2001-11-16,6.23
2001-11-19,6.23
2001-11-20,6.21
2001-11-21,6.28
2001-11-23,6.26
2001-11-26,5.91
2001-11-27,5.85
2001-11-28,5.84
2001-11-29,6.02
2001-11-30,5.98
2001-12-03,6.01
2001-12-04,6.21
2001-12-05,6.48
2001-12-06,6.46
2001-12-07,6.52
2001-12-10,6.21
2001-12-11,6.23
2001-12-12,6.19
2001-12-13,5.89
2001-12-14,5.92
2001-12-17,5.85
2001-12-18,5.99
2001-12-19,6.19
2001-12-20,6.24
2001-12-21,6.32
2001-12-24,6.38
2001-12-26,6.48
2001-12-27,6.62
2001-12-28,6.74
2001-12-31,6.48
2002-01-02,6.5
2002-01-03,6.57
2002-01-04,6.51
2002-01-07,6.55
2002-01-08,6.46
2002-01-09,6.38
2002-01-10,6.42
2002-01-11,6.48
2002-01-14,6.42
2002-01-15,6.52
2002-01-16,6.51
2002-01-17,6.65
2002-01-18,6.55
2002-01-22,6.55
2002-01-23,6.53
2002-01-24,6.56
2002-01-25,6.82
2002-01-28,6.9
2002-01-29,6.77
2002-01-30,6.79
2002-01-31,6.77
2002-02-01,6.72
