Date,Price
1990-01-02,6.58
1990-01-03,6.71
1990-01-04,6.71
1990-01-05,6.71
1990-01-08,6.58
1990-01-09,6.23
1990-01-10,6.1
1990-01-11,6.1
1990-01-12,6.02
1990-01-15,6.02
1990-01-16,6.19
1990-01-17,6.1
1990-01-18,6.1
1990-01-19,6.06
1990-01-22,5.97
1990-01-23,6.02
1990-01-24,6.02
1990-01-25,5.93
1990-01-26,5.8
1990-01-29,5.73
1990-01-30,5.65
1990-01-31,5.8
1990-02-01,5.93
1990-02-02,5.93
1990-02-05,5.97
1990-02-06,5.84
1990-02-07,5.95
1990-02-08,5.99
1990-02-09,6.04
1990-02-12,5.93
1990-02-13,6.02
1990-02-14,5.89
1990-02-15,5.67
1990-02-16,5.11
1990-02-20,4.8
1990-02-21,4.93
1990-02-22,5.06
1990-02-23,4.85
1990-02-26,5.06
1990-02-27,4.86
1990-02-28,4.82
1990-03-01,4.82
1990-03-02,5.03
1990-03-05,4.9
1990-03-06,4.9
1990-03-07,4.82
1990-03-08,4.92
1990-03-09,5.21
1990-03-12,5.12
1990-03-13,5.08
1990-03-14,5.08
1990-03-15,5.18
1990-03-16,5.29
1990-03-19,5.25
1990-03-20,5.21
1990-03-21,5.16
1990-03-22,5.08
1990-03-23,5.16
1990-03-26,5.29
1990-03-27,5.34
1990-03-28,5.51
1990-03-29,5.42
1990-03-30,5.47
1990-04-02,5.64
1990-04-03,5.73
1990-04-04,5.55
1990-04-05,5.47
1990-04-06,5.45
1990-04-09,5.29
1990-04-10,5.27
1990-04-11,5.42
1990-04-12,5.47
1990-04-16,5.47
1990-04-17,5.42
1990-04-18,5.16
1990-04-19,5.25
1990-04-20,5.03
1990-04-23,5.08
1990-04-24,5.01
1990-04-25,5.1
1990-04-26,4.99
1990-04-27,4.9
1990-04-30,4.95
1990-05-01,4.82
1990-05-02,4.77
1990-05-03,4.77
1990-05-04,4.82
1990-05-07,5.05
1990-05-08,4.9
1990-05-09,4.86
1990-05-10,4.82
1990-05-11,4.84
1990-05-14,5.12
1990-05-15,5.16
1990-05-16,5.21
1990-05-17,5.42
1990-05-18,5.51
1990-05-21,5.55
1990-05-22,5.42
1990-05-23,5.51
1990-05-24,5.38
1990-05-25,5.34
1990-05-29,5.64
1990-05-30,5.73
1990-05-31,5.86
1990-06-01,6.03
1990-06-04,6.14
