Date,Price
1990-01-02,8.68
1990-01-03,8.56
1990-01-04,8.53
1990-01-05,8.5
1990-01-08,8.47
1990-01-09,8.42
1990-01-10,8.33
1990-01-11,8.36
1990-01-12,8.3
1990-01-15,8.26
1990-01-16,8.53
1990-01-17,8.44
1990-01-18,8.45
1990-01-19,8.3
1990-01-22,8.17
1990-01-23,8.17
1990-01-24,8.14
1990-01-25,8.11
1990-01-26,8.11
1990-01-29,8.04
1990-01-30,8.12
1990-01-31,8.18
1990-02-01,8.14
1990-02-02,8.14
1990-02-05,8.07
1990-02-06,7.96
1990-02-07,8.04
1990-02-08,8.01
1990-02-09,8.15
1990-02-12,8.04
1990-02-13,8.07
1990-02-14,8.07
1990-02-15,8.06
1990-02-16,8.09
1990-02-20,7.99
1990-02-21,7.95
1990-02-22,7.88
1990-02-23,7.9
1990-02-26,7.87
1990-02-27,7.82
1990-02-28,7.79
1990-03-01,7.69
1990-03-02,7.59
1990-03-05,7.58
1990-03-06,7.72
1990-03-07,7.72
1990-03-08,7.77
1990-03-09,7.66
1990-03-12,7.67
1990-03-13,7.63
1990-03-14,7.64
1990-03-15,7.69
1990-03-16,7.77
1990-03-19,7.77
1990-03-20,7.91
1990-03-21,7.88
1990-03-22,7.74
1990-03-23,7.71
1990-03-26,7.66
1990-03-27,7.74
1990-03-28,7.71
1990-03-29,7.79
1990-03-30,7.8
1990-04-02,7.79
1990-04-03,7.91
1990-04-04,7.88
1990-04-05,7.9
1990-04-06,7.93
1990-04-09,8.12
1990-04-10,8.18
1990-04-11,8.18
1990-04-12,8.38
1990-04-16,8.34
1990-04-17,8.28
1990-04-18,8.2
1990-04-19,8.12
1990-04-20,8.04
1990-04-23,7.95
1990-04-24,8.02
1990-04-25,8.01
1990-04-26,7.95
1990-04-27,7.8
1990-04-30,7.83
1990-05-01,7.91
1990-05-02,8.04
1990-05-03,8.09
1990-05-04,8.15
1990-05-07,8.31
1990-05-08,8.42
1990-05-09,8.36
1990-05-10,8.38
1990-05-11,8.54
1990-05-14,8.57
1990-05-15,8.6
1990-05-16,8.52
1990-05-17,8.39
1990-05-18,8.33
1990-05-21,8.38
1990-05-22,8.34
1990-05-23,8.36
1990-05-24,8.34
1990-05-25,8.34
1990-05-29,8.39
1990-05-30,8.23
1990-05-31,8.39
1990-06-01,8.5
1990-06-04,8.78
1990-06-05,9.26
1990-06-06,9.21
1990-06-07,9.19
1990-06-08,9.13
1990-06-11,9.11
1990-06-12,9.31
1990-06-13,9.13
1990-06-14,8.92
1990-06-15,8.71
1990-06-18,8.57
1990-06-19,8.58
1990-06-20,8.55
1990-06-21,8.61
1990-06-22,8.45
1990-06-25,8.15
1990-06-26,8.18
1990-06-27,8.31
1990-06-28,8.55
1990-06-29,8.44
1990-07-02,8.39
1990-07-03,8.41
1990-07-05,8.28
1990-07-06,8.44
1990-07-09,8.58
1990-07-10,8.5
1990-07-11,8.61
1990-07-12,8.71
1990-07-13,8.92
1990-07-16,9.02
1990-07-17,8.94
1990-07-18,8.9
1990-07-19,8.82
1990-07-20,8.94
1990-07-23,8.82
1990-07-24,8.86
1990-07-25,8.97
