Date,Price
2000-01-03,165.16
2000-01-04,157.9
2000-01-05,149.88
2000-01-06,143.14
2000-01-07,140.77
2000-01-10,147.63
2000-01-11,151.49
2000-01-12,154.05
2000-01-13,153.41
2000-01-14,153.09
2000-01-17,154.37
2000-01-18,150.52
2000-01-19,146.54
2000-01-20,145.2
2000-01-21,143.14
2000-01-24,142.82
2000-01-25,129.6
2000-01-26,130.62
2000-01-27,131.2
2000-01-28,134.41
2000-01-31,131.01
2000-02-01,130.95
2000-02-02,130.88
2000-02-03,138.65
2000-02-04,140.77
2000-02-07,133.51
2000-02-08,129.73
2000-02-09,128.44
2000-02-10,123.63
2000-02-11,122.92
2000-02-14,127.67
2000-02-15,132.87
2000-02-16,127.74
2000-02-17,127.09
2000-02-18,123.24
2000-02-21,123.82
2000-02-22,129.79
2000-02-23,130.3
2000-02-24,132.55
2000-02-25,136.72
2000-02-28,133.51
2000-02-29,134.22
2000-03-01,135.7
2000-03-02,137.3
2000-03-03,141.92
2000-03-06,143.4
2000-03-07,138.84
2000-03-08,132.23
2000-03-09,133.9
2000-03-10,131.39
2000-03-13,131.01
2000-03-14,129.66
2000-03-15,124.72
2000-03-16,126.0
2000-03-17,129.73
2000-03-20,129.15
2000-03-21,128.38
2000-03-22,128.19
2000-03-23,128.06
2000-03-24,127.41
2000-03-27,128.57
2000-03-28,128.63
2000-03-29,128.44
2000-03-30,127.74
2000-03-31,124.27
2000-04-03,127.54
2000-04-04,127.61
2000-04-05,125.3
2000-04-06,129.98
2000-04-07,130.69
2000-04-10,129.47
2000-04-11,128.25
2000-04-12,128.31
2000-04-13,128.89
2000-04-14,128.31
2000-04-17,129.02
2000-04-18,128.25
2000-04-19,126.77
2000-04-20,133.32
2000-04-21,133.32
2000-04-24,133.32
2000-04-25,138.78
2000-04-26,144.36
2000-04-27,140.57
2000-04-28,142.44
2000-05-01,142.44
2000-05-02,142.44
2000-05-03,139.03
2000-05-04,138.97
2000-05-05,139.61
2000-05-08,136.66
2000-05-09,136.66
2000-05-10,130.3
2000-05-11,133.51
2000-05-12,135.44
2000-05-15,135.25
2000-05-16,134.48
2000-05-17,134.86
2000-05-18,140.57
2000-05-19,141.86
2000-05-22,139.03
2000-05-23,140.45
2000-05-24,140.64
2000-05-25,141.79
2000-05-26,141.47
2000-05-29,141.47
2000-05-30,146.8
2000-05-31,148.08
2000-06-01,148.98
2000-06-02,152.9
2000-06-05,152.83
2000-06-06,149.95
2000-06-07,148.92
2000-06-08,146.67
2000-06-09,146.41
2000-06-12,146.41
2000-06-13,147.76
2000-06-14,149.24
2000-06-15,148.4
2000-06-16,147.12
2000-06-19,147.12
2000-06-20,149.88
2000-06-21,147.63
2000-06-22,146.35
2000-06-23,147.63
2000-06-26,151.23
2000-06-27,150.84
2000-06-28,150.84
2000-06-29,149.82
2000-06-30,149.37
2000-07-03,148.92
2000-07-04,144.42
2000-07-05,142.5
2000-07-06,141.73
2000-07-07,141.73
2000-07-10,140.77
2000-07-11,144.42
2000-07-12,142.82
2000-07-13,141.22
2000-07-14,141.22
2000-07-17,140.57
2000-07-18,139.23
2000-07-19,139.67
2000-07-20,146.03
2000-07-21,145.52
2000-07-24,145.52
2000-07-25,143.78
2000-07-26,142.44
2000-07-27,142.44
2000-07-28,141.09
2000-07-31,143.91
2000-08-01,143.91
2000-08-02,143.59
2000-08-03,139.67
2000-08-04,142.5
2000-08-07,143.01
2000-08-08,141.34
2000-08-09,141.34
2000-08-10,138.33
2000-08-11,138.65
2000-08-14,138.46
2000-08-15,137.94
2000-08-16,140.25
2000-08-17,137.94
2000-08-18,134.86
2000-08-21,134.28
2000-08-22,131.27
2000-08-23,132.87
2000-08-24,130.05
2000-08-25,131.59
