Date,Price
2011-02-11,26.65
2011-02-14,26.35
2011-02-15,26.56
2011-02-16,26.37
2011-02-17,26.22
2011-02-18,26.93
2011-02-22,26.37
2011-02-23,26.11
2011-02-24,26.15
2011-02-25,26.18
2011-02-28,26.18
2011-03-01,26.14
2011-03-02,26.24
2011-03-03,26.41
2011-03-04,26.48
2011-03-07,26.52
2011-03-08,26.58
2011-03-09,26.39
2011-03-10,25.84
2011-03-11,25.84
2011-03-14,25.74
2011-03-15,25.65
2011-03-16,25.79
2011-03-17,25.88
2011-03-18,26.18
2011-03-21,26.45
2011-03-22,26.35
2011-03-23,25.77
2011-03-24,25.79
2011-03-25,25.34
2011-03-28,25.42
2011-03-29,25.57
2011-03-30,25.48
2011-03-31,25.44
2011-04-01,25.32
2011-04-04,25.27
2011-04-05,25.27
2011-04-06,25.29
2011-04-07,25.08
2011-04-08,25.18
2011-04-11,25.11
2011-04-12,24.66
2011-04-13,24.75
2011-04-14,25.0
2011-04-15,24.79
2011-04-18,24.48
2011-04-19,24.7
2011-04-20,25.28
2011-04-21,25.43
2011-04-25,25.2
2011-04-26,25.0
2011-04-27,24.77
2011-04-28,24.87
2011-04-29,24.65
2011-05-02,24.86
2011-05-03,24.31
2011-05-04,24.12
2011-05-05,24.13
2011-05-06,24.15
2011-05-09,24.4
2011-05-10,24.6
2011-05-11,24.42
2011-05-12,24.54
2011-05-13,24.09
2011-05-16,23.75
2011-05-17,23.72
2011-05-18,23.77
2011-05-19,24.4
2011-05-20,24.58
2011-05-23,24.44
2011-05-24,25.07
2011-05-25,25.03
2011-05-26,24.75
2011-05-27,25.17
2011-05-31,25.26
2011-06-01,25.01
2011-06-02,25.34
2011-06-03,25.66
2011-06-06,25.46
2011-06-07,25.69
2011-06-08,25.64
2011-06-09,25.61
2011-06-10,25.47
2011-06-13,25.4
2011-06-14,25.44
2011-06-15,25.32
2011-06-16,25.19
2011-06-17,25.62
2011-06-20,25.54
2011-06-21,25.55
2011-06-22,25.55
2011-06-23,25.1
2011-06-24,24.67
2011-06-27,24.38
