Date,Price
1992-05-19,1.58
1992-05-20,1.66
1992-05-21,1.66
1992-05-22,1.72
1992-05-26,1.69
1992-05-27,1.69
1992-05-28,1.72
1992-05-29,1.76
1992-06-01,1.81
1992-06-02,1.82
1992-06-03,1.78
1992-06-04,1.78
1992-06-05,1.79
1992-06-08,1.78
1992-06-09,1.74
1992-06-10,1.74
1992-06-11,1.75
1992-06-12,1.78
1992-06-15,1.79
1992-06-16,1.74
1992-06-17,1.75
1992-06-18,1.74
1992-06-19,1.74
1992-06-22,1.75
1992-06-23,1.78
1992-06-24,1.81
1992-06-25,1.81
1992-06-26,1.83
1992-06-29,1.92
1992-06-30,2.06
1992-07-01,2.14
1992-07-02,2.09
1992-07-06,2.13
1992-07-07,2.12
1992-07-08,2.05
1992-07-09,2.14
1992-07-10,2.23
1992-07-13,2.2
1992-07-14,2.14
1992-07-15,2.12
1992-07-16,2.13
1992-07-17,2.12
1992-07-20,2.06
1992-07-21,2.06
1992-07-22,2.03
1992-07-23,2.03
1992-07-24,2.02
1992-07-27,2.06
1992-07-28,2.07
1992-07-29,2.14
1992-07-30,2.14
1992-07-31,2.19
1992-08-03,2.26
1992-08-04,2.34
1992-08-05,2.44
1992-08-06,2.4
1992-08-07,2.45
1992-08-10,2.37
1992-08-11,2.54
1992-08-12,2.43
1992-08-13,2.4
1992-08-14,2.38
1992-08-17,2.44
1992-08-18,2.45
1992-08-19,2.44
1992-08-20,2.47
1992-08-21,2.45
1992-08-24,2.38
1992-08-25,2.34
1992-08-26,2.41
1992-08-27,2.43
1992-08-28,2.44
1992-08-31,2.45
1992-09-01,2.6
1992-09-02,2.68
1992-09-03,2.69
1992-09-04,2.64
1992-09-08,2.71
1992-09-09,2.71
1992-09-10,2.76
1992-09-11,2.74
1992-09-14,2.74
1992-09-15,2.74
1992-09-16,2.76
1992-09-17,2.82
1992-09-18,2.79
1992-09-21,2.76
1992-09-22,2.78
1992-09-23,2.79
1992-09-24,2.82
1992-09-25,2.76
1992-09-28,2.54
1992-09-29,2.54
1992-09-30,2.57
1992-10-01,2.65
1992-10-02,2.67
1992-10-05,2.5
1992-10-06,2.62
1992-10-07,2.65
1992-10-08,2.71
1992-10-09,2.68
1992-10-12,2.74
