Date,Price
2000-01-03,74.92
2000-01-04,70.32
2000-01-05,71.23
2000-01-06,73.3
2000-01-07,72.98
2000-01-10,71.68
2000-01-11,66.23
2000-01-12,66.3
2000-01-13,69.21
2000-01-14,72.98
2000-01-17,72.0
2000-01-18,69.41
2000-01-19,67.46
2000-01-20,67.33
2000-01-21,70.64
2000-01-24,65.97
2000-01-25,63.25
2000-01-26,61.63
2000-01-27,61.63
2000-01-28,61.88
2000-01-31,58.64
2000-02-01,57.6
2000-02-02,55.79
2000-02-03,56.44
2000-02-04,57.93
2000-02-07,58.22
2000-02-08,57.08
2000-02-09,55.79
2000-02-10,55.82
2000-02-11,56.79
2000-02-14,56.18
2000-02-15,55.24
2000-02-16,53.19
2000-02-17,52.54
2000-02-18,51.64
2000-02-21,50.6
2000-02-22,52.48
2000-02-23,53.78
2000-02-24,50.76
2000-02-25,49.88
2000-02-28,50.21
2000-02-29,50.27
2000-03-01,51.57
2000-03-02,51.44
2000-03-03,50.6
2000-03-06,50.66
2000-03-07,52.54
2000-03-08,51.51
2000-03-09,49.95
2000-03-10,49.3
2000-03-13,49.3
2000-03-14,51.77
2000-03-15,52.54
2000-03-16,54.81
2000-03-17,53.78
2000-03-20,55.14
2000-03-21,56.44
2000-03-22,59.65
2000-03-23,57.73
2000-03-24,57.02
2000-03-27,56.86
2000-03-28,55.2
2000-03-29,55.14
2000-03-30,57.08
2000-03-31,57.8
2000-04-03,59.65
2000-04-04,60.33
2000-04-05,60.65
2000-04-06,58.38
2000-04-07,58.97
2000-04-10,56.92
2000-04-11,56.44
2000-04-12,56.44
2000-04-13,57.12
2000-04-14,57.9
2000-04-17,55.79
2000-04-18,57.41
2000-04-19,56.24
2000-04-20,58.51
2000-04-21,58.51
2000-04-24,58.51
2000-04-25,61.3
2000-04-26,60.0
2000-04-27,60.43
2000-04-28,59.1
2000-05-01,59.1
2000-05-02,59.68
2000-05-03,60.46
2000-05-04,58.61
2000-05-05,59.35
2000-05-08,59.68
2000-05-09,59.68
2000-05-10,59.39
2000-05-11,60.88
2000-05-12,59.68
2000-05-15,60.0
2000-05-16,62.6
2000-05-17,61.95
2000-05-18,60.33
2000-05-19,59.32
2000-05-22,60.26
2000-05-23,59.39
2000-05-24,56.57
2000-05-25,57.08
2000-05-26,55.14
2000-05-29,55.85
2000-05-30,53.84
2000-05-31,53.84
2000-06-01,54.42
2000-06-02,54.49
2000-06-05,55.39
2000-06-06,55.79
2000-06-07,55.22
2000-06-08,54.86
2000-06-09,55.05
2000-06-12,55.05
2000-06-13,54.12
2000-06-14,54.26
2000-06-15,53.19
2000-06-16,53.86
2000-06-19,53.86
2000-06-20,52.89
2000-06-21,51.86
2000-06-22,51.86
2000-06-23,53.03
2000-06-26,54.32
2000-06-27,55.12
2000-06-28,54.99
2000-06-29,53.72
2000-06-30,54.12
2000-07-03,55.19
2000-07-04,56.35
2000-07-05,55.02
2000-07-06,54.89
2000-07-07,54.89
2000-07-10,56.85
2000-07-11,57.51
2000-07-12,59.28
2000-07-13,58.84
2000-07-14,58.84
2000-07-17,58.15
2000-07-18,57.18
2000-07-19,57.85
2000-07-20,58.51
2000-07-21,57.85
2000-07-24,57.85
2000-07-25,57.45
2000-07-26,57.85
2000-07-27,57.85
2000-07-28,56.38
2000-07-31,55.59
2000-08-01,57.18
2000-08-02,56.42
2000-08-03,57.51
2000-08-04,58.84
2000-08-07,59.18
2000-08-08,59.04
2000-08-09,59.04
2000-08-10,58.71
2000-08-11,59.51
2000-08-14,58.35
2000-08-15,58.84
2000-08-16,58.28
2000-08-17,57.51
2000-08-18,57.55
2000-08-21,58.48
2000-08-22,56.88
2000-08-23,55.22
2000-08-24,56.19
2000-08-25,56.35
2000-08-28,55.92
2000-08-29,56.25
2000-08-30,55.85
2000-08-31,55.45
2000-09-01,56.22
2000-09-04,56.95
2000-09-05,58.05
2000-09-06,57.71
2000-09-07,57.85
2000-09-08,57.85
2000-09-11,57.91
2000-09-12,57.91
2000-09-13,56.78
2000-09-14,56.42
2000-09-15,56.25
2000-09-18,54.79
2000-09-19,53.92
2000-09-20,52.53
2000-09-21,51.53
2000-09-22,51.86
2000-09-25,52.59
2000-09-26,52.46
2000-09-27,51.96
2000-09-28,51.86
2000-09-29,51.86
2000-10-02,53.43
2000-10-03,53.16
2000-10-04,53.16
2000-10-05,53.06
2000-10-06,52.89
2000-10-09,52.23
2000-10-10,53.46
2000-10-11,49.27
2000-10-12,50.27
2000-10-13,50.4
2000-10-16,50.0
2000-10-17,50.8
2000-10-18,50.4
2000-10-19,50.7
2000-10-20,50.83
2000-10-23,51.73
2000-10-24,52.89
2000-10-25,53.19
2000-10-26,54.36
2000-10-27,53.86
2000-10-30,53.86
2000-10-31,53.86
2000-11-01,57.08
2000-11-02,56.22
2000-11-03,56.05
2000-11-06,56.52
2000-11-07,57.05
2000-11-08,57.78
2000-11-09,56.95
2000-11-10,55.39
2000-11-13,54.92
