Date,Price
1998-05-19,11.08
1998-05-20,12.23
1998-05-21,11.79
1998-05-22,11.86
1998-05-26,11.66
1998-05-27,11.6
1998-05-28,11.71
1998-05-29,11.66
1998-06-01,11.6
1998-06-02,11.53
1998-06-03,11.37
1998-06-04,11.42
1998-06-05,11.66
1998-06-08,11.5
1998-06-09,11.53
1998-06-10,11.81
1998-06-11,11.86
1998-06-12,12.07
1998-06-15,11.97
1998-06-16,11.68
1998-06-17,11.66
1998-06-18,11.76
1998-06-19,11.99
1998-06-22,11.84
1998-06-23,12.07
1998-06-24,11.92
1998-06-25,12.12
1998-06-26,12.23
1998-06-29,12.83
1998-06-30,13.53
1998-07-01,13.74
1998-07-02,14.05
1998-07-06,15.04
1998-07-07,14.75
1998-07-08,14.78
1998-07-09,14.59
1998-07-10,14.91
1998-07-13,15.04
1998-07-14,15.19
1998-07-15,15.64
1998-07-16,16.39
1998-07-17,16.03
1998-07-20,16.08
1998-07-21,16.08
1998-07-22,15.79
1998-07-23,14.99
1998-07-24,14.99
1998-07-27,14.2
1998-07-28,13.63
1998-07-29,13.89
1998-07-30,14.2
1998-07-31,14.39
1998-08-03,14.54
1998-08-04,14.46
1998-08-05,14.15
1998-08-06,13.89
1998-08-07,14.07
1998-08-10,14.13
1998-08-11,13.63
1998-08-12,13.58
1998-08-13,13.63
1998-08-14,13.68
1998-08-17,14.15
1998-08-18,14.07
1998-08-19,14.05
1998-08-20,14.65
1998-08-21,14.7
1998-08-24,14.57
1998-08-25,14.62
1998-08-26,14.39
1998-08-27,13.79
1998-08-28,13.81
1998-08-31,13.79
1998-09-01,13.16
1998-09-02,12.98
1998-09-03,13.03
1998-09-04,13.03
1998-09-08,13.11
1998-09-09,13.11
1998-09-10,13.06
1998-09-11,13.29
1998-09-14,13.89
1998-09-15,14.18
1998-09-16,14.57
1998-09-17,14.67
1998-09-18,15.53
1998-09-21,15.17
1998-09-22,15.12
1998-09-23,15.56
1998-09-24,15.92
1998-09-25,15.82
1998-09-28,16.29
1998-09-29,16.18
1998-09-30,16.52
1998-10-01,16.23
1998-10-02,16.08
1998-10-05,15.82
1998-10-06,15.3
1998-10-07,15.25
1998-10-08,14.54
1998-10-09,15.51
1998-10-12,16.39
1998-10-13,16.23
1998-10-14,16.13
1998-10-15,16.18
1998-10-16,16.18
1998-10-19,15.92
1998-10-20,15.61
1998-10-21,15.69
1998-10-22,15.4
1998-10-23,15.19
1998-10-26,16.6
1998-10-27,16.21
1998-10-28,15.97
1998-10-29,16.55
1998-10-30,17.9
1998-11-02,18.21
1998-11-03,18.73
1998-11-04,19.12
1998-11-05,19.3
1998-11-06,19.88
1998-11-09,19.15
1998-11-10,19.36
1998-11-11,19.75
1998-11-12,20.06
1998-11-13,19.36
1998-11-16,19.15
1998-11-17,19.1
1998-11-18,18.52
1998-11-19,19.1
1998-11-20,19.15
1998-11-23,19.36
1998-11-24,19.25
1998-11-25,19.28
1998-11-27,19.2
1998-11-30,19.41
1998-12-01,19.98
1998-12-02,19.36
1998-12-03,18.89
1998-12-04,19.07
1998-12-07,18.55
1998-12-08,18.63
1998-12-09,19.17
1998-12-10,19.59
1998-12-11,19.64
1998-12-14,19.36
1998-12-15,19.33
1998-12-16,19.56
1998-12-17,19.49
1998-12-18,19.36
1998-12-21,19.04
1998-12-22,18.84
1998-12-23,18.78
1998-12-24,18.86
1998-12-28,18.84
1998-12-29,18.58
1998-12-30,18.91
1998-12-31,19.38
1999-01-04,19.23
1999-01-05,18.03
