Date,Price
1990-01-02,7.97
1990-01-03,7.97
1990-01-04,7.93
1990-01-05,7.84
1990-01-08,7.84
1990-01-09,7.75
1990-01-10,7.75
1990-01-11,7.74
1990-01-12,7.54
1990-01-15,7.45
1990-01-16,7.59
1990-01-17,7.57
1990-01-18,7.61
1990-01-19,7.61
1990-01-22,7.45
1990-01-23,7.43
1990-01-24,7.41
1990-01-25,7.3
1990-01-26,7.17
1990-01-29,7.2
1990-01-30,7.19
1990-01-31,7.32
1990-02-01,7.29
1990-02-02,7.45
1990-02-05,7.45
1990-02-06,7.32
1990-02-07,7.42
1990-02-08,7.38
1990-02-09,7.32
1990-02-12,7.23
1990-02-13,7.26
1990-02-14,7.26
1990-02-15,7.32
1990-02-16,7.26
1990-02-20,7.19
1990-02-21,7.16
1990-02-22,7.0
1990-02-23,6.9
1990-02-26,7.03
1990-02-27,7.03
1990-02-28,7.05
1990-03-01,7.16
1990-03-02,7.22
1990-03-05,7.22
1990-03-06,7.29
1990-03-07,7.31
1990-03-08,7.38
1990-03-09,7.34
1990-03-12,7.35
1990-03-13,7.22
1990-03-14,7.21
1990-03-15,7.34
1990-03-16,7.4
1990-03-19,7.4
1990-03-20,7.4
1990-03-21,7.29
1990-03-22,7.22
1990-03-23,7.22
1990-03-26,7.34
1990-03-27,7.57
1990-03-28,7.56
1990-03-29,7.54
1990-03-30,7.54
1990-04-02,7.56
1990-04-03,7.66
1990-04-04,7.72
1990-04-05,7.79
1990-04-06,7.79
1990-04-09,7.82
1990-04-10,7.86
1990-04-11,7.89
1990-04-12,7.99
1990-04-16,7.85
1990-04-17,7.91
1990-04-18,7.79
1990-04-19,7.69
1990-04-20,7.61
1990-04-23,7.54
1990-04-24,7.6
1990-04-25,7.69
1990-04-26,7.83
1990-04-27,7.66
1990-04-30,7.72
1990-05-01,7.8
1990-05-02,7.85
1990-05-03,7.91
1990-05-04,7.95
1990-05-07,8.02
1990-05-08,8.02
1990-05-09,8.1
1990-05-10,8.17
1990-05-11,8.42
1990-05-14,8.53
1990-05-15,8.42
1990-05-16,8.48
1990-05-17,8.48
1990-05-18,8.48
1990-05-21,8.67
1990-05-22,8.92
1990-05-23,9.08
1990-05-24,8.95
1990-05-25,8.86
1990-05-29,9.11
1990-05-30,9.17
1990-05-31,9.19
1990-06-01,9.05
1990-06-04,9.08
1990-06-05,9.13
1990-06-06,9.04
1990-06-07,8.97
1990-06-08,8.82
1990-06-11,9.01
1990-06-12,9.22
1990-06-13,9.13
1990-06-14,9.19
1990-06-15,9.16
1990-06-18,8.98
1990-06-19,9.04
1990-06-20,9.05
1990-06-21,9.27
1990-06-22,9.33
1990-06-25,9.3
1990-06-26,9.32
1990-06-27,9.51
1990-06-28,9.83
1990-06-29,9.76
1990-07-02,9.82
1990-07-03,9.95
1990-07-05,10.13
1990-07-06,10.15
1990-07-09,10.1
1990-07-10,9.95
1990-07-11,10.2
1990-07-12,10.27
1990-07-13,10.39
1990-07-16,10.54
1990-07-17,10.43
1990-07-18,9.98
1990-07-19,10.05
1990-07-20,9.99
1990-07-23,9.86
1990-07-24,9.79
1990-07-25,9.86
1990-07-26,9.35
1990-07-27,9.45
1990-07-30,9.71
1990-07-31,9.77
1990-08-01,9.93
1990-08-02,9.7
1990-08-03,9.39
1990-08-06,9.22
1990-08-07,8.89
1990-08-08,9.2
1990-08-09,9.2
1990-08-10,8.88
1990-08-13,8.95
1990-08-14,8.9
1990-08-15,8.92
1990-08-16,8.44
1990-08-17,8.61
1990-08-20,8.57
1990-08-21,8.47
1990-08-22,8.32
1990-08-23,8.08
1990-08-24,8.14
1990-08-27,8.54
1990-08-28,8.67
1990-08-29,8.9
1990-08-30,8.82
1990-08-31,8.87
1990-09-04,8.84
1990-09-05,8.78
1990-09-06,8.64
1990-09-07,8.69
1990-09-10,8.88
1990-09-11,8.91
1990-09-12,8.91
1990-09-13,8.67
1990-09-14,8.6
1990-09-17,8.6
1990-09-18,8.72
1990-09-19,8.5
1990-09-20,8.29
1990-09-21,8.35
1990-09-24,8.3
1990-09-25,8.53
1990-09-26,8.47
1990-09-27,8.26
1990-09-28,8.44
1990-10-01,8.82
1990-10-02,8.76
1990-10-03,8.59
1990-10-04,8.87
1990-10-05,8.87
1990-10-08,9.01
1990-10-09,8.64
1990-10-10,8.7
1990-10-11,8.63
1990-10-12,8.72
1990-10-15,8.98
1990-10-16,8.82
1990-10-17,8.91
1990-10-18,9.2
1990-10-19,8.73
1990-10-22,8.94
1990-10-23,8.85
1990-10-24,8.73
1990-10-25,8.72
1990-10-26,8.61
1990-10-29,8.39
1990-10-30,8.19
1990-10-31,7.95
1990-11-01,8.02
1990-11-02,8.07
1990-11-05,8.29
1990-11-06,8.13
1990-11-07,8.08
1990-11-08,8.13
1990-11-09,8.25
1990-11-12,8.31
1990-11-13,8.31
1990-11-14,8.47
1990-11-15,8.34
1990-11-16,8.25
1990-11-19,8.12
1990-11-20,7.84
1990-11-21,8.13
1990-11-23,8.3
1990-11-26,8.55
1990-11-27,8.71
1990-11-28,8.49
1990-11-29,8.67
1990-11-30,8.76
1990-12-03,8.89
1990-12-04,8.95
1990-12-05,9.07
1990-12-06,8.84
1990-12-07,8.95
1990-12-10,9.05
1990-12-11,8.98
1990-12-12,9.08
1990-12-13,9.02
1990-12-14,8.84
1990-12-17,8.83
1990-12-18,8.9
1990-12-19,8.93
1990-12-20,8.82
1990-12-21,8.8
1990-12-24,8.82
1990-12-26,8.84
1990-12-27,8.73
1990-12-28,8.55
1990-12-31,8.7
1991-01-02,8.64
1991-01-03,8.49
1991-01-04,8.46
1991-01-07,8.22
1991-01-08,8.22
1991-01-09,8.28
1991-01-10,8.19
1991-01-11,8.19
1991-01-14,8.19
1991-01-15,8.25
1991-01-16,8.56
1991-01-17,8.87
1991-01-18,8.89
1991-01-21,9.13
1991-01-22,9.04
1991-01-23,9.26
1991-01-24,9.5
1991-01-25,9.41
1991-01-28,9.23
1991-01-29,9.22
1991-01-30,9.3
1991-01-31,9.26
1991-02-01,9.02
1991-02-04,9.11
1991-02-05,8.99
1991-02-06,9.04
1991-02-07,8.83
1991-02-08,9.25
1991-02-11,9.55
1991-02-12,9.37
1991-02-13,9.56
1991-02-14,9.65
1991-02-15,9.81
1991-02-19,9.71
1991-02-20,9.5
1991-02-21,9.53
1991-02-22,9.53
1991-02-25,9.62
1991-02-26,9.62
1991-02-27,9.62
1991-02-28,9.44
1991-03-01,9.72
1991-03-04,9.89
1991-03-05,10.08
1991-03-06,9.78
1991-03-07,9.92
1991-03-08,9.89
1991-03-11,9.95
1991-03-12,9.64
1991-03-13,9.59
1991-03-14,9.64
1991-03-15,9.59
1991-03-18,9.44
1991-03-19,9.13
1991-03-20,9.31
1991-03-21,9.19
1991-03-22,9.05
1991-03-25,9.16
1991-03-26,9.44
1991-03-27,9.38
1991-03-28,9.35
1991-04-01,9.47
1991-04-02,9.77
1991-04-03,9.92
1991-04-04,9.96
1991-04-05,9.9
1991-04-08,9.83
1991-04-09,9.74
1991-04-10,9.56
1991-04-11,9.58
1991-04-12,9.59
1991-04-15,9.75
1991-04-16,10.01
1991-04-17,9.9
1991-04-18,9.83
1991-04-19,9.56
1991-04-22,9.4
1991-04-23,9.47
1991-04-24,9.4
1991-04-25,9.47
1991-04-26,9.4
1991-04-29,9.17
1991-04-30,9.17
1991-05-01,9.4
1991-05-02,9.31
1991-05-03,9.26
1991-05-06,9.2
1991-05-07,9.1
1991-05-08,9.13
1991-05-09,9.26
1991-05-10,9.32
1991-05-13,9.53
1991-05-14,9.34
1991-05-15,9.14
1991-05-16,9.26
1991-05-17,9.19
1991-05-20,9.23
1991-05-21,9.46
1991-05-22,9.62
1991-05-23,9.62
1991-05-24,9.58
1991-05-28,9.73
1991-05-29,9.7
1991-05-30,9.62
1991-05-31,9.56
1991-06-03,9.32
1991-06-04,9.43
1991-06-05,9.35
1991-06-06,9.32
1991-06-07,9.25
1991-06-10,9.19
1991-06-11,9.13
1991-06-12,9.01
1991-06-13,8.95
1991-06-14,8.98
1991-06-17,8.9
1991-06-18,8.89
1991-06-19,8.8
1991-06-20,8.92
