Date,Price
1990-01-02,0.71
1990-01-03,0.71
1990-01-04,0.71
1990-01-05,0.71
1990-01-08,0.72
1990-01-09,0.72
1990-01-10,0.71
1990-01-11,0.69
1990-01-12,0.66
1990-01-15,0.64
1990-01-16,0.65
1990-01-17,0.66
1990-01-18,0.67
1990-01-19,0.68
1990-01-22,0.67
1990-01-23,0.67
1990-01-24,0.66
1990-01-25,0.66
1990-01-26,0.66
1990-01-29,0.65
1990-01-30,0.64
1990-01-31,0.67
1990-02-01,0.67
1990-02-02,0.67
1990-02-05,0.67
1990-02-06,0.66
1990-02-07,0.66
1990-02-08,0.66
1990-02-09,0.68
1990-02-12,0.67
1990-02-13,0.66
1990-02-14,0.67
1990-02-15,0.67
1990-02-16,0.66
1990-02-20,0.64
1990-02-21,0.63
1990-02-22,0.64
1990-02-23,0.63
1990-02-26,0.63
1990-02-27,0.63
1990-02-28,0.64
1990-03-01,0.64
1990-03-02,0.64
1990-03-05,0.65
1990-03-06,0.68
1990-03-07,0.7
1990-03-08,0.74
1990-03-09,0.73
1990-03-12,0.73
1990-03-13,0.73
1990-03-14,0.73
1990-03-15,0.75
1990-03-16,0.77
1990-03-19,0.79
1990-03-20,0.79
1990-03-21,0.81
1990-03-22,0.8
1990-03-23,0.8
1990-03-26,0.82
1990-03-27,0.82
1990-03-28,0.82
1990-03-29,0.82
1990-03-30,0.8
1990-04-02,0.8
1990-04-03,0.82
1990-04-04,0.8
1990-04-05,0.8
1990-04-06,0.79
1990-04-09,0.8
1990-04-10,0.81
1990-04-11,0.81
1990-04-12,0.81
1990-04-16,0.82
1990-04-17,0.82
1990-04-18,0.82
1990-04-19,0.85
1990-04-20,0.84
1990-04-23,0.83
1990-04-24,0.85
1990-04-25,0.86
1990-04-26,0.85
1990-04-27,0.85
1990-04-30,0.85
1990-05-01,0.85
1990-05-02,0.86
1990-05-03,0.86
1990-05-04,0.86
1990-05-07,0.87
1990-05-08,0.89
1990-05-09,0.9
1990-05-10,0.93
1990-05-11,0.95
1990-05-14,0.95
1990-05-15,0.96
1990-05-16,0.96
1990-05-17,0.97
1990-05-18,1.0
1990-05-21,1.07
1990-05-22,1.07
1990-05-23,1.11
1990-05-24,1.1
1990-05-25,1.08
1990-05-29,1.09
1990-05-30,1.11
1990-05-31,1.16
1990-06-01,1.19
1990-06-04,1.19
1990-06-05,1.17
1990-06-06,1.15
1990-06-07,1.14
1990-06-08,1.12
1990-06-11,1.14
1990-06-12,1.18
1990-06-13,1.2
1990-06-14,1.18
1990-06-15,1.17
1990-06-18,1.15
1990-06-19,1.2
1990-06-20,1.19
1990-06-21,1.2
1990-06-22,1.19
1990-06-25,1.17
1990-06-26,1.17
1990-06-27,1.16
1990-06-28,1.16
1990-06-29,1.19
1990-07-02,1.21
1990-07-03,1.16
1990-07-05,1.1
1990-07-06,1.11
1990-07-09,1.14
1990-07-10,1.13
1990-07-11,1.16
1990-07-12,1.2
1990-07-13,1.18
