Date,Price
2006-04-07,22.12
2006-04-10,21.98
2006-04-11,21.43
2006-04-12,22.1
2006-04-13,21.9
2006-04-18,21.82
2006-04-19,22.01
2006-04-20,22.39
2006-04-21,21.91
2006-04-24,21.91
2006-04-25,22.48
2006-04-26,22.63
2006-04-27,22.24
2006-04-28,22.1
2006-05-02,22.86
2006-05-03,23.82
2006-05-04,23.82
2006-05-05,24.12
2006-05-08,24.1
2006-05-09,24.1
2006-05-10,24.76
2006-05-11,24.53
2006-05-12,23.82
2006-05-15,23.34
2006-05-16,23.53
2006-05-17,23.0
2006-05-18,21.91
2006-05-19,22.01
2006-05-22,21.56
2006-05-23,22.48
2006-05-24,22.67
2006-05-25,22.45
2006-05-26,22.58
2006-05-29,22.31
2006-05-30,21.72
2006-05-31,21.75
2006-06-01,21.67
2006-06-02,21.56
2006-06-05,21.72
2006-06-06,21.33
2006-06-07,20.93
2006-06-08,19.82
2006-06-09,20.33
2006-06-12,20.2
2006-06-13,20.29
2006-06-14,19.86
2006-06-19,20.42
2006-06-20,20.48
2006-06-21,20.06
2006-06-22,20.53
2006-06-23,20.22
2006-06-26,20.7
2006-06-27,20.96
2006-06-28,20.82
2006-06-29,21.01
2006-06-30,20.96
2006-07-03,20.86
2006-07-04,20.77
2006-07-05,20.53
2006-07-06,20.88
2006-07-07,20.39
2006-07-10,20.25
2006-07-11,19.53
2006-07-12,19.62
2006-07-13,19.52
2006-07-14,19.4
2006-07-17,18.97
2006-07-18,18.86
2006-07-19,19.36
2006-07-20,20.48
2006-07-21,19.77
2006-07-24,20.01
2006-07-25,20.21
2006-07-26,20.14
2006-07-27,20.48
2006-07-28,20.31
2006-07-31,19.91
2006-08-01,19.91
2006-08-02,19.91
2006-08-03,20.26
2006-08-04,20.29
2006-08-07,20.72
2006-08-08,20.62
2006-08-09,20.3
2006-08-10,20.24
2006-08-11,20.82
2006-08-14,20.86
2006-08-15,20.72
2006-08-16,21.1
2006-08-17,21.15
2006-08-18,20.94
2006-08-21,20.88
2006-08-22,20.58
2006-08-23,20.08
2006-08-24,20.1
2006-08-25,20.05
2006-08-28,20.42
2006-08-29,21.36
2006-08-30,21.82
2006-08-31,21.71
2006-09-01,21.43
2006-09-04,20.79
2006-09-05,20.4
2006-09-06,20.01
2006-09-07,20.0
2006-09-08,20.61
2006-09-11,20.05
2006-09-12,19.76
2006-09-13,19.56
2006-09-14,19.72
2006-09-15,20.23
2006-09-18,20.29
2006-09-19,20.21
2006-09-20,20.03
2006-09-21,20.42
2006-09-22,20.1
2006-09-25,20.1
2006-09-26,20.29
2006-09-27,20.76
2006-09-28,21.03
2006-09-29,20.86
2006-10-02,21.72
2006-10-03,21.58
2006-10-04,21.2
2006-10-05,21.38
2006-10-06,20.96
2006-10-09,20.7
2006-10-10,20.91
2006-10-11,21.26
2006-10-12,21.82
2006-10-13,21.81
2006-10-16,21.82
2006-10-17,21.18
2006-10-18,21.61
2006-10-19,22.34
2006-10-20,22.2
2006-10-23,21.97
2006-10-24,22.37
2006-10-25,21.91
2006-10-26,22.29
2006-10-27,21.85
2006-10-30,22.1
2006-10-31,21.15
2006-11-01,20.72
2006-11-02,21.05
2006-11-03,20.91
2006-11-06,20.96
2006-11-07,20.48
2006-11-08,20.01
2006-11-09,20.01
2006-11-10,20.05
2006-11-13,20.24
2006-11-14,20.24
2006-11-15,20.47
2006-11-16,20.4
2006-11-17,20.3
2006-11-20,20.01
2006-11-21,20.01
2006-11-22,19.82
2006-11-23,19.81
2006-11-24,19.53
2006-11-27,19.1
2006-11-28,19.05
2006-11-29,19.81
2006-11-30,19.92
2006-12-01,19.84
2006-12-04,19.69
2006-12-05,19.62
2006-12-06,19.68
2006-12-07,19.96
2006-12-08,20.01
2006-12-11,19.96
2006-12-12,19.5
2006-12-13,19.53
2006-12-14,19.86
2006-12-15,20.52
2006-12-18,20.91
2006-12-19,20.8
2006-12-20,21.09
2006-12-21,21.01
2006-12-22,20.83
2006-12-27,20.94
2006-12-28,21.05
2006-12-29,21.15
2007-01-02,21.4
2007-01-03,21.39
2007-01-04,21.39
2007-01-05,20.82
2007-01-08,20.97
2007-01-09,20.91
2007-01-10,20.64
2007-01-11,21.03
2007-01-12,21.23
2007-01-15,21.07
2007-01-16,20.83
2007-01-17,20.97
2007-01-18,21.24
2007-01-19,21.89
2007-01-22,21.54
2007-01-23,21.48
2007-01-24,21.53
2007-01-25,21.83
2007-01-26,21.65
2007-01-29,21.63
2007-01-30,21.8
2007-01-31,21.73
2007-02-01,22.38
2007-02-02,22.58
2007-02-05,22.94
2007-02-06,22.81
2007-02-07,22.86
2007-02-08,22.62
2007-02-09,22.67
2007-02-12,22.31
2007-02-13,22.48
2007-02-14,22.69
2007-02-15,22.89
2007-02-16,22.95
2007-02-19,23.3
2007-02-20,23.41
2007-02-21,23.3
2007-02-22,23.62
2007-02-23,23.53
2007-02-26,23.82
2007-02-27,23.37
2007-02-28,23.0
2007-03-01,22.58
