Date,Price
2001-07-20,166.39
2001-07-23,158.64
2001-07-24,151.34
2001-07-25,145.87
2001-07-26,146.33
2001-07-27,152.48
2001-07-30,154.99
2001-07-31,156.13
2001-08-01,157.73
2001-08-02,162.28
2001-08-03,162.28
2001-08-06,160.92
2001-08-07,159.55
2001-08-08,164.11
2001-08-09,165.47
2001-08-10,165.7
2001-08-13,167.64
2001-08-14,169.12
2001-08-15,165.93
2001-08-16,166.39
2001-08-17,168.44
2001-08-20,166.39
2001-08-21,168.67
2001-08-22,168.67
2001-08-23,167.75
2001-08-24,167.75
2001-08-27,167.75
2001-08-28,167.3
2001-08-29,165.02
2001-08-30,163.2
2001-08-31,163.65
2001-09-03,163.2
2001-09-04,163.2
2001-09-05,161.83
2001-09-06,161.37
2001-09-07,157.16
2001-09-10,156.81
2001-09-11,143.59
2001-09-12,146.78
2001-09-13,152.03
2001-09-14,143.59
2001-09-17,139.95
2001-09-18,138.58
2001-09-19,137.33
2001-09-20,129.01
2001-09-21,133.11
2001-09-24,133.22
2001-09-25,137.67
2001-09-26,138.12
2001-09-27,140.29
2001-09-28,154.08
2001-10-01,150.89
2001-10-02,150.43
2001-10-03,151.34
2001-10-04,149.52
2001-10-05,151.34
2001-10-08,149.52
2001-10-09,150.43
2001-10-10,149.52
2001-10-11,151.34
2001-10-12,157.27
2001-10-15,157.27
2001-10-16,158.18
2001-10-17,156.93
2001-10-18,158.41
2001-10-19,157.73
2001-10-22,157.27
2001-10-23,155.9
2001-10-24,155.9
2001-10-25,157.95
2001-10-26,159.0
2001-10-29,153.85
2001-10-30,155.9
2001-10-31,158.41
2001-11-01,160.0
2001-11-02,160.0
2001-11-05,165.25
2001-11-06,170.26
2001-11-07,169.58
2001-11-08,174.59
2001-11-09,173.68
2001-11-12,168.78
2001-11-13,169.12
2001-11-14,173.22
2001-11-15,173.22
2001-11-16,177.78
2001-11-19,182.11
2001-11-20,174.59
2001-11-21,177.78
2001-11-22,175.5
2001-11-23,173.22
2001-11-26,173.68
2001-11-27,172.77
2001-11-28,172.77
2001-11-29,169.12
2001-11-30,167.75
2001-12-03,168.21
2001-12-04,167.3
2001-12-05,183.15
2001-12-06,185.44
2001-12-07,183.15
2001-12-10,186.7
2001-12-11,190.02
2001-12-12,190.48
2001-12-13,202.04
2001-12-14,187.5
2001-12-17,184.53
2001-12-18,185.44
2001-12-19,190.02
2001-12-20,191.39
2001-12-21,190.02
2001-12-24,190.02
2001-12-25,190.02
2001-12-26,190.02
2001-12-27,187.73
2001-12-28,194.37
2001-12-31,193.23
2002-01-01,193.23
2002-01-02,193.23
2002-01-03,190.48
2002-01-04,188.65
2002-01-07,192.77
2002-01-08,191.39
2002-01-09,194.26
2002-01-10,191.39
2002-01-11,192.77
2002-01-14,193.11
2002-01-15,192.77
2002-01-16,194.6
2002-01-17,198.72
2002-01-18,195.74
2002-01-21,197.8
2002-01-22,196.89
2002-01-23,195.97
2002-01-24,195.52
2002-01-25,186.36
2002-01-28,188.3
2002-01-29,190.25
2002-01-30,190.02
2002-01-31,187.73
2002-02-01,185.44
2002-02-04,185.44
2002-02-05,183.15
2002-02-06,186.13
2002-02-07,184.98
2002-02-08,185.44
2002-02-11,187.5
2002-02-12,186.82
2002-02-13,184.53
2002-02-14,182.24
2002-02-15,182.24
2002-02-18,183.72
2002-02-19,183.61
2002-02-20,184.53
2002-02-21,184.76
