Date,Price
2000-01-03,41.67
2000-01-04,40.56
2000-01-05,39.54
2000-01-06,40.7
2000-01-07,42.39
2000-01-10,43.93
2000-01-11,42.63
2000-01-12,40.79
2000-01-13,40.51
2000-01-14,41.48
2000-01-17,42.63
2000-01-18,41.57
2000-01-19,41.57
2000-01-20,41.02
2000-01-21,40.33
2000-01-24,40.56
2000-01-25,38.44
2000-01-26,38.35
2000-01-27,37.7
2000-01-28,37.93
2000-01-31,36.8
2000-02-01,36.92
2000-02-02,38.53
2000-02-03,39.22
2000-02-04,38.16
2000-02-07,37.15
2000-02-08,39.91
2000-02-09,40.38
2000-02-10,41.02
2000-02-11,39.64
2000-02-14,40.28
2000-02-15,38.03
2000-02-16,39.27
2000-02-17,40.47
2000-02-18,40.54
2000-02-21,40.01
2000-02-22,40.47
2000-02-23,40.28
2000-02-24,39.36
2000-02-25,39.45
2000-02-28,39.5
2000-02-29,40.37
2000-03-01,39.36
2000-03-02,39.5
2000-03-03,38.62
2000-03-06,38.73
2000-03-07,37.58
2000-03-08,37.45
2000-03-09,38.44
2000-03-10,37.47
2000-03-13,38.08
2000-03-14,38.36
2000-03-15,38.73
2000-03-16,41.57
2000-03-17,42.31
2000-03-20,42.05
2000-03-21,41.71
2000-03-22,41.44
2000-03-23,40.56
2000-03-24,40.56
2000-03-27,41.12
2000-03-28,42.27
2000-03-29,43.25
2000-03-30,43.14
2000-03-31,43.12
2000-04-03,43.28
2000-04-04,43.79
2000-04-05,41.94
2000-04-06,40.84
2000-04-07,40.48
2000-04-10,41.57
2000-04-11,40.93
2000-04-12,41.27
2000-04-13,41.07
2000-04-14,40.86
2000-04-17,40.24
2000-04-18,40.05
2000-04-19,39.41
2000-04-20,39.22
2000-04-21,39.22
2000-04-24,39.22
2000-04-25,40.45
2000-04-26,41.11
2000-04-27,40.71
2000-04-28,42.25
2000-05-01,42.25
2000-05-02,40.93
2000-05-03,40.63
2000-05-04,41.25
2000-05-05,40.84
2000-05-08,40.5
2000-05-09,40.5
2000-05-10,40.1
2000-05-11,40.15
2000-05-12,39.94
2000-05-15,39.41
2000-05-16,40.01
2000-05-17,39.5
2000-05-18,39.34
2000-05-19,39.22
2000-05-22,39.18
2000-05-23,39.68
2000-05-24,39.81
2000-05-25,38.89
2000-05-26,38.35
2000-05-29,38.87
2000-05-30,38.97
2000-05-31,38.16
2000-06-01,38.53
2000-06-02,38.62
2000-06-05,38.99
2000-06-06,38.25
2000-06-07,38.73
2000-06-08,38.17
2000-06-09,39.09
2000-06-12,39.14
2000-06-13,38.91
2000-06-14,38.7
2000-06-15,37.61
2000-06-16,28.58
2000-06-19,36.78
2000-06-20,36.69
2000-06-21,36.09
2000-06-22,35.67
2000-06-23,35.54
2000-06-26,35.79
2000-06-27,35.85
2000-06-28,36.78
2000-06-29,36.25
2000-06-30,37.84
2000-07-03,38.14
2000-07-04,38.72
2000-07-05,38.72
2000-07-06,38.03
2000-07-07,38.03
2000-07-10,38.75
2000-07-11,38.58
2000-07-12,40.03
2000-07-13,40.03
2000-07-14,39.17
2000-07-17,39.78
2000-07-18,39.5
2000-07-19,39.61
2000-07-20,40.25
2000-07-21,39.96
2000-07-24,40.41
2000-07-25,41.48
2000-07-26,41.44
2000-07-27,40.42
2000-07-28,41.71
2000-07-31,41.53
2000-08-01,41.54
2000-08-02,41.57
2000-08-03,41.57
2000-08-04,41.34
2000-08-07,41.8
2000-08-08,41.39
2000-08-09,41.14
