Date,Price
1993-03-19,0.44
1993-03-22,0.43
1993-03-23,0.43
1993-03-24,0.43
1993-03-25,0.45
1993-03-26,0.47
1993-03-29,0.47
1993-03-30,0.48
1993-03-31,0.48
1993-04-01,0.48
1993-04-02,0.49
1993-04-05,0.48
1993-04-06,0.47
1993-04-07,0.48
1993-04-08,0.49
1993-04-12,0.47
1993-04-13,0.49
1993-04-14,0.51
1993-04-15,0.49
1993-04-16,0.5
1993-04-19,0.49
1993-04-20,0.49
1993-04-21,0.5
1993-04-22,0.53
1993-04-23,0.56
1993-04-26,0.56
1993-04-27,0.59
1993-04-28,0.63
1993-04-29,0.6
1993-04-30,0.63
1993-05-03,0.64
1993-05-04,0.61
1993-05-05,0.62
1993-05-06,0.63
1993-05-07,0.66
1993-05-10,0.7
1993-05-11,0.7
1993-05-12,0.7
1993-05-13,0.66
1993-05-14,0.67
1993-05-17,0.69
1993-05-18,0.72
1993-05-19,0.71
1993-05-20,0.72
1993-05-21,0.73
1993-05-24,0.68
1993-05-25,0.69
1993-05-26,0.7
1993-05-27,0.69
1993-05-28,0.69
1993-06-01,0.68
1993-06-02,0.68
1993-06-03,0.68
1993-06-04,0.64
1993-06-07,0.66
1993-06-08,0.6
1993-06-09,0.63
1993-06-10,0.64
1993-06-11,0.7
1993-06-14,0.72
1993-06-15,0.73
1993-06-16,0.79
1993-06-17,0.79
1993-06-18,0.79
1993-06-21,0.84
1993-06-22,0.83
1993-06-23,0.87
1993-06-24,0.9
1993-06-25,0.89
1993-06-28,0.89
1993-06-29,0.87
1993-06-30,0.87
1993-07-01,0.85
1993-07-02,0.87
1993-07-06,0.84
1993-07-07,0.84
1993-07-08,0.86
1993-07-09,0.85
1993-07-12,0.86
1993-07-13,0.84
1993-07-14,0.9
1993-07-15,0.88
1993-07-16,0.82
1993-07-19,0.8
1993-07-20,0.79
1993-07-21,0.82
1993-07-22,0.84
1993-07-23,0.82
1993-07-26,0.85
1993-07-27,0.85
1993-07-28,0.83
1993-07-29,0.84
1993-07-30,0.85
1993-08-02,0.87
1993-08-03,0.84
1993-08-04,0.87
1993-08-05,0.87
1993-08-06,0.92
1993-08-09,0.9
1993-08-10,0.91
1993-08-11,0.88
1993-08-12,1.0
1993-08-13,1.09
1993-08-16,1.11
1993-08-17,1.11
1993-08-18,1.15
1993-08-19,1.16
1993-08-20,1.16
1993-08-23,1.15
1993-08-24,1.25
1993-08-25,1.32
1993-08-26,1.39
1993-08-27,1.42
1993-08-30,1.43
1993-08-31,1.39
1993-09-01,1.36
1993-09-02,1.41
1993-09-03,1.48
1993-09-07,1.53
1993-09-08,1.46
1993-09-09,1.43
1993-09-10,1.44
1993-09-13,1.43
1993-09-14,1.43
1993-09-15,1.43
1993-09-16,1.4
1993-09-17,1.41
1993-09-20,1.43
1993-09-21,1.45
1993-09-22,1.46
1993-09-23,1.46
1993-09-24,1.45
1993-09-27,1.42
1993-09-28,1.4
1993-09-29,1.52
1993-09-30,1.55
1993-10-01,1.63
1993-10-04,1.55
1993-10-05,1.55
1993-10-06,1.55
1993-10-07,1.57
1993-10-08,1.66
1993-10-11,1.7
1993-10-12,1.84
1993-10-13,2.04
1993-10-14,2.03
1993-10-15,2.05
1993-10-18,1.94
1993-10-19,1.79
1993-10-20,1.78
1993-10-21,1.75
1993-10-22,1.82
1993-10-25,1.78
1993-10-26,1.81
1993-10-27,1.93
1993-10-28,1.91
1993-10-29,1.91
1993-11-01,1.93
1993-11-02,1.97
1993-11-03,1.97
1993-11-04,1.99
1993-11-05,2.02
1993-11-08,2.02
1993-11-09,2.07
1993-11-10,2.18
1993-11-11,2.17
1993-11-12,2.11
1993-11-15,2.06
1993-11-16,2.03
1993-11-17,1.99
1993-11-18,1.91
1993-11-19,1.81
1993-11-22,1.67
1993-11-23,1.69
1993-11-24,1.83
1993-11-26,1.93
1993-11-29,1.9
1993-11-30,1.91
1993-12-01,1.97
1993-12-02,1.97
1993-12-03,2.23
1993-12-06,2.12
1993-12-07,2.15
1993-12-08,2.12
1993-12-09,2.11
1993-12-10,2.15
1993-12-13,2.14
1993-12-14,2.08
1993-12-15,2.09
1993-12-16,2.11
1993-12-17,2.21
1993-12-20,2.22
1993-12-21,2.15
1993-12-22,2.17
1993-12-23,2.17
1993-12-27,2.11
1993-12-28,2.09
1993-12-29,2.23
1993-12-30,2.26
1993-12-31,2.33
1994-01-03,2.21
1994-01-04,2.14
1994-01-05,2.12
1994-01-06,2.06
1994-01-07,2.09
