Date,Price
1990-03-26,3.03
1990-03-27,3.01
1990-03-28,3.01
1990-03-29,3.01
1990-03-30,3.23
1990-04-02,3.16
1990-04-03,3.38
1990-04-04,3.34
1990-04-05,3.41
1990-04-06,3.41
1990-04-09,3.45
1990-04-10,3.34
1990-04-11,3.41
1990-04-12,3.34
1990-04-16,3.23
1990-04-17,3.19
1990-04-18,3.12
1990-04-19,3.16
1990-04-20,3.18
1990-04-23,3.19
1990-04-24,3.27
1990-04-25,3.12
1990-04-26,3.16
1990-04-27,3.19
1990-04-30,3.03
1990-05-01,3.08
1990-05-02,3.16
1990-05-03,3.23
1990-05-04,3.27
1990-05-07,3.27
1990-05-08,3.27
1990-05-09,3.27
1990-05-10,3.27
1990-05-11,3.52
1990-05-14,3.45
1990-05-15,3.45
1990-05-16,3.49
1990-05-17,3.41
1990-05-18,3.45
1990-05-21,3.41
1990-05-22,3.45
1990-05-23,3.38
1990-05-24,3.27
1990-05-25,3.23
1990-05-29,3.27
1990-05-30,3.27
1990-05-31,3.41
1990-06-01,3.38
1990-06-04,3.49
1990-06-05,3.52
1990-06-06,3.51
1990-06-07,3.49
1990-06-08,3.49
1990-06-11,3.52
1990-06-12,3.6
1990-06-13,3.71
1990-06-14,3.8
1990-06-15,3.74
1990-06-18,3.74
1990-06-19,3.78
1990-06-20,3.71
1990-06-21,3.71
1990-06-22,3.74
1990-06-25,3.76
1990-06-26,3.8
1990-06-27,3.8
1990-06-28,3.84
1990-06-29,3.73
1990-07-02,3.73
1990-07-03,3.71
1990-07-05,3.73
1990-07-06,3.65
1990-07-09,3.74
1990-07-10,3.73
1990-07-11,3.73
1990-07-12,3.69
1990-07-13,3.65
1990-07-16,3.8
1990-07-17,3.73
1990-07-18,3.74
1990-07-19,3.76
1990-07-20,3.69
1990-07-23,3.62
1990-07-24,3.65
1990-07-25,3.65
1990-07-26,3.62
1990-07-27,3.73
1990-07-30,3.65
1990-07-31,3.73
1990-08-01,3.73
1990-08-02,3.65
1990-08-03,3.54
1990-08-06,3.26
1990-08-07,3.25
1990-08-08,3.36
1990-08-09,3.32
1990-08-10,3.34
1990-08-13,3.28
1990-08-14,3.36
1990-08-15,3.32
1990-08-16,3.32
1990-08-17,3.21
1990-08-20,3.1
1990-08-21,3.02
1990-08-22,2.88
1990-08-23,2.69
