Date,Price
2000-01-03,25.88
2000-01-04,25.55
2000-01-05,25.24
2000-01-06,26.05
2000-01-07,26.96
2000-01-10,27.06
2000-01-11,26.38
2000-01-12,26.05
2000-01-13,26.03
2000-01-14,26.54
2000-01-17,25.69
2000-01-18,25.13
2000-01-19,24.72
2000-01-20,24.01
2000-01-21,23.94
2000-01-24,24.07
2000-01-25,23.81
2000-01-26,23.5
2000-01-27,23.61
2000-01-28,23.81
2000-01-31,23.49
2000-02-01,24.07
2000-02-02,24.07
2000-02-03,23.62
2000-02-04,23.81
2000-02-07,23.87
2000-02-08,24.35
2000-02-09,24.33
2000-02-10,24.07
2000-02-11,23.74
2000-02-14,23.71
2000-02-15,23.48
2000-02-16,22.85
2000-02-17,22.9
2000-02-18,22.32
2000-02-21,22.38
2000-02-22,21.79
2000-02-23,21.73
2000-02-24,21.47
2000-02-25,21.24
2000-02-28,21.02
2000-02-29,21.1
2000-03-01,21.21
2000-03-02,20.98
2000-03-03,20.76
2000-03-06,20.88
2000-03-07,20.56
2000-03-08,20.65
2000-03-09,20.75
2000-03-10,20.62
2000-03-13,20.62
2000-03-14,20.79
2000-03-15,21.5
2000-03-16,22.55
2000-03-17,22.42
2000-03-20,22.51
2000-03-21,22.64
2000-03-22,22.9
2000-03-23,23.03
2000-03-24,22.65
2000-03-27,22.25
2000-03-28,22.01
2000-03-29,21.92
2000-03-30,22.12
2000-03-31,21.82
2000-04-03,21.6
2000-04-04,23.09
2000-04-05,22.4
2000-04-06,22.37
2000-04-07,22.35
2000-04-10,22.12
2000-04-11,23.58
2000-04-12,24.13
2000-04-13,24.33
2000-04-14,24.58
2000-04-17,24.07
2000-04-18,24.32
2000-04-19,24.07
2000-04-20,24.07
2000-04-21,24.07
2000-04-24,24.07
2000-04-25,24.21
2000-04-26,24.85
2000-04-27,24.56
2000-04-28,23.74
2000-05-01,23.74
2000-05-02,24.02
2000-05-03,24.2
2000-05-04,24.52
2000-05-05,24.65
2000-05-08,24.62
2000-05-09,24.62
2000-05-10,24.85
2000-05-11,25.0
2000-05-12,25.04
2000-05-15,24.78
2000-05-16,24.78
2000-05-17,24.98
2000-05-18,24.95
